<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	13.78	14.14	13.46	13.67	21435	18867400	1
2015.01.05	13.58	13.64	13.27	13.37	25827	13547300	1
2015.01.06	13.43	13.85	13.29	13.75	21862	18158400	1
2015.01.07	13.95	14.28	13.78	14.10	31199	19731500	1
2015.01.08	14.10	14.32	13.96	14.15	15623	8854500	1
2015.01.09	14.14	14.29	13.99	14.14	21990	10734200	1
2015.01.12	14.21	14.44	14.09	14.40	22571	11130900	1
2015.01.13	14.34	14.58	14.30	14.35	21339	19050000	1
2015.01.14	14.19	14.41	14.19	14.31	17495	9172300	1
2015.01.15	14.33	14.58	14.26	14.32	17375	12475600	1
2015.01.16	14.37	14.59	14.33	14.51	23255	9028900	1
2015.01.19	14.43	14.51	14.20	14.28	11482	6128100	1
2015.01.20	14.40	14.55	14.33	14.49	15015	6933900	1
2015.01.21	14.55	14.77	14.46	14.68	21585	9272400	1
2015.01.22	14.77	14.94	14.58	14.78	24154	10949500	1
2015.01.23	14.64	14.77	14.58	14.68	16426	7147100	1
2015.01.26	14.49	14.70	14.43	14.61	16170	7197500	1
2015.01.27	14.48	14.62	14.40	14.55	21096	9816700	1
2015.01.28	14.45	14.75	14.40	14.69	21234	9544600	1
2015.01.29	14.66	15.21	14.55	15.17	29719	16857100	1
2015.01.30	14.97	15.34	14.86	15.13	30146	18606800	1
2015.02.02	15.04	15.13	14.83	14.93	16835	9320900	1
2015.02.03	15.09	15.21	14.92	15.02	22376	9871800	1
2015.02.04	15.04	15.19	14.78	14.88	22294	11261700	1
2015.02.05	14.89	15.18	14.73	15.11	21014	10386500	1
2015.02.06	15.10	15.38	14.89	15.32	20802	9869800	1
2015.02.09	15.35	15.59	15.24	15.59	17447	9999800	1
2015.02.10	15.50	15.56	15.31	15.43	19043	10119700	1
2015.02.11	15.43	15.51	15.18	15.31	20507	12093100	1
2015.02.12	15.53	15.62	15.42	15.54	15901	9609700	1
2015.02.13	15.57	15.64	15.29	15.42	19239	8796300	1
2015.02.18	15.56	15.78	15.49	15.67	19200	12727900	1
2015.02.19	15.59	15.76	15.50	15.66	11716	4404700	1
2015.02.20	15.70	15.71	15.49	15.62	11174	5355600	1
2015.02.23	15.59	15.86	15.59	15.78	15643	9022500	1
2015.02.24	15.86	15.97	15.76	15.92	20218	9145000	1
2015.02.25	15.83	15.83	15.60	15.71	25196	9609200	1
2015.02.26	15.79	15.79	15.52	15.71	22976	14931800	1
2015.02.27	15.72	16.21	15.70	15.74	25586	18418400	1
2015.03.02	15.79	15.80	15.55	15.59	17136	8697000	1
2015.03.03	15.68	15.97	15.56	15.89	20269	8909200	1
2015.03.04	15.64	15.88	15.52	15.72	27542	12388800	1
2015.03.05	15.81	15.98	15.70	15.80	20091	11617300	1
2015.03.06	15.84	15.90	15.62	15.71	16272	7187400	1
2015.03.09	15.62	15.80	15.54	15.76	17986	10320800	1
2015.03.10	15.68	15.77	15.26	15.26	23949	13007500	1
2015.03.11	15.22	15.65	15.18	15.62	20811	9870000	1
2015.03.12	15.78	15.84	15.38	15.57	21766	11589900	1
2015.03.13	15.17	15.68	15.09	15.60	30753	16189200	1
2015.03.16	15.74	15.83	15.49	15.55	19360	7741900	1
2015.03.17	15.68	15.79	15.55	15.71	20160	11034600	1
2015.03.18	15.64	16.12	15.59	15.92	24240	14070700	1
2015.03.19	15.86	16.04	15.78	15.94	12272	7151300	1
2015.03.20	16.09	16.30	16.01	16.07	27330	16535400	1
2015.03.23	16.13	16.36	16.01	16.21	16477	8732600	1
2015.03.24	16.25	16.29	15.88	15.98	19577	7735300	1
2015.03.25	16.16	16.30	15.85	15.89	23004	10356300	1
2015.03.26	15.80	15.85	15.54	15.61	26654	15598100	1
2015.03.27	15.59	15.84	15.52	15.73	26822	9182800	1
2015.03.30	15.75	16.08	15.75	16.07	13090	7543100	1
2015.03.31	15.87	16.05	15.80	15.91	19602	8444300	1
2015.04.01	16.08	16.38	15.88	16.28	38376	19413000	1
2015.04.02	16.25	16.43	16.12	16.26	32896	16122000	1
2015.04.06	16.37	16.71	16.31	16.58	28460	10212800	1
2015.04.07	16.72	16.90	16.60	16.75	28334	10731200	1
2015.04.08	16.93	16.98	16.64	16.77	23184	10808400	1
2015.04.09	16.71	16.92	16.57	16.68	19468	8763300	1
