<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.01	14.34	15.15	13.82	14.22	28592	64088000	1
2021.03.02	14.03	14.74	13.64	14.44	18064	14714500	1
2021.03.03	14.30	14.51	13.82	14.20	17097	17545000	1
2021.03.04	14.20	14.73	14.10	14.58	12475	12300000	1
2021.03.05	14.44	15.64	14.34	14.94	14138	18499500	1
2021.03.08	14.91	15.00	13.69	14.15	8471	12366000	1
2021.03.09	13.94	14.10	13.65	14.10	11026	10167000	1
2021.03.10	14.15	14.64	13.88	14.14	14211	15699500	1
2021.03.11	14.38	14.85	14.30	14.64	12400	16646000	1
2021.03.12	14.24	14.75	14.24	14.50	6424	7509000	1
2021.03.15	14.50	14.70	14.29	14.51	5647	11570000	1
2021.03.16	14.52	14.59	14.16	14.25	4889	7786000	1
2021.03.17	14.25	14.76	14.16	14.74	5244	4734000	1
2021.03.18	14.36	14.70	14.36	14.59	3258	2217500	1
2021.03.19	14.64	14.72	14.12	14.21	7713	14032000	1
2021.03.22	14.30	14.30	13.80	13.94	7324	5751500	1
2021.03.23	13.94	14.10	13.66	14.10	7587	7911000	1
2021.03.24	13.97	14.13	13.50	13.65	7609	12126500	1
2021.03.25	13.55	14.34	13.47	14.32	5419	6595500	1
2021.03.26	14.21	14.82	14.15	14.48	3997	4392500	1
2021.03.29	14.39	14.64	14.15	14.64	5497	6531500	1
2021.03.30	14.44	14.77	14.44	14.64	6811	8390500	1
2021.03.31	14.65	14.73	14.34	14.71	3849	3661000	1
2021.04.01	14.78	15.11	14.71	14.95	8544	9905500	1
2021.04.05	15.00	15.62	15.00	15.44	5536	5972500	1
2021.04.06	15.44	15.44	15.24	15.30	4805	5809500	1
2021.04.07	15.16	15.50	14.61	15.20	9255	10984500	1
2021.04.08	15.14	15.46	14.96	15.42	4084	6382000	1
2021.04.09	15.35	15.46	15.11	15.44	5922	6985000	1
2021.04.12	15.42	15.53	15.24	15.42	4563	4697500	1
2021.04.13	15.42	15.54	15.24	15.39	3985	5444000	1
2021.04.14	15.37	15.68	15.34	15.67	7492	5839000	1
2021.04.15	15.57	15.95	15.57	15.93	9814	11472000	1
2021.04.16	16.50	16.50	15.73	15.89	9038	13029500	1
2021.04.19	15.89	16.27	15.74	16.04	5449	5014500	1
2021.04.20	16.11	16.42	15.80	16.23	6033	6002500	1
2021.04.22	16.26	16.52	15.94	16.03	6959	8454000	1
2021.04.23	16.21	16.30	15.96	16.17	5822	4645500	1
2021.04.26	16.24	16.28	15.91	16.01	4487	3630500	1
2021.04.27	16.00	16.05	15.84	15.87	4622	4964500	1
2021.04.28	15.89	16.11	15.78	15.93	5502	5324500	1
2021.04.29	16.01	16.07	15.64	15.96	6072	5335000	1
2021.04.30	15.84	16.23	15.66	16.18	9987	22612500	1
2021.05.03	16.20	16.44	16.04	16.29	8376	8466500	1
2021.05.04	16.40	16.52	16.11	16.50	9773	9397500	1
2021.05.05	16.87	17.40	16.80	17.12	14175	17230500	1
2021.05.06	17.12	17.46	16.95	17.43	6268	9399000	1
2021.05.07	17.48	17.88	17.23	17.79	9090	8406000	1
2021.05.10	17.80	17.85	17.36	17.64	6423	7650000	1
2021.05.11	17.44	17.61	17.30	17.40	7302	6175500	1
2021.05.12	17.30	17.39	16.83	16.92	6105	6715500	1
2021.05.13	16.97	17.33	16.92	17.24	6687	6592500	1
2021.05.14	17.36	17.48	16.93	17.34	6551	5922500	1
2021.05.17	17.31	17.34	16.85	17.15	5241	4717000	1
2021.05.18	17.15	17.19	16.67	16.85	6899	6490000	1
2021.05.19	16.77	17.17	16.44	16.60	7176	6344000	1
2021.05.20	16.68	16.82	16.47	16.82	5237	7267500	1
2021.05.21	16.82	17.44	16.53	17.24	7007	10130500	1
2021.05.24	17.35	17.90	17.20	17.84	7942	10381500	1
2021.05.25	17.85	17.90	17.60	17.71	5325	5295000	1
2021.05.26	17.86	17.95	17.48	17.77	6275	5457500	1
2021.05.27	17.78	18.11	17.52	17.78	5209	5667500	1
2021.05.28	17.74	17.99	17.38	17.82	4864	4564500	1
2021.05.31	17.93	18.10	17.70	17.89	6381	4624000	1
2021.06.01	18.02	18.26	17.65	17.80	9030	13713000	1
2021.06.02	17.90	18.11	17.56	17.59	11453	9312500	1
2021.06.04	17.54	17.64	17.21	17.59	8498	8086500	1
2021.06.07	17.59	17.59	16.82	17.35	8993	10313500	1
2021.06.08	17.41	17.42	16.71	16.87	8554	9226000	1
2021.06.09	16.87	17.20	16.60	16.96	11064	10278000	1
2021.06.10	16.95	17.15	16.76	17.10	5589	4698000	1
2021.06.11	17.10	17.10	16.65	16.86	5913	5104000	1
2021.06.14	16.96	16.99	16.63	16.80	4806	4306500	1
2021.06.15	16.80	16.81	16.25	16.64	8791	8399000	1
2021.06.16	16.47	16.90	16.43	16.68	11377	10603500	1
2021.06.17	16.68	16.79	16.46	16.76	7381	7240000	1
2021.06.18	16.77	17.17	16.45	17.00	9137	12004000	1
2021.06.21	17.00	17.41	16.78	17.29	7292	6790000	1
2021.06.22	17.27	17.30	16.92	17.28	6092	6507000	1
2021.06.23	17.20	17.26	17.00	17.20	4831	5817000	1
2021.06.24	17.28	17.55	17.20	17.46	6690	8517000	1
2021.06.25	17.46	17.57	16.84	16.98	6218	6042500	1
2021.06.28	17.02	17.18	16.72	17.18	4748	6198500	1
2021.06.29	17.17	17.35	16.91	17.23	6774	8955000	1
2021.06.30	17.19	17.31	16.98	17.31	5272	6676000	1
2021.07.01	17.48	17.48	16.94	17.16	6150	8491500	1
2021.07.02	17.17	17.26	17.01	17.20	5694	5940000	1
2021.07.05	17.21	17.36	17.05	17.22	3381	3855000	1
2021.07.06	17.19	17.19	16.90	17.14	4553	3819000	1
2021.07.07	17.20	17.40	16.94	17.25	8245	12075000	1
2021.07.08	17.06	17.62	17.04	17.24	5581	7428500	1
2021.07.12	17.24	17.42	17.07	17.31	4303	4319500	1
2021.07.13	17.26	17.74	17.24	17.61	5320	6435000	1
2021.07.14	17.76	17.93	17.49	17.54	5785	5523000	1
2021.07.15	17.54	17.69	17.25	17.26	3717	3697500	1
2021.07.16	17.35	17.70	17.33	17.49	5201	7958500	1
2021.07.19	17.40	17.62	17.21	17.47	6319	7753500	1
2021.07.20	17.47	17.54	17.27	17.32	4470	3783500	1
2021.07.21	17.33	17.41	17.22	17.41	3827	4020500	1
2021.07.22	17.40	17.50	17.25	17.46	2627	2826500	1
2021.07.23	17.46	17.55	17.37	17.50	4257	4151000	1
2021.07.26	17.57	18.06	17.37	18.04	7053	9943000	1
2021.07.27	17.98	18.15	17.70	17.80	6929	6648000	1
2021.07.28	18.20	18.23	17.23	17.62	10882	14598000	1
2021.07.29	17.60	17.60	17.07	17.44	8156	12604500	1
2021.07.30	17.44	17.55	17.11	17.34	8653	16457500	1
2021.08.02	17.50	17.66	17.16	17.33	7640	8064000	1
2021.08.03	17.50	17.50	17.06	17.34	6097	5437500	1
2021.08.04	17.29	17.66	17.15	17.42	5586	6516500	1
2021.08.05	17.41	17.77	17.28	17.40	7601	13377000	1
2021.08.06	17.45	17.61	17.18	17.56	5538	15423000	1
2021.08.09	17.43	18.21	17.43	18.17	8457	10532000	1
2021.08.10	18.07	18.53	17.94	18.41	8591	10253500	1
2021.08.11	18.44	18.44	18.04	18.05	5950	6247500	1
2021.08.12	17.82	18.09	17.50	17.75	21729	14055600	1
2021.08.13	17.65	18.12	17.34	17.74	18056	5547100	1
2021.08.16	17.69	17.88	17.07	17.25	17948	7798400	1
2021.08.17	16.96	17.20	16.47	16.96	27014	9939100	1
