<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	2.60	2.60	2.51	2.52	16472	20921100	1
2015.01.05	2.50	2.51	2.43	2.45	26455	32591100	1
2015.01.06	2.44	2.48	2.41	2.47	18557	40217400	1
2015.01.07	2.49	2.61	2.49	2.58	18018	23976600	1
2015.01.08	2.62	2.63	2.54	2.55	12941	22266300	1
2015.01.09	2.54	2.56	2.47	2.49	9303	16321800	1
2015.01.12	2.47	2.49	2.39	2.40	21682	37679700	1
2015.01.13	2.40	2.49	2.40	2.41	24403	27457800	1
2015.01.14	2.39	2.46	2.37	2.43	10350	17788800	1
2015.01.15	2.44	2.53	2.44	2.45	19933	29082900	1
2015.01.16	2.46	2.53	2.46	2.52	16551	21580500	1
2015.01.19	2.50	2.53	2.37	2.37	12206	27719400	1
2015.01.20	2.44	2.48	2.41	2.42	25591	53210700	1
2015.01.21	2.44	2.55	2.41	2.53	26436	39081300	1
2015.01.22	2.56	2.66	2.56	2.63	32526	91530000	1
2015.01.23	2.65	2.65	2.57	2.61	16270	23745000	1
2015.01.26	2.56	2.60	2.54	2.58	16599	26727600	1
2015.01.27	2.57	2.64	2.52	2.61	22803	30756600	1
2015.01.28	2.59	2.61	2.52	2.56	17766	24484200	1
2015.01.29	2.56	2.59	2.52	2.59	18444	28712100	1
2015.01.30	2.56	2.56	2.41	2.41	37088	65765400	1
2015.02.02	2.44	2.48	2.42	2.47	18267	24984300	1
2015.02.03	2.51	2.56	2.48	2.56	28288	38468700	1
2015.02.04	2.56	2.62	2.49	2.60	30693	37083000	1
2015.02.05	2.57	2.61	2.55	2.56	16385	34137900	1
2015.02.06	2.53	2.56	2.44	2.51	29662	34669800	1
2015.02.09	2.50	2.52	2.48	2.50	21187	23247900	1
2015.02.10	2.49	2.54	2.47	2.47	18679	19545600	1
2015.02.11	2.47	2.47	2.35	2.37	33333	87990000	1
2015.02.12	2.41	2.47	2.41	2.45	22202	30129600	1
2015.02.13	2.47	2.50	2.46	2.48	15172	25245900	1
2015.02.18	2.50	2.59	2.50	2.56	23325	48026700	1
2015.02.19	2.55	2.62	2.54	2.57	10193	21646800	1
2015.02.20	2.57	2.59	2.54	2.57	13547	22741200	1
2015.02.23	2.54	2.59	2.52	2.56	16291	17336400	1
2015.02.24	2.56	2.64	2.52	2.64	20804	26863500	1
2015.02.25	2.59	2.63	2.57	2.63	22878	22696200	1
2015.02.26	2.63	2.66	2.59	2.65	18272	32690400	1
2015.02.27	2.65	2.71	2.64	2.66	22572	47837100	1
2015.03.02	2.65	2.68	2.54	2.57	16484	40668000	1
2015.03.03	2.57	2.65	2.55	2.62	24966	30645300	1
2015.03.04	2.57	2.63	2.56	2.62	12053	28857000	1
2015.03.05	2.64	2.65	2.53	2.58	20142	17530200	1
2015.03.06	2.57	2.59	2.51	2.58	17526	31006200	1
2015.03.09	2.55	2.57	2.50	2.57	24608	30182100	1
2015.03.10	2.53	2.58	2.53	2.53	19332	28080600	1
2015.03.11	2.53	2.59	2.52	2.59	28842	41917200	1
2015.03.12	2.62	2.63	2.55	2.57	21255	45702300	1
2015.03.13	2.51	2.58	2.48	2.56	27013	52591800	1
2015.03.16	2.57	2.65	2.57	2.64	29099	47706900	1
2015.03.17	2.64	2.86	2.63	2.85	43729	108097200	1
2015.03.18	2.85	3.02	2.85	2.97	56762	140139900	1
2015.03.19	2.96	2.98	2.91	2.93	23746	55605900	1
2015.03.20	2.98	3.09	2.98	3.03	36141	69915600	1
2015.03.23	3.04	3.06	2.92	2.98	30459	125767200	1
2015.03.24	2.97	2.99	2.85	2.90	36860	58471500	1
2015.03.25	2.91	2.96	2.87	2.88	27752	44370900	1
2015.03.26	2.85	2.95	2.83	2.95	29692	57615600	1
2015.03.27	2.91	3.02	2.89	2.95	22322	35188500	1
2015.03.30	2.99	3.05	2.97	3.01	15854	27026400	1
2015.03.31	2.99	3.04	2.94	2.96	18153	34219200	1
2015.04.01	3.01	3.13	3.00	3.10	29074	68411100	1
2015.04.02	3.14	3.20	3.08	3.18	23497	82730400	1
2015.04.06	3.17	3.22	3.12	3.16	25591	61806600	1
2015.04.07	3.16	3.18	3.08	3.09	21171	32943900	1
2015.04.08	3.14	3.20	3.12	3.17	23573	88138800	1
2015.04.09	3.14	3.20	3.14	3.18	17712	40676400	1
2015.04.10	3.18	3.22	3.17	3.21	17622	65972400	1
2015.04.13	3.19	3.24	3.18	3.23	13030	27511800	1
2015.04.14	3.23	3.23	3.18	3.19	13707	24967800	1
2015.04.15	3.22	3.29	3.20	3.29	22685	37542600	1
2015.04.16	3.29	3.29	3.25	3.28	25228	43832700	1
2015.04.17	3.24	3.27	3.22	3.25	14149	31346400	1
2015.04.20	3.24	3.24	3.20	3.24	10852	40921200	1
2015.04.22	3.23	3.27	3.23	3.26	16377	26940300	1
2015.04.23	3.25	3.33	3.22	3.33	19384	34688100	1
2015.04.24	3.34	3.44	3.30	3.41	20335	37977600	1
2015.04.27	3.39	3.47	3.30	3.39	21654	53248800	1
2015.04.28	3.41	3.43	3.29	3.33	18653	74975700	1
2015.04.29	3.29	3.35	3.27	3.31	23526	57144300	1
2015.04.30	3.28	3.33	3.27	3.32	21981	43708500	1
2015.05.04	3.37	3.44	3.33	3.42	25539	43503300	1
2015.05.05	3.40	3.47	3.40	3.42	18898	19990800	1
2015.05.06	3.41	3.44	3.37	3.41	19890	18074400	1
2015.05.07	3.38	3.43	3.29	3.32	16945	26646600	1
2015.05.08	3.35	3.39	3.30	3.35	12203	20689200	1
2015.05.11	3.40	3.41	3.34	3.37	13133	16420500	1
2015.05.12	3.34	3.35	3.27	3.28	27126	34358700	1
2015.05.13	3.26	3.32	3.21	3.21	25686	31090200	1
2015.05.14	3.23	3.26	3.18	3.23	18465	22143900	1
2015.05.15	3.23	3.34	3.23	3.30	19047	27552300	1
2015.05.18	3.31	3.34	3.26	3.30	16453	36049200	1
2015.05.19	3.33	3.34	3.27	3.34	9675	18109200	1
