<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	11.22	11.77	11.22	11.40	5826	2568525	1
2015.01.05	11.17	11.51	11.08	11.26	6392	2257876	1
2015.01.06	11.28	11.56	11.17	11.56	3722	1428241	1
2015.01.07	11.64	12.18	11.47	12.07	4402	1461624	1
2015.01.08	12.01	12.24	11.84	12.10	2169	686892	1
2015.01.09	12.08	12.13	11.54	11.67	3438	1035604	1
2015.01.12	11.54	11.71	11.38	11.48	2541	4366416	1
2015.01.13	11.44	11.77	11.36	11.36	3615	1107052	1
2015.01.14	11.31	11.76	11.24	11.49	3325	991101	1
2015.01.15	11.49	11.86	11.41	11.41	3009	1343044	1
2015.01.16	11.40	11.60	11.36	11.44	4105	1110846	1
2015.01.19	11.29	11.51	11.02	11.14	3153	849092	1
2015.01.20	11.36	11.38	11.05	11.05	2674	756142	1
2015.01.21	11.18	11.62	11.05	11.56	4283	1337040	1
2015.01.22	11.76	11.94	11.44	11.53	3127	1282580	1
2015.01.23	11.38	11.61	11.30	11.42	2566	788647	1
2015.01.26	11.21	11.59	11.21	11.55	3673	1272192	1
2015.01.27	11.35	11.68	11.23	11.68	7065	1885887	1
2015.01.28	11.50	11.70	11.33	11.33	3467	1035473	1
2015.01.29	11.43	11.60	11.14	11.33	4255	1939612	1
2015.01.30	11.03	11.23	10.97	11.18	6230	2437494	1
2015.02.02	11.34	11.48	11.02	11.46	3403	1081427	1
2015.02.03	11.82	11.82	11.58	11.65	3849	1321662	1
2015.02.04	11.75	11.97	11.54	11.78	4000	1334694	1
2015.02.05	11.65	11.84	11.63	11.73	3075	1091394	1
2015.02.06	11.59	11.79	11.45	11.75	3434	980124	1
2015.02.09	11.75	11.78	11.63	11.74	2861	2343802	1
2015.02.10	11.65	11.86	11.56	11.56	3416	1286971	1
2015.02.11	11.48	11.61	11.33	11.42	3787	1249056	1
2015.02.12	11.56	11.92	11.56	11.92	3372	1249055	1
2015.02.13	11.78	12.18	11.72	12.09	2468	1072491	1
2015.02.18	12.37	12.44	12.07	12.22	5562	2013242	1
2015.02.19	12.21	12.42	12.09	12.21	1301	419272	1
2015.02.20	12.27	12.27	12.04	12.15	1374	591723	1
2015.02.23	11.99	12.36	11.98	12.27	2125	621758	1
2015.02.24	12.37	12.47	12.16	12.47	3094	912051	1
2015.02.25	12.30	12.67	12.24	12.67	2781	843111	1
2015.02.26	12.73	12.73	12.39	12.51	3073	1002517	1
2015.02.27	12.57	12.97	12.49	12.52	5699	1983536	1
2015.03.02	12.52	12.63	12.14	12.25	4466	1540388	1
2015.03.03	12.30	12.32	12.13	12.28	2869	741363	1
2015.03.04	12.08	12.32	12.08	12.17	4269	1365437	1
2015.03.05	12.23	12.29	12.00	12.08	2148	745887	1
2015.03.06	12.07	12.15	11.79	11.92	3762	1339817	1
2015.03.09	11.78	11.82	11.67	11.77	5341	2244399	1
2015.03.10	11.49	11.81	11.49	11.52	6147	2450975	1
2015.03.11	11.65	11.82	11.54	11.76	4322	1519303	1
2015.03.12	12.02	12.04	11.40	11.49	4138	1271898	1
2015.03.13	11.16	11.47	11.16	11.36	4863	1261506	1
2015.03.16	11.37	11.55	11.37	11.44	3283	961095	1
2015.03.17	11.51	12.04	11.45	11.94	4064	2467807	1
2015.03.18	11.97	12.59	11.82	12.54	6797	1686198	1
2015.03.19	12.53	12.53	12.13	12.31	1794	558940	1
2015.03.20	12.53	12.68	12.40	12.46	5782	2585503	1
2015.03.23	12.41	12.67	12.41	12.43	2036	645605	1
2015.03.24	12.45	12.67	12.25	12.40	2886	746185	1
2015.03.25	12.51	12.54	12.30	12.41	3454	1485765	1
2015.03.26	12.31	12.39	11.98	12.10	3459	1530414	1
2015.03.27	12.04	12.16	11.60	11.65	5560	3069104	1
2015.03.30	11.73	11.93	11.60	11.87	4434	1536748	1
2015.03.31	11.74	12.24	11.74	12.13	5214	1793727	1
2015.04.01	12.30	12.72	12.25	12.54	6914	1603351	1
2015.04.02	12.58	12.89	12.58	12.81	4945	1290577	1
2015.04.06	13.05	13.05	12.68	12.82	4526	1256925	1
2015.04.07	12.80	12.92	12.65	12.73	2905	706968	1
2015.04.08	12.94	13.04	12.83	12.84	6793	1485834	1
2015.04.09	12.74	12.84	12.43	12.57	4979	1172464	1
2015.04.10	12.44	12.73	12.42	12.67	3127	876515	1
2015.04.13	12.64	12.84	12.52	12.65	2898	1097387	1
2015.04.14	12.79	12.79	12.41	12.52	6034	1733642	1
2015.04.15	12.61	12.62	12.41	12.57	6839	1984482	1
2015.04.16	12.56	12.56	12.40	12.55	2627	947095	1
2015.04.17	12.39	12.48	12.18	12.20	2867	982564	1
2015.04.20	12.22	12.33	11.96	12.14	2456	694417	1
2015.04.22	12.20	12.49	12.12	12.43	3530	1081778	1
2015.04.23	12.37	12.55	12.23	12.47	7304	2798835	1
2015.04.24	12.53	12.67	12.41	12.43	9177	2325527	1
2015.04.27	12.42	12.59	12.30	12.30	4308	1706583	1
2015.04.28	12.53	12.53	12.08	12.18	10868	3709464	1
2015.04.29	12.26	12.26	11.93	12.12	5902	2307848	1
2015.04.30	12.01	12.26	11.93	12.10	6299	1784582	1
2015.05.04	12.15	12.40	12.02	12.02	5399	2421951	1
2015.05.05	12.02	12.27	11.90	12.20	3919	1094941	1
2015.05.06	12.06	12.27	11.84	12.02	4723	1553974	1
2015.05.07	11.91	12.06	11.85	12.06	3318	1003025	1
2015.05.08	12.21	12.21	11.87	11.94	3540	770353	1
2015.05.11	12.05	12.07	11.85	11.91	3043	1336405	1
2015.05.12	11.84	11.97	11.72	11.80	3854	724286	1
2015.05.13	11.73	11.84	11.57	11.64	3115	862141	1
2015.05.14	11.69	11.94	11.61	11.94	4159	1118954	1
2015.05.15	11.95	12.03	11.81	12.02	4504	961717	1
2015.05.18	12.02	12.03	11.67	11.79	4232	1456839	1
