<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	19.32	19.35	18.14	18.48	12884	3304700	1
2015.01.05	18.40	18.44	17.58	17.90	14568	3930000	1
2015.01.06	17.86	18.60	17.83	18.60	11131	4696200	1
2015.01.07	18.70	18.80	18.09	18.38	16272	7293300	1
2015.01.08	18.56	18.56	17.92	18.29	10255	5608900	1
2015.01.09	18.13	18.29	17.59	17.77	14124	4777700	1
2015.01.12	17.68	18.28	17.52	18.20	13369	6896900	1
2015.01.13	18.11	18.42	17.76	17.76	10833	4660400	1
2015.01.14	17.60	17.78	17.20	17.26	19245	6394600	1
2015.01.15	17.35	17.87	17.35	17.68	15058	6291100	1
2015.01.16	17.59	18.53	17.59	18.35	14512	3764500	1
2015.01.19	18.26	18.42	17.89	18.02	8643	3276500	1
2015.01.20	18.29	18.31	17.63	17.63	7897	2437100	1
2015.01.21	17.74	18.62	17.74	18.52	12440	3965600	1
2015.01.22	18.53	18.80	17.86	18.41	10954	4581800	1
2015.01.23	18.17	18.35	18.05	18.35	6241	3500600	1
2015.01.26	18.08	18.42	17.96	18.27	8504	4154500	1
2015.01.27	18.08	18.26	17.51	17.96	9473	3418700	1
2015.01.28	17.71	17.82	17.46	17.59	14662	5097700	1
2015.01.29	17.50	17.94	17.29	17.89	12909	3714600	1
2015.01.30	17.56	17.89	17.35	17.83	19508	6019700	1
2015.02.02	18.08	18.37	18.01	18.20	13758	3819300	1
2015.02.03	18.43	18.46	18.18	18.36	10065	5377800	1
2015.02.04	18.36	18.48	17.76	18.29	12496	4344900	1
2015.02.05	18.04	18.67	18.04	18.20	13266	4287300	1
2015.02.06	18.09	18.31	17.51	17.89	22129	8463000	1
2015.02.09	17.72	18.26	17.54	18.22	17618	5037100	1
2015.02.10	18.50	18.61	17.60	17.78	16385	12945800	1
2015.02.11	17.78	18.05	17.20	17.82	17963	13927400	1
2015.02.12	17.89	18.50	17.87	18.27	13031	6647500	1
2015.02.13	18.51	18.65	18.30	18.65	8897	5342000	1
2015.02.18	18.70	19.11	18.68	18.94	12865	3660100	1
2015.02.19	18.88	19.92	18.86	19.77	16446	7596400	1
2015.02.20	19.57	19.86	19.41	19.77	9462	2849200	1
2015.02.23	19.65	19.94	19.49	19.94	11509	4010200	1
2015.02.24	19.91	20.64	19.68	20.36	19996	6372600	1
2015.02.25	20.08	20.61	20.08	20.56	16937	6143500	1
2015.02.26	20.43	20.69	20.29	20.60	14941	3244600	1
2015.02.27	20.49	20.75	19.95	20.19	14048	4186900	1
2015.03.02	20.00	20.44	19.95	20.35	11686	2770600	1
2015.03.03	20.38	20.54	20.20	20.41	14357	9510300	1
2015.03.04	20.07	20.13	19.58	19.75	12644	3474500	1
2015.03.05	19.79	19.98	19.41	19.76	8928	2882000	1
