<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	8.75	8.80	8.38	8.38	934	252700	1
2015.01.05	8.37	8.37	7.96	8.05	1756	659700	1
2015.01.06	8.05	8.07	7.86	7.88	2108	884200	1
2015.01.07	7.91	8.47	7.87	8.36	2992	854000	1
2015.01.08	8.21	8.39	8.18	8.31	2226	792400	1
2015.01.09	8.26	8.35	8.11	8.21	2048	599900	1
2015.01.12	8.14	8.23	7.93	7.96	1632	468400	1
2015.01.13	8.00	8.36	7.90	8.12	1197	331800	1
2015.01.14	8.00	8.24	7.99	8.12	1913	561900	1
2015.01.15	8.16	8.66	8.03	8.53	2492	1005400	1
2015.01.16	8.65	8.67	8.29	8.62	2022	560200	1
2015.01.19	8.66	8.66	8.14	8.14	653	183400	1
2015.01.20	8.14	8.27	7.91	7.92	3817	1082900	1
2015.01.21	7.97	8.09	7.84	8.09	1770	498300	1
2015.01.22	8.21	8.40	7.80	7.96	3631	1125500	1
2015.01.23	7.88	7.93	7.70	7.83	1756	489500	1
2015.01.26	7.84	7.84	7.51	7.74	1927	403700	1
2015.01.27	7.72	7.76	7.26	7.69	8647	1974800	1
2015.01.28	7.66	7.66	7.44	7.53	3212	676500	1
2015.01.29	7.58	7.74	7.51	7.62	1427	380300	1
2015.01.30	7.62	7.66	7.45	7.63	1835	740200	1
2015.02.02	7.69	7.81	7.47	7.60	826	420700	1
2015.02.03	7.64	7.64	7.27	7.34	3079	942700	1
2015.02.04	7.36	7.56	7.27	7.56	3362	579500	1
2015.02.05	7.62	7.62	7.38	7.46	1289	404100	1
2015.02.06	7.38	7.46	7.34	7.43	1146	301200	1
2015.02.09	7.40	7.53	7.34	7.52	1217	284000	1
2015.02.10	7.52	7.68	7.28	7.30	2208	614600	1
2015.02.11	7.32	7.32	7.00	7.07	2837	1142500	1
2015.02.12	7.10	7.15	6.78	6.96	3598	927200	1
2015.02.13	6.92	7.16	6.83	7.16	3398	1171900	1
2015.02.18	7.22	7.45	7.07	7.35	2346	749100	1
2015.02.19	7.42	7.68	7.22	7.54	1850	642400	1
2015.02.20	7.56	7.61	7.38	7.61	1039	294100	1
2015.02.23	7.78	7.93	7.71	7.89	2842	793100	1
