<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.30	28.15	28.48	24.51	24.51	5393	3864600	1
2018.05.02	24.51	24.80	24.26	24.76	688	765900	1
2018.05.03	24.81	25.15	24.76	25.07	264	339600	1
2018.05.04	24.80	24.80	22.32	23.56	1996	1626600	1
2018.05.07	23.56	24.16	23.56	24.08	673	1060200	1
2018.05.08	24.18	24.67	24.11	24.54	485	1501200	1
2018.05.09	24.66	24.67	24.51	24.51	187	143400	1
2018.05.10	24.51	24.66	22.85	24.66	723	556500	1
2019.07.19	14.37	14.54	13.81	14.14	3461	2790900	1
2019.07.22	14.38	14.68	13.68	14.31	2564	1839000	1
2019.07.23	14.22	14.22	13.71	14.11	2685	1698900	1
2019.07.24	14.06	14.32	13.81	14.18	2133	1559100	1
2019.07.25	14.21	14.24	13.90	14.07	2434	1203600	1
2019.07.26	14.16	14.24	13.84	13.91	3388	2838600	1
2019.07.29	13.91	14.00	13.34	13.36	1412	5694300	1
2019.07.30	16.23	16.23	15.30	15.70	8929	8268600	1
2019.07.31	15.77	18.28	15.77	16.76	10480	7497600	1
2019.08.01	18.05	18.81	17.63	18.21	12425	8088600	1
2019.08.02	18.39	19.21	17.27	17.95	8183	6162600	1
2019.08.05	17.45	17.70	17.15	17.32	2221	2202300	1
2019.08.06	17.58	17.88	17.15	17.37	2059	4036200	1
2019.08.07	17.45	17.87	17.03	17.87	2168	3126300	1
2019.08.08	17.82	19.30	17.73	18.88	3340	4684200	1
2019.08.09	19.21	20.04	19.05	19.87	4351	6472500	1
2019.08.12	19.87	20.96	19.80	20.17	6307	7341600	1
2019.08.13	20.54	21.98	20.08	21.98	5146	8019000	1
2019.08.14	22.05	23.91	21.71	23.45	6862	5541900	1
2019.08.15	23.83	24.51	19.70	20.70	8501	6679800	1
2019.08.16	21.53	21.86	16.92	19.77	10820	9779700	1
2019.08.19	20.23	20.52	18.00	18.21	5240	4362900	1
