<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.15	11.80	12.34	11.67	12.25	32925	49278500	1
2017.12.18	12.36	12.46	12.03	12.29	10646	7464200	1
2017.12.19	12.29	12.44	12.02	12.21	6867	4742200	1
2017.12.20	12.22	12.62	12.22	12.52	14536	4956300	1
2017.12.21	12.49	13.19	12.49	12.71	12507	15236900	1
2017.12.22	12.67	13.01	12.59	12.78	7466	2934200	1
2017.12.26	12.80	12.94	12.43	12.80	3453	1084300	1
2017.12.27	12.78	12.82	12.73	12.82	2792	553900	1
2017.12.28	12.82	13.09	12.76	13.09	2201	1838200	1
2018.01.02	13.01	13.35	12.82	13.19	6283	3689600	1
2018.01.03	13.11	13.36	13.05	13.24	10926	7242200	1
2018.01.04	13.21	13.34	13.09	13.17	6376	1458600	1
2018.01.05	13.15	13.40	13.08	13.40	5176	3257800	1
2018.01.08	13.34	13.37	13.11	13.32	3615	3398500	1
2018.01.09	13.32	13.32	13.14	13.32	5685	3093400	1
2018.01.10	13.30	13.36	13.06	13.21	7328	5538800	1
2018.01.11	13.24	13.31	13.08	13.13	2339	1076200	1
2018.01.12	13.01	13.20	12.69	13.07	5197	2609200	1
2018.01.15	13.23	13.45	13.10	13.45	2549	608900	1
2018.01.16	13.50	13.67	13.35	13.46	6662	4828100	1
2018.01.17	13.46	13.59	13.25	13.59	3716	3530100	1
2018.01.18	13.59	13.70	13.46	13.70	5364	1925400	1
2018.01.19	13.63	13.70	13.50	13.70	2330	1528500	1
2018.01.22	13.63	13.70	13.47	13.50	1394	981600	1
2018.01.23	13.78	13.93	13.67	13.80	5935	4985800	1
2018.01.24	13.89	15.08	13.86	14.62	6105	3397300	1
2018.01.26	14.78	15.16	14.65	15.04	10272	6020100	1
2018.01.29	15.00	15.46	14.89	15.39	8800	8861300	1
2018.01.30	15.43	15.62	15.28	15.39	5100	3436400	1
2018.01.31	15.52	16.16	15.50	16.08	13211	7566200	1
2018.02.01	16.31	16.84	16.31	16.57	6374	2905600	1
2018.02.02	16.39	16.56	16.28	16.44	3599	1789300	1
2018.02.05	16.40	16.40	15.82	15.82	4965	2430100	1
2018.02.06	15.46	15.96	15.18	15.91	3152	1824000	1
2018.02.07	15.92	16.27	15.56	15.86	4644	2391300	1
2018.02.08	15.93	16.30	15.84	16.30	4861	4325800	1
2018.02.09	16.29	16.29	15.78	15.85	6694	4318900	1
