<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	9.87	9.94	9.22	9.28	8864	2824602	1
2015.01.05	9.06	9.28	9.03	9.18	8856	3446001	1
2015.01.06	9.20	9.36	9.12	9.35	11826	5471212	1
2015.01.07	9.59	9.99	9.38	9.66	8596	4435454	1
2015.01.08	9.83	9.84	9.49	9.71	6454	3261065	1
2015.01.09	9.66	9.81	9.38	9.64	5285	2248904	1
2015.01.12	9.68	9.68	9.39	9.46	7711	2837376	1
2015.01.13	9.44	9.58	9.34	9.39	8553	4231429	1
2015.01.14	9.28	9.73	9.23	9.58	5178	2635914	1
2015.01.15	9.53	10.16	9.53	9.80	8638	4498902	1
2015.01.16	9.86	10.40	9.76	10.27	8418	4465226	1
2015.01.19	10.17	10.24	9.64	9.64	6522	2582548	1
2015.01.20	9.73	10.34	9.73	10.26	11180	5156531	1
2015.01.21	10.31	10.51	10.20	10.39	9275	4247965	1
2015.01.22	10.39	10.64	10.05	10.23	11219	7718032	1
2015.01.23	10.15	10.36	10.09	10.22	7039	3724752	1
2015.01.26	10.03	10.12	9.68	9.90	10145	4177000	1
2015.01.27	9.81	9.99	9.66	9.80	10720	3821728	1
2015.01.28	9.79	9.79	9.56	9.60	6171	5551190	1
2015.01.29	9.58	9.64	9.35	9.40	8490	3797664	1
2015.01.30	9.22	9.34	8.83	9.17	14869	5878050	1
2015.02.02	9.35	9.38	8.98	9.12	9580	3687464	1
2015.02.03	9.34	9.38	9.04	9.19	10133	3600416	1
2015.02.04	9.22	9.33	8.83	8.88	7280	5396494	1
2015.02.05	8.84	9.34	8.84	9.31	9804	6077121	1
2015.02.06	9.23	9.23	8.93	9.03	6686	3250551	1
2015.02.09	9.02	9.20	8.87	9.14	5429	2939307	1
2015.02.10	9.03	9.24	9.00	9.05	8070	3344066	1
2015.02.11	8.94	9.07	8.88	8.97	8044	4001247	1
2015.02.12	9.06	9.43	8.92	9.40	5827	3040955	1
2015.02.13	9.25	9.59	9.24	9.52	5185	2504056	1
2015.02.18	9.63	9.69	9.41	9.45	6367	3144853	1
2015.02.19	9.43	9.53	9.40	9.43	3150	1735610	1
2015.02.20	9.41	9.55	9.28	9.52	3741	1785526	1
2015.02.23	9.31	9.73	9.31	9.55	5124	2418658	1
2015.02.24	9.63	10.00	9.55	10.00	7401	4593161	1
