<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	7.52	7.54	7.16	7.31	10084	3710400	1
2015.01.05	7.14	7.42	7.12	7.12	12682	3869500	1
2015.01.06	7.16	7.27	7.01	7.06	9963	3081100	1
2015.01.07	7.14	7.18	7.02	7.11	13057	3177300	1
2015.01.08	7.17	7.30	7.00	7.00	12429	4074600	1
2015.01.09	7.00	7.00	6.69	6.76	12958	5408600	1
2015.01.12	6.70	6.71	6.50	6.54	13243	3842600	1
2015.01.13	6.60	6.74	6.56	6.63	8296	2477600	1
2015.01.14	6.55	6.72	6.48	6.66	13726	4557600	1
2015.01.15	6.68	7.00	6.54	6.79	22990	4723400	1
2015.01.16	6.79	7.20	6.74	7.08	12879	4736900	1
2015.01.19	7.10	7.10	6.63	6.63	6035	2232900	1
2015.01.20	6.86	6.86	6.60	6.68	10521	3896400	1
2015.01.21	6.74	6.83	6.55	6.72	11941	3612500	1
2015.01.22	6.68	6.95	6.65	6.75	7558	5465300	1
2015.01.23	6.68	6.75	6.50	6.52	8656	3124300	1
2015.01.26	6.41	6.54	6.31	6.43	11010	3885700	1
2015.01.27	6.43	6.60	6.26	6.55	10542	3408700	1
2015.01.28	6.43	6.74	6.39	6.74	10592	4176100	1
2015.01.29	6.68	7.08	6.56	7.08	10658	5047100	1
2015.01.30	6.91	6.91	6.66	6.80	13869	4251600	1
2015.02.02	6.86	7.20	6.72	7.13	10353	3308500	1
2015.02.03	7.22	7.30	6.96	6.99	9778	3231500	1
2015.02.04	7.03	7.11	6.80	6.91	7114	2766100	1
2015.02.05	6.84	6.98	6.76	6.78	8351	2537400	1
2015.02.06	6.74	6.87	6.43	6.55	10502	3328400	1
2015.02.09	6.54	6.71	6.43	6.59	5932	1550100	1
2015.02.10	6.50	6.66	6.40	6.40	8678	2772300	1
2015.02.11	6.43	6.55	6.37	6.45	5891	1657500	1
2015.02.12	6.55	6.74	6.44	6.74	15102	5491500	1
2015.02.13	6.58	6.94	6.58	6.83	11280	3838300	1
2015.02.18	6.95	7.12	6.88	7.08	8355	3286400	1
2015.02.19	7.06	7.10	6.96	7.04	5518	1533400	1
2015.02.20	7.07	7.07	6.88	6.95	4894	1975300	1
2015.02.23	6.89	7.09	6.88	7.03	7608	2230700	1
2015.02.24	6.98	7.19	6.98	7.06	9000	2770800	1
2015.02.25	6.96	7.18	6.91	7.11	6105	1876200	1
2015.02.26	7.16	7.46	7.00	7.46	7900	2779800	1
2015.02.27	7.43	7.51	7.33	7.42	15096	5092100	1
2015.03.02	7.46	7.48	7.16	7.17	9476	2714700	1
2015.03.03	7.17	7.26	6.92	7.00	11613	2878100	1
2015.03.04	6.93	7.03	6.82	6.82	11233	3855900	1
2015.03.05	6.87	7.06	6.86	7.03	9565	2707300	1
2015.03.06	7.06	7.12	6.88	7.06	8228	2584400	1
2015.03.09	6.93	7.07	6.66	6.66	11730	4342300	1
2015.03.10	6.59	7.00	6.59	6.73	12457	3386100	1
2015.03.11	6.82	6.82	6.58	6.77	5973	2805100	1
2015.03.12	6.90	6.97	6.74	6.94	13102	4560200	1
2015.03.13	6.72	6.82	6.65	6.71	12978	3642200	1
2015.03.16	6.80	6.84	6.59	6.59	7110	2031600	1
2015.03.17	6.59	6.81	6.52	6.76	10766	3763800	1
2015.03.18	6.79	6.95	6.67	6.90	9443	4302000	1
2015.03.19	6.88	6.90	6.74	6.77	9519	2477700	1
2015.03.20	6.88	7.24	6.78	7.15	12864	5928100	1
2015.03.23	7.24	7.47	7.19	7.43	8836	2698200	1
2015.03.24	7.43	7.62	7.38	7.48	12488	3693200	1
2015.03.25	7.60	7.64	7.44	7.44	11926	3481400	1
2015.03.26	7.44	7.44	7.15	7.23	10678	5206100	1
2015.03.27	7.23	7.39	7.14	7.30	16160	4610600	1
2015.03.30	7.29	7.49	7.24	7.40	7219	2204900	1
2015.03.31	7.32	7.54	7.31	7.32	8501	2343900	1
2015.04.01	7.42	7.81	7.36	7.62	13795	4661000	1
2015.04.02	7.63	7.98	7.63	7.91	13849	3899500	1
2015.04.06	7.99	8.20	7.90	8.02	10497	4014900	1
2015.04.07	8.08	8.11	7.78	7.97	10446	3082000	1
2015.04.08	8.08	8.10	7.74	7.74	10568	3248200	1
2015.04.09	7.74	7.96	7.74	7.95	13309	3771800	1
2015.04.10	7.95	8.00	7.83	7.93	6741	1792700	1
