<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	13.64	13.71	12.82	13.13	32063	16594500	1
2015.01.05	12.86	13.00	12.19	12.29	38218	26832300	1
2015.01.06	12.29	12.43	10.96	11.22	41854	39212100	1
2015.01.07	11.42	11.51	10.59	11.23	78266	51498700	1
2015.01.08	11.31	12.19	11.23	12.03	51835	35122300	1
2015.01.09	11.98	11.98	11.55	11.83	34580	31597800	1
2015.01.12	11.72	11.75	10.84	10.84	42472	32304200	1
2015.01.13	10.91	11.75	10.58	11.53	49998	44507300	1
2015.01.14	11.40	11.63	11.19	11.42	36726	28675700	1
2015.01.15	11.49	11.49	10.83	11.27	48603	38840700	1
2015.01.16	11.19	12.14	11.19	11.88	34523	19681000	1
2015.01.19	11.71	11.82	11.42	11.66	13741	8945600	1
2015.01.20	11.80	12.02	11.38	11.64	19806	14629500	1
2015.01.21	11.70	12.15	11.49	12.10	28943	19708000	1
2015.01.22	11.44	11.69	10.58	11.27	54977	47408900	1
2015.01.23	11.35	11.59	10.96	11.26	25470	18470000	1
2015.01.26	11.09	11.68	10.94	11.57	25466	20888000	1
2015.01.27	11.45	11.75	11.30	11.66	21050	19844400	1
2015.01.28	11.57	11.59	11.03	11.09	22816	19976900	1
2015.01.29	11.10	11.45	10.86	11.40	18635	17723400	1
2015.01.30	11.27	11.30	10.76	10.91	21084	29232500	1
2015.02.02	10.91	11.14	10.62	10.84	22004	12655200	1
2015.02.03	10.96	10.96	9.63	10.47	33828	39421600	1
2015.02.04	10.47	10.79	9.94	10.27	27343	28474300	1
2015.02.05	10.29	10.65	10.05	10.16	20718	32913100	1
2015.02.06	10.05	10.17	8.98	9.09	38537	54135400	1
2015.02.09	8.95	9.69	8.81	9.49	26279	15849900	1
2015.02.10	9.54	9.83	9.13	9.14	23998	32464100	1
2015.02.11	8.80	9.02	8.46	8.52	44949	52201600	1
2015.02.12	9.23	10.14	8.92	9.75	40216	30992100	1
2015.02.13	10.02	10.05	9.35	9.49	34403	32288700	1
2015.02.18	9.54	10.09	9.24	9.71	29732	11280500	1
2015.02.19	9.69	10.64	9.65	10.61	21389	22770800	1
2015.02.20	10.69	10.74	10.22	10.29	25968	15423700	1
2015.02.23	11.44	11.44	10.86	10.89	35338	34244700	1
2015.02.24	11.04	11.40	10.89	11.20	28327	15794600	1
2015.02.25	11.12	11.39	10.99	11.33	23808	11920800	1
2015.02.26	11.44	11.44	10.07	10.21	42368	42066500	1
2015.02.27	9.49	9.79	8.92	9.22	48182	55896000	1
2015.03.02	9.04	9.46	8.82	9.15	17659	15499500	1
2015.03.03	9.15	9.35	8.90	8.91	28547	19121300	1
2015.03.04	8.84	9.08	8.62	8.69	25493	18631000	1
2015.03.05	8.87	8.90	8.59	8.68	18850	10866000	1
2015.03.06	8.66	9.00	8.64	8.86	14887	10623000	1
2015.03.09	8.76	8.99	8.50	8.67	18662	11206800	1
2015.03.10	8.53	8.68	8.25	8.25	24210	27976800	1
2015.03.11	8.31	8.61	8.20	8.44	18539	26385000	1
2015.03.12	8.52	9.03	8.46	8.91	27653	16902200	1
2015.03.13	8.84	9.01	8.79	8.97	24522	10772500	1
2015.03.16	9.18	9.28	8.84	9.08	25967	11898500	1
2015.03.17	8.94	9.40	8.90	9.26	28367	12797700	1
2015.03.18	9.12	9.91	9.12	9.76	36671	17456900	1
2015.03.19	10.02	10.21	9.03	9.14	27367	22319900	1
2015.03.20	9.36	9.64	9.03	9.31	23354	15539800	1
2015.03.23	9.39	9.66	9.23	9.62	20719	11744800	1
2015.03.24	9.66	9.66	9.40	9.63	13657	17610400	1
2015.03.25	9.63	9.87	9.57	9.58	13561	7865000	1
2015.03.26	9.46	9.46	8.95	8.99	26066	13345000	1
2015.03.27	8.92	9.26	8.74	8.76	19384	9265500	1
2015.03.30	8.84	9.16	8.82	9.11	19155	7994700	1
2015.03.31	8.99	9.27	8.95	9.13	23278	11377400	1
2015.04.01	9.25	9.40	9.17	9.40	22947	7852600	1
2015.04.02	9.42	9.76	9.42	9.70	15543	5069200	1
2015.04.06	9.76	10.17	9.75	10.16	17720	5990200	1
2015.04.07	10.18	10.25	9.87	10.16	13825	9042300	1
2015.04.08	10.35	10.55	10.26	10.48	19906	26209400	1
2015.04.09	10.47	10.96	10.38	10.64	23197	22444200	1
2015.04.10	10.78	10.80	10.57	10.64	15236	9798300	1
2015.04.13	10.49	10.63	10.13	10.13	20661	10235000	1
2015.04.14	10.28	10.33	9.62	9.62	20855	12074400	1
2015.04.15	9.68	9.85	9.39	9.46	29492	12683700	1
2015.04.16	9.45	9.58	9.31	9.31	14913	15170600	1
2015.04.17	9.32	9.45	9.02	9.09	17059	25514700	1
2015.04.20	9.15	9.39	9.05	9.38	14211	10505500	1
2015.04.22	9.42	9.50	9.27	9.31	20014	8943800	1
2015.04.23	9.32	10.09	9.19	9.89	17878	8594500	1
2015.04.24	9.98	10.48	9.95	10.43	14460	10037600	1
2015.04.27	10.43	10.54	9.60	9.83	20024	14118700	1
2015.04.28	9.94	10.37	9.79	10.30	46857	17093500	1
2015.04.29	10.13	10.35	9.86	9.89	14358	13628300	1
2015.04.30	9.87	10.06	9.68	9.76	16648	23412900	1
2015.05.04	9.85	10.00	9.80	9.85	17012	8831200	1
2015.05.05	9.62	9.76	9.23	9.40	16781	15931400	1
2015.05.06	9.42	9.51	9.23	9.32	15723	24171500	1
2015.05.07	9.24	9.70	9.24	9.54	15869	12069000	1
2015.05.08	9.68	9.96	9.65	9.84	18577	21565100	1
2015.05.11	9.94	10.05	9.46	9.54	24100	15677400	1
2015.05.12	9.66	10.42	9.63	10.35	32144	29247500	1
2015.05.13	10.42	10.67	9.92	10.09	23564	11654900	1
2015.05.14	10.00	10.63	10.00	10.56	16861	10465000	1
2015.05.15	10.57	11.04	10.42	11.04	15195	13944800	1
2015.05.18	11.15	11.15	10.47	10.73	19185	29011600	1
2015.05.19	10.83	10.83	10.40	10.54	14768	11609000	1
2015.05.20	10.66	11.07	10.50	10.56	29329	16285000	1
2015.05.21	10.60	11.31	10.56	11.24	22533	21538000	1
2015.05.22	11.32	11.92	10.88	11.20	40321	31175000	1
2015.05.25	11.08	11.36	10.82	11.36	11392	4998800	1
2015.05.26	11.12	11.20	10.66	10.91	26407	11988300	1
2015.05.27	11.04	11.08	10.47	10.56	20086	7439100	1
2015.05.28	10.58	10.63	10.17	10.35	18399	5952700	1
2015.05.29	10.38	10.64	10.09	10.19	20760	12606500	1
2015.06.01	10.13	10.43	10.04	10.22	12079	6007600	1
2015.06.02	10.24	10.51	10.17	10.51	16627	4090100	1
2015.06.03	10.58	10.68	10.05	10.17	18019	6397000	1
2015.06.05	9.99	10.41	9.98	10.25	11123	4705500	1
2015.06.08	10.34	10.55	10.27	10.39	8886	4118100	1
2015.06.09	10.64	10.94	10.58	10.61	15979	13257500	1
2015.06.10	10.74	10.91	10.64	10.70	14270	9404700	1
2015.06.11	10.75	11.18	10.75	11.10	16624	12956300	1
2015.06.12	10.99	11.27	10.98	11.15	13889	14497700	1
2015.06.15	11.06	11.34	10.99	11.25	14200	17470600	1
2015.06.16	11.32	11.49	11.24	11.29	16785	13645000	1
2015.06.17	11.22	11.41	10.92	11.28	25447	11592200	1
2015.06.18	11.29	11.31	11.00	11.09	13374	4720400	1
2015.06.19	11.04	11.12	10.74	10.86	12239	6020100	1
2015.06.22	10.96	11.21	10.92	11.10	17222	6088300	1
2015.06.23	11.22	11.23	10.93	11.01	14436	4951000	1
2015.06.24	11.01	11.48	10.99	11.41	18423	10836300	1
2015.06.25	11.43	11.59	11.12	11.53	18292	11553300	1
2015.06.26	11.32	11.37	10.44	10.84	31491	26521600	1
2015.06.29	10.73	10.77	10.33	10.39	16566	19354400	1
2015.06.30	10.49	10.70	10.46	10.60	22735	10641400	1
2015.07.01	10.72	10.88	10.54	10.65	14014	5906600	1
2015.07.02	10.73	10.78	10.54	10.57	9584	15300000	1
2015.07.03	10.57	10.69	10.32	10.57	10069	3448500	1
2015.07.06	10.61	10.61	10.25	10.38	12089	11171300	1
2015.07.07	10.34	10.42	9.92	10.12	16350	9739500	1
2015.07.08	10.15	10.29	9.99	10.16	15889	6283800	1
2015.07.10	10.25	10.55	10.14	10.39	12997	7633500	1
2015.07.13	10.48	10.69	10.48	10.56	7881	7836800	1
2015.07.14	10.61	10.74	10.57	10.66	9096	12938800	1
2015.07.15	10.72	10.86	10.54	10.68	12254	23687300	1
2015.07.16	10.86	10.87	10.29	10.43	11136	5119700	1
2015.07.17	10.46	10.49	9.99	10.06	23453	9186700	1
2015.07.20	10.08	10.10	9.52	9.76	13389	9821600	1
2015.07.21	9.81	9.81	9.39	9.48	11448	7901900	1
2015.07.22	9.35	9.47	9.21	9.34	14664	11747300	1
2015.07.23	9.24	9.32	8.70	8.85	20375	21579700	1
2015.07.24	8.73	9.00	8.65	9.00	16779	17050200	1
2015.07.27	9.14	9.15	8.71	8.92	16872	17927900	1
2015.07.28	9.01	9.10	8.56	8.74	13047	12579500	1
2015.07.29	8.56	8.75	8.47	8.63	21107	17609200	1
2015.07.30	8.63	8.63	8.13	8.29	19321	14929600	1
2015.07.31	8.52	8.65	8.37	8.56	16172	13321600	1
2015.08.03	8.56	8.63	8.05	8.19	23410	16644600	1
2015.08.04	8.19	8.31	7.99	8.07	17045	15388900	1
2015.08.05	8.16	8.60	8.09	8.20	24185	10064900	1
2015.08.06	8.23	8.38	7.94	8.02	14613	10485900	1
2015.08.07	8.11	8.30	7.80	7.86	21988	10251900	1
2015.08.10	7.90	7.98	7.54	7.88	15681	8718900	1
2015.08.11	7.85	7.94	7.61	7.87	23366	19038500	1
2015.08.12	8.03	8.20	7.95	8.17	25841	24464100	1
2015.08.13	8.28	9.01	8.28	8.90	33621	23197800	1
2015.08.14	8.91	9.06	8.64	8.79	16241	9966800	1
2015.08.17	8.64	9.15	8.55	8.96	29113	17456600	1
2015.08.18	8.97	9.11	8.89	8.99	9833	14888800	1
2015.08.19	8.90	8.99	8.54	8.83	19078	23777900	1
2015.08.20	8.74	8.78	8.42	8.66	13126	6573700	1
2015.08.21	8.56	8.56	8.28	8.39	14481	7367400	1
2015.08.24	7.84	8.56	7.61	8.15	24747	13565600	1
2015.08.26	7.97	7.97	7.64	7.64	15593	11499700	1
2015.08.27	7.76	8.22	7.68	8.22	20251	13755100	1
2015.08.28	8.09	8.18	7.83	7.92	23235	10198100	1
2015.08.31	7.77	7.84	7.64	7.80	15323	9402600	1
2015.09.01	7.58	7.94	7.50	7.71	14975	11377700	1
2015.09.02	7.85	7.91	7.65	7.75	14159	6769800	1
2015.09.03	7.83	7.85	7.59	7.66	14196	11191100	1
2015.09.04	7.58	7.68	7.28	7.50	22153	17988500	1
2015.09.08	7.63	7.73	7.53	7.59	11393	5906800	1
2015.09.09	7.67	7.91	7.62	7.74	14601	19493200	1
2015.09.10	7.42	7.80	7.41	7.68	15642	12785900	1
2015.09.11	7.73	7.82	7.47	7.74	14638	7445900	1
2015.09.14	7.86	7.93	7.60	7.87	12728	9431300	1
2015.09.15	7.95	8.00	7.68	7.71	16812	15386000	1
2015.09.16	7.75	7.91	7.75	7.82	25293	14132300	1
2015.09.17	7.82	8.36	7.75	8.25	24131	11527300	1
2015.09.18	8.21	8.21	7.72	7.74	16422	9690800	1
2015.09.21	7.77	7.83	7.37	7.46	15754	6669700	1
2015.09.22	6.56	6.90	6.53	6.86	26041	72407600	1
2015.09.23	6.89	7.29	6.86	6.99	21191	18721800	1
2015.09.24	6.87	6.92	6.69	6.88	16431	11067000	1
2015.09.25	6.98	7.10	6.79	6.83	10056	4011500	1
2015.09.28	6.78	6.79	6.58	6.66	12036	5920500	1
2015.09.29	6.66	7.04	6.66	6.87	23318	10856500	1
2015.09.30	7.10	7.22	6.85	6.93	31742	14570700	1
2015.10.01	7.01	7.12	6.95	6.95	24695	26469900	1
2015.10.02	6.99	7.66	6.97	7.66	23616	13148800	1
2015.10.05	7.82	7.93	7.68	7.92	20604	7845700	1
2015.10.06	7.85	8.09	7.82	8.05	13436	6048000	1
2015.10.07	8.28	8.58	8.10	8.47	31546	12028600	1
2015.10.08	8.38	8.73	8.25	8.56	29854	13300300	1
2015.10.09	8.75	8.86	8.57	8.86	20681	10315100	1
2015.10.13	8.76	8.76	8.10	8.13	29221	11373000	1
2015.10.14	8.13	8.35	7.99	8.00	48710	23703000	1
2015.10.15	8.24	9.00	8.24	8.92	33294	21400400	1
2015.10.16	8.92	9.07	8.63	8.99	26425	16210600	1
2015.10.19	9.02	9.32	8.72	9.32	19136	16142800	1
2015.10.20	9.43	9.84	9.09	9.38	31765	15572000	1
2015.10.21	9.34	9.49	8.99	9.33	22809	8354300	1
2015.10.22	9.43	9.43	9.10	9.17	16830	6148500	1
2015.10.23	9.43	9.54	9.13	9.15	15939	5343400	1
2015.10.26	9.21	9.21	8.89	9.01	12218	5873900	1
2015.10.27	9.01	9.37	8.93	9.30	13964	35765800	1
2015.10.28	9.30	9.34	8.97	9.10	15522	9808500	1
2015.10.29	8.99	9.20	8.63	8.70	26336	7173000	1
2015.10.30	8.72	8.99	8.63	8.86	19624	7451700	1
2015.11.03	9.02	9.66	9.02	9.66	34533	16297500	1
2015.11.04	9.68	9.93	9.18	9.18	29594	11055900	1
2015.11.05	9.22	9.61	9.21	9.53	25673	9579100	1
2015.11.06	9.43	9.52	9.01	9.17	17594	7477900	1
2015.11.09	9.21	9.41	9.10	9.10	16972	7309000	1
2015.11.10	9.18	9.19	8.94	8.99	13282	5581700	1
2015.11.11	9.15	9.68	9.10	9.52	23886	9744500	1
2015.11.12	9.61	10.33	9.37	9.50	31181	26355200	1
2015.11.13	9.52	9.60	9.17	9.24	21473	14848900	1
2015.11.16	9.23	9.37	9.06	9.24	19249	16950800	1
2015.11.17	9.37	9.59	9.33	9.54	17393	9519200	1
2015.11.18	9.51	9.70	9.36	9.57	18094	7034300	1
2015.11.19	9.70	9.83	9.59	9.65	19878	15545000	1
2015.11.23	9.72	9.80	9.51	9.63	13014	4582000	1
2015.11.24	9.61	9.70	9.33	9.56	19692	4937100	1
2015.11.25	9.41	9.67	9.25	9.38	27495	10502200	1
2015.11.26	9.43	9.43	8.53	8.58	29391	20135400	1
2015.11.27	8.67	8.69	8.22	8.40	37265	15672600	1
2015.11.30	8.31	8.69	8.10	8.35	32227	14938100	1
2015.12.01	8.45	8.79	8.37	8.79	31035	17575600	1
2015.12.02	8.77	8.97	8.63	8.83	25668	11641600	1
2015.12.03	9.08	9.57	9.02	9.57	49324	24276100	1
2015.12.04	9.48	9.49	9.01	9.33	38028	14473500	1
2015.12.07	9.43	9.76	9.27	9.44	26658	11084200	1
2015.12.08	9.39	9.57	9.13	9.50	20532	9146300	1
2015.12.09	9.63	9.97	9.60	9.70	36374	14317600	1
2015.12.10	9.74	9.74	9.36	9.44	24850	10742800	1
2015.12.11	9.38	9.61	9.30	9.38	16330	7499900	1
2015.12.14	9.31	9.40	9.08	9.25	15994	6505800	1
2015.12.15	9.31	9.42	9.16	9.25	11104	4333300	1
2015.12.16	9.21	9.38	9.14	9.30	19969	9469900	1
2015.12.17	9.48	9.70	9.45	9.56	22438	9460200	1
2015.12.18	9.26	9.31	8.77	8.77	37893	17243800	1
2015.12.21	8.80	9.08	8.73	9.03	29971	17669300	1
2015.12.22	9.08	9.16	8.87	8.95	14794	11484900	1
2015.12.23	9.03	9.14	8.74	8.87	13788	5064500	1
2015.12.28	8.92	9.09	8.85	8.91	10999	5043900	1
2015.12.29	8.92	9.12	8.91	8.96	11853	3467300	1
2015.12.30	9.00	9.00	8.49	8.60	20514	7418000	1
2016.01.04	8.60	8.66	8.24	8.50	17367	6564200	1
2016.01.05	8.53	8.72	8.26	8.31	14107	10179800	1
2016.01.06	8.24	8.61	7.93	8.46	29835	41927800	1
2016.01.07	8.53	8.55	8.31	8.37	23091	28553400	1
2016.01.08	8.35	8.40	7.31	7.90	31921	26915100	1
2016.01.11	7.94	8.02	7.72	7.85	20447	23446100	1
2016.01.12	7.85	7.98	7.47	7.60	15914	10252800	1
2016.01.13	7.63	7.85	7.38	7.38	18740	12202200	1
2016.01.14	7.41	7.75	7.38	7.75	13890	7243300	1
2016.01.15	7.58	7.75	7.40	7.69	16421	6245200	1
