<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	5.85	5.85	5.59	5.64	6442	6335221	1
2015.01.05	5.56	5.58	5.26	5.31	8884	7646778	1
2015.01.06	5.33	5.36	4.86	5.10	9868	11658757	1
2015.01.07	5.11	5.30	5.00	5.17	11023	10120569	1
2015.01.08	5.28	5.31	5.08	5.24	7772	7900516	1
2015.01.09	5.18	5.35	5.07	5.07	5649	7285388	1
2015.01.12	5.05	5.10	4.76	4.76	8714	8114992	1
2015.01.13	4.75	5.07	4.73	5.03	10322	9600979	1
2015.01.14	4.97	5.34	4.93	5.09	10143	7889988	1
2015.01.15	5.10	5.37	5.07	5.35	9655	8850292	1
2015.01.16	5.38	5.52	5.23	5.26	5216	3845643	1
2015.01.19	5.26	5.32	4.99	4.99	4105	4407336	1
2015.01.20	5.24	5.39	5.16	5.22	7776	8904521	1
2015.01.21	5.24	5.33	5.11	5.24	7561	7276913	1
2015.01.22	5.28	5.64	5.28	5.51	13240	12647375	1
2015.01.23	5.51	5.71	5.46	5.54	6345	6089980	1
2015.01.26	5.48	5.63	5.44	5.51	5904	4481388	1
2015.01.27	5.49	5.58	5.36	5.38	7991	6316605	1
2015.01.28	5.36	5.39	5.19	5.23	5082	3560752	1
2015.01.29	5.26	5.33	5.18	5.29	6261	5112691	1
2015.01.30	5.23	5.23	4.92	4.98	5487	8327439	1
2015.02.02	5.00	5.16	4.83	5.08	7530	7730543	1
2015.02.03	5.13	5.23	5.08	5.19	7476	6989580	1
2015.02.04	5.19	5.22	5.07	5.16	5387	4260440	1
2015.02.05	5.16	5.36	5.16	5.34	4274	3417887	1
2015.02.06	5.27	5.30	5.10	5.12	5300	5447356	1
2015.02.09	5.14	5.34	5.05	5.26	5594	4007918	1
2015.02.10	5.21	5.36	5.19	5.35	6611	6112235	1
2015.02.11	5.30	5.41	5.21	5.38	8800	8114985	1
2015.02.12	5.44	5.72	5.42	5.66	8348	10292158	1
2015.02.13	5.66	5.76	5.57	5.65	7072	6253068	1
