<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	21.23	22.04	19.75	21.14	2093	473391	1
2015.01.05	21.05	21.05	20.14	20.31	1786	2405062	1
2015.01.06	20.24	21.12	20.13	20.44	1825	2325150	1
2015.01.07	20.56	20.60	20.00	20.26	1422	370840	1
2015.01.08	20.19	20.19	19.23	19.57	1906	427085	1
2015.01.09	19.57	19.75	19.30	19.47	1215	234167	1
2015.01.12	19.38	19.68	18.92	19.13	1027	228745	1
2015.01.13	19.33	19.60	19.02	19.25	975	221657	1
2015.01.14	19.23	19.55	18.05	18.95	1832	508130	1
2015.01.15	18.99	19.30	18.57	19.09	1971	385787	1
2015.01.16	19.03	19.27	18.69	19.23	1738	379456	1
2015.01.19	19.18	19.36	18.98	19.13	939	946588	1
2015.01.20	19.13	19.24	18.92	19.17	1343	260703	1
2015.01.21	19.03	19.80	19.02	19.80	1350	271448	1
2015.01.22	19.74	21.31	19.70	21.23	2015	354634	1
2015.01.23	21.22	22.04	21.17	21.92	2134	367343	1
2015.01.26	21.93	22.07	21.17	22.07	1210	260916	1
2015.01.27	21.84	22.02	20.96	21.25	1177	251898	1
2015.01.28	21.37	21.45	20.61	21.34	1017	168609	1
2015.01.29	21.34	22.02	20.61	21.92	1557	262768	1
2015.01.30	21.81	22.30	21.24	21.92	1755	394506	1
2015.02.02	22.31	22.39	21.94	21.97	1425	242167	1
2015.02.03	22.40	22.59	21.39	22.11	1224	271270	1
2015.02.04	22.19	22.59	21.73	21.85	1317	245552	1
2015.02.05	21.91	22.04	21.45	21.46	954	172506	1
2015.02.06	21.45	21.70	20.42	20.99	1212	209061	1
2015.02.09	20.60	21.09	20.24	21.09	1336	409250	1
2015.02.10	21.05	21.19	19.83	20.19	1168	235599	1
2015.02.11	20.09	20.09	18.81	19.10	1421	386922	1
2015.02.12	19.06	19.14	18.17	18.77	1638	498789	1
2015.02.13	18.88	19.51	18.43	19.13	950	249334	1
2015.02.18	19.23	20.18	19.23	19.90	354	123640	1
2015.02.19	19.90	20.56	19.23	20.13	1290	294920	1
2015.02.20	20.05	20.27	19.63	19.63	657	147079	1
2015.02.23	19.52	19.83	19.09	19.23	1722	298505	1
2015.02.24	19.04	19.83	19.04	19.23	1476	328103	1
2015.02.25	19.29	19.34	18.55	19.23	951	221669	1
2015.02.26	18.97	19.42	18.97	19.23	1507	282209	1
2015.02.27	19.20	20.09	19.16	19.28	1685	560980	1
2015.03.02	19.28	19.58	19.18	19.18	1979	400046	1
2015.03.03	19.37	20.21	19.16	19.23	2525	574507	1
2015.03.04	19.18	20.19	19.18	20.19	1890	355571	1
2015.03.05	20.35	20.65	19.48	19.61	1556	305356	1
2015.03.06	19.72	19.80	19.36	19.41	1602	281003	1
2015.03.09	19.37	19.63	19.31	19.56	1480	303719	1
2015.03.10	19.24	19.38	18.26	18.81	2811	600230	1
2015.03.11	18.76	18.96	18.49	18.74	1753	346052	1
2015.03.12	18.95	20.79	18.95	20.18	2390	455155	1
2015.03.13	20.38	21.15	18.46	19.65	3213	684024	1
2015.03.16	19.23	19.68	18.30	18.73	1866	459149	1
2015.03.17	18.73	19.11	18.46	18.46	1444	311407	1
2015.03.18	18.45	18.65	17.81	18.05	1188	240008	1
2015.03.19	17.88	18.07	17.43	17.79	1389	273804	1
2015.03.20	17.69	18.53	17.69	18.05	1724	486921	1
2015.03.23	18.10	19.03	18.10	19.00	855	165004	1
2015.03.24	18.88	19.20	17.81	17.88	1621	274124	1
2015.03.25	18.07	18.32	17.19	17.35	1532	323698	1
2015.03.26	17.34	17.34	16.25	16.43	2058	530849	1
2015.03.27	16.35	16.35	15.63	15.82	1373	408523	1
2015.03.30	15.86	17.64	15.86	17.45	3167	777659	1
2015.03.31	16.95	19.71	16.95	19.18	3987	3328842	1
2015.04.01	19.47	22.83	19.47	20.67	4537	1260922	1
2015.04.02	20.72	22.28	19.76	20.67	4360	937700	1
2015.04.06	21.34	22.58	20.89	21.73	4542	1069140	1
2015.04.07	21.73	21.83	20.30	20.35	1489	355364	1
2015.04.08	20.29	21.52	20.26	21.15	2375	493670	1
2015.04.09	21.15	22.39	21.15	21.49	1800	343376	1
2015.04.10	21.49	22.11	21.30	21.95	1882	355567	1
2015.04.13	22.21	23.94	22.06	23.94	2977	1103137	1
2015.04.14	24.56	24.66	23.19	23.40	4059	765282	1
2015.04.15	23.41	25.72	23.41	24.94	2804	663750	1
2015.04.16	24.77	25.57	24.53	24.85	1721	338158	1
2015.04.17	24.69	25.19	24.25	24.98	1937	444086	1
2015.04.20	25.10	25.70	24.39	25.47	3179	719170	1
2015.04.22	25.33	27.21	25.20	26.68	2027	432506	1
2015.04.23	26.92	27.04	25.79	25.96	2460	826328	1
2015.04.24	25.77	27.04	25.52	26.75	1899	375256	1
2015.04.27	26.72	27.28	26.53	26.68	3756	926241	1
2015.04.28	26.87	28.55	26.82	27.40	4782	1273215	1
2015.04.29	27.40	27.69	25.89	26.96	1727	355468	1
2015.04.30	26.87	27.30	25.49	26.31	1188	275419	1
2015.05.04	26.31	26.98	25.91	25.91	1646	352700	1
2015.05.05	25.91	27.45	25.14	27.05	3254	787810	1
2015.05.06	27.27	27.38	25.22	25.39	2608	531174	1
2015.05.07	25.60	25.91	23.65	23.65	2435	469804	1
2015.05.08	23.89	25.46	23.89	25.24	1982	323297	1
2015.05.11	25.47	25.78	24.79	24.95	995	187653	1
2015.05.12	25.19	26.35	24.42	26.08	946	212025	1
2015.05.13	26.11	26.50	25.72	26.25	1033	216643	1
2015.05.14	26.34	26.80	26.09	26.72	880	130152	1
2015.05.15	26.65	26.91	26.10	26.43	1067	209993	1
2015.05.18	26.53	26.87	26.11	26.87	1009	186940	1
2015.05.19	26.73	26.73	24.45	25.00	1675	5245119	1
2015.05.20	24.73	26.23	24.45	26.17	1523	352813	1
2015.05.21	25.99	26.99	25.99	26.36	1309	193188	1
2015.05.22	26.54	26.71	25.23	25.39	2537	427701	1
2015.05.25	25.19	26.24	25.19	25.93	397	63291	1
2015.05.26	25.96	26.44	23.95	24.46	2875	769367	1
2015.05.27	24.42	24.86	24.23	24.56	2691	534862	1
2015.05.28	24.78	24.80	23.44	23.79	1373	214983	1
2015.05.29	23.67	24.52	23.12	24.52	2683	651956	1
2015.06.01	24.03	24.33	23.51	23.84	1143	222890	1
2015.06.02	23.68	24.17	23.57	24.04	1686	2741896	1
2015.06.03	24.44	24.44	22.92	22.94	1917	402476	1
2015.06.05	22.88	22.94	22.14	22.48	1608	287442	1
2015.06.08	22.60	22.72	21.54	22.17	1657	300435	1
2015.06.09	22.21	22.35	21.57	22.04	1031	314376	1
2015.06.10	22.08	22.80	22.08	22.38	1462	237446	1
2015.06.11	22.61	22.65	21.73	22.16	1237	282933	1
2015.06.12	21.94	22.48	21.83	21.98	924	261924	1
2015.06.15	21.98	22.84	21.78	22.51	948	175170	1
2015.06.16	22.11	23.51	22.11	23.27	1162	363845	1
2015.06.17	23.08	23.42	22.98	23.24	589	100974	1
2015.06.18	23.08	23.35	22.20	22.20	1418	271143	1
2015.06.19	22.20	22.31	21.78	21.85	926	232198	1
2015.06.22	21.85	22.02	21.44	21.58	995	162768	1
2015.06.23	21.63	21.64	20.55	20.80	2245	463951	1
2015.06.24	20.69	20.69	19.79	20.10	1617	350144	1
2015.06.25	20.10	20.95	19.90	20.62	751	679509	1
2015.06.26	20.48	20.91	19.91	20.42	854	317244	1
2015.06.29	20.05	20.60	19.35	19.61	988	186733	1
2015.06.30	19.55	19.60	18.72	19.60	2914	793338	1
2015.07.01	19.70	19.92	18.86	18.86	2170	442969	1
2015.07.02	19.03	19.35	18.75	19.09	660	134162	1
2015.07.03	19.19	19.19	18.75	18.94	271	44830	1
2015.07.06	18.95	19.80	18.46	19.80	1064	212230	1
2015.07.07	19.77	20.48	19.10	20.48	1668	412742	1
2015.07.08	20.38	21.62	19.98	21.36	2349	413877	1
2015.07.10	21.39	21.63	20.26	20.50	1883	310689	1
2015.07.13	20.62	20.65	19.43	19.43	989	199630	1
2015.07.14	19.39	19.69	19.19	19.44	1303	178108	1
2015.07.15	19.44	19.50	19.16	19.50	617	118301	1
2015.07.16	19.50	19.75	19.34	19.57	351	83574	1
2015.07.17	19.57	19.81	19.17	19.19	1010	206300	1
2015.07.20	19.18	19.40	18.48	18.75	797	186015	1
2015.07.21	18.59	19.01	17.70	18.28	1780	423400	1
2015.07.22	18.08	18.45	17.50	18.22	569	144422	1
2015.07.23	18.05	18.78	16.97	17.24	885	249129	1
2015.07.24	17.30	18.25	16.42	17.93	1098	204030	1
2015.07.27	17.63	18.16	17.04	17.58	787	1540766	1
2015.07.28	17.69	17.92	16.92	16.95	1245	209977	1
2015.07.29	16.66	17.98	16.66	17.98	1256	408212	1
2015.07.30	17.78	17.79	17.03	17.17	1138	215809	1
2015.07.31	17.27	17.61	16.75	17.31	1448	361909	1
2015.08.03	17.11	17.22	16.61	16.88	783	164178	1
2015.08.04	16.88	16.98	16.25	16.57	1150	601032	1
2015.08.05	16.52	17.02	16.29	16.59	1447	388452	1
2015.08.06	16.45	16.80	16.15	16.25	827	188667	1
2015.08.07	16.34	16.63	16.05	16.30	582	141667	1
