<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	17.27	17.44	16.37	16.69	11532	4536300	1
2015.01.05	16.64	16.73	16.14	16.34	14805	5428300	1
2015.01.06	16.38	16.78	16.20	16.57	13988	7231800	1
2015.01.07	16.90	17.74	16.76	17.30	13082	3920300	1
2015.01.08	17.52	17.67	17.11	17.36	6758	2988100	1
2015.01.09	17.32	17.32	16.59	16.61	10256	3607500	1
2015.01.12	16.62	16.95	16.23	16.32	10102	3234100	1
2015.01.13	16.45	16.74	16.08	16.23	18339	6557100	1
2015.01.14	16.10	16.76	15.92	16.34	14971	6007800	1
2015.01.15	16.48	16.88	16.24	16.24	16047	6108700	1
2015.01.16	16.51	16.86	16.38	16.43	17943	8420600	1
2015.01.19	16.43	16.81	16.28	16.36	13609	4295300	1
2015.01.20	16.73	16.86	16.23	16.29	15784	6354200	1
2015.01.21	16.47	16.79	16.37	16.70	12770	6441200	1
2015.01.22	16.76	17.13	16.74	16.84	14959	9303300	1
2015.01.23	16.82	17.04	16.62	16.79	11200	3788900	1
2015.01.26	16.63	16.78	16.40	16.60	11136	3991300	1
2015.01.27	16.48	16.99	16.16	16.95	15795	5933600	1
2015.01.28	16.68	16.88	16.22	16.22	17797	5522500	1
2015.01.29	16.40	16.40	15.80	15.88	11043	5275200	1
2015.01.30	15.70	15.72	15.18	15.22	13167	6386100	1
2015.02.02	15.32	15.48	14.66	14.89	16970	8730600	1
2015.02.03	15.09	15.56	14.94	15.36	20014	8277000	1
2015.02.04	15.46	16.53	15.46	16.43	23190	9069400	1
2015.02.05	16.28	17.24	16.27	16.79	16929	5793000	1
2015.02.06	16.58	16.58	16.01	16.14	18023	5627000	1
2015.02.09	15.99	16.55	15.88	16.55	13328	4143100	1
2015.02.10	16.58	16.99	16.00	16.00	16825	6148600	1
2015.02.11	16.21	16.51	15.99	16.17	16457	8144000	1
2015.02.12	16.44	17.03	16.32	17.03	15973	6470300	1
2015.02.13	17.11	18.13	17.07	18.13	16211	6815700	1
2015.02.18	18.19	18.49	17.60	17.65	17251	9638800	1
2015.02.19	17.71	17.97	17.41	17.94	10250	4364500	1
2015.02.20	18.12	18.12	17.58	17.74	7608	2579500	1
2015.02.23	17.54	17.73	17.35	17.67	9557	3746100	1
2015.02.24	17.72	17.98	17.39	17.50	14672	5821700	1
2015.02.25	17.15	17.22	16.89	17.13	22156	6905500	1
2015.02.26	17.21	17.32	16.87	17.03	16462	4819000	1
2015.02.27	17.02	17.91	16.95	17.55	19183	6890900	1
2015.03.02	17.38	17.68	17.24	17.52	13244	4098400	1
2015.03.03	17.54	17.61	17.28	17.49	13354	3824100	1
2015.03.04	17.21	17.23	16.61	16.61	18951	6775900	1
2015.03.05	16.73	16.80	16.38	16.68	9471	3555300	1
2015.03.06	16.69	16.70	16.28	16.28	11570	4415700	1
2015.03.09	16.24	16.26	15.60	15.64	16069	5710600	1
2015.03.10	15.54	16.10	15.45	15.74	17095	6240900	1
2015.03.11	15.84	16.17	15.73	15.99	12720	4523900	1
2015.03.12	16.28	16.39	16.08	16.21	12344	4180700	1
2015.03.13	15.77	15.98	15.47	15.81	18881	7688100	1
2015.03.16	15.98	16.06	15.47	15.81	14498	4532200	1
2015.03.17	15.81	16.63	15.78	16.61	19267	5786700	1
2015.03.18	16.53	17.93	16.41	17.79	30931	12235300	1
2015.03.19	17.70	17.73	16.97	17.00	15512	5485300	1
2015.03.20	17.27	17.74	17.21	17.72	19949	8493000	1
2015.03.23	17.52	17.74	17.34	17.73	12749	4454200	1
2015.03.24	17.86	17.97	17.48	17.66	12421	3888800	1
2015.03.25	17.72	17.87	17.22	17.25	16667	6051100	1
2015.03.26	17.22	17.27	16.53	16.58	15421	5896800	1
2015.03.27	16.67	16.67	16.22	16.63	13958	7976900	1
2015.03.30	16.77	17.25	16.61	17.12	12272	4514600	1
2015.03.31	16.88	17.86	16.85	17.19	24784	9514700	1
2015.04.01	17.51	17.93	17.39	17.84	25264	10311000	1
2015.04.02	17.97	18.59	17.67	18.46	22282	8797600	1
2015.04.06	18.53	19.12	18.45	19.12	17930	8856300	1
2015.04.07	19.10	19.33	18.52	18.52	16772	6399500	1
2015.04.08	18.87	18.97	18.25	18.27	19293	7346100	1
2015.04.09	17.93	18.10	17.50	17.60	21483	8751300	1
2015.04.10	17.56	18.31	17.55	18.23	15808	6247900	1
2015.04.13	18.30	18.50	18.11	18.20	13861	5226100	1
2015.04.14	18.32	18.45	17.92	18.06	12062	4771000	1
2015.04.15	18.16	18.97	18.09	18.78	19311	7613100	1
2015.04.16	18.61	19.39	18.58	19.35	20976	8767000	1
2015.04.17	19.05	19.18	18.20	18.42	22693	11207600	1
2015.04.20	18.54	18.57	18.12	18.33	11066	3977400	1
2015.04.22	18.38	19.19	18.33	19.07	19928	6105200	1
2015.04.23	18.80	19.85	18.78	19.73	20889	6776800	1
2015.04.24	19.88	20.57	19.84	20.40	22328	8558100	1
2015.04.27	20.26	20.47	19.73	19.81	14760	7941700	1
2015.04.28	19.95	20.00	19.34	19.88	12170	4776300	1
2015.04.29	19.73	19.77	19.40	19.51	12130	5083300	1
2015.04.30	19.40	19.97	19.22	19.97	16849	6861500	1
2015.05.04	20.12	20.23	19.82	19.84	14604	4470800	1
2015.05.05	19.79	20.44	19.64	20.39	15214	4739400	1
2015.05.06	20.34	20.44	20.06	20.34	14435	4186800	1
2015.05.07	20.13	20.93	20.08	20.91	13135	4738700	1
2015.05.08	21.02	21.31	20.68	21.01	16444	4955700	1
2015.05.11	21.04	21.18	20.53	21.06	16782	4093400	1
2015.05.12	20.88	21.12	20.64	20.64	18145	8023600	1
2015.05.13	20.54	20.74	20.15	20.26	13214	7012300	1
2015.05.14	20.03	20.03	19.30	19.48	25984	9816700	1
