<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	11.47	11.72	11.27	11.33	17186	11363404	1
2015.01.05	11.14	11.49	11.00	11.35	23808	11300879	1
2015.01.06	11.35	11.72	11.28	11.72	17841	14431982	1
2015.01.07	11.87	12.32	11.77	12.19	29796	15450192	1
2015.01.08	12.22	12.36	11.99	12.25	16641	8402915	1
2015.01.09	12.13	12.20	11.65	11.72	15383	9172914	1
2015.01.12	11.63	11.77	11.43	11.51	13306	9156806	1
2015.01.13	11.60	11.87	11.55	11.55	19534	11849021	1
2015.01.14	11.40	11.84	11.35	11.67	22233	10638372	1
2015.01.15	11.69	12.00	11.55	11.55	20601	14494661	1
2015.01.16	11.61	11.70	11.46	11.66	27783	18258543	1
2015.01.19	11.60	11.78	11.33	11.42	22164	9153580	1
2015.01.20	11.63	11.65	11.34	11.38	12224	7657381	1
2015.01.21	11.55	11.74	11.33	11.66	16584	12183493	1
2015.01.22	11.79	12.01	11.70	11.79	18508	11952991	1
2015.01.23	11.71	11.91	11.49	11.68	11728	8753204	1
2015.01.26	11.51	11.88	11.51	11.87	18576	9911424	1
2015.01.27	11.70	11.98	11.56	11.89	25758	13427518	1
2015.01.28	11.74	12.04	11.61	11.61	23471	13950327	1
2015.01.29	11.76	11.87	11.30	11.49	23568	13847528	1
2015.01.30	11.33	11.36	11.06	11.14	27790	15361748	1
2015.02.02	11.28	11.32	10.95	11.26	23110	13358255	1
2015.02.03	11.57	11.70	11.41	11.67	25373	12988783	1
2015.02.04	11.67	12.07	11.55	11.97	33256	15359992	1
2015.02.05	11.83	11.96	11.77	11.78	21737	10883224	1
2015.02.06	11.75	11.84	11.54	11.83	22715	10313702	1
2015.02.09	11.75	11.95	11.72	11.95	19450	11992387	1
2015.02.10	11.92	12.05	11.70	11.70	15363	8895691	1
2015.02.11	11.67	11.81	11.30	11.38	21407	13463269	1
2015.02.12	11.59	11.84	11.50	11.84	16401	9926207	1
2015.02.13	11.94	12.17	11.83	12.15	11963	10583893	1
2015.02.18	12.37	12.45	12.20	12.28	15708	11304539	1
2015.02.19	12.26	12.40	12.16	12.26	11316	6819122	1
2015.02.20	12.28	12.35	12.13	12.29	6866	4371184	1
2015.02.23	12.14	12.44	12.13	12.41	13528	6892207	1
2015.02.24	12.45	12.56	12.29	12.54	19062	9947161	1
2015.02.25	12.39	12.61	12.32	12.61	19219	11680328	1
2015.02.26	12.62	12.65	12.47	12.64	12157	7087858	1
2015.02.27	12.62	12.94	12.47	12.48	26987	17247781	1
2015.03.02	12.45	12.66	12.21	12.31	18851	13584524	1
2015.03.03	12.31	12.36	12.20	12.34	16379	11273054	1
2015.03.04	12.15	12.24	12.05	12.08	22212	13358252	1
2015.03.05	12.11	12.20	11.92	12.06	18884	9448515	1
2015.03.06	12.03	12.09	11.80	11.92	19822	10536005	1
2015.03.09	11.79	11.83	11.47	11.58	20927	10723305	1
2015.03.10	11.41	11.61	11.19	11.19	25646	15951769	1
2015.03.11	11.27	11.54	11.25	11.53	14419	9817115	1
2015.03.12	11.69	11.71	11.31	11.32	23916	14444135	1
2015.03.13	11.09	11.25	11.02	11.18	23377	13989139	1
