<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.02.16	3.92	3.92	3.82	3.82	5	30800	1
2017.02.17	3.92	3.92	3.92	3.92	3	20000	1
2017.02.24	3.97	3.97	3.97	3.97	3	5200	1
2017.03.01	3.97	3.97	3.91	3.91	6	17200	1
2017.03.03	4.14	4.14	4.03	4.09	5	7200	1
2017.03.06	4.10	4.25	4.03	4.19	26	22800	1
2017.03.07	3.95	4.14	3.95	4.01	14	13600	1
2017.03.08	3.97	4.14	3.89	4.03	10	16400	1
2017.03.09	3.90	4.14	3.84	4.14	10	6800	1
2017.03.10	3.95	4.14	3.92	4.07	24	26000	1
2017.03.13	4.01	4.01	4.01	4.01	3	2400	1
2017.03.14	4.10	4.14	4.03	4.05	9	3600	1
2017.03.15	4.03	4.07	4.03	4.07	13	6400	1
2017.03.16	4.03	4.14	4.03	4.06	8	3200	1
2017.03.17	4.03	4.12	4.03	4.06	10	4400	1
2017.03.20	3.99	3.99	3.82	3.82	7	8000	1
2017.03.21	3.82	3.82	3.71	3.71	7	10000	1
2017.03.22	3.88	4.06	3.88	4.05	31	623200	1
2017.03.23	3.96	4.05	3.90	3.90	21	12000	1
2017.03.24	3.91	3.99	3.89	3.89	16	46800	1
2017.03.27	3.90	3.90	3.88	3.88	4	1600	1
2017.03.28	3.91	4.08	3.91	4.08	17	61200	1
2017.03.29	4.09	4.14	4.06	4.10	10	85200	1
2017.03.30	4.09	4.15	4.03	4.12	71	349200	1
2017.03.31	4.09	4.16	4.09	4.14	32	390400	1
2017.04.03	4.12	4.20	4.08	4.20	14	105200	1
2017.04.04	4.12	4.34	4.12	4.34	30	24000	1
2017.04.05	4.19	4.33	4.19	4.27	10	18000	1
2017.04.06	4.16	4.18	4.03	4.03	18	74000	1
2017.04.07	4.12	4.15	4.11	4.15	7	9200	1
2017.04.10	4.08	4.20	4.07	4.14	28	19600	1
2017.04.11	4.14	4.14	4.04	4.08	18	11600	1
2017.04.12	4.03	4.16	4.03	4.16	26	27600	1
2017.04.13	4.06	4.06	3.95	4.01	43	39544400	1
2017.04.17	3.80	4.06	3.80	4.01	21	4008000	1
2017.04.18	4.01	4.01	3.90	3.92	10	3004400	1
2017.04.19	3.84	4.01	3.71	3.81	95	7114000	1
2017.04.20	3.72	3.91	3.72	3.82	27	2558400	1
2017.04.24	3.93	3.93	3.88	3.88	8	8001600	1
2017.04.26	3.92	3.92	3.92	3.92	1	400	1
2017.05.02	3.92	3.99	3.86	3.99	7	51600	1
2017.05.03	4.06	4.14	3.98	4.14	109	6040400	1
2017.05.04	4.07	4.07	3.97	4.04	16	6047600	1
2017.05.05	4.03	4.06	3.99	4.06	5	11200	1
2017.05.08	3.92	4.06	3.92	4.06	2	1600	1
2017.05.09	4.06	4.09	3.99	4.09	8	21200	1
2017.05.10	4.09	4.22	4.09	4.09	28	6203200	1
2017.05.11	4.09	4.14	4.09	4.14	3	11200	1
2017.05.12	4.14	4.14	3.96	4.14	3	1600	1
2017.05.16	4.10	4.10	4.10	4.10	1	400	1
2017.05.17	4.06	4.10	4.01	4.10	11	45200	1
2017.05.18	3.94	3.94	3.56	3.65	47	527200	1
2017.05.19	3.83	3.83	3.75	3.78	11	14400	1
2017.05.22	3.55	3.66	3.55	3.66	22	30000	1
2017.05.23	3.66	3.73	3.56	3.56	8	17200	1
2017.05.24	3.66	3.76	3.43	3.43	120	6968400	1
2017.05.25	3.53	3.53	3.44	3.44	7	8000	1
2017.05.26	3.43	3.43	3.43	3.43	1	800	1
2017.05.29	3.49	3.49	3.38	3.38	2	800	1
2017.05.30	3.38	3.38	3.27	3.32	47	114400	1
2017.05.31	3.31	3.32	3.09	3.09	36	43200	1
2017.06.01	3.09	3.09	3.05	3.05	18	8040000	1
2017.06.02	3.05	3.05	3.05	3.05	1	4000000	1
2017.06.05	3.18	3.18	3.05	3.05	2	2800	1
2017.06.06	3.10	3.10	3.10	3.10	1	400	1
2017.06.08	3.05	3.05	3.00	3.00	2	800	1
2017.06.13	2.93	2.93	2.93	2.93	1	800	1
2017.06.14	3.05	3.07	2.95	2.95	20	59600	1
2017.06.20	2.98	3.04	2.94	3.03	41	40400	1
2017.06.21	2.94	2.94	2.94	2.94	2	2400	1
2017.06.22	2.75	2.75	2.75	2.75	1	800	1
2017.06.23	2.92	2.94	2.92	2.93	4	6000	1
2017.06.26	2.92	3.04	2.92	3.04	5	9600	1
2017.06.27	3.04	3.05	2.98	2.98	7	28000	1
2017.06.28	3.05	3.05	3.05	3.05	6	9600	1
2017.06.29	3.01	3.05	3.01	3.05	3	6400	1
2017.06.30	3.15	3.15	3.07	3.15	6	13600	1
2017.07.04	3.27	3.27	3.27	3.27	1	400	1
2017.07.05	3.38	3.41	3.38	3.41	11	312000	1
