<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	9.92	9.92	9.40	9.63	4444	1391700	1
2015.01.05	9.43	9.58	9.10	9.44	5076	1336400	1
2015.01.06	9.49	9.95	9.49	9.82	5197	4488000	1
2015.01.07	9.96	10.34	9.96	10.23	5382	1265700	1
2015.01.08	10.35	10.35	9.99	10.23	1643	452100	1
2015.01.09	10.11	10.32	10.02	10.12	2223	853600	1
2015.01.12	10.09	10.16	9.80	10.12	3928	783300	1
2015.01.13	10.23	10.47	10.17	10.17	5328	1167400	1
2015.01.14	10.01	10.01	9.39	9.41	10169	2891600	1
2015.01.15	9.41	9.68	9.21	9.41	5110	1372900	1
2015.01.16	9.46	10.06	9.39	9.92	5145	1102900	1
2015.01.19	9.82	9.89	9.60	9.88	3801	1462600	1
2015.01.20	10.01	10.10	9.83	10.01	5406	1097500	1
2015.01.21	10.13	10.22	9.86	10.14	3539	779800	1
2015.01.22	10.23	10.47	9.94	10.01	5318	1075700	1
2015.01.23	9.86	9.93	9.39	9.53	5893	1295200	1
2015.01.26	9.25	9.25	8.94	8.94	4648	1715100	1
2015.01.27	8.83	8.89	8.55	8.65	5706	2043400	1
2015.01.28	8.55	8.65	8.43	8.46	6714	2548700	1
2015.01.29	8.55	8.57	7.99	8.05	5481	1975000	1
2015.01.30	7.97	8.20	7.87	8.19	5847	1989800	1
2015.02.02	8.33	8.57	8.12	8.45	4880	1807600	1
2015.02.03	8.69	9.15	8.69	8.95	10278	3245000	1
2015.02.04	8.92	9.17	8.71	8.72	5839	2001100	1
2015.02.05	8.50	8.98	8.49	8.83	6165	1548100	1
2015.02.06	8.74	8.92	8.50	8.72	9012	4603500	1
2015.02.09	8.54	9.26	8.54	9.08	6233	2084600	1
2015.02.10	8.93	9.12	8.69	8.69	6259	1517300	1
2015.02.11	8.69	9.10	8.65	9.10	7507	1911700	1
2015.02.12	9.25	9.41	9.19	9.38	4118	1466800	1
2015.02.13	9.25	9.72	9.25	9.55	6714	1909700	1
2015.02.18	9.67	9.89	9.67	9.82	5294	1432500	1
2015.02.19	9.73	9.73	9.42	9.45	3315	1305500	1
2015.02.20	9.51	9.75	9.37	9.68	2848	628600	1
2015.02.23	9.49	9.51	9.22	9.32	4814	1131900	1
2015.02.24	9.37	9.62	9.27	9.57	3559	856700	1
2015.02.25	9.46	9.69	9.46	9.69	4515	985600	1
2015.02.26	9.58	9.58	9.11	9.30	3753	1262300	1
2015.02.27	9.30	9.45	9.22	9.34	7424	1714600	1
2015.03.02	9.18	9.34	8.86	8.98	4411	1616100	1
2015.03.03	8.98	9.17	8.96	9.17	4015	1386200	1
2015.03.04	8.92	9.03	8.82	8.96	3472	903100	1
2015.03.05	8.91	8.93	8.51	8.59	7525	1929900	1
2015.03.06	8.63	8.73	8.41	8.68	4979	1433100	1
2015.03.09	8.53	8.69	8.42	8.50	5117	1708900	1
2015.03.10	8.34	8.49	8.26	8.29	4272	1116200	1
2015.03.11	8.30	8.31	8.13	8.19	4433	1481600	1
2015.03.12	8.31	8.36	8.11	8.15	7786	2404400	1
2015.03.13	8.02	8.18	7.90	8.06	7386	2584300	1
2015.03.16	8.12	8.26	7.87	8.09	5166	1840400	1
2015.03.17	8.05	8.36	8.05	8.36	10883	4898100	1
2015.03.18	8.33	8.33	8.04	8.20	6829	3611100	1
2015.03.19	8.25	8.25	7.97	7.97	6585	1900900	1
2015.03.20	8.07	8.50	8.01	8.50	10675	6914200	1
2015.03.23	8.58	8.58	8.32	8.47	4122	1403800	1
2015.03.24	8.47	8.50	8.09	8.17	4275	1595800	1
2015.03.25	8.24	8.29	8.07	8.26	4346	1394000	1
2015.03.26	8.15	8.26	7.94	7.94	4415	1543300	1
2015.03.27	7.90	7.97	7.53	7.59	8119	2618600	1
2015.03.30	7.67	7.76	7.59	7.76	5570	1729500	1
2015.03.31	7.66	7.71	7.42	7.47	7565	2024100	1
2015.04.01	7.47	7.49	7.25	7.28	7687	1997800	1
2015.04.02	7.32	7.55	7.16	7.54	5441	1619400	1
2015.04.06	7.57	7.85	7.52	7.55	4737	1878600	1
2015.04.07	7.58	7.83	7.58	7.77	5088	2285000	1
2015.04.08	7.90	7.96	7.66	7.71	7006	2430800	1
2015.04.09	7.69	7.82	7.54	7.70	7863	2190100	1
2015.04.10	7.62	7.68	7.52	7.56	5073	1582600	1
2015.04.13	7.51	7.67	7.38	7.40	6613	2174600	1
2015.04.14	7.53	7.74	7.47	7.62	9470	3816300	1
2015.04.15	7.66	7.76	7.54	7.71	8739	2524300	1
2015.04.16	7.68	7.71	7.52	7.62	8753	2475100	1
2015.04.17	7.45	7.59	7.38	7.54	6975	3055500	1
2015.04.20	7.62	7.64	7.42	7.45	6023	2137100	1
2015.04.22	7.57	8.05	7.57	8.05	17909	7413800	1
2015.04.23	8.01	8.50	7.94	8.48	15090	5971200	1
2015.04.24	8.68	9.19	8.65	8.93	15644	12907700	1
2015.04.27	8.99	9.39	8.80	8.91	11718	5838700	1
2015.04.28	9.02	9.12	8.70	8.88	9461	4567700	1
2015.04.29	8.64	8.68	8.41	8.54	11490	4495000	1
2015.04.30	8.28	8.94	8.22	8.91	10128	5523300	1
2015.05.04	9.35	9.53	9.24	9.36	10195	3117900	1
2015.05.05	9.46	9.93	9.38	9.87	12267	5635300	1
2015.05.06	9.99	10.20	9.36	9.46	16300	5665900	1
2015.05.07	9.35	9.63	9.05	9.45	9109	3167200	1
2015.05.08	9.53	9.61	9.09	9.13	13783	3550100	1
2015.05.11	9.31	9.59	9.28	9.39	5712	2227800	1
2015.05.12	9.31	9.44	8.98	9.05	7728	2475500	1
2015.05.13	8.82	8.92	8.55	8.68	14076	4791400	1
2015.05.14	8.55	8.68	8.37	8.43	13983	5421400	1
2015.05.15	8.43	8.60	8.43	8.51	7294	2647100	1
2015.05.18	8.54	8.64	8.22	8.23	9921	3715200	1
2015.05.19	8.20	8.20	7.92	8.08	10702	5901800	1
2015.05.20	8.02	8.15	7.91	7.98	10158	2846000	1
2015.05.21	7.92	8.16	7.92	8.05	9466	2963800	1
2015.05.22	8.22	8.26	8.07	8.09	9443	2331900	1
2015.05.25	8.13	8.38	8.03	8.26	5008	1539600	1
2015.05.26	8.25	8.45	8.18	8.31	10133	3728300	1
2015.05.27	8.42	8.46	8.13	8.46	13262	4765600	1
2015.05.28	8.30	8.38	8.17	8.33	15570	4392000	1
2015.05.29	8.22	8.56	8.20	8.23	43410	31337400	1
2015.06.01	8.28	8.38	8.23	8.30	14177	3544700	1
2015.06.02	8.41	8.92	8.33	8.92	14961	6074300	1
2015.06.03	8.88	8.99	8.65	8.72	8304	2697100	1
2015.06.05	8.61	8.78	8.53	8.73	9991	3263100	1
2015.06.08	8.80	8.80	8.35	8.36	9576	2820000	1
