<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	60.11	62.38	59.11	60.29	11209	3769200	1
2015.01.05	59.72	60.59	58.69	59.14	11612	2193300	1
2015.01.06	59.46	60.32	58.86	59.67	10108	3245800	1
2015.01.07	59.92	62.68	59.92	62.34	11415	2742600	1
2015.01.08	62.63	62.83	60.93	61.23	8104	1833700	1
2015.01.09	61.08	61.12	59.15	59.90	8870	2178600	1
2015.01.12	59.14	60.71	59.14	60.39	7274	1759800	1
2015.01.13	60.79	61.08	58.54	58.88	9001	1921200	1
2015.01.14	58.68	60.64	58.68	59.90	8730	1707100	1
2015.01.15	59.92	61.28	59.63	60.19	9608	2573300	1
2015.01.16	60.19	61.85	60.19	61.66	8428	1696100	1
2015.01.19	61.27	62.53	60.30	61.26	6413	1705700	1
2015.01.20	62.05	62.11	58.59	58.96	11720	3128700	1
2015.01.21	59.58	60.16	58.92	60.14	11006	2483200	1
2015.01.22	60.58	61.83	59.63	60.22	7919	2386600	1
2015.01.23	59.70	60.55	59.37	59.77	6314	1625200	1
2015.01.26	59.05	60.77	59.05	60.40	8799	1855400	1
2015.01.27	59.94	60.75	59.05	60.51	11906	2514400	1
2015.01.28	59.92	61.33	59.69	60.78	14952	3369400	1
2015.01.29	60.69	61.52	60.12	60.98	12394	2862800	1
2015.01.30	60.30	62.42	59.90	62.42	13645	4513600	1
2015.02.02	62.65	62.83	61.95	62.24	10080	2876800	1
2015.02.03	62.63	63.16	62.46	62.81	8807	2502700	1
2015.02.04	62.81	63.45	62.21	63.02	9462	2547800	1
2015.02.05	62.78	63.48	62.78	63.02	6057	1744400	1
2015.02.06	62.83	63.02	61.83	62.63	7754	2626500	1
2015.02.09	62.72	63.15	62.10	62.63	7765	2522700	1
2015.02.10	62.53	63.41	62.37	62.73	6890	2407300	1
2015.02.11	62.73	63.06	61.31	61.31	10315	2174000	1
2015.02.12	62.05	62.81	61.86	62.10	7252	1577600	1
2015.02.13	62.29	62.46	61.57	62.04	5063	1349800	1
2015.02.18	62.84	63.58	62.49	62.84	9314	2466500	1
2015.02.19	63.02	64.14	62.40	63.98	5328	1513400	1
2015.02.20	63.99	64.00	62.16	63.60	5480	1594200	1
2015.02.23	63.42	64.35	63.41	64.27	4873	1446800	1
2015.02.24	63.82	64.66	63.74	64.66	5951	1797900	1
2015.02.25	64.38	64.43	63.85	64.38	7274	1499200	1
2015.02.26	64.71	64.98	63.70	64.96	6658	2183300	1
2015.02.27	65.64	65.91	62.36	62.47	15070	5197800	1
2015.03.02	62.53	62.53	61.57	61.95	6754	1759800	1
2015.03.03	62.09	62.70	62.08	62.44	8715	2343400	1
2015.03.04	61.71	62.17	60.11	60.79	10751	4716400	1
2015.03.05	61.05	61.92	61.05	61.75	7610	1810600	1
2015.03.06	61.70	61.97	61.08	61.38	6812	1835200	1
2015.03.09	61.07	61.54	60.60	61.47	8773	1811200	1
2015.03.10	60.40	61.50	60.40	60.52	8910	2115300	1
2015.03.11	60.26	60.61	59.19	60.39	9605	3077400	1
2015.03.12	60.98	61.23	60.66	60.66	6803	1592100	1
2015.03.13	59.44	60.69	59.30	60.46	11824	2466600	1
2015.03.16	60.60	61.25	60.20	60.20	8081	1608600	1
2015.03.17	59.90	61.27	59.87	60.98	8757	2107800	1
2015.03.18	60.97	62.49	60.64	62.00	10897	2499300	1
2015.03.19	62.19	62.19	61.32	62.02	7634	1546000	1
2015.03.20	62.53	63.47	61.81	61.81	8983	2570000	1
2015.03.23	62.05	62.32	60.89	61.08	6163	1873600	1
2015.03.24	60.89	61.94	60.60	61.18	8833	1806500	1
2015.03.25	61.69	62.52	61.57	61.75	7872	1767400	1
2015.03.26	61.29	61.55	60.46	60.96	8731	2001200	1
2015.03.27	60.54	61.89	60.12	61.35	9167	1851600	1
2015.03.30	60.12	61.12	59.63	61.08	6678	1628100	1
2015.03.31	60.66	61.64	60.26	61.37	6058	2434800	1
2015.04.01	61.42	62.92	61.18	61.43	11598	3086800	1
2015.04.02	61.86	62.24	61.42	61.52	10158	2435600	1
2015.04.06	61.93	63.11	61.68	62.53	7531	1632600	1
2015.04.07	62.48	63.03	62.22	62.73	5994	1307300	1
2015.04.08	63.12	63.60	62.37	63.03	13865	2996200	1
2015.04.09	63.19	63.70	62.84	63.26	9795	2377300	1
2015.04.10	63.26	63.26	61.49	62.00	10908	3207400	1
2015.04.13	61.84	62.05	60.97	61.51	7879	2110200	1
2015.04.14	61.92	61.92	60.52	61.03	7533	1751300	1
2015.04.15	61.44	61.56	60.78	60.95	8732	1733600	1
2015.04.16	60.60	61.38	60.13	61.21	7152	1533100	1
2015.04.17	60.42	60.95	59.85	60.11	7728	1313900	1
2015.04.20	60.03	60.63	59.46	59.90	4913	964600	1
2015.04.22	60.20	60.65	59.30	59.82	6597	1961700	1
