<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	13.44	13.65	13.27	13.46	6670	1825200	1
2015.01.05	13.24	13.30	12.65	12.65	6348	2135100	1
2015.01.06	12.72	12.75	12.35	12.38	4154	1136800	1
2015.01.07	12.41	12.54	12.10	12.37	8492	1383300	1
2015.01.08	12.45	12.57	12.09	12.40	4767	1098400	1
2015.01.09	12.29	12.45	12.04	12.13	5469	1866500	1
2015.01.12	12.15	12.36	12.05	12.36	5155	1125100	1
2015.01.13	12.32	12.59	12.15	12.23	9361	2013800	1
2015.01.14	12.15	12.15	11.48	11.50	8485	1729300	1
2015.01.15	11.57	12.02	11.57	11.57	8304	2038100	1
2015.01.16	11.72	11.92	11.60	11.79	5926	1155000	1
2015.01.19	11.67	11.69	10.82	10.88	5228	1228000	1
2015.01.20	11.01	11.11	10.04	10.17	12945	3887100	1
2015.01.21	10.24	10.31	9.88	10.14	10722	2938600	1
2015.01.22	10.23	10.49	9.93	9.96	13992	3757300	1
2015.01.23	10.05	10.05	9.36	9.38	6948	2004600	1
2015.01.26	9.28	9.56	8.86	9.50	7151	2325600	1
2015.01.27	9.49	9.66	9.10	9.46	7803	1681200	1
2015.01.28	9.35	9.41	8.94	9.21	6176	1872500	1
2015.01.29	9.28	9.73	9.15	9.57	6544	1675300	1
2015.01.30	9.47	9.77	9.32	9.63	8164	2059800	1
2015.02.02	9.81	10.03	9.66	9.94	8662	2596200	1
2015.02.03	10.01	10.17	9.92	10.10	7537	2667900	1
2015.02.04	10.14	10.34	9.79	9.82	7789	2146400	1
2015.02.05	9.66	10.04	9.36	9.66	5766	2495400	1
2015.02.06	9.68	9.98	9.48	9.97	9844	2876800	1
2015.02.09	9.82	9.84	9.59	9.66	9314	3962000	1
2015.02.10	9.63	9.83	9.52	9.69	6216	1345100	1
2015.02.11	9.53	9.78	9.39	9.59	7731	2627200	1
2015.02.12	9.72	10.14	9.69	9.83	7305	2098300	1
2015.02.13	10.10	10.12	9.76	9.82	3869	944400	1
2015.02.18	9.90	10.11	9.76	9.78	6346	1476000	1
2015.02.19	9.84	9.88	9.59	9.59	5273	1646100	1
2015.02.20	9.67	9.87	9.60	9.83	3195	940300	1
2015.02.23	9.78	9.86	9.63	9.73	4110	1525200	1
2015.02.24	9.80	9.88	9.63	9.66	3868	1004700	1
2015.02.25	9.47	9.90	9.46	9.85	5402	3187700	1
2015.02.26	9.97	10.36	9.93	10.28	9395	2511000	1
2015.02.27	10.36	10.42	9.80	9.90	10023	3288100	1
2015.03.02	9.88	9.88	9.60	9.70	6983	1544800	1
2015.03.03	9.70	9.78	9.35	9.41	7939	2261500	1
2015.03.04	9.32	9.49	9.20	9.47	10456	2643500	1
2015.03.05	9.50	9.90	9.49	9.90	5542	1388500	1
2015.03.06	9.90	10.23	9.75	10.20	8033	1565700	1
2015.03.09	10.19	10.70	10.10	10.70	7830	2253000	1
2015.03.10	10.62	11.09	10.53	10.63	10682	2513900	1
2015.03.11	9.20	9.35	8.44	8.53	21429	13115500	1
2015.03.12	8.64	8.64	7.90	8.00	23364	8609300	1
2015.03.13	7.89	8.54	7.79	8.47	17508	5433500	1
2015.03.16	8.57	8.73	8.47	8.52	8242	2613400	1
2015.03.17	8.39	8.73	8.39	8.58	10390	2730900	1
2015.03.18	8.67	9.01	8.52	8.99	11087	3771400	1
2015.03.19	8.98	9.35	8.74	9.11	19248	4040300	1
2015.03.20	9.28	9.36	9.05	9.36	7426	1866900	1
2015.03.23	9.37	9.67	9.37	9.64	8748	2318000	1
2015.03.24	9.59	9.70	9.22	9.37	6133	1544600	1
2015.03.25	9.46	9.65	9.36	9.62	5405	1694200	1
2015.03.26	9.52	9.52	8.98	9.00	6880	1821400	1
2015.03.27	8.91	8.91	8.49	8.73	9153	2158500	1
2015.03.30	8.81	8.82	8.49	8.62	4649	1640900	1
2015.03.31	8.60	8.77	8.43	8.50	6024	2548200	1
2015.04.01	8.56	8.70	8.51	8.51	7922	1869000	1
2015.04.02	8.62	9.16	8.57	9.10	8006	2981100	1
2015.04.06	9.16	9.49	9.16	9.35	4453	1121300	1
2015.04.07	9.35	9.63	9.31	9.41	3151	771400	1
2015.04.08	9.59	9.73	9.40	9.61	8686	1643200	1
2015.04.09	9.59	9.70	9.30	9.32	5569	1444800	1
2015.04.10	9.14	9.57	9.11	9.50	4828	3356500	1
2015.04.13	9.49	9.77	9.26	9.59	8511	2990100	1
2015.04.14	9.75	9.80	9.60	9.80	3583	1159500	1
2015.04.15	9.84	10.15	9.84	10.10	6211	1164400	1
2015.04.16	10.09	10.12	9.63	9.71	5079	1334100	1
2015.04.17	9.63	9.91	9.22	9.58	5156	1389300	1
2015.04.20	9.75	9.88	9.61	9.69	3644	891200	1
2015.04.22	9.74	9.90	9.64	9.81	4868	999700	1
2015.04.23	9.79	10.13	9.77	10.04	4557	1057400	1
2015.04.24	10.06	10.30	9.90	10.10	6545	1785500	1
2015.04.27	10.14	10.16	9.70	9.71	5180	1159400	1
2015.04.28	9.90	10.11	9.58	10.06	6962	1757200	1
2015.04.29	9.93	10.29	9.80	10.02	4712	1248000	1
2015.04.30	10.02	10.26	9.93	10.26	5483	1561900	1
2015.05.04	10.26	11.48	10.22	11.43	10603	3130400	1
2015.05.05	11.34	11.69	10.92	10.92	6220	1796500	1
2015.05.06	10.98	11.44	10.76	11.06	7734	1784700	1
2015.05.07	10.95	11.27	10.75	11.07	5539	1265700	1
2015.05.08	11.20	12.23	11.20	12.08	9656	2563200	1
2015.05.11	11.97	12.42	11.52	11.61	8921	2310300	1
2015.05.12	11.56	12.33	11.54	11.88	10235	2807600	1
2015.05.13	12.10	12.21	11.73	12.19	5400	1422500	1
2015.05.14	12.21	12.65	12.02	12.12	8902	2611100	1
2015.05.15	12.17	12.35	11.82	11.89	5744	1330000	1
2015.05.18	11.97	12.01	11.42	11.57	7998	2102700	1
2015.05.19	11.61	11.84	11.45	11.72	5305	1144900	1
2015.05.20	11.55	11.89	11.29	11.60	8750	1905000	1
2015.05.21	11.34	11.52	11.07	11.32	5279	1469100	1
2015.05.22	11.32	11.56	10.73	10.79	10330	2745800	1
2015.05.25	10.76	11.21	10.55	10.96	3479	708200	1
2015.05.26	10.83	10.94	10.49	10.59	5763	1059000	1
2015.05.27	10.56	10.96	10.46	10.93	7082	1487900	1
2015.05.28	10.79	10.85	10.54	10.65	4217	928800	1
2015.05.29	10.52	10.81	10.34	10.56	7497	1695200	1
2015.06.01	10.52	10.71	10.41	10.44	3559	882900	1
2015.06.02	10.50	11.14	10.50	11.06	5850	1367900	1
2015.06.03	11.07	11.22	10.79	11.11	6500	1362000	1
2015.06.05	10.99	11.01	10.61	10.74	4102	1026400	1
2015.06.08	10.72	10.90	10.55	10.65	3032	790100	1
2015.06.09	10.66	11.14	10.59	11.00	5456	1361100	1
2015.06.10	11.20	11.60	11.16	11.29	5609	1385900	1
2015.06.11	11.29	11.60	11.29	11.48	5479	1362900	1
2015.06.12	11.32	11.59	11.24	11.47	4675	1134800	1
2015.06.15	11.47	11.60	11.24	11.56	5452	1163100	1
2015.06.16	11.56	11.66	11.24	11.47	8708	2351900	1
2015.06.17	11.44	11.53	10.98	11.01	7574	1905300	1
2015.06.18	11.07	11.34	10.94	11.27	4503	1079400	1
2015.06.19	10.97	11.01	10.10	10.10	8941	4255000	1
2015.06.22	10.10	10.34	9.43	10.14	11434	4232400	1
2015.06.23	10.30	10.59	10.26	10.46	6942	2071500	1
2015.06.24	10.34	10.83	10.26	10.69	8939	3201000	1
2015.06.25	10.74	10.74	10.50	10.71	7394	1927200	1
2015.06.26	10.69	11.34	10.69	11.19	10481	2574000	1
2015.06.29	11.03	11.27	10.80	10.95	6674	1319900	1
2015.06.30	10.83	11.17	10.81	11.09	7850	1471600	1
2015.07.01	11.10	11.14	10.51	10.57	6371	2019600	1
2015.07.02	10.65	10.80	10.39	10.46	4107	1001000	1
2015.07.03	10.46	10.47	10.10	10.12	3084	777200	1
2015.07.06	10.02	10.64	9.98	10.45	3843	1078900	1
2015.07.07	10.38	10.52	10.04	10.46	6242	1333500	1
2015.07.08	10.34	10.73	10.28	10.70	5589	1337600	1
2015.07.10	10.83	11.02	10.68	10.83	6890	1617800	1
2015.07.13	10.83	10.90	10.44	10.50	4324	1121500	1
2015.07.14	10.42	10.75	10.24	10.63	4357	984400	1
2015.07.15	10.51	10.85	10.51	10.73	5032	1579700	1
2015.07.16	10.77	10.87	10.55	10.75	4616	956700	1
2015.07.17	10.78	10.82	10.46	10.53	5293	1667700	1
2015.07.20	10.42	10.49	9.98	9.98	4733	1138300	1
2015.07.21	10.04	10.23	9.85	10.04	6080	1423800	1
2015.07.22	9.93	10.33	9.87	10.23	7707	1423900	1
2015.07.23	10.18	10.69	10.18	10.24	7762	1663000	1
2015.07.24	10.24	10.38	9.72	9.81	8055	1774300	1
2015.07.27	9.45	9.45	8.81	8.82	9370	3325600	1
2015.07.28	8.79	9.93	8.77	9.92	11886	3483500	1
2015.07.29	9.75	10.02	9.46	9.54	8187	2119900	1
2015.07.30	9.57	9.85	9.19	9.34	7456	1561700	1
2015.07.31	9.24	10.37	9.24	10.21	7600	2165200	1
2015.08.03	10.11	10.33	9.31	9.41	7309	2163000	1
2015.08.04	9.41	9.83	9.41	9.73	7184	1869400	1
2015.08.05	9.72	10.35	9.72	10.32	8877	2286200	1
2015.08.06	10.77	11.16	10.65	10.99	12944	3977400	1
2015.08.07	11.10	11.35	10.59	10.65	13392	2917100	1
2015.08.10	10.63	11.28	10.55	10.91	8696	2116200	1
2015.08.11	10.91	11.07	10.59	10.90	6355	1617700	1
2015.08.12	10.84	11.28	10.77	11.18	7200	1777800	1
2015.08.13	11.19	11.45	10.97	10.98	6879	1554200	1
2015.08.14	11.03	11.17	10.81	11.04	5493	1413600	1
2015.08.17	11.00	11.31	10.90	10.99	4879	1265400	1
2015.08.18	10.89	10.99	10.43	10.50	8268	2461400	1
2015.08.19	10.46	10.56	10.21	10.52	7546	1945800	1
2015.08.20	10.42	10.81	10.22	10.76	6532	1767500	1
2015.08.21	10.60	10.72	10.31	10.35	5834	1241900	1
2015.08.24	9.81	10.29	9.48	10.02	8921	2075800	1
2015.08.26	10.10	10.59	10.10	10.50	6121	1724400	1
2015.08.27	10.74	11.30	10.44	11.21	9349	2144900	1
2015.08.28	10.98	11.39	10.91	10.93	9082	2167600	1
2015.08.31	10.46	11.74	10.41	11.46	10012	3596600	1
2015.09.01	11.13	12.04	11.12	11.89	19258	5091900	1
2015.09.02	12.02	12.13	11.56	11.98	12505	4133500	1
2015.09.03	12.17	12.40	11.85	12.10	10907	2533900	1
2015.09.04	11.85	12.73	11.74	12.63	12186	3276000	1
2015.09.08	12.79	12.87	12.32	12.40	8659	3392400	1
2015.09.09	12.61	12.90	12.34	12.55	11255	2455700	1
2015.09.10	12.26	12.89	12.26	12.78	11519	4385100	1
2015.09.11	12.85	12.91	12.33	12.42	6671	1663100	1
2015.09.14	12.56	12.72	12.14	12.66	6808	1469800	1
2015.09.15	12.53	12.62	12.26	12.42	7598	2111700	1
2015.09.16	12.53	13.05	12.43	13.00	7190	1799800	1
2015.09.17	12.78	13.08	12.50	12.54	10397	2814400	1
2015.09.18	12.36	13.08	12.02	12.56	9939	2952400	1
2015.09.21	12.56	13.23	12.41	12.79	6420	1499000	1
2015.09.22	12.57	13.00	12.52	12.79	6368	1482200	1
2015.09.23	12.77	13.49	12.60	13.28	10251	2230600	1
2015.09.24	13.18	13.44	13.06	13.22	11058	2486900	1
2015.09.25	13.43	13.80	13.16	13.68	7715	1808800	1
2015.09.28	13.67	13.67	13.07	13.28	5827	1412400	1
2015.09.29	13.20	13.45	13.14	13.22	5353	1336300	1
2015.09.30	13.44	13.79	13.24	13.57	12749	3276000	1
2015.10.01	13.74	14.31	13.60	14.21	15578	3264900	1
2015.10.02	14.25	14.79	14.05	14.65	11375	2806600	1
2015.10.05	14.89	14.89	14.29	14.71	8718	2171600	1
2015.10.06	14.65	15.47	14.50	15.41	11406	3022600	1
2015.10.07	15.46	15.85	15.12	15.42	11360	2635300	1
2015.10.08	15.28	15.76	15.26	15.51	7152	1606600	1
2015.10.09	15.58	15.58	14.91	15.43	11073	2621700	1
2015.10.13	15.24	15.46	15.03	15.35	7780	1726200	1
2015.10.14	15.20	15.68	15.20	15.41	18621	3815800	1
2015.10.15	15.38	15.61	14.78	15.21	8687	1841100	1
2015.10.16	15.21	16.50	15.08	16.13	12440	2979900	1
2015.10.19	16.13	17.17	16.02	16.97	14560	3592800	1
2015.10.20	17.02	17.02	16.19	16.59	17948	3883700	1
2015.10.21	16.53	16.80	16.21	16.63	12249	2810600	1
2015.10.22	16.71	17.12	16.62	16.87	12219	2367000	1
2015.10.23	17.10	17.12	16.66	16.81	9842	1889200	1
2015.10.26	16.71	17.34	16.65	17.26	9428	2220700	1
2015.10.27	17.26	17.68	17.19	17.68	10936	2118000	1
2015.10.28	17.68	18.07	17.30	17.48	11036	2727400	1
2015.10.29	17.30	17.71	17.04	17.26	10564	2401800	1
2015.10.30	17.31	18.00	17.26	17.74	14761	3904500	1
2015.11.03	17.70	17.83	17.26	17.50	14241	2904800	1
2015.11.04	17.64	17.92	17.45	17.64	12704	2119300	1
2015.11.05	17.67	18.05	17.59	17.76	10097	2188400	1
2015.11.06	17.77	18.38	17.54	18.12	10340	2047800	1
2015.11.09	18.13	18.77	18.03	18.18	8616	2158500	1
2015.11.10	18.31	18.32	17.70	18.03	12946	2516600	1
2015.11.11	17.92	19.25	17.92	19.23	12885	3309000	1
2015.11.12	19.25	19.49	18.62	19.16	14382	3052700	1
2015.11.13	19.10	19.12	18.50	18.99	17076	3984900	1
2015.11.16	19.10	19.69	19.10	19.38	9005	1996600	1
2015.11.17	19.58	20.91	19.12	20.46	16287	4123100	1
2015.11.18	20.35	20.94	20.19	20.49	12424	2887700	1
2015.11.19	20.66	21.57	20.52	21.57	13210	2825800	1
