<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	11.66	11.78	11.15	11.27	12878	3269000	1
2015.01.05	11.12	11.54	10.91	10.95	17297	6238400	1
2015.01.06	11.02	11.22	10.89	11.11	17086	5286900	1
2015.01.07	11.15	12.09	11.14	11.94	19476	11034500	1
2015.01.08	11.94	12.25	11.87	12.08	17435	5775600	1
2015.01.09	12.01	12.08	11.86	11.90	11325	4119600	1
2015.01.12	11.98	12.05	11.74	11.79	11142	4598800	1
2015.01.13	11.76	12.48	11.76	12.06	16122	6369400	1
2015.01.14	11.94	12.38	11.87	12.29	16761	5318000	1
2015.01.15	12.25	13.03	12.25	12.38	23379	10795500	1
2015.01.16	12.41	12.97	12.40	12.78	24058	6968900	1
2015.01.19	12.60	12.78	12.25	12.40	9649	3242600	1
2015.01.20	12.54	12.71	12.37	12.42	10963	3008900	1
2015.01.21	12.45	12.91	12.40	12.71	17664	7191900	1
2015.01.22	12.78	12.91	12.26	12.38	16103	4646900	1
2015.01.23	12.27	12.52	12.11	12.44	15232	4590800	1
2015.01.26	12.28	12.30	11.88	12.09	21369	5649100	1
2015.01.27	11.95	12.61	11.83	12.44	18142	5092100	1
2015.01.28	12.39	12.77	12.18	12.61	16225	4838200	1
2015.01.29	12.61	12.75	12.20	12.59	26052	7050600	1
2015.01.30	12.51	12.51	11.70	11.70	23854	10363300	1
2015.02.02	11.87	12.19	11.80	11.97	12050	4159500	1
2015.02.03	12.17	12.43	12.08	12.42	15267	5006400	1
2015.02.04	12.42	12.63	12.07	12.36	17486	6172200	1
2015.02.05	12.27	12.77	12.24	12.46	13830	3640200	1
2015.02.06	12.32	12.46	12.01	12.19	16574	3534500	1
2015.02.09	12.17	12.42	12.03	12.19	9742	3053500	1
2015.02.10	12.25	12.48	11.93	11.93	15207	5722500	1
2015.02.11	11.99	12.22	11.68	11.86	12036	3735200	1
2015.02.12	12.08	12.17	11.79	11.97	13271	4430500	1
2015.02.13	12.04	12.51	11.95	12.51	9828	3757500	1
2015.02.18	12.54	12.70	12.49	12.68	13905	5192800	1
2015.02.19	12.52	12.84	12.44	12.59	9336	3073600	1
2015.02.20	12.53	12.71	12.45	12.71	9021	2754000	1
2015.02.23	12.68	13.00	12.55	12.77	11907	4535800	1
2015.02.24	12.88	12.94	12.58	12.86	15293	4087700	1
2015.02.25	12.71	12.87	12.53	12.75	12675	4079500	1
2015.02.26	12.69	12.71	12.34	12.61	13518	3589000	1
2015.02.27	12.61	12.99	12.45	12.76	17224	5437100	1
2015.03.02	12.63	12.71	12.28	12.28	11139	3734500	1
2015.03.03	12.35	12.35	11.90	12.06	15741	3898200	1
2015.03.04	11.86	11.99	11.55	11.63	18229	6414200	1
2015.03.05	11.73	11.99	11.64	11.85	14702	4881900	1
2015.03.06	11.87	11.94	11.44	11.52	10724	4213900	1
2015.03.09	11.52	11.52	10.78	10.78	29906	11916400	1
2015.03.10	10.85	11.47	10.84	11.19	27545	12105600	1
2015.03.11	11.27	11.27	11.02	11.25	13938	8286700	1
2015.03.12	11.43	11.48	11.11	11.28	18189	5819900	1
2015.03.13	10.85	11.01	10.75	10.75	14890	10862400	1
2015.03.16	10.82	11.35	10.82	11.35	13619	6501100	1
2015.03.17	11.36	11.77	11.34	11.66	16001	8633500	1
2015.03.18	11.58	12.22	11.48	12.22	14317	5174000	1
2015.03.19	12.15	12.23	11.77	11.86	16052	4025100	1
2015.03.20	12.13	12.51	11.95	12.42	15561	6105400	1
2015.03.23	12.42	12.71	12.29	12.71	10920	4013300	1
2015.03.24	12.70	12.90	12.68	12.74	14574	6639100	1
2015.03.25	12.91	12.96	12.67	12.74	14030	9126700	1
2015.03.26	12.52	12.61	12.32	12.40	14140	7625800	1
2015.03.27	12.19	12.65	12.11	12.40	13889	4520200	1
2015.03.30	12.39	12.85	12.37	12.68	9705	3209500	1
2015.03.31	12.61	12.86	12.48	12.48	26717	7991200	1
2015.04.01	12.71	12.79	12.55	12.70	18442	6297900	1
2015.04.02	12.71	12.84	12.42	12.55	19697	6007500	1
2015.04.06	12.75	13.16	12.52	12.57	13836	3898600	1
2015.04.07	12.67	12.84	12.32	12.39	11336	2914700	1
2015.04.08	12.42	12.81	12.34	12.47	12517	3930900	1
2015.04.09	12.42	12.86	12.42	12.71	13410	4572600	1
2015.04.10	12.59	12.89	12.58	12.83	8088	2106300	1
2015.04.13	12.77	12.86	12.48	12.61	10069	2462200	1
2015.04.14	12.74	12.74	12.20	12.30	10070	3799500	1
2015.04.15	12.42	12.71	12.42	12.62	14908	2838900	1
2015.04.16	12.61	12.85	12.50	12.82	10303	3084900	1
2015.04.17	12.59	12.65	12.29	12.29	15835	3213400	1
2015.04.20	12.44	12.47	12.11	12.44	5785	1688400	1
2015.04.22	12.58	12.64	12.32	12.45	8383	2154100	1
2015.04.23	12.39	12.91	12.37	12.71	7467	1700000	1
2015.04.24	12.82	12.82	12.36	12.39	14050	4119500	1
2015.04.27	12.41	12.52	12.21	12.21	8871	2883600	1
