<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	18.69	18.72	17.79	17.89	14141	7044887	1
2015.01.05	17.98	17.98	17.19	17.28	13128	7171197	1
2015.01.06	17.36	17.48	16.89	16.94	14109	7412594	1
2015.01.07	17.04	17.36	17.03	17.09	20145	9971078	1
2015.01.08	17.23	17.68	17.07	17.57	13888	8567772	1
2015.01.09	17.39	17.94	17.19	17.94	10727	5098294	1
2015.01.12	17.76	17.78	17.33	17.49	12507	6684254	1
2015.01.13	17.59	17.59	16.88	16.88	13413	6593878	1
2015.01.14	16.79	17.32	16.47	17.05	12062	5040055	1
2015.01.15	17.11	17.39	16.72	16.84	13858	6083601	1
2015.01.16	17.66	17.77	17.36	17.57	21955	14211254	1
2015.01.19	17.49	17.89	16.91	17.20	8124	3977859	1
2015.01.20	17.42	17.42	17.00	17.39	6476	2688427	1
2015.01.21	17.52	17.84	17.15	17.54	11554	6229451	1
2015.01.22	17.74	17.84	17.30	17.77	9019	5195405	1
2015.01.23	17.74	17.74	17.19	17.37	9120	4595969	1
2015.01.26	17.25	17.45	16.91	16.96	8195	3570746	1
2015.01.27	17.00	17.54	16.67	17.52	14897	5773755	1
2015.01.28	17.34	17.82	17.20	17.62	12211	5280590	1
2015.01.29	17.66	18.33	17.25	18.12	25294	8988546	1
2015.01.30	17.93	18.24	17.50	18.02	29236	14046056	1
2015.02.02	18.02	18.12	17.89	18.03	15705	6092422	1
2015.02.03	18.18	18.24	17.99	18.24	12734	6263140	1
2015.02.04	18.23	18.59	18.03	18.50	16912	6276441	1
2015.02.05	18.42	18.81	18.41	18.65	12565	7608037	1
2015.02.06	18.60	18.90	18.34	18.77	20100	7989929	1
2015.02.09	18.67	19.04	18.56	18.74	20415	8450445	1
2015.02.10	18.64	19.14	18.64	19.10	19074	7480000	1
2015.02.11	19.09	19.21	18.37	18.81	18620	6439743	1
2015.02.12	19.12	19.41	18.95	19.36	15495	8509025	1
2015.02.13	19.15	19.57	19.15	19.37	9625	4984935	1
2015.02.18	19.57	19.82	19.37	19.55	15392	6069253	1
2015.02.19	19.66	19.66	19.26	19.46	9583	3696368	1
2015.02.20	19.47	19.59	19.27	19.46	6887	2631396	1
2015.02.23	19.46	19.57	19.32	19.56	7685	4016903	1
2015.02.24	19.54	19.66	19.33	19.58	11927	6427296	1
2015.02.25	19.33	19.45	19.23	19.45	13498	5111431	1
2015.02.26	19.46	19.78	19.27	19.78	8047	3041112	1
2015.02.27	19.82	20.24	19.67	20.14	15407	5877797	1
2015.03.02	19.92	20.00	19.69	19.71	11195	4118345	1
2015.03.03	19.71	20.10	19.69	20.00	14039	4815580	1
