<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	14.96	14.98	14.16	14.27	5830	1033180	1
2015.01.05	14.08	14.28	13.94	14.20	7355	1297346	1
2015.01.06	14.34	14.62	14.09	14.50	3809	787296	1
2015.01.07	14.49	15.25	14.36	14.96	6553	1216090	1
2015.01.08	15.02	15.41	14.73	15.38	5303	1253735	1
2015.01.09	15.33	15.33	14.28	14.34	9696	2723079	1
2015.01.12	14.19	14.48	14.01	14.23	5445	939411	1
2015.01.13	14.34	14.80	14.21	14.68	6792	1779922	1
2015.01.14	14.45	15.42	14.42	15.15	8824	2065914	1
2015.01.15	15.17	15.49	14.71	14.76	6983	1591659	1
2015.01.16	14.79	15.56	14.69	15.29	3922	918369	1
2015.01.19	15.14	15.25	13.89	14.18	5651	1577244	1
2015.01.20	14.69	14.69	13.67	13.80	7992	2631787	1
2015.01.21	13.88	14.43	13.68	14.40	5834	2605170	1
2015.01.22	14.49	14.49	13.80	13.94	5756	1981883	1
2015.01.23	13.77	13.89	13.28	13.40	8563	2211317	1
2015.01.26	13.40	13.66	13.05	13.52	5845	1857871	1
2015.01.27	13.27	13.99	13.27	13.96	5045	1294240	1
2015.01.28	13.75	14.14	13.68	13.92	3538	662313	1
2015.01.29	13.76	14.30	13.76	14.28	3908	983791	1
2015.01.30	13.99	14.08	13.63	13.63	4047	895591	1
2015.02.02	13.72	14.86	13.56	14.85	7939	1963711	1
2015.02.03	14.94	15.20	14.07	14.70	8062	1803988	1
2015.02.04	14.61	14.67	14.14	14.25	8237	1362548	1
2015.02.05	14.00	14.42	14.00	14.15	4382	857640	1
2015.02.06	14.08	14.36	13.85	14.26	6220	1072081	1
2015.02.09	14.16	14.91	14.12	14.62	5741	1091119	1
2015.02.10	14.35	14.67	14.11	14.11	5172	1027406	1
2015.02.11	14.01	14.43	13.93	14.01	6932	1586006	1
2015.02.12	14.31	14.73	14.10	14.73	5897	1660940	1
2015.02.13	14.49	14.93	14.35	14.89	4669	1388437	1
2015.02.18	15.13	15.13	14.77	14.91	6525	1421791	1
2015.02.19	14.70	15.06	14.70	15.01	4151	984751	1
2015.02.20	14.99	15.01	14.53	14.66	2265	492763	1
2015.02.23	14.48	14.91	14.44	14.57	2471	546319	1
2015.02.24	14.66	15.25	14.52	15.02	5135	1092724	1
2015.02.25	14.89	15.20	14.83	15.09	3875	1104699	1
2015.02.26	15.21	15.56	14.97	15.50	3481	1066742	1
2015.02.27	15.55	15.72	14.98	15.03	7479	1775980	1
2015.03.02	15.03	15.10	14.81	14.83	4406	989668	1
2015.03.03	15.17	15.17	14.70	14.96	4488	807603	1
2015.03.04	14.60	14.78	14.21	14.45	5421	1021943	1
2015.03.05	14.37	14.69	14.29	14.53	4534	982293	1
2015.03.06	14.50	14.55	14.19	14.53	3856	698559	1
2015.03.09	14.45	14.45	14.03	14.28	4219	748268	1
2015.03.10	14.18	14.66	13.97	14.11	7346	1339780	1
2015.03.11	14.25	14.30	14.04	14.22	2668	614111	1
2015.03.12	14.57	14.79	14.44	14.79	5851	1491285	1
2015.03.13	14.45	14.70	14.40	14.49	6301	1445103	1
2015.03.16	14.50	14.77	14.36	14.69	3529	633556	1
2015.03.17	14.76	15.05	14.51	15.05	4243	891731	1
2015.03.18	14.99	15.57	14.82	15.30	5319	1191608	1
2015.03.19	15.32	15.37	14.94	14.94	3746	756079	1
2015.03.20	15.04	15.97	15.04	15.70	6064	1567830	1
2015.03.23	15.64	15.89	15.44	15.72	6355	1268595	1
