<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	2.44	2.46	2.30	2.35	2594	4807000	1
2015.01.05	2.31	2.33	2.25	2.28	4934	6601000	1
2015.01.06	2.28	2.31	2.23	2.26	3095	4752000	1
2015.01.07	2.28	2.41	2.28	2.40	4200	5733000	1
2015.01.08	2.40	2.43	2.36	2.38	2135	3166000	1
2015.01.09	2.37	2.37	2.24	2.26	3378	4898000	1
2015.01.12	2.26	2.27	2.17	2.19	3327	4180000	1
2015.01.13	2.20	2.24	2.17	2.21	2761	4172000	1
2015.01.14	2.19	2.26	2.19	2.25	1869	2542000	1
2015.01.15	2.27	2.38	2.27	2.27	3813	9537000	1
2015.01.16	2.27	2.40	2.27	2.36	2838	4806000	1
2015.01.19	2.34	2.36	2.20	2.22	2267	4323000	1
2015.01.20	2.27	2.27	2.15	2.17	4380	7061000	1
2015.01.21	2.21	2.23	2.15	2.21	3148	5307000	1
2015.01.22	2.26	2.32	2.21	2.21	2243	6610000	1
2015.01.23	2.22	2.26	2.16	2.18	1704	2785000	1
2015.01.26	2.16	2.18	2.12	2.18	3072	4676000	1
2015.01.27	2.15	2.24	2.11	2.21	2439	3988000	1
2015.01.28	2.21	2.24	2.17	2.21	2257	3466000	1
2015.01.29	2.21	2.30	2.17	2.28	2905	5209000	1
2015.01.30	2.23	2.23	2.12	2.15	4310	8627000	1
2015.02.02	2.17	2.30	2.13	2.28	3119	4674000	1
2015.02.03	2.33	2.33	2.24	2.29	4310	6753000	1
2015.02.04	2.30	2.32	2.20	2.22	3757	5690000	1
2015.02.05	2.20	2.23	2.14	2.17	3846	5340000	1
2015.02.06	2.14	2.18	2.13	2.17	2885	4900000	1
2015.02.09	2.15	2.23	2.12	2.20	2035	2956000	1
2015.02.10	2.17	2.19	2.12	2.12	3411	5356000	1
2015.02.11	2.12	2.15	2.11	2.15	2623	5411000	1
2015.02.12	2.17	2.24	2.16	2.24	3411	5938000	1
2015.02.13	2.21	2.32	2.21	2.30	2536	5114000	1
2015.02.18	2.26	2.31	2.19	2.28	7314	10694000	1
2015.02.19	2.24	2.31	2.23	2.26	4913	6933000	1
2015.02.20	2.25	2.26	2.17	2.19	2816	4382000	1
2015.02.23	2.17	2.23	2.16	2.23	1929	4724000	1
2015.02.24	2.23	2.23	2.19	2.22	3166	4791000	1
2015.02.25	2.20	2.27	2.19	2.27	2549	3680000	1
2015.02.26	2.26	2.33	2.24	2.33	3108	4794000	1
2015.02.27	2.33	2.38	2.31	2.38	5084	10067000	1
2015.03.02	2.38	2.38	2.32	2.36	3393	5122000	1
2015.03.03	2.38	2.39	2.32	2.33	2515	4472000	1
2015.03.04	2.29	2.31	2.23	2.25	2658	4327000	1
2015.03.05	2.25	2.28	2.22	2.22	2540	4036000	1
2015.03.06	2.22	2.27	2.20	2.27	2100	2885000	1
2015.03.09	2.23	2.25	2.18	2.18	2509	6050000	1
2015.03.10	2.15	2.25	2.14	2.22	3324	4718000	1
2015.03.11	2.24	2.25	2.18	2.20	2983	4348000	1
2015.03.12	2.22	2.30	2.21	2.30	2943	5244000	1
2015.03.13	2.23	2.24	2.19	2.22	5362	8145000	1
2015.03.16	2.22	2.26	2.21	2.25	3054	4559000	1
2015.03.17	2.22	2.31	2.22	2.29	3181	7215000	1
2015.03.18	2.29	2.34	2.24	2.34	3625	6881000	1
2015.03.19	2.34	2.34	2.28	2.31	2397	3477000	1
2015.03.20	2.36	2.43	2.31	2.40	3560	6412000	1
2015.03.23	2.38	2.42	2.35	2.39	3594	4860000	1
2015.03.24	2.39	2.42	2.34	2.35	3524	4855000	1
2015.03.25	2.38	2.42	2.33	2.33	4030	6667000	1
2015.03.26	2.30	2.33	2.25	2.26	3268	5445000	1
2015.03.27	2.25	2.33	2.23	2.30	3459	4725000	1
2015.03.30	2.29	2.37	2.28	2.34	1747	2746000	1
2015.03.31	2.31	2.34	2.29	2.32	2978	6030000	1
2015.04.01	2.35	2.46	2.32	2.42	5399	7474000	1
2015.04.02	2.48	2.52	2.46	2.48	6011	9486000	1
2015.04.06	2.48	2.56	2.48	2.54	2287	3895000	1
2015.04.07	2.54	2.55	2.42	2.44	2664	4678000	1
2015.04.08	2.48	2.48	2.37	2.40	2745	3783000	1
2015.04.09	2.36	2.41	2.34	2.36	3646	5206000	1
2015.04.10	2.36	2.46	2.36	2.46	3172	4096000	1
2015.04.13	2.46	2.53	2.44	2.51	3633	5595000	1
2015.04.14	2.51	2.51	2.44	2.44	3393	6565000	1
2015.04.15	2.47	2.52	2.43	2.47	3442	5052000	1
2015.04.16	2.47	2.48	2.42	2.45	3548	5086000	1
2015.04.17	2.47	2.47	2.42	2.43	2964	3784000	1
2015.04.20	2.42	2.44	2.40	2.41	1741	2642000	1
2015.04.22	2.43	2.45	2.40	2.41	3322	6898000	1
2015.04.23	2.42	2.45	2.41	2.44	4588	6358000	1
2015.04.24	2.44	2.48	2.43	2.43	2876	4374000	1
2015.04.27	2.43	2.46	2.38	2.41	2415	4412000	1
2015.04.28	2.44	2.46	2.39	2.46	2614	3958000	1
2015.04.29	2.43	2.45	2.37	2.42	3169	6525000	1
2015.04.30	2.39	2.41	2.30	2.40	3465	8366000	1
2015.05.04	2.43	2.48	2.39	2.46	4793	6809000	1
2015.05.05	2.42	2.51	2.42	2.50	2521	4053000	1
2015.05.06	2.49	2.51	2.44	2.49	2774	4395000	1
2015.05.07	2.45	2.48	2.44	2.45	2033	2983000	1
2015.05.08	2.48	2.48	2.45	2.46	2900	4329000	1
2015.05.11	2.48	2.51	2.45	2.48	2801	4193000	1
2015.05.12	2.47	2.51	2.44	2.45	4747	6639000	1
2015.05.13	2.44	2.48	2.39	2.41	3591	4696000	1
2015.05.14	2.41	2.42	2.33	2.37	4648	8017000	1
2015.05.15	2.41	2.51	2.41	2.46	6216	10012000	1
2015.05.18	2.45	2.50	2.42	2.44	4002	8176000	1
2015.05.19	2.44	2.49	2.43	2.49	3257	4669000	1
2015.05.20	2.47	2.50	2.42	2.43	3289	4399000	1
2015.05.21	2.42	2.43	2.37	2.39	2901	4571000	1
2015.05.22	2.40	2.42	2.36	2.38	3785	5657000	1
2015.05.25	2.37	2.47	2.36	2.45	1453	2170000	1
2015.05.26	2.45	2.45	2.37	2.40	3823	5103000	1
2015.05.27	2.40	2.42	2.35	2.42	3344	6344000	1
2015.05.28	2.39	2.42	2.38	2.40	1797	4223000	1
2015.05.29	2.37	2.40	2.32	2.32	3652	7135000	1
2015.06.01	2.34	2.39	2.31	2.38	3122	4715000	1
2015.06.02	2.38	2.39	2.34	2.36	4231	6557000	1
2015.06.03	2.38	2.42	2.34	2.39	4525	7361000	1
2015.06.05	2.43	2.43	2.31	2.33	3158	6461000	1
2015.06.08	2.31	2.35	2.30	2.30	2345	4488000	1
2015.06.09	2.31	2.40	2.30	2.35	7752	13441000	1
2015.06.10	2.35	2.38	2.34	2.37	2414	4190000	1
2015.06.11	2.39	2.39	2.35	2.37	3147	4617000	1
2015.06.12	2.35	2.35	2.30	2.34	4250	8174000	1
2015.06.15	2.35	2.35	2.29	2.33	3805	9485000	1
2015.06.16	2.34	2.42	2.32	2.38	7021	12744000	1
2015.06.17	2.38	2.41	2.38	2.40	4224	7698000	1
2015.06.18	2.40	2.45	2.38	2.43	4188	6584000	1
2015.06.19	2.41	2.43	2.36	2.37	4424	7727000	1
2015.06.22	2.39	2.42	2.39	2.41	2685	4580000	1
2015.06.23	2.43	2.45	2.40	2.41	2935	6318000	1
2015.06.24	2.43	2.46	2.38	2.42	3967	6352000	1
2015.06.25	2.40	2.42	2.36	2.38	4196	7236000	1
2015.06.26	2.39	2.48	2.36	2.48	7186	12033000	1
2015.06.29	2.45	2.47	2.39	2.42	4839	7535000	1
2015.06.30	2.40	2.48	2.38	2.48	5165	8805000	1
2015.07.01	2.48	2.48	2.41	2.45	4510	11656000	1
2015.07.02	2.43	2.50	2.43	2.47	3588	5867000	1
2015.07.03	2.45	2.51	2.43	2.51	2534	4437000	1
2015.07.06	2.48	2.49	2.41	2.42	3280	5499000	1
2015.07.07	2.40	2.44	2.37	2.43	3988	4968000	1
2015.07.08	2.41	2.49	2.41	2.45	4401	6775000	1
2015.07.10	2.45	2.51	2.41	2.51	6884	8975000	1
2015.07.13	2.52	2.53	2.49	2.52	2712	4801000	1
2015.07.14	2.50	2.57	2.50	2.56	3373	4666000	1
