<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.07.20	14.05	14.14	13.50	14.01	24386	34489700	1
2017.07.21	14.15	14.18	13.98	14.10	6020	4515000	1
2017.07.24	14.15	14.29	14.10	14.24	4988	4833300	1
2017.07.25	14.20	14.48	14.11	14.48	9200	5926300	1
2017.07.26	14.52	14.53	14.19	14.19	6106	9220500	1
2017.07.27	14.27	14.33	14.15	14.23	9185	2439800	1
2017.07.28	14.23	14.27	14.05	14.10	10562	2768600	1
2017.07.31	14.10	14.37	14.04	14.23	8231	5118800	1
2017.08.01	14.30	14.47	14.20	14.34	3260	2329900	1
2017.08.02	14.34	14.41	14.24	14.35	2409	1489400	1
2017.08.03	14.32	14.40	14.19	14.34	2532	2652900	1
2017.08.04	14.34	14.38	13.86	13.86	6809	7918900	1
2017.08.07	14.01	14.04	13.57	13.82	3645	3439400	1
2017.08.08	13.82	13.90	13.63	13.74	1928	2644800	1
2017.08.09	13.77	13.78	13.41	13.57	5112	3586900	1
2017.08.10	13.58	13.65	13.25	13.62	3546	3139900	1
2017.08.11	13.75	14.32	13.75	14.28	7310	6112400	1
2017.08.14	14.33	14.33	14.14	14.19	2459	2167500	1
2017.08.15	14.18	14.27	14.04	14.25	1392	1441600	1
2017.08.16	14.25	14.26	14.02	14.18	1896	1747400	1
2017.08.17	14.18	14.18	13.96	14.00	1486	5984100	1
2017.08.18	14.08	14.10	13.85	13.91	3179	1360800	1
2017.08.21	13.91	13.95	13.46	13.68	3470	1474400	1
2017.08.22	13.77	13.92	13.58	13.58	4906	2691500	1
2017.08.23	13.70	14.05	13.57	14.01	4447	1056400	1
2017.08.24	14.01	14.47	14.01	14.47	4592	2184200	1
2017.08.25	14.43	14.54	14.19	14.50	6585	1834100	1
2017.08.28	14.92	15.36	14.85	15.12	11624	8039100	1
2017.08.29	15.12	15.73	15.04	15.45	10819	6850600	1
2017.08.30	15.51	15.75	15.04	15.04	6856	5597400	1
2017.08.31	14.66	14.90	14.44	14.85	13993	9121700	1
2017.09.01	14.99	15.22	14.85	14.88	7123	3249200	1
2017.09.04	14.92	15.31	14.92	15.13	5074	1843600	1
2017.09.05	15.25	15.36	15.01	15.12	7387	3744800	1
2017.09.06	15.29	15.29	14.85	15.18	6074	1988900	1
2017.09.08	15.09	15.36	15.00	15.26	2135	2589800	1
2017.09.11	15.36	15.86	15.27	15.70	6613	5689800	1
2017.09.12	15.53	15.82	15.42	15.60	3737	1326900	1
2017.09.13	15.61	15.69	15.44	15.49	2531	1180400	1
2017.09.14	15.49	15.64	15.26	15.46	2512	804500	1
2017.09.15	15.42	15.65	15.32	15.65	6665	3090200	1
2017.09.18	15.69	15.79	15.29	15.79	4656	3483400	1
2017.09.19	15.84	16.06	15.43	15.91	5017	4705900	1
2017.09.20	15.92	16.02	15.63	15.93	4808	2388300	1
2017.09.21	15.98	15.98	15.52	15.95	4862	1408100	1
2017.09.22	15.92	15.95	15.24	15.41	9618	8837200	1
2017.09.25	15.58	15.58	14.76	15.08	6273	2944300	1
2017.09.26	15.10	15.35	14.95	15.13	3551	5143100	1
2017.09.27	15.32	15.32	14.85	14.95	1439	753800	1
2017.09.28	14.96	15.04	14.44	14.81	9169	2144400	1
2017.09.29	14.81	14.95	14.45	14.58	5601	1929100	1
2017.10.02	14.58	14.58	14.29	14.29	7022	2059400	1
2017.10.03	14.31	14.55	14.15	14.45	7791	3692200	1
2017.10.04	14.52	14.80	14.46	14.76	5299	1581100	1
2017.10.05	14.82	15.32	14.82	15.06	6145	2847300	1
2017.10.06	15.06	15.19	14.91	15.13	6581	3011400	1
2017.10.09	15.03	15.15	14.95	15.09	2775	4946400	1
2017.10.10	15.09	15.30	15.05	15.21	3640	3667200	1
2017.10.11	15.20	15.31	14.95	15.04	2307	877900	1
2017.10.13	15.13	15.45	15.05	15.14	6989	3139000	1
2017.10.16	15.22	15.39	14.78	14.83	5655	1823800	1
2017.10.17	14.90	15.03	14.59	14.64	5325	1353700	1
2017.10.18	14.79	15.42	14.66	15.32	7295	5377700	1
2017.10.19	15.27	15.42	14.92	15.27	7511	2790100	1
2017.10.20	15.27	15.60	15.23	15.38	5654	1370900	1
2017.10.23	15.38	15.51	14.97	15.19	7704	2520800	1
2017.10.24	15.19	15.34	15.02	15.17	5229	886900	1
2017.10.25	15.17	15.46	15.06	15.26	6139	1122400	1
2017.10.26	15.36	15.42	15.06	15.07	5236	1085500	1
2017.10.27	15.09	15.42	14.87	15.24	5154	1335700	1
2017.10.30	15.24	15.24	14.88	14.93	5821	1697500	1
2017.10.31	15.02	15.48	14.81	15.12	7680	1855100	1
2017.11.01	15.13	15.30	14.99	15.17	10463	1532500	1
2017.11.03	15.09	15.75	15.09	15.36	9827	2754800	1
2017.11.06	15.28	15.42	15.14	15.14	7083	1725800	1
2017.11.07	15.11	15.29	14.82	14.85	9988	3695400	1
2017.11.08	14.92	15.16	14.81	15.06	5686	1189100	1
2017.11.09	15.04	15.04	14.21	14.34	12252	4478800	1
2017.11.10	14.35	14.52	13.88	13.91	8469	2507400	1
2017.11.13	14.00	14.06	13.45	13.63	9835	8650200	1
2017.11.14	13.88	13.99	13.58	13.63	12130	10380400	1
2017.11.16	13.72	13.97	13.65	13.87	6295	5115300	1
2017.11.17	13.93	14.05	13.74	13.82	9116	4863100	1
2017.11.21	13.88	14.05	13.72	13.93	20421	7986900	1
2017.11.22	14.01	14.10	13.87	14.05	8979	5913900	1
2017.11.23	14.12	14.37	13.93	14.21	8207	4950300	1
2017.11.24	14.21	14.45	13.84	14.20	6138	1921600	1
2017.11.27	14.25	14.85	14.02	14.85	13054	8006400	1
2017.11.28	14.77	15.39	14.77	15.25	14858	11424100	1
2017.11.29	15.22	15.39	14.67	14.76	18679	11693900	1
2017.11.30	14.83	14.94	14.12	14.28	25647	47233000	1
2017.12.01	14.28	14.64	13.91	14.17	8739	3133500	1
2017.12.04	14.23	14.62	14.16	14.54	4904	2523900	1
2017.12.05	14.44	14.77	14.24	14.52	5979	1440700	1
2017.12.06	14.38	14.72	14.35	14.72	4148	4593400	1
2017.12.07	14.63	14.85	14.31	14.76	5408	1862800	1
2017.12.08	14.86	14.92	14.53	14.58	5050	1308900	1
2017.12.11	14.73	15.10	14.41	14.84	2994	1253200	1
2017.12.12	14.66	14.94	14.51	14.72	1857	475900	1
2017.12.13	14.72	14.91	14.38	14.38	4600	2024200	1
2017.12.14	14.35	14.56	14.15	14.25	5103	2662000	1
2017.12.15	14.18	14.51	14.18	14.43	5435	2349000	1
2017.12.18	14.48	14.66	14.20	14.26	5026	2091700	1
2017.12.19	14.31	14.43	13.80	13.82	10491	2494700	1
2017.12.20	13.96	14.01	13.69	13.82	6348	2061300	1
2017.12.21	13.87	13.90	13.61	13.72	6216	3102300	1
2017.12.22	13.77	13.89	13.64	13.86	3109	1235900	1
2017.12.26	13.80	14.10	13.80	13.91	1751	618300	1
2017.12.27	13.93	14.20	13.93	14.15	2049	1560800	1
2017.12.28	14.10	14.34	14.09	14.34	3577	2043700	1
2018.01.02	14.29	14.64	14.22	14.56	9953	1956400	1
2018.01.03	14.56	14.66	14.35	14.47	4896	1422800	1
2018.01.04	14.49	14.57	14.20	14.20	5067	1223700	1
2018.01.05	14.21	14.23	14.01	14.10	5187	1747000	1
2018.01.08	14.14	14.19	13.73	13.73	6624	1959400	1
2018.01.09	13.80	13.93	13.60	13.60	11833	5387300	1
2018.01.10	13.71	13.78	13.18	13.35	7095	5695600	1
2018.01.11	13.41	13.62	13.07	13.46	6996	4976800	1
2018.01.12	13.46	13.83	13.27	13.75	5717	2438800	1
2018.01.15	13.75	13.79	13.64	13.66	5299	1965900	1
2018.01.16	13.72	13.76	13.57	13.64	4543	1309400	1
2018.01.17	13.71	14.05	13.66	14.05	7802	4525700	1
2018.01.18	14.06	14.10	13.83	13.83	5074	2090400	1
2018.01.19	13.95	13.95	13.72	13.95	1761	7802400	1
2018.01.22	13.88	14.23	13.85	14.22	5021	4015500	1
2018.01.23	14.47	14.57	14.12	14.24	6913	9706700	1
2018.01.24	14.31	14.59	14.12	14.59	6656	8662200	1
2018.01.26	14.57	15.34	14.33	15.13	11515	7069000	1
2018.01.29	15.04	15.23	14.79	15.06	8007	11192600	1
2018.01.30	15.04	15.08	14.76	14.91	4019	2335100	1
2018.01.31	14.96	15.22	14.96	15.13	5291	4941100	1
2018.02.01	15.05	15.51	15.05	15.43	6189	2593000	1
2018.02.02	15.36	15.36	14.69	14.78	5850	3341700	1
2018.02.05	14.72	14.95	14.48	14.51	2881	3192400	1
2018.02.06	14.37	14.71	13.96	14.53	4395	2211000	1
2018.02.07	14.48	14.85	14.29	14.37	9448	4682000	1
2018.02.08	14.37	14.43	13.82	13.97	4669	2393300	1
2018.02.09	14.03	14.03	13.49	13.72	4738	1348800	1
2018.02.14	13.72	14.04	13.63	13.93	4359	2458600	1
2018.02.15	14.05	14.19	13.79	13.93	6192	4035000	1
2018.02.16	14.04	14.06	13.79	14.06	4493	1682000	1
2018.02.19	14.10	14.15	13.88	14.01	3309	662800	1
2018.02.20	14.00	14.00	13.57	13.59	9170	5627800	1
2018.02.21	13.63	13.78	13.44	13.48	5509	4117300	1
2018.02.22	13.48	13.62	13.35	13.44	7491	3721900	1
2018.02.23	13.51	13.91	13.47	13.91	4862	1562500	1
2018.02.26	13.97	13.97	13.49	13.66	6118	2348000	1
2018.02.27	13.67	13.79	13.41	13.64	6949	2573900	1
2018.02.28	14.05	14.25	13.64	13.96	11645	8616600	1
2018.03.01	13.98	14.08	13.68	14.01	9938	2797300	1
2018.03.02	13.97	14.29	13.68	14.09	4480	2008800	1
2018.03.05	14.10	14.55	14.04	14.47	10727	4565000	1
2018.03.06	14.52	14.61	14.16	14.43	5718	2003000	1
2018.03.07	14.42	14.57	14.11	14.31	5186	2963300	1
2018.03.08	14.25	14.35	13.95	14.04	3967	2999100	1
2018.03.09	14.10	14.38	14.01	14.20	5422	2470800	1
2018.03.12	14.35	14.63	14.21	14.45	3884	1519800	1
2018.03.13	14.52	14.52	14.01	14.01	3942	1195300	1
2018.03.14	14.05	14.06	13.58	13.93	5008	1344000	1
2018.03.15	14.01	14.26	13.94	14.04	3601	1589700	1
2018.03.16	14.04	14.29	13.89	14.14	3691	2340100	1
2018.03.19	14.04	14.26	13.97	14.24	4740	1263100	1
2018.03.20	14.20	14.20	13.94	14.03	2540	810100	1
2018.03.21	14.03	14.08	13.83	13.83	3869	1364300	1
2018.03.22	13.83	14.12	13.83	14.04	3232	947000	1
2018.03.23	14.01	14.14	14.01	14.14	2393	1647800	1
2018.03.26	14.15	14.32	14.02	14.26	5670	1597900	1
2018.03.27	14.29	14.38	13.81	13.81	6975	2011500	1
2018.03.28	13.87	14.02	13.66	13.88	3925	1030000	1
2018.03.29	14.01	14.19	13.88	14.10	3372	916100	1
2018.04.02	14.17	14.23	13.84	13.84	2066	3195100	1
2018.04.03	13.90	14.03	13.59	13.88	5687	4315400	1
