<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	4.37	4.47	4.03	4.03	12633	5675500	1
2015.01.05	4.03	4.03	3.82	3.88	16569	7303300	1
2015.01.06	3.91	4.30	3.89	4.15	16682	9974200	1
2015.01.07	4.30	4.62	4.23	4.59	18115	9609300	1
2015.01.08	4.69	4.79	4.36	4.48	7040	8980100	1
2015.01.09	4.40	4.43	4.21	4.31	12486	8064400	1
2015.01.12	4.29	4.34	4.13	4.28	7990	3673900	1
2015.01.13	4.29	4.51	4.05	4.05	12848	8571000	1
2015.01.14	3.99	4.04	3.86	3.91	15524	7466400	1
2015.01.15	3.94	4.13	3.88	3.88	17024	7181900	1
2015.01.16	3.95	4.20	3.90	4.13	13837	6483300	1
2015.01.19	4.11	4.12	3.83	3.83	10095	5733200	1
2015.01.20	3.95	4.15	3.88	4.03	11726	8345000	1
2015.01.21	4.06	4.22	3.93	4.19	13792	6037000	1
2015.01.22	4.24	4.42	4.21	4.27	7541	5354100	1
2015.01.23	4.21	4.23	4.00	4.00	6887	4390700	1
2015.01.26	3.96	4.03	3.87	4.02	9784	5959100	1
2015.01.27	3.94	3.99	3.80	3.83	11409	6146400	1
2015.01.28	3.80	3.82	3.67	3.67	7663	6395300	1
2015.01.29	3.69	3.75	3.50	3.52	9427	6994500	1
2015.01.30	3.44	3.49	3.32	3.33	9785	7329800	1
2015.02.02	3.39	3.49	3.32	3.49	7116	4212600	1
2015.02.03	3.54	3.72	3.54	3.62	7019	4048600	1
2015.02.04	3.64	3.75	3.56	3.56	7789	4458900	1
2015.02.05	3.52	3.63	3.48	3.52	5505	3994000	1
2015.02.06	3.51	3.67	3.44	3.67	11087	9152600	1
2015.02.09	3.67	4.10	3.66	3.99	8030	7641300	1
2015.02.10	3.92	4.19	3.91	3.97	11927	7863900	1
2015.02.11	3.95	4.09	3.85	4.05	6733	4254400	1
2015.02.12	4.11	4.16	3.84	3.84	7293	5726700	1
2015.02.13	3.89	4.06	3.76	3.88	5778	6029900	1
2015.02.18	3.95	4.12	3.95	4.03	6415	3727800	1
2015.02.19	4.04	4.13	3.98	4.04	3623	2504000	1
2015.02.20	4.07	4.35	4.06	4.22	5306	6984500	1
2015.02.23	4.25	4.35	4.03	4.05	5257	4432600	1
2015.02.24	4.07	4.17	4.02	4.11	5399	3954800	1
2015.02.25	4.08	4.20	4.06	4.14	7157	4788200	1
2015.02.26	4.19	4.19	4.06	4.12	4785	4444600	1
2015.02.27	4.13	4.23	4.10	4.12	8834	5687100	1
2015.03.02	4.15	4.22	4.08	4.15	5019	4844300	1
2015.03.03	4.19	4.28	4.14	4.19	4976	3720800	1
2015.03.04	4.16	4.34	4.12	4.19	7711	6241800	1
2015.03.05	4.25	4.29	4.08	4.08	5615	4571500	1
2015.03.06	4.07	4.11	3.90	3.96	9002	6233700	1
2015.03.09	3.91	4.15	3.85	4.15	9038	6421000	1
2015.03.10	4.10	4.24	4.08	4.12	8529	6256700	1
2015.03.11	4.18	4.21	4.06	4.16	8631	3765700	1
2015.03.12	4.34	4.52	4.27	4.46	12539	9314700	1
2015.03.13	4.42	4.61	4.40	4.59	9462	5705100	1
2015.03.16	4.63	4.73	4.49	4.66	8940	5760000	1
2015.03.17	4.66	4.93	4.66	4.85	10548	5459800	1
