<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	11.56	11.57	11.31	11.41	299	95400	1
2015.01.05	11.30	11.54	11.17	11.26	487	132600	1
2015.01.06	11.21	11.59	11.03	11.11	810	133300	1
2015.01.07	11.17	11.22	10.94	11.01	717	139600	1
2015.01.08	11.08	11.11	10.62	10.62	741	198000	1
2015.01.09	10.67	10.67	10.40	10.51	682	86100	1
2015.01.12	10.54	10.66	10.08	10.10	689	334600	1
2015.01.13	10.16	10.51	10.13	10.43	445	116400	1
2015.01.14	10.43	10.48	10.23	10.34	453	277700	1
2015.01.15	10.42	10.76	10.32	10.51	457	97400	1
2015.01.16	10.59	10.71	10.33	10.64	510	399300	1
2015.01.19	10.67	10.77	10.40	10.77	331	75300	1
2015.01.20	10.81	10.81	10.25	10.51	896	302200	1
2015.01.21	10.56	10.73	10.35	10.58	392	72900	1
2015.01.22	10.64	10.73	10.37	10.73	411	146100	1
2015.01.23	10.67	10.76	10.57	10.76	372	87000	1
2015.01.26	10.67	10.70	10.47	10.47	424	128900	1
2015.01.27	10.47	10.49	10.28	10.28	618	204000	1
2015.01.28	10.29	10.29	9.86	9.98	892	146900	1
2015.01.29	10.04	10.04	9.54	9.91	968	176600	1
2015.01.30	9.92	9.92	9.41	9.47	1175	659900	1
2015.02.02	9.34	9.61	9.24	9.61	645	135200	1
2015.02.03	9.68	10.28	9.32	10.28	1390	245300	1
2015.02.04	10.25	10.25	9.80	10.03	633	131800	1
2015.02.05	9.98	10.57	9.94	10.28	1077	727900	1
2015.02.06	10.66	10.90	10.49	10.77	2111	978100	1
2015.02.09	10.84	11.00	10.82	11.00	624	456800	1
2015.02.10	11.01	11.30	10.88	10.88	865	164100	1
2015.02.11	10.87	11.10	10.83	10.92	766	180400	1
2015.02.12	11.02	11.22	10.89	10.92	876	289400	1
2015.02.13	10.80	11.18	10.62	11.18	706	154000	1
2015.02.18	11.11	11.31	10.93	11.00	322	76600	1
2015.02.19	11.06	11.07	10.91	11.00	748	102700	1
2015.02.20	11.00	11.15	10.88	10.96	432	70700	1
2015.02.23	10.95	11.04	10.71	10.73	678	113400	1
2015.02.24	10.73	10.87	10.61	10.77	550	279400	1
2015.02.25	10.73	11.09	10.67	10.85	649	98200	1
