<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	18.29	18.34	17.40	17.80	3399	572800	1
2015.01.05	17.62	17.95	17.29	17.82	3964	576000	1
2015.01.06	17.86	18.39	17.64	18.18	4006	748500	1
2015.01.07	18.24	18.89	18.19	18.64	3887	632500	1
2015.01.08	18.65	18.83	18.58	18.83	2293	552200	1
2015.01.09	18.74	18.74	17.15	17.39	5041	909200	1
2015.01.12	17.41	17.63	16.52	16.90	5266	823300	1
2015.01.13	16.99	17.20	16.79	17.04	4704	960100	1
2015.01.14	16.81	17.96	16.81	17.96	4834	748700	1
2015.01.15	17.96	18.44	17.89	17.93	5589	1455600	1
2015.01.16	17.82	18.71	17.75	18.33	4156	634900	1
2015.01.19	18.08	18.38	17.11	17.17	3262	542300	1
2015.01.20	17.31	17.52	17.22	17.50	4047	660600	1
2015.01.21	17.72	17.81	17.32	17.65	4852	809300	1
2015.01.22	17.80	18.38	17.20	17.47	4566	1423400	1
2015.01.23	17.33	17.77	17.08	17.33	3951	742500	1
2015.01.26	17.16	17.20	16.78	16.92	2847	625300	1
2015.01.27	16.73	17.19	16.59	17.06	4098	702600	1
2015.01.28	16.89	17.63	16.84	17.63	4719	708100	1
2015.01.29	17.47	17.95	17.14	17.83	4744	886900	1
2015.01.30	17.53	17.74	16.95	17.00	5618	995200	1
2015.02.02	17.00	17.45	17.00	17.22	4511	652800	1
2015.02.03	17.46	17.69	17.16	17.24	3306	531400	1
2015.02.04	17.20	17.24	16.88	16.93	4127	653200	1
2015.02.05	16.87	17.10	16.67	16.75	3426	594800	1
2015.02.06	16.55	16.56	16.33	16.53	3944	664700	1
2015.02.09	16.34	16.92	16.32	16.81	2615	377400	1
2015.02.10	16.64	16.79	16.21	16.30	4610	786800	1
2015.02.11	16.22	16.70	16.06	16.70	4165	696800	1
2015.02.12	16.91	16.97	16.53	16.95	4887	1026400	1
2015.02.13	16.95	17.41	16.76	17.37	3849	906700	1
2015.02.18	17.46	18.00	17.22	17.60	4706	764400	1
2015.02.19	17.39	17.97	17.34	17.80	2413	509100	1
2015.02.20	17.93	17.93	17.22	17.25	2327	452800	1
2015.02.23	17.05	17.57	16.92	17.09	3580	518000	1
2015.02.24	17.04	17.56	16.99	17.20	2648	379400	1
2015.02.25	16.99	17.76	16.99	17.74	4580	733100	1
2015.02.26	17.76	18.15	17.40	18.15	4106	837900	1
2015.02.27	18.15	18.41	17.81	18.23	7106	1495200	1
2015.03.02	18.23	18.30	17.70	17.81	3860	653400	1
2015.03.03	17.95	18.12	17.75	17.98	2921	411600	1
2015.03.04	17.74	17.87	17.38	17.63	3354	466000	1
2015.03.05	17.63	18.05	17.54	18.01	3400	716500	1
2015.03.06	18.03	18.06	17.63	17.78	4719	774100	1
2015.03.09	17.55	17.72	17.35	17.59	3455	583700	1
2015.03.10	17.20	18.00	17.20	17.39	5112	771600	1
2015.03.11	17.31	17.73	17.31	17.73	2687	651600	1
2015.03.12	17.96	18.01	17.54	17.92	3228	560900	1
2015.03.13	17.96	18.03	17.59	18.03	4522	668800	1
2015.03.16	18.04	18.27	17.99	18.01	2496	386700	1
2015.03.17	18.02	18.55	17.81	18.37	4058	669700	1
2015.03.18	18.34	19.04	18.18	18.67	3897	705000	1
