<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	5.09	5.09	4.81	4.94	7633	2826100	1
2015.01.05	4.83	4.92	4.76	4.85	5540	2120700	1
2015.01.06	4.87	4.94	4.80	4.89	3559	1304500	1
2015.01.07	4.88	5.15	4.86	5.06	3977	1302000	1
2015.01.08	5.08	5.16	4.85	4.97	2605	1210100	1
2015.01.09	4.96	4.96	4.79	4.86	3935	2132700	1
2015.01.12	4.86	4.94	4.78	4.86	5679	2184700	1
2015.01.13	4.91	4.98	4.82	4.82	4345	1762000	1
2015.01.14	4.85	4.96	4.80	4.92	3429	1545500	1
2015.01.15	4.92	5.10	4.87	4.87	3623	1477700	1
2015.01.16	4.91	4.96	4.85	4.90	5681	1879700	1
2015.01.19	4.85	4.87	4.69	4.71	2917	977500	1
2015.01.20	4.74	4.78	4.50	4.58	5008	4766800	1
2015.01.21	4.62	4.92	4.60	4.72	5419	2944500	1
2015.01.22	4.79	4.89	4.71	4.71	2300	1011500	1
2015.01.23	4.64	4.85	4.54	4.54	2976	1184600	1
2015.01.26	4.38	4.66	4.38	4.58	2032	1887800	1
2015.01.27	4.54	4.64	4.42	4.57	2690	925900	1
2015.01.28	4.50	4.62	4.45	4.57	2552	1022100	1
2015.01.29	4.66	4.66	4.50	4.60	3967	1929800	1
2015.01.30	4.53	4.55	4.40	4.48	4876	2237900	1
2015.02.02	4.46	4.52	4.40	4.50	1902	691400	1
2015.02.03	4.54	4.75	4.54	4.67	2895	1328800	1
2015.02.04	4.67	4.85	4.55	4.58	5139	1303100	1
2015.02.05	4.64	4.64	4.44	4.46	2540	796700	1
2015.02.06	4.47	4.50	4.37	4.50	3684	1149100	1
2015.02.09	4.50	4.53	4.37	4.39	3549	989700	1
2015.02.10	4.41	4.52	4.30	4.35	3828	1285200	1
2015.02.11	4.28	4.39	4.20	4.36	3125	1464500	1
2015.02.12	4.43	4.50	4.37	4.44	3588	1505700	1
2015.02.13	4.47	4.57	4.40	4.44	4740	2076400	1
2015.02.18	4.51	4.68	4.50	4.64	3326	1126500	1
2015.02.19	4.66	4.74	4.61	4.69	2648	827600	1
2015.02.20	4.69	4.71	4.57	4.59	2352	1145500	1
2015.02.23	4.53	4.67	4.42	4.42	4413	1481200	1
2015.02.24	4.44	4.54	4.44	4.44	2325	1026700	1
2015.02.25	4.42	4.51	4.40	4.50	1972	1062700	1
2015.02.26	4.50	4.66	4.46	4.63	3457	1380200	1
2015.02.27	4.64	4.73	4.59	4.67	4754	1477500	1
2015.03.02	4.67	4.73	4.41	4.46	2674	1700100	1
2015.03.03	4.47	4.51	4.44	4.50	2578	906000	1
2015.03.04	4.44	4.48	4.39	4.41	3784	1196200	1
2015.03.05	4.47	4.49	4.41	4.45	2534	762400	1
2015.03.06	4.45	4.54	4.39	4.40	4321	1511300	1
2015.03.09	4.37	4.38	4.29	4.38	2895	1098400	1
2015.03.10	4.31	4.47	4.28	4.32	5796	1513000	1
2015.03.11	4.33	4.35	4.24	4.28	3309	1261600	1
2015.03.12	4.34	4.43	4.23	4.29	4054	1204100	1
2015.03.13	4.23	4.39	4.16	4.37	6007	3124000	1
2015.03.16	4.40	4.45	4.24	4.34	4703	2068600	1
2015.03.17	4.30	4.50	4.29	4.45	3952	1853700	1
2015.03.18	4.43	4.78	4.42	4.64	6162	2944900	1
2015.03.19	4.65	4.71	4.50	4.65	4269	2206600	1
2015.03.20	4.71	4.90	4.68	4.85	6197	3153100	1
2015.03.23	4.79	5.05	4.79	5.00	2981	1527100	1
2015.03.24	5.02	5.19	5.02	5.18	4404	2179300	1
2015.03.25	5.19	5.40	5.19	5.27	6328	3359300	1
2015.03.26	5.22	5.23	4.93	4.93	6411	2773900	1
2015.03.27	4.90	4.99	4.73	4.78	4038	1309300	1
2015.03.30	4.83	5.05	4.66	4.96	4200	2274300	1
2015.03.31	4.98	5.12	4.89	5.03	3308	2457400	1
2015.04.01	5.10	5.40	5.05	5.19	7046	2773800	1
2015.04.02	5.26	5.37	5.14	5.23	3630	1576800	1
2015.04.06	5.32	5.38	5.23	5.31	3832	1805900	1
2015.04.07	5.27	5.41	5.16	5.29	2453	1672000	1
2015.04.08	5.33	5.36	5.16	5.26	4461	3554300	1
2015.04.09	5.27	5.28	5.12	5.26	5789	2632700	1
2015.04.10	5.26	5.28	5.21	5.23	2597	1284300	1
2015.04.13	5.22	5.37	5.20	5.33	2602	1482200	1
2015.04.14	5.34	5.39	5.24	5.25	4491	1789800	1
2015.04.15	5.26	5.48	5.21	5.40	5387	1989500	1
2015.04.16	5.41	5.62	5.40	5.54	3905	2363200	1
2015.04.17	5.48	5.62	5.41	5.43	5136	1528500	1
2015.04.20	5.39	5.56	5.34	5.43	2726	956800	1
2015.04.22	5.45	5.89	5.44	5.75	4652	1922200	1
2015.04.23	5.72	6.11	5.61	6.02	4607	1577200	1
2015.04.24	6.03	6.57	6.03	6.50	7138	3311300	1
2015.04.27	6.39	6.54	6.24	6.46	6389	2887400	1
2015.04.28	6.49	6.87	6.36	6.80	6755	3558200	1
2015.04.29	6.73	6.91	6.58	6.83	7597	2615500	1
2015.04.30	6.70	6.98	6.25	6.37	6837	3182200	1
2015.05.04	6.34	6.65	6.22	6.54	5149	2268600	1
2015.05.05	6.41	7.53	6.40	7.32	13413	5200400	1
2015.05.06	7.32	7.94	7.32	7.56	9533	4966000	1
2015.05.07	7.60	7.89	7.06	7.19	8055	3426600	1
2015.05.08	7.41	7.42	6.94	7.08	5331	2057300	1
2015.05.11	7.15	7.26	6.94	7.05	3280	2913800	1
2015.05.12	7.12	7.25	6.94	7.06	5113	1862000	1
2015.05.13	6.93	6.93	6.34	6.43	15726	7236900	1
2015.05.14	6.29	6.56	6.12	6.17	10971	3899100	1
2015.05.15	6.22	6.46	6.18	6.30	8128	3094000	1
2015.05.18	6.46	6.57	6.15	6.28	11939	3774700	1
2015.05.19	6.29	6.38	5.90	5.99	8373	2985200	1
2015.05.20	5.87	6.04	5.81	5.87	9296	3005300	1
2015.05.21	5.82	5.90	5.69	5.76	7091	2344000	1
2015.05.22	5.67	5.95	5.51	5.85	7720	2706500	1
2015.05.25	5.81	6.22	5.70	6.13	6325	2287800	1
2015.05.26	6.15	6.16	5.65	5.81	13252	6055100	1
2015.05.27	5.83	6.09	5.81	6.09	13949	5432200	1
2015.05.28	6.05	6.37	5.82	5.83	13091	5797600	1
2015.05.29	5.87	5.92	5.60	5.63	32418	37158200	1
2015.06.01	5.67	6.05	5.63	5.98	13927	5565200	1
2015.06.02	6.02	6.19	5.94	6.15	6808	2831600	1
2015.06.03	6.07	6.17	5.88	5.95	9305	3686500	1
2015.06.05	5.95	5.98	5.81	5.83	5432	2192900	1
2015.06.08	5.86	6.01	5.80	5.86	4203	1238100	1
2015.06.09	5.82	5.90	5.70	5.74	5213	3031000	1
2015.06.10	5.80	5.87	5.58	5.64	7330	2438900	1
2015.06.11	5.67	5.71	5.59	5.68	4141	1315100	1
2015.06.12	5.67	5.74	5.60	5.64	3069	771200	1
2015.06.15	5.61	5.67	5.53	5.62	4150	1144600	1
2015.06.16	5.67	5.72	5.59	5.61	2565	1085400	1
2015.06.17	5.63	5.67	5.51	5.60	4229	1238400	1
2015.06.18	5.57	5.70	5.57	5.70	2979	922900	1
2015.06.19	5.63	5.69	5.60	5.64	3995	1339600	1
2015.06.22	5.67	5.74	5.65	5.69	2940	929000	1
2015.06.23	5.72	5.73	5.52	5.55	5541	1490100	1
2015.06.24	5.55	5.60	5.37	5.47	3740	1220800	1
2015.06.25	5.47	5.47	5.19	5.26	4796	1734500	1
2015.06.26	5.29	5.34	5.17	5.20	6157	2142300	1
2015.06.29	5.15	5.28	5.03	5.21	7198	2389900	1
2015.06.30	5.24	5.33	5.12	5.13	3891	1659200	1
2015.07.01	5.19	5.24	5.08	5.15	3326	956200	1
2015.07.02	5.15	5.21	5.04	5.17	3812	1610200	1
2015.07.03	5.19	5.19	5.09	5.13	1780	415900	1
2015.07.06	5.06	5.35	5.04	5.24	4776	1217000	1
2015.07.07	5.20	5.23	4.98	5.14	8699	2279000	1
2015.07.08	5.04	5.21	5.04	5.07	5295	1502600	1
2015.07.10	5.20	5.20	5.05	5.18	5908	1503700	1
2015.07.13	5.14	5.24	5.10	5.19	4560	1056600	1
2015.07.14	5.12	5.40	5.12	5.39	4149	1394400	1
2015.07.15	5.37	5.37	5.19	5.19	5200	1542300	1
2015.07.16	5.21	5.27	5.12	5.13	3670	833100	1
2015.07.17	5.17	5.19	5.07	5.07	3368	977900	1
2015.07.20	5.06	5.07	4.89	4.95	3641	1366000	1
2015.07.21	4.88	5.05	4.84	4.99	2733	890700	1
2015.07.22	4.98	5.14	4.91	5.01	3572	1146600	1
2015.07.23	4.98	5.00	4.87	4.91	3771	1603100	1
2015.07.24	4.84	4.87	4.47	4.59	3243	1367400	1
2015.07.27	4.50	4.84	4.45	4.73	2918	1385100	1
2015.07.28	4.72	4.84	4.68	4.75	4008	1899000	1
2015.07.29	4.68	4.78	4.66	4.76	4184	1110300	1
2015.07.30	4.73	4.96	4.72	4.92	3618	943900	1
2015.07.31	4.88	5.10	4.84	5.05	3798	1305900	1
2015.08.03	4.98	5.13	4.96	5.12	3380	932600	1
2015.08.04	5.13	5.27	4.98	5.05	4871	1560500	1
2015.08.05	5.04	5.04	4.89	4.93	2642	924300	1
2015.08.06	4.88	4.98	4.81	4.93	4403	1035100	1
2015.08.07	4.86	4.94	4.77	4.80	7647	1997100	1
2015.08.10	4.80	4.86	4.70	4.76	4528	1217700	1
2015.08.11	4.76	4.76	4.64	4.72	3656	1375400	1
2015.08.12	4.70	4.84	4.61	4.63	5172	2487500	1
2015.08.13	4.63	4.70	4.52	4.57	2194	782600	1
2015.08.14	4.61	4.62	4.55	4.58	3025	957300	1
2015.08.17	4.56	4.72	4.50	4.52	2178	827000	1
2015.08.18	4.54	4.54	4.30	4.45	4134	1412900	1
2015.08.19	4.40	4.41	4.24	4.30	3668	1298900	1
2015.08.20	4.23	4.39	4.23	4.36	3900	1305800	1
2015.08.21	4.29	4.33	4.24	4.30	3342	771400	1
2015.08.24	4.15	4.23	4.06	4.12	5040	1746000	1
2015.08.26	4.10	4.23	4.09	4.22	2375	900100	1
2015.08.27	4.29	4.44	4.24	4.40	3665	989200	1
2015.08.28	4.30	4.39	4.27	4.30	3442	947700	1
2015.08.31	4.28	4.36	4.15	4.35	4229	1694200	1
2015.09.01	4.30	4.32	4.17	4.24	4998	1438800	1
2015.09.02	4.27	4.28	4.18	4.20	4451	1157800	1
2015.09.03	4.24	4.49	4.22	4.39	3580	983100	1
2015.09.04	4.53	4.65	4.44	4.44	6159	3289600	1
2015.09.08	4.64	4.64	4.25	4.34	3986	1343100	1
2015.09.09	4.33	4.39	4.26	4.28	3965	2788000	1
