<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	23.64	24.67	23.45	24.02	7836	3208400	1
2015.01.05	24.02	24.17	23.46	23.48	8352	3926300	1
2015.01.06	23.54	23.63	22.72	23.06	8283	2207000	1
2015.01.07	23.14	23.37	22.54	22.88	8845	2205300	1
2015.01.08	23.19	23.19	22.08	22.23	5231	2269800	1
2015.01.09	22.18	22.38	21.90	22.03	6969	1869300	1
2015.01.12	22.03	22.28	21.77	22.14	6773	1684100	1
2015.01.13	22.08	22.42	21.80	21.86	5625	1572000	1
2015.01.14	21.55	21.55	20.62	20.68	10935	4666400	1
2015.01.15	20.78	21.22	20.63	20.85	6923	2678900	1
2015.01.16	20.73	21.11	20.49	20.63	7357	2088800	1
2015.01.19	20.62	20.85	20.47	20.63	4105	735700	1
2015.01.20	21.02	21.02	20.34	20.52	4883	1289300	1
2015.01.21	20.68	21.37	20.51	21.37	7886	2808200	1
2015.01.22	21.55	21.64	21.26	21.47	7275	2350000	1
2015.01.23	21.32	22.32	21.20	22.18	5799	2151200	1
2015.01.26	22.02	22.28	21.74	22.20	7343	1986400	1
2015.01.27	22.00	22.27	21.77	22.23	6472	1650300	1
2015.01.28	22.46	22.46	21.82	22.08	5284	1103000	1
2015.01.29	22.01	22.50	21.90	22.32	6930	2569200	1
2015.01.30	22.26	23.00	22.23	22.94	7577	3723300	1
2015.02.02	22.77	23.17	22.77	22.94	7460	2403200	1
2015.02.03	23.26	23.46	22.96	23.44	5824	1898500	1
2015.02.04	23.44	24.14	23.04	23.88	8098	2725700	1
2015.02.05	23.92	24.04	23.30	23.50	5146	1610500	1
2015.02.06	23.39	23.89	23.07	23.85	7242	2601600	1
2015.02.09	23.78	23.92	23.45	23.69	3338	1222000	1
2015.02.10	23.46	24.30	23.34	24.16	5439	1806000	1
2015.02.11	24.00	24.90	23.90	24.62	8805	2273800	1
2015.02.12	25.05	25.39	24.61	24.89	10255	4169600	1
2015.02.13	24.89	24.92	24.47	24.74	5778	2357900	1
2015.02.18	24.95	25.34	24.83	24.93	7340	3114500	1
2015.02.19	24.86	25.26	24.61	25.03	3772	1111400	1
2015.02.20	25.26	25.49	24.93	25.38	4032	1148700	1
2015.02.23	25.22	25.65	25.16	25.36	5875	1630400	1
2015.02.24	25.23	25.31	24.64	24.74	8105	3474500	1
2015.02.25	24.69	25.05	24.69	24.85	6841	2564700	1
2015.02.26	24.98	25.22	24.70	25.22	4107	1678200	1
2015.02.27	25.22	25.29	23.99	24.06	14042	5041100	1
2015.03.02	23.83	24.70	23.70	24.70	8768	2625000	1
2015.03.03	24.74	24.84	24.35	24.74	8179	3112700	1
2015.03.04	24.36	25.22	24.36	24.79	10185	3973700	1
2015.03.05	23.19	23.76	21.44	23.68	29502	12576400	1
2015.03.06	23.29	24.39	23.11	24.38	15492	5383000	1
2015.03.09	24.16	24.90	24.06	24.64	14462	3615900	1
2015.03.10	24.54	24.56	23.99	23.99	12097	3000000	1
2015.03.11	24.30	24.47	23.99	24.35	13194	3173100	1
2015.03.12	24.64	24.64	23.74	24.16	8130	2950400	1
2015.03.13	23.76	24.41	23.75	24.00	13612	3324200	1
