<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	4.95	4.98	4.85	4.91	2842	3370000	1
2015.01.05	4.91	4.91	4.74	4.78	4302	5645000	1
2015.01.06	4.78	4.99	4.76	4.97	3980	6164500	1
2015.01.07	4.99	5.05	4.87	4.95	6667	14858000	1
2015.01.08	4.99	5.00	4.80	4.91	3125	9975000	1
2015.01.09	4.88	4.89	4.58	4.65	4759	14515500	1
2015.01.12	4.67	4.67	4.55	4.63	4770	4008000	1
2015.01.13	4.64	4.73	4.63	4.63	4244	3833500	1
2015.01.14	4.63	4.72	4.59	4.68	5750	4531000	1
2015.01.15	4.69	4.75	4.59	4.69	3796	4848500	1
2015.01.16	4.69	4.74	4.59	4.70	2872	5039500	1
2015.01.19	4.69	4.69	4.38	4.40	3377	7430000	1
2015.01.20	4.41	4.52	4.37	4.48	3787	6789500	1
2015.01.21	4.52	4.66	4.49	4.63	4802	7837000	1
2015.01.22	4.61	4.68	4.57	4.59	2039	2255500	1
2015.01.23	4.56	4.61	4.42	4.61	3137	4886000	1
2015.01.26	4.54	4.56	4.50	4.50	3648	4137000	1
2015.01.27	4.51	4.59	4.44	4.59	3049	3229500	1
2015.01.28	4.58	4.58	4.49	4.52	2433	2107000	1
2015.01.29	4.52	4.65	4.49	4.65	2769	2930500	1
2015.01.30	4.60	4.60	4.34	4.46	5458	6642000	1
2015.02.02	4.49	4.84	4.42	4.79	5160	14873000	1
2015.02.03	4.82	4.95	4.73	4.83	5815	11221000	1
2015.02.04	4.88	4.88	4.69	4.70	3732	3677500	1
2015.02.05	4.69	4.85	4.56	4.58	3826	6734500	1
2015.02.06	4.59	4.63	4.47	4.56	4991	7160500	1
2015.02.09	4.62	4.75	4.49	4.65	3601	3303000	1
2015.02.10	4.60	4.81	4.51	4.51	4686	5606000	1
2015.02.11	4.53	4.66	4.47	4.66	4691	5082500	1
2015.02.12	4.67	4.81	4.61	4.79	3489	3802000	1
2015.02.13	4.79	5.14	4.71	4.84	4509	6824500	1
2015.02.18	4.85	5.03	4.75	4.87	1936	1966000	1
2015.02.19	4.86	4.96	4.81	4.82	3849	3528000	1
2015.02.20	4.84	4.84	4.66	4.72	3878	4072500	1
2015.02.23	4.71	4.71	4.58	4.58	3542	5767500	1
2015.02.24	4.73	4.88	4.71	4.87	6163	117146500	1
2015.02.25	4.85	5.00	4.81	4.95	5381	7458000	1
2015.02.26	4.97	5.02	4.88	4.99	3135	5896000	1
2015.02.27	4.96	5.02	4.91	4.95	4874	5552000	1
2015.03.02	4.95	5.00	4.79	4.85	4781	5092000	1
2015.03.03	4.84	4.93	4.78	4.87	3432	3926000	1
2015.03.04	4.87	4.91	4.81	4.88	2617	2391000	1
2015.03.05	4.88	4.95	4.84	4.91	3746	4601500	1
2015.03.06	4.91	5.01	4.89	4.89	2297	3469000	1
2015.03.09	4.89	4.91	4.81	4.84	3567	6003000	1
2015.03.10	4.82	4.98	4.78	4.90	3676	6137500	1
2015.03.11	4.90	4.99	4.89	4.93	3342	3535000	1
2015.03.12	4.94	5.12	4.94	5.02	4826	7471500	1
2015.03.13	5.02	5.04	4.94	5.00	4855	4169500	1
2015.03.16	5.00	5.12	5.00	5.09	3230	3442500	1
2015.03.17	5.08	5.25	5.01	5.20	5726	8142500	1
2015.03.18	5.20	5.38	5.13	5.34	6329	7506500	1
2015.03.19	5.32	5.40	5.22	5.31	5301	5681000	1
2015.03.20	5.33	5.44	5.33	5.38	4835	5873500	1
2015.03.23	5.36	5.46	5.34	5.42	2868	3095500	1
2015.03.24	5.44	5.51	5.38	5.45	3430	3721000	1
2015.03.25	5.46	5.50	5.40	5.44	2870	4109000	1
2015.03.26	5.41	5.43	5.31	5.34	5387	5498000	1
2015.03.27	5.35	5.50	5.33	5.39	6442	8591500	1
2015.03.30	5.39	5.56	5.39	5.50	5662	5805500	1
2015.03.31	5.52	5.63	5.49	5.58	5784	6651500	1
2015.04.01	5.59	5.76	5.58	5.76	5674	9309000	1
2015.04.02	5.76	5.81	5.71	5.73	3626	3512500	1
2015.04.06	5.73	5.86	5.69	5.70	4687	4682000	1
2015.04.07	5.71	5.75	5.55	5.60	5863	8324500	1
2015.04.08	5.62	5.68	5.49	5.57	6221	6645500	1
2015.04.09	5.54	5.61	5.51	5.60	5159	4934000	1
2015.04.10	5.59	5.61	5.52	5.61	3749	4640000	1
2015.04.13	5.56	5.64	5.55	5.59	4465	3551500	1
2015.04.14	5.59	5.68	5.59	5.64	4585	4636000	1
2015.04.15	5.65	5.70	5.61	5.63	4728	14292500	1
2015.04.16	5.64	5.80	5.60	5.66	4316	4100500	1
2015.04.17	5.66	5.72	5.63	5.72	2933	2740500	1
2015.04.20	5.80	5.80	5.58	5.73	2869	2937000	1
2015.04.22	5.73	5.83	5.69	5.78	4250	9197000	1
2015.04.23	5.80	5.81	5.77	5.79	3003	3445000	1
2015.04.24	5.78	5.85	5.76	5.82	3138	4293000	1
2015.04.27	5.79	5.89	5.69	5.75	5424	5393500	1
2015.04.28	5.78	5.83	5.73	5.80	2661	2697500	1
2015.04.29	5.77	5.83	5.74	5.83	2803	2985000	1
2015.04.30	5.85	5.86	5.67	5.80	4558	5666000	1
2015.05.04	5.78	5.88	5.74	5.88	5625	5352000	1
2015.05.05	5.89	5.99	5.88	5.93	5141	4708500	1
2015.05.06	5.93	5.96	5.82	5.86	6357	6988500	1
2015.05.07	5.88	5.93	5.85	5.91	5683	9413000	1
2015.05.08	5.90	6.05	5.90	6.03	6231	9211000	1
2015.05.11	6.16	6.23	6.05	6.13	5225	5559500	1
2015.05.12	6.09	6.33	6.06	6.23	7372	12003000	1
2015.05.13	6.23	6.23	6.04	6.07	8241	8697500	1
2015.05.14	6.07	6.31	6.04	6.28	6099	9727500	1
2015.05.15	6.25	6.35	6.20	6.21	4664	10273500	1
2015.05.18	6.24	6.25	6.08	6.15	4472	3719500	1
2015.05.19	6.15	6.19	5.93	6.01	7056	6909500	1
2015.05.20	5.98	6.18	5.98	6.15	4077	114331000	1
2015.05.21	6.19	6.23	6.12	6.13	5020	4363000	1
2015.05.22	6.19	6.19	6.02	6.10	6518	8286500	1
2015.05.25	6.07	6.15	6.06	6.11	3333	7418500	1
2015.05.26	6.13	6.13	6.02	6.13	4823	5987500	1
2015.05.27	6.15	6.19	6.07	6.17	7809	7413500	1
2015.05.28	6.19	6.22	6.12	6.18	3537	4300500	1
2015.05.29	6.21	6.21	6.04	6.13	4242	5598500	1
2015.06.01	6.15	6.24	6.09	6.21	3955	4822000	1
2015.06.02	6.25	6.28	6.13	6.27	5033	4379500	1
2015.06.03	6.27	6.33	6.20	6.30	4088	3451500	1
2015.06.05	6.34	6.37	6.24	6.27	5142	7315000	1
2015.06.08	6.28	6.34	6.25	6.32	5598	7041500	1
2015.06.09	6.32	6.38	6.28	6.31	3396	5885500	1
2015.06.10	6.32	6.36	6.27	6.29	2926	3891000	1
2015.06.11	6.32	6.32	6.14	6.14	3107	4409000	1
2015.06.12	6.18	6.24	6.13	6.15	5496	10734500	1
2015.06.15	6.18	6.20	6.15	6.15	3227	4009500	1
2015.06.16	6.16	6.25	6.15	6.23	3315	4753500	1
2015.06.17	6.22	6.36	6.20	6.33	3950	4281500	1
2015.06.18	6.38	6.42	6.29	6.35	3510	4218000	1
2015.06.19	6.35	6.47	6.33	6.44	4096	8157500	1
2015.06.22	6.47	6.52	6.40	6.49	4071	5510000	1
2015.06.23	6.49	6.52	6.43	6.46	2406	2837500	1
2015.06.24	6.46	6.48	6.38	6.40	1796	1867000	1
2015.06.25	6.40	6.40	6.26	6.31	4810	4724000	1
2015.06.26	6.33	6.40	6.31	6.36	2174	2346500	1
2015.06.29	6.32	6.36	6.24	6.34	3151	3048500	1
2015.06.30	6.37	6.45	6.29	6.38	4250	9114000	1
2015.07.01	6.39	6.54	6.30	6.54	5763	7457500	1
2015.07.02	6.55	6.69	6.53	6.54	5143	4753000	1
2015.07.03	6.52	6.63	6.51	6.60	2721	3494500	1
2015.07.06	6.60	6.67	6.51	6.61	2995	4277500	1
2015.07.07	6.62	6.63	6.48	6.63	2972	4861000	1
2015.07.08	6.66	6.66	6.56	6.63	4652	4935000	1
2015.07.10	6.66	6.71	6.58	6.68	3627	3653000	1
2015.07.13	6.68	6.71	6.61	6.64	3295	4209500	1
2015.07.14	6.62	6.82	6.58	6.69	4298	4887500	1
2015.07.15	6.72	6.76	6.67	6.75	3629	8228000	1
2015.07.16	6.73	6.79	6.73	6.78	2908	3703500	1
2015.07.17	6.78	6.80	6.71	6.71	2220	7702000	1
2015.07.20	6.74	6.77	6.67	6.71	2167	2555000	1
2015.07.21	6.77	6.77	6.67	6.69	2282	4845500	1
2015.07.22	6.67	6.71	6.59	6.62	5570	4583000	1
2015.07.23	6.59	6.64	6.48	6.51	4237	5171000	1
2015.07.24	6.44	6.50	6.30	6.50	4061	4254500	1
2015.07.27	6.46	6.50	6.35	6.35	3526	3552500	1
2015.07.28	6.36	6.46	6.34	6.42	4298	7227000	1
2015.07.29	6.39	6.53	6.36	6.53	4145	4183000	1
2015.07.30	6.59	6.59	6.44	6.52	4192	4896500	1
2015.07.31	6.34	6.36	6.20	6.34	10683	17551000	1
2015.08.03	6.33	6.46	6.33	6.36	8614	10615000	1
2015.08.04	6.36	6.47	6.31	6.35	6375	8781500	1
2015.08.05	6.43	6.46	6.36	6.40	5325	4147000	1
2015.08.06	6.41	6.41	6.23	6.23	3746	6423500	1
2015.08.07	6.23	6.23	6.00	6.07	5074	7803000	1
2015.08.10	6.10	6.14	5.93	5.98	4570	11253000	1
2015.08.11	5.98	6.03	5.90	6.00	7674	7531000	1
2015.08.12	5.98	5.98	5.83	5.97	4818	3981000	1
2015.08.13	5.94	6.07	5.94	6.07	3557	6095000	1
2015.08.14	6.16	6.33	6.13	6.26	14654	34993500	1
2015.08.17	6.27	6.47	6.23	6.35	9433	14650500	1
2015.08.18	6.39	6.52	6.29	6.47	6541	5980000	1
2015.08.19	6.44	6.50	6.34	6.44	6252	10356000	1
2015.08.20	6.40	6.47	6.35	6.37	9968	12468500	1
2015.08.21	6.39	6.40	6.24	6.25	7117	7248500	1
2015.08.24	6.11	6.19	5.97	6.07	9338	9831500	1
2015.08.26	6.28	6.38	6.25	6.34	7267	13097000	1
2015.08.27	6.32	6.56	6.32	6.47	10441	14381500	1
2015.08.28	6.41	6.47	6.36	6.47	7620	9999500	1
2015.08.31	6.48	6.48	6.23	6.41	18587	79069000	1
2015.09.01	6.40	6.49	6.13	6.15	11417	19152000	1
2015.09.02	6.15	6.33	5.88	6.03	13368	27047500	1
2015.09.03	6.03	6.26	6.01	6.11	12640	13152500	1
2015.09.04	6.00	6.10	5.89	5.93	13782	39123000	1
2015.09.08	6.05	6.05	5.84	5.89	7202	8372500	1
2015.09.09	5.99	6.02	5.85	5.91	7873	7408500	1
2015.09.10	5.72	5.94	5.72	5.81	10312	9340500	1
2015.09.11	5.75	6.06	5.75	6.04	7466	8603000	1
2015.09.14	6.11	6.29	6.03	6.24	7681	7985000	1
2015.09.15	6.27	6.34	6.02	6.23	7315	7302000	1
2015.09.16	6.23	6.44	6.23	6.42	7702	8134000	1
2015.09.17	6.29	6.54	6.28	6.44	5773	10644000	1
2015.09.18	6.34	6.43	6.15	6.22	9741	25028500	1
2015.09.21	6.14	6.28	6.14	6.16	6901	5857000	1
2015.09.22	6.00	6.29	6.00	6.25	7561	21719500	1
2015.09.23	6.24	6.34	6.13	6.20	6960	13455000	1
2015.09.24	6.01	6.23	6.00	6.16	10092	27790000	1
2015.09.25	6.24	6.27	6.08	6.08	6203	6409500	1
2015.09.28	6.11	6.18	6.03	6.04	6923	5527000	1
2015.09.29	6.04	6.22	6.04	6.15	6337	5917500	1
2015.09.30	6.31	6.33	6.13	6.14	7619	10285500	1
2015.10.01	6.19	6.26	6.00	6.09	6039	5483000	1
2015.10.02	6.04	6.31	6.03	6.25	7758	7469000	1
2015.10.05	6.34	6.37	6.17	6.17	5663	7291500	1
2015.10.06	6.17	6.30	6.12	6.16	5033	6414500	1
2015.10.07	6.29	6.32	6.18	6.25	5338	6538000	1
2015.10.08	6.25	6.31	6.21	6.22	4908	8849500	1
2015.10.09	6.30	6.33	6.21	6.27	6039	6165000	1
2015.10.13	6.27	6.43	6.21	6.25	4518	5112000	1
2015.10.14	6.22	6.34	6.11	6.19	8847	8574000	1
2015.10.15	6.19	6.35	6.17	6.27	4249	6236000	1
2015.10.16	6.27	6.34	6.19	6.24	4922	5924500	1
2015.10.19	6.23	6.37	6.19	6.37	5834	7233500	1
2015.10.20	6.36	6.42	6.20	6.33	5324	5263500	1
2015.10.21	6.33	6.37	6.08	6.10	6747	14885000	1
2015.10.22	6.13	6.29	6.13	6.20	6736	5753500	1
2015.10.23	6.20	6.32	6.20	6.20	4758	4550500	1
2015.10.26	6.24	6.36	6.13	6.29	5289	6159500	1
2015.10.27	6.26	6.48	6.26	6.38	6884	6688000	1
