<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	6.39	6.46	6.29	6.39	317	232400	1
2015.01.05	6.35	6.36	6.12	6.12	385	154000	1
2015.01.06	6.09	6.16	6.04	6.04	158	108800	1
2015.01.07	6.06	6.20	5.95	5.99	284	156200	1
2015.01.08	6.00	6.01	5.86	5.91	407	335400	1
2015.01.09	5.94	5.94	5.89	5.89	119	131800	1
2015.01.12	5.89	5.95	5.80	5.83	375	311200	1
2015.01.13	5.99	5.99	5.79	5.80	223	109600	1
2015.01.14	5.80	5.82	5.75	5.80	85	98200	1
2015.01.15	5.86	5.91	5.76	5.84	109	71600	1
2015.01.16	5.85	5.85	5.57	5.69	155	141000	1
2015.01.19	5.69	5.91	5.69	5.91	267	267000	1
2015.01.20	5.84	5.89	5.49	5.59	771	650000	1
2015.01.21	5.62	5.62	5.19	5.39	729	1072600	1
2015.01.22	5.42	5.51	5.35	5.51	833	256600	1
2015.01.23	5.43	5.53	5.43	5.53	652	238800	1
2015.01.26	5.53	5.58	5.39	5.48	424	150200	1
2015.01.27	5.50	5.95	5.43	5.73	637	308000	1
2015.01.28	5.72	5.72	5.45	5.49	296	138400	1
2015.01.29	5.52	5.67	5.43	5.61	384	236800	1
2015.01.30	5.59	5.60	5.48	5.53	419	255000	1
2015.02.02	5.53	5.92	5.32	5.73	319	224800	1
2015.02.03	5.72	6.14	5.63	5.79	487	291000	1
2015.02.04	5.79	5.98	5.69	5.72	502	210000	1
2015.02.05	5.76	5.95	5.71	5.88	627	265200	1
2015.02.06	5.81	5.88	5.60	5.63	429	850800	1
2015.02.09	5.66	5.80	5.61	5.75	123	63400	1
2015.02.10	5.75	5.75	5.64	5.64	61	443200	1
2015.02.11	5.67	5.68	5.63	5.63	30	22200	1
2015.02.12	5.80	5.80	5.69	5.71	51	25600	1
2015.02.13	5.78	5.79	5.67	5.73	117	113200	1
2015.02.18	5.71	5.75	5.71	5.75	104	55600	1
2015.02.19	5.65	5.75	5.65	5.75	64	66800	1
2015.02.20	5.70	5.70	5.50	5.50	467	850400	1
2015.02.23	5.50	5.67	5.44	5.67	296	425000	1
2015.02.24	5.67	5.69	5.63	5.65	255	472600	1
2015.02.25	5.51	5.74	5.51	5.65	76	62000	1
2015.02.26	5.74	5.87	5.60	5.63	106	51000	1
2015.02.27	5.70	5.70	5.49	5.52	141	80200	1
2015.03.02	5.51	5.65	5.47	5.50	378	243200	1
2015.03.03	5.49	5.66	5.49	5.59	249	1321600	1
2015.03.04	5.55	5.65	5.55	5.63	279	274800	1
2015.03.05	5.58	5.67	5.49	5.51	209	77800	1
2015.03.06	5.59	5.59	5.48	5.51	84	129400	1
2015.03.09	5.49	5.51	5.31	5.40	180	165800	1
2015.03.10	5.31	5.71	5.27	5.57	425	253600	1
2015.03.11	5.57	5.69	5.49	5.49	270	194200	1
2015.03.12	5.55	5.73	5.55	5.65	119	39400	1
2015.03.13	5.59	5.71	5.47	5.71	100	59200	1
2015.03.16	5.59	5.59	5.40	5.58	498	217000	1
2015.03.17	5.61	5.80	5.54	5.75	440	269000	1
2015.03.18	5.79	5.92	5.71	5.92	577	154600	1
2015.03.19	5.81	5.94	5.76	5.86	303	86800	1
2015.03.20	5.90	5.99	5.69	5.99	652	334000	1
2015.03.23	5.99	6.11	5.82	6.04	1017	346400	1
2015.03.24	6.04	6.04	5.77	5.87	641	752400	1
2015.03.25	5.87	5.98	5.85	5.96	974	989000	1
2015.03.26	5.89	6.03	5.75	5.83	868	325800	1
2015.03.27	5.92	5.97	5.77	5.82	839	263400	1
2015.03.30	5.85	6.13	5.84	6.05	691	285400	1
2015.03.31	5.96	6.39	5.96	6.39	507	388000	1
2015.04.01	6.33	6.38	6.13	6.23	997	470200	1
2015.04.02	6.23	6.24	6.14	6.22	351	233200	1
2015.04.06	6.22	6.39	6.20	6.23	709	328400	1
2015.04.07	6.31	6.39	6.20	6.34	1109	366400	1
2015.04.08	6.29	6.43	6.29	6.43	1393	467800	1
2015.04.09	6.43	6.59	6.39	6.59	688	431400	1
2015.04.10	6.59	6.63	6.53	6.63	599	253800	1
2015.04.13	6.69	6.71	6.55	6.59	522	178400	1
2015.04.14	6.57	6.59	6.54	6.55	375	634800	1
2015.04.15	6.61	6.68	6.36	6.55	1001	631000	1
2015.04.16	6.55	6.69	6.54	6.67	726	282200	1
2015.04.17	6.64	6.73	6.60	6.73	240	160200	1
2015.04.20	6.74	6.76	6.55	6.74	377	219200	1
2015.04.22	6.75	6.79	6.66	6.66	476	431200	1
2015.04.23	6.51	6.79	6.50	6.79	537	232200	1
2015.04.24	6.79	6.79	6.59	6.69	665	1473200	1
