<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.23	17.94	20.33	17.84	20.02	40118	41313700	1
2018.04.24	20.46	21.35	20.38	20.38	10723	5087900	1
2018.04.25	20.36	20.66	19.62	19.77	17738	5177200	1
2018.04.26	20.02	20.66	19.52	19.97	5373	5738200	1
2018.04.27	20.21	20.39	19.50	20.39	2831	6204200	1
2018.04.30	20.38	20.38	19.96	20.17	109	174200	1
2018.05.02	19.88	20.41	19.88	20.41	1919	2227700	1
2018.05.03	20.31	20.35	20.02	20.17	1163	1007700	1
2018.05.04	19.89	20.23	19.87	20.17	499	154300	1
2018.05.07	20.06	20.93	19.73	20.17	669	239300	1
2018.05.08	20.02	20.56	20.02	20.27	149	91200	1
2018.05.09	20.27	20.55	20.17	20.27	188	269800	1
2018.05.10	20.62	20.62	20.26	20.27	426	5225200	1
2018.05.11	20.27	20.41	19.89	20.41	569	1580200	1
2018.05.14	20.42	20.96	20.08	20.51	2959	559500	1
2018.05.15	19.98	20.22	19.77	19.92	3329	2249300	1
2018.05.16	19.63	19.97	19.63	19.97	1078	350400	1
2018.05.17	19.98	20.51	19.97	20.48	973	986600	1
2018.05.18	20.14	20.94	20.14	20.51	2497	1183200	1
2018.05.21	20.56	21.73	20.27	20.76	847	4582000	1
2018.05.22	20.78	21.47	20.77	21.23	325	282100	1
2018.05.23	21.21	22.73	21.21	21.80	822	2204400	1
2018.05.24	21.46	22.01	20.81	21.75	3296	1086200	1
2018.05.25	21.92	21.92	21.42	21.50	516	140600	1
2018.05.28	22.03	22.03	20.51	21.06	456	303800	1
2018.05.29	21.05	21.73	20.78	21.26	1152	2374100	1
2018.05.30	21.36	22.19	20.86	21.25	1542	276300	1
2018.06.01	21.41	22.09	21.09	21.74	4472	791400	1
2018.06.04	22.12	22.61	21.76	21.95	2155	2224100	1
2018.06.05	21.95	22.04	21.46	21.65	1832	1203300	1
2018.06.06	21.25	21.92	21.25	21.55	1170	2970300	1
2018.06.07	21.28	21.28	20.31	20.67	1985	1112800	1
2018.06.08	21.06	21.64	20.77	21.01	4848	680200	1
2018.06.11	21.22	21.48	20.84	21.45	485	242200	1
2018.06.12	21.62	21.72	20.94	21.46	930	2151900	1
2018.06.13	21.14	22.12	21.14	21.94	892	2890300	1
2018.06.14	22.00	23.26	21.97	22.75	1356	1581500	1
2018.06.15	22.76	23.28	21.45	22.93	1966	1014500	1
2018.06.18	22.55	23.38	22.44	23.13	1178	1030500	1
2018.06.19	23.13	23.72	22.87	23.33	1959	1440500	1
2018.06.20	23.73	24.69	23.73	23.97	2807	2511400	1
2018.06.21	24.26	25.29	23.29	23.68	3398	2214900	1
2018.06.22	23.87	24.22	22.50	22.79	2429	1888800	1
2018.06.25	22.67	23.23	22.38	22.82	1680	332500	1
2018.06.26	22.66	22.89	22.09	22.13	2486	908700	1
2018.06.27	22.15	23.19	21.60	21.91	1364	828400	1
2018.06.28	21.75	21.78	20.96	21.45	1433	1601900	1
2018.06.29	21.73	21.96	20.96	21.35	4558	1262100	1
2018.07.02	21.11	21.40	20.82	21.25	1313	474000	1
2018.07.03	21.06	21.68	20.98	21.25	435	776100	1
2018.07.04	21.25	22.22	21.20	22.22	136	33100	1
2018.07.05	22.06	22.06	21.31	21.82	1007	278400	1
2018.07.06	21.60	22.02	21.39	21.58	480	162900	1
2018.07.10	21.36	21.89	21.31	21.75	2299	283500	1
2018.07.11	21.89	22.29	21.66	22.12	503	465700	1
2018.07.12	22.00	22.84	21.67	22.80	712	431900	1
2018.07.13	22.92	24.20	22.74	23.58	687	252600	1
2018.07.16	23.33	23.80	23.17	23.73	1656	2442200	1
2018.07.17	23.73	23.95	23.68	23.82	1397	807000	1
2018.07.18	23.65	24.04	23.64	24.03	1256	503400	1
2018.07.19	24.26	25.10	23.97	24.37	2012	1549600	1
2018.07.20	24.96	25.46	24.75	24.99	1409	553200	1
2018.07.23	25.14	25.14	24.49	24.49	812	578900	1
2018.07.24	24.85	24.86	23.58	24.22	1156	831200	1
2018.07.25	24.25	24.47	24.22	24.22	1085	688800	1
2018.07.26	24.24	24.36	23.96	24.22	1135	3126100	1
2018.07.27	24.32	25.10	24.23	24.42	821	270500	1
2018.07.30	24.84	24.86	24.12	24.12	1123	495700	1
