<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	9.80	9.80	9.22	9.45	4455	1195537	1
2015.01.05	9.35	9.35	8.84	8.96	5079	1052723	1
2015.01.06	8.97	9.89	8.97	9.89	4906	1648017	1
2015.01.07	10.00	10.62	10.00	10.57	10526	2511163	1
2015.01.08	10.67	10.82	10.14	10.41	7308	2787802	1
2015.01.09	10.37	10.37	9.66	9.79	6974	1962026	1
2015.01.12	9.70	9.81	9.41	9.57	4958	1056965	1
2015.01.13	9.56	9.81	9.17	9.26	4297	1521060	1
2015.01.14	9.04	9.08	8.74	8.84	4764	1298557	1
2015.01.15	8.82	9.22	8.76	9.02	3236	1296638	1
2015.01.16	9.02	9.74	9.01	9.48	4334	1037068	1
2015.01.19	9.48	9.67	8.83	9.04	2998	1167054	1
2015.01.20	9.11	9.36	8.97	9.05	4701	1627211	1
2015.01.21	9.22	9.30	8.72	9.10	7088	1481569	1
2015.01.22	9.17	9.25	8.65	8.65	9054	3303810	1
2015.01.23	8.65	8.72	8.35	8.48	11359	2806487	1
2015.01.26	8.46	8.50	8.29	8.40	7668	1753865	1
2015.01.27	8.38	8.47	8.00	8.32	6955	1330675	1
2015.01.28	8.30	8.40	7.93	8.18	5113	1553481	1
2015.01.29	8.24	8.62	8.08	8.49	7649	1664379	1
2015.01.30	8.34	8.60	8.11	8.60	4439	1447027	1
2015.02.02	8.66	9.13	8.55	8.96	4765	1128170	1
2015.02.03	9.09	9.45	9.09	9.31	5182	1336937	1
2015.02.04	9.31	9.55	8.98	9.09	4546	975256	1
2015.02.05	8.89	9.22	8.89	9.00	3736	1280276	1
2015.02.06	8.90	9.17	8.65	9.17	5552	1208263	1
2015.02.09	9.16	9.77	9.10	9.45	5538	1728312	1
2015.02.10	9.35	9.60	8.93	8.93	5501	2498134	1
2015.02.11	8.93	9.31	8.91	9.31	5366	1320171	1
2015.02.12	9.41	9.52	9.10	9.18	5269	1550855	1
2015.02.13	9.02	9.77	9.02	9.62	6312	1628726	1
2015.02.18	9.79	9.90	9.70	9.76	6739	1584185	1
2015.02.19	9.65	9.73	9.37	9.58	2616	685184	1
2015.02.20	9.59	9.71	9.43	9.68	1991	688618	1
2015.02.23	9.61	9.61	9.41	9.45	2912	918797	1
2015.02.24	9.53	9.55	9.32	9.47	4851	1135240	1
2015.02.25	9.44	9.59	9.31	9.59	4426	919201	1
2015.02.26	9.59	9.91	9.29	9.73	5026	1349663	1
2015.02.27	9.64	9.95	9.59	9.75	6661	1737503	1
2015.03.02	9.65	9.72	9.26	9.37	3872	1051915	1
2015.03.03	9.37	9.70	9.29	9.61	5440	1239270	1
2015.03.04	9.70	10.12	9.65	10.02	6255	2209173	1
2015.03.05	10.13	10.37	10.04	10.30	5622	1455410	1
2015.03.06	10.17	10.50	9.98	10.23	4709	1190689	1
2015.03.09	10.07	10.60	10.07	10.57	5201	1435210	1
2015.03.10	10.47	10.77	10.22	10.28	6872	1870116	1
2015.03.11	10.23	10.45	10.17	10.37	5844	1388346	1
2015.03.12	10.48	10.59	10.13	10.22	5686	1148168	1
2015.03.13	10.00	10.47	10.00	10.25	6039	1171600	1
2015.03.16	10.47	10.47	9.97	10.05	4695	1080296	1
2015.03.17	10.17	10.59	10.17	10.49	5618	1219575	1
2015.03.18	10.50	10.82	10.23	10.61	5710	1528029	1
2015.03.19	10.63	10.79	10.47	10.63	3461	682154	1
2015.03.20	10.76	10.90	10.48	10.82	5991	2400870	1
2015.03.23	10.74	10.79	10.57	10.68	2876	656601	1
2015.03.24	10.68	10.68	10.09	10.28	5807	1643674	1
2015.03.25	10.35	10.60	10.23	10.59	6509	1447835	1
2015.03.26	10.40	10.48	10.14	10.21	6924	2119686	1
2015.03.27	10.07	10.08	9.19	9.31	6795	3841938	1
2015.03.30	9.40	9.72	9.33	9.72	3721	1117868	1
2015.03.31	9.59	9.72	9.33	9.50	6295	2477125	1
2015.04.01	9.50	9.70	9.50	9.70	8611	1761238	1
2015.04.02	9.70	9.72	9.41	9.49	5455	1167560	1
2015.04.06	9.56	9.56	9.35	9.48	3609	794668	1
2015.04.07	9.48	9.59	9.27	9.41	4997	1002021	1
2015.04.08	9.56	9.56	9.12	9.17	8945	2220182	1
2015.04.09	9.14	9.36	9.09	9.20	4370	1201597	1
2015.04.10	9.19	9.27	9.01	9.12	3588	831432	1
2015.04.13	9.11	9.18	9.01	9.13	4273	991416	1
2015.04.14	9.22	9.36	9.06	9.27	6887	1840119	1
2015.04.15	9.36	9.70	9.30	9.50	6416	1545603	1
2015.04.16	9.49	9.55	8.98	9.02	5756	1331483	1
2015.04.17	9.02	9.04	8.64	8.64	5563	1717909	1
2015.04.20	8.68	8.86	8.63	8.75	4571	1547622	1
2015.04.22	8.79	9.15	8.79	9.06	5679	1465712	1
2015.04.23	8.98	9.38	8.98	9.23	8021	2054441	1
2015.04.24	9.49	9.71	8.90	9.20	7472	2416829	1
2015.04.27	9.26	9.38	8.58	8.61	6378	2124737	1
2015.04.28	8.65	8.79	8.54	8.76	6360	1655794	1
2015.04.29	8.74	8.74	8.47	8.58	5034	1367641	1
2015.04.30	8.57	8.65	8.32	8.65	8552	2694477	1
2015.05.04	8.77	9.12	8.70	8.97	4273	1547926	1
2015.05.05	8.95	9.31	8.92	9.17	7356	2108577	1
2015.05.06	9.10	9.25	8.83	8.92	7239	3209173	1
2015.05.07	8.79	8.83	8.48	8.61	4441	1345421	1
2015.05.08	8.68	9.05	8.65	8.83	5685	1777398	1
2015.05.11	8.70	9.19	8.70	9.02	5040	1320676	1
2015.05.12	9.05	9.12	8.67	8.67	7618	2227352	1
2015.05.13	8.48	8.52	8.09	8.14	18541	6535103	1
2015.05.14	8.09	8.17	7.88	7.96	14770	4006064	1
2015.05.15	7.92	8.13	7.83	7.98	9357	2339665	1
2015.05.18	8.05	8.05	7.76	7.76	11127	3501063	1
2015.05.19	7.76	7.79	7.43	7.46	11628	3274925	1
2015.05.20	7.48	7.53	7.31	7.40	13885	3715890	1
2015.05.21	7.32	7.51	7.27	7.45	9094	2630444	1
2015.05.22	7.55	7.66	7.18	7.21	18876	4446525	1
2015.05.25	7.25	7.37	7.13	7.23	5187	1357339	1
2015.05.26	7.22	7.31	6.96	6.96	13039	4374107	1
2015.05.27	7.01	7.11	6.89	7.00	16225	5981118	1
2015.05.28	7.01	7.09	6.93	7.01	19857	5480562	1
2015.05.29	7.03	7.09	6.83	6.87	42676	35310281	1
2015.06.01	6.96	7.19	6.91	7.16	18717	6230487	1
