<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	14.95	15.25	14.66	15.04	3096	831448	1
2015.01.05	14.95	15.06	14.46	14.90	3956	1165577	1
2015.01.06	14.79	15.26	14.70	15.26	3649	1932755	1
2015.01.07	15.20	15.38	14.60	14.60	6459	1777036	1
2015.01.08	14.46	14.70	14.25	14.32	4026	1541813	1
2015.01.09	14.19	14.38	13.89	14.10	3560	1245192	1
2015.01.12	14.10	14.45	13.72	14.30	3461	2344708	1
2015.01.13	14.23	14.68	13.74	13.74	4804	2873543	1
2015.01.14	13.74	14.09	13.44	13.83	5118	2083073	1
2015.01.15	13.65	14.25	13.65	14.10	5655	1868346	1
2015.01.16	14.24	14.55	13.92	14.38	5474	1145964	1
2015.01.19	14.40	14.40	13.63	13.63	3048	905656	1
2015.01.20	13.77	14.05	12.87	13.11	4160	2680447	1
2015.01.21	13.04	13.32	12.85	12.98	4620	2288780	1
2015.01.22	13.23	13.61	12.89	13.56	6863	3588726	1
2015.01.23	13.60	14.05	13.19	13.30	3154	883551	1
2015.01.26	13.35	13.35	12.67	12.73	4555	1582320	1
2015.01.27	12.74	12.74	12.37	12.59	1901	557834	1
2015.01.28	12.51	12.79	12.14	12.28	3911	1554621	1
2015.01.29	12.35	12.94	12.14	12.88	2694	1284403	1
2015.01.30	12.64	13.01	12.12	12.26	5505	1851149	1
2015.02.02	12.24	12.24	11.71	11.79	7241	2307698	1
2015.02.03	11.85	12.13	11.59	11.69	8255	2353698	1
2015.02.04	11.77	12.02	11.71	11.95	7153	2159965	1
2015.02.05	11.91	12.10	11.77	11.79	3597	1168076	1
2015.02.06	11.66	11.71	10.87	10.99	7524	2986660	1
2015.02.09	11.02	11.13	10.59	10.73	6313	2083465	1
2015.02.10	10.60	10.94	10.60	10.86	4306	1532710	1
2015.02.11	11.09	11.23	10.40	10.49	8939	3033664	1
2015.02.12	10.64	11.22	10.64	10.98	5194	1679230	1
2015.02.13	10.98	11.06	10.72	10.84	2728	844541	1
2015.02.18	10.84	11.27	10.82	10.91	2710	837762	1
2015.02.19	10.81	10.91	10.69	10.84	1908	673842	1
2015.02.20	10.84	11.03	10.80	10.94	1721	603140	1
2015.02.23	10.94	11.11	10.55	10.55	4965	1259988	1
2015.02.24	10.60	10.91	10.53	10.91	2909	986578	1
2015.02.25	10.75	10.84	10.61	10.69	2911	957673	1
2015.02.26	10.70	10.79	10.40	10.54	4495	2235887	1
2015.02.27	10.49	10.60	10.01	10.08	4978	2392904	1
2015.03.02	9.99	10.28	9.59	9.69	7767	1881145	1
2015.03.03	9.65	9.91	9.49	9.67	5496	1412990	1
2015.03.04	9.63	9.73	9.39	9.58	6567	1828556	1
2015.03.05	9.63	9.67	9.39	9.39	2193	769458	1
2015.03.06	9.42	9.44	9.12	9.15	3112	1060780	1
2015.03.09	9.13	9.13	8.70	8.83	5170	1771142	1
2015.03.10	8.73	9.04	8.53	8.66	4752	1782832	1
2015.03.11	8.59	9.45	8.41	9.37	6577	2524425	1
2015.03.12	9.39	9.61	8.63	8.73	7532	2718337	1
2015.03.13	8.53	8.69	8.37	8.37	3875	1462408	1
2015.03.16	8.48	8.59	8.21	8.21	3715	1248285	1
2015.03.17	8.21	8.41	8.13	8.31	3910	1486621	1
2015.03.18	8.32	8.49	8.27	8.38	4449	1548523	1
2015.03.19	8.43	8.48	8.23	8.34	2996	1100474	1
2015.03.20	8.37	9.03	8.36	8.83	4051	1453403	1
2015.03.23	8.83	9.48	8.83	9.28	4662	1996172	1
2015.03.24	9.38	9.58	8.73	8.88	3951	1629941	1
2015.03.25	8.91	9.11	8.68	8.70	2558	1142578	1
2015.03.26	8.70	8.70	8.29	8.29	3488	1175685	1
2015.03.27	8.42	8.42	8.13	8.14	2160	944563	1
2015.03.30	8.15	8.37	8.15	8.24	2076	1142791	1
2015.03.31	8.08	8.28	7.85	7.85	4074	1757646	1
2015.04.01	7.93	8.03	7.35	7.44	5198	2544424	1
2015.04.02	7.52	7.80	7.49	7.65	3499	1376113	1
2015.04.06	7.70	7.90	7.65	7.78	3656	935663	1
2015.04.07	7.88	8.10	7.78	8.03	3944	1309995	1
2015.04.08	8.13	8.24	8.03	8.19	3883	1328302	1
2015.04.09	8.16	8.30	7.91	7.97	3062	1164893	1
2015.04.10	7.94	8.18	7.85	7.93	2101	673442	1
2015.04.13	7.87	8.02	7.83	7.86	2262	583139	1
2015.04.14	7.95	8.56	7.95	8.44	6495	3050584	1
2015.04.15	8.49	8.65	8.25	8.40	4169	1573225	1
2015.04.16	8.53	8.59	8.36	8.40	2410	806661	1
2015.04.17	8.29	8.36	8.04	8.05	3355	994575	1
2015.04.20	8.14	8.14	7.93	7.98	1845	551434	1
2015.04.22	7.98	8.21	7.98	8.03	2662	775346	1
2015.04.23	8.10	8.26	8.00	8.18	2386	883567	1
2015.04.24	8.25	8.43	8.23	8.26	3600	993874	1
2015.04.27	8.37	8.59	8.23	8.41	5130	1737134	1
2015.04.28	8.51	8.63	8.05	8.12	4859	1724847	1
2015.04.29	8.12	8.12	7.76	7.81	3722	1555222	1
