<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.25	5.40	5.71	5.20	5.66	46823	210303000	1
2018.04.26	5.69	5.73	5.33	5.46	12986	29354000	1
2018.04.27	5.49	5.62	5.39	5.49	8057	13982500	1
2018.04.30	5.46	5.49	5.40	5.42	1455	5555500	1
2018.05.02	5.29	5.48	5.29	5.35	4777	6425000	1
2018.05.03	5.32	5.47	5.25	5.39	5361	11859000	1
2018.05.04	5.42	5.42	5.18	5.24	5061	9492000	1
2018.05.07	5.22	5.29	5.22	5.29	3127	5628000	1
2018.05.08	5.32	5.35	5.25	5.29	2202	4736000	1
2018.05.09	5.29	5.31	5.21	5.27	1659	4996000	1
2018.05.10	5.31	5.42	5.25	5.33	2488	5946500	1
2018.05.11	5.39	5.53	5.39	5.41	2316	8790000	1
2018.05.14	5.47	5.48	5.36	5.36	3524	5256500	1
2018.05.15	5.51	5.71	5.49	5.68	3948	13513000	1
2018.05.16	5.68	5.84	5.60	5.84	3154	8844000	1
2018.05.17	5.88	6.07	5.88	5.94	3249	7808000	1
2018.05.18	5.94	5.94	5.73	5.80	2690	14619500	1
2018.05.21	5.82	6.10	5.69	6.04	3501	9509000	1
2018.05.22	6.04	6.43	6.04	6.42	3679	6941500	1
2018.05.23	6.42	6.42	6.08	6.41	1955	7315000	1
2018.05.24	6.23	6.28	5.96	5.98	4437	12331500	1
2018.05.25	5.94	6.08	5.89	6.08	3825	8436500	1
2018.05.28	6.08	6.08	5.69	5.78	3453	6411500	1
2018.05.29	5.84	5.95	5.66	5.83	1308	2629500	1
2018.05.30	5.90	6.03	5.72	5.88	2438	7408000	1
2018.06.01	6.01	6.08	5.68	5.86	2283	5865500	1
2018.06.04	5.92	6.04	5.81	5.94	4122	4560000	1
2018.06.05	5.90	5.90	5.65	5.74	1725	3595500	1
2018.06.06	5.69	5.72	5.47	5.58	1369	6656500	1
2018.06.07	5.58	5.58	5.26	5.41	5158	8206000	1
2018.06.08	5.34	5.57	5.29	5.42	4650	6645000	1
2018.06.11	5.45	5.54	5.28	5.45	2035	3034000	1
2018.06.12	5.45	5.58	5.36	5.51	2678	3053500	1
2018.06.13	5.51	5.51	5.20	5.24	5783	11790500	1
2018.06.14	5.23	5.37	5.22	5.30	2515	8048500	1
2018.06.15	5.30	5.30	5.03	5.29	3249	5843500	1
2018.06.18	5.29	5.29	5.14	5.17	3516	6980000	1
2018.06.19	5.21	5.57	5.16	5.46	1973	2394000	1
2018.06.20	5.49	5.72	5.47	5.65	858	2124000	1
2018.06.21	5.59	5.72	5.36	5.53	2255	3703500	1
2018.06.22	5.49	5.72	5.44	5.69	1455	4482000	1
2018.06.25	5.75	5.78	5.65	5.78	1445	13637500	1
2018.06.26	5.80	5.88	5.70	5.81	2385	2298500	1
2018.06.27	5.82	5.93	5.71	5.88	1534	1769500	1
2018.06.28	5.88	5.94	5.71	5.94	3607	13831000	1
2018.06.29	5.85	5.99	5.71	5.86	4481	7384000	1
2018.07.02	5.76	5.82	5.75	5.76	995	1320500	1
2018.07.03	5.81	5.84	5.62	5.72	2550	2137500	1
2018.07.04	5.80	5.83	5.63	5.74	1643	4814000	1
2018.07.05	5.74	5.78	5.64	5.72	2142	5866500	1
2018.07.06	5.72	5.73	5.60	5.60	2283	11536500	1
2018.07.10	5.63	5.76	5.57	5.64	1782	4219000	1
2018.07.11	5.61	5.77	5.53	5.63	2213	4077500	1
2018.07.12	5.62	5.83	5.51	5.83	1982	3530000	1
2018.07.13	5.83	5.86	5.62	5.65	2247	3343500	1
2018.07.16	5.65	5.76	5.55	5.59	2598	2601000	1
2018.07.17	5.63	5.66	5.51	5.56	2598	2290000	1
2018.07.18	5.55	5.75	5.54	5.75	2758	6666500	1
2018.07.19	5.72	5.79	5.60	5.70	1647	2540500	1
2018.07.20	5.78	5.94	5.73	5.88	2716	5353000	1
2018.07.23	5.96	5.98	5.81	5.87	2646	2179500	1
2018.07.24	5.90	5.94	5.83	5.90	1503	2108500	1
2018.07.25	5.94	6.02	5.62	5.62	4539	9799500	1
2018.07.26	5.63	5.68	5.35	5.39	4328	6813500	1
2018.07.27	5.44	5.53	5.36	5.53	2165	2997500	1
2018.07.30	5.52	5.53	5.34	5.38	3226	4602000	1
2018.07.31	5.44	5.53	5.31	5.52	4224	6460500	1
2018.08.01	5.45	5.62	5.45	5.62	1237	1344000	1
2018.08.02	5.57	5.67	5.57	5.67	715	954000	1
2018.08.03	5.67	5.67	5.59	5.62	795	2568500	1
2018.08.06	5.58	5.59	5.43	5.44	1512	3639500	1
2018.08.07	5.44	5.45	5.30	5.30	1593	3193000	1
2018.08.08	5.34	5.37	5.16	5.27	2001	4052000	1
2018.08.09	5.23	5.30	5.14	5.29	3338	8194000	1
2018.08.10	5.30	5.38	5.23	5.28	2090	2650500	1
2018.08.13	5.28	5.36	5.21	5.29	1620	2406000	1
2018.08.14	5.25	5.25	4.98	5.19	4834	7874000	1
2018.08.15	5.16	5.20	5.10	5.10	2937	10535500	1
2018.08.16	5.11	5.13	4.87	4.92	5565	24765000	1
2018.08.17	4.88	4.88	4.71	4.78	4043	32077000	1
2018.08.20	4.82	4.89	4.80	4.84	2033	6386500	1
2018.08.21	4.80	4.86	4.71	4.79	4620	20765000	1
2018.08.22	4.75	4.93	4.75	4.92	1676	7777000	1
2018.08.23	4.86	4.98	4.81	4.91	2162	1898500	1
2018.08.24	4.96	5.06	4.90	5.04	1601	2463000	1
2018.08.27	5.04	5.12	4.93	5.09	1902	4777500	1
2018.08.28	5.08	5.10	4.95	5.04	1700	4476000	1
2018.08.29	5.07	5.10	4.92	4.98	1664	2433000	1
2018.08.30	4.97	5.08	4.91	5.08	3063	3097000	1
2018.08.31	5.10	5.12	5.02	5.08	3417	4428000	1
2018.09.03	5.07	5.09	4.95	5.00	2183	2388000	1
2018.09.04	4.98	4.98	4.81	4.89	2653	2943000	1
2018.09.05	4.88	5.06	4.87	4.90	1978	1431000	1
2018.09.06	4.96	5.12	4.78	4.97	2177	2086500	1
2018.09.10	5.06	5.14	4.98	5.05	1000	2361000	1
2018.09.11	4.98	5.03	4.92	4.92	2830	3760000	1
2018.09.12	4.90	5.00	4.78	4.88	1495	2000000	1
2018.09.13	4.94	4.94	4.72	4.79	2535	3755500	1
2018.09.14	4.75	4.84	4.67	4.67	1355	4042000	1
2018.09.17	4.69	4.96	4.67	4.92	1358	1715000	1
2018.09.18	4.99	5.04	4.93	4.99	1180	2921500	1
2018.09.19	4.92	5.00	4.60	4.60	3381	7654000	1
2018.09.20	4.65	4.66	4.39	4.57	4377	18854500	1
2018.09.21	4.55	4.76	4.54	4.64	1466	4397500	1
2018.09.24	4.64	4.65	4.38	4.38	4065	12472000	1
2018.09.25	4.32	4.50	4.12	4.28	4359	9441500	1
2018.09.26	4.28	4.45	4.23	4.35	3747	7041000	1
2018.09.27	4.38	4.68	4.36	4.59	5152	9081000	1
2018.09.28	4.59	4.78	4.51	4.71	3816	9186000	1
2018.10.01	4.70	4.70	4.58	4.63	2501	5782000	1
2018.10.02	4.63	4.70	4.55	4.63	4166	5871000	1
2018.10.03	4.72	4.93	4.62	4.72	4713	6952000	1
2018.10.04	4.72	4.83	4.53	4.71	3088	3025500	1
2018.10.05	4.79	4.79	4.51	4.57	4719	5468500	1
2018.10.08	4.61	4.75	4.61	4.66	6944	10457500	1
2018.10.09	4.68	4.80	4.57	4.57	3213	6504000	1
2018.10.10	4.51	4.80	4.50	4.63	2592	2247500	1
2018.10.11	4.62	4.80	4.59	4.74	2561	3882500	1
2018.10.15	4.79	4.88	4.47	4.82	4575	7806500	1
2018.10.16	4.82	5.08	4.78	4.94	4133	7268000	1
2018.10.17	4.91	5.08	4.91	5.02	2931	7809000	1
2018.10.18	5.02	5.14	5.01	5.06	3080	3791000	1
2018.10.19	5.06	5.12	4.87	4.95	3627	2973000	1
2018.10.22	4.99	5.12	4.98	5.00	2815	4691500	1
2018.10.23	5.01	5.10	4.96	5.05	2631	3665500	1
2018.10.24	5.04	5.04	4.97	4.98	2471	6214500	1
2018.10.25	4.99	5.09	4.89	5.09	3133	7439500	1
2018.10.26	5.10	5.22	4.91	5.02	5863	8193000	1
2018.10.29	5.25	5.25	5.03	5.05	3433	2646000	1
2018.10.30	5.06	5.10	4.93	4.99	7420	19604500	1
2018.10.31	5.07	5.13	4.94	5.00	7421	12662000	1
2018.11.01	5.06	5.23	4.96	5.04	4349	4341500	1
2018.11.05	5.08	5.14	4.95	5.11	4308	4739000	1
2018.11.06	5.10	5.15	4.96	5.03	2965	3660500	1
2018.11.07	5.06	5.29	5.06	5.18	6123	5637500	1
2018.11.08	5.17	5.31	5.10	5.18	3851	3683000	1
2018.11.09	5.18	5.29	5.03	5.14	7556	6352000	1
2018.11.12	5.16	5.21	5.07	5.14	2552	2159000	1
2018.11.13	5.17	5.21	5.02	5.04	8371	9568500	1
2018.11.14	5.02	5.38	4.75	5.31	10573	24130500	1
2018.11.16	5.28	5.59	5.28	5.43	6080	9784500	1
2018.11.19	5.40	5.46	5.34	5.37	2836	2378000	1
2018.11.21	5.29	5.46	5.23	5.34	3710	13782000	1
2018.11.22	5.32	5.37	5.21	5.29	2659	3057500	1
