<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	16.16	16.34	15.56	15.79	3677	864400	1
2015.01.05	15.68	15.78	15.23	15.35	7371	1199900	1
2015.01.06	15.26	15.56	15.04	15.07	4531	1132400	1
2015.01.07	15.07	15.58	15.07	15.39	3737	799400	1
2015.01.08	15.39	15.73	15.39	15.61	3209	1431100	1
2015.01.09	15.57	15.62	15.19	15.23	3018	888800	1
2015.01.12	15.23	15.24	14.68	14.68	3595	1267300	1
2015.01.13	14.71	14.78	14.43	14.43	3269	588700	1
2015.01.14	14.23	14.67	14.23	14.59	5899	1855800	1
2015.01.15	14.64	15.00	14.56	14.73	8833	1946500	1
2015.01.16	14.84	15.38	14.72	15.09	5042	1143800	1
2015.01.19	14.99	15.07	14.54	14.91	5121	846300	1
2015.01.20	15.06	15.15	14.78	14.91	5093	1741300	1
2015.01.21	15.14	15.48	14.81	15.31	3512	909800	1
2015.01.22	15.46	16.04	15.39	15.79	3193	1004700	1
2015.01.23	15.78	15.97	15.72	15.91	4987	1020200	1
2015.01.26	15.70	15.81	15.44	15.76	4156	783200	1
2015.01.27	15.39	15.39	14.45	14.71	9908	3677400	1
2015.01.28	14.60	14.75	14.51	14.68	4156	1312200	1
2015.01.29	14.73	14.85	14.54	14.75	2613	567400	1
2015.01.30	14.55	14.69	14.35	14.58	3615	1346500	1
2015.02.02	14.76	15.20	14.52	15.07	8052	1383900	1
2015.02.03	15.23	15.58	15.12	15.36	3029	1012500	1
2015.02.04	15.36	15.70	15.28	15.37	2959	1079300	1
2015.02.05	15.17	15.55	14.94	14.94	3073	768200	1
2015.02.06	14.83	14.89	14.53	14.53	4578	1072700	1
2015.02.09	14.52	14.89	14.52	14.72	3462	690100	1
2015.02.10	14.64	14.78	14.32	14.34	3327	1226000	1
2015.02.11	14.27	14.34	13.75	13.83	6502	1900300	1
2015.02.12	13.85	14.13	13.44	13.58	4983	1368600	1
2015.02.13	13.67	13.87	13.38	13.38	5708	1735400	1
2015.02.18	13.42	14.07	13.42	13.72	6607	1471800	1
2015.02.19	13.77	14.19	13.71	13.85	4823	869200	1
2015.02.20	14.03	14.16	13.78	14.11	3516	704500	1
2015.02.23	13.95	14.25	13.79	14.12	2496	591100	1
2015.02.24	14.19	14.44	13.93	14.15	3382	696400	1
2015.02.25	14.13	14.55	13.99	14.55	2613	619200	1
2015.02.26	14.51	14.62	14.07	14.09	3310	814600	1
2015.02.27	14.19	14.60	13.99	14.27	4790	966600	1
2015.03.02	14.31	14.35	13.79	14.01	3340	605500	1
2015.03.03	14.03	14.20	13.71	13.71	2224	554300	1
2015.03.04	13.50	13.78	13.50	13.53	4663	946200	1
2015.03.05	13.59	13.62	12.99	13.17	7441	1605500	1
2015.03.06	13.14	13.32	13.05	13.25	4082	1455500	1
