<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	13.45	13.56	13.06	13.11	8656	2026900	1
2015.01.05	12.89	13.05	12.69	12.96	10275	3735500	1
2015.01.06	13.01	13.24	12.71	12.75	9345	2968200	1
2015.01.07	12.93	13.58	12.93	13.56	10889	2641100	1
2015.01.08	13.56	13.71	13.38	13.57	5163	1639300	1
2015.01.09	13.49	13.53	13.30	13.36	3660	1233800	1
2015.01.12	13.24	13.41	13.07	13.28	5340	1634800	1
2015.01.13	13.36	13.44	13.17	13.17	6988	2851400	1
2015.01.14	12.95	13.26	12.93	13.10	6773	2588200	1
2015.01.15	13.15	13.79	13.15	13.76	8421	3114400	1
2015.01.16	13.76	14.25	13.60	14.04	9140	2859700	1
2015.01.19	13.96	14.17	13.76	13.92	4419	1470500	1
2015.01.20	13.88	14.00	13.74	13.89	5602	1467000	1
2015.01.21	14.00	14.70	13.89	14.50	10489	5259800	1
2015.01.22	14.64	15.31	14.60	15.12	12737	4562700	1
2015.01.23	14.89	15.24	14.69	14.89	6169	2018600	1
2015.01.26	14.69	15.00	14.47	14.89	7250	2147600	1
2015.01.27	14.67	14.89	14.51	14.60	8704	3028500	1
2015.01.28	14.45	14.89	14.33	14.81	6841	1789400	1
2015.01.29	14.69	14.89	14.59	14.81	5177	1896500	1
2015.01.30	14.61	15.00	14.43	14.76	9566	3127600	1
2015.02.02	14.73	14.86	14.49	14.57	8898	2515200	1
2015.02.03	14.66	14.75	14.46	14.61	7207	2395300	1
2015.02.04	14.65	14.72	14.14	14.27	10276	3045800	1
2015.02.05	14.20	14.42	14.15	14.25	5686	2687700	1
2015.02.06	14.18	14.28	14.10	14.25	9202	2112700	1
2015.02.09	14.21	14.33	13.95	14.07	7891	1534100	1
2015.02.10	14.06	14.59	13.80	14.11	11527	3398800	1
2015.02.11	14.07	14.31	13.90	13.99	8510	2321300	1
2015.02.12	14.22	14.53	14.13	14.45	11680	2965100	1
2015.02.13	14.57	14.89	14.49	14.81	6097	2239700	1
2015.02.18	15.10	15.19	14.73	14.94	7052	2326000	1
2015.02.19	14.74	15.15	14.73	15.03	6102	1542900	1
2015.02.20	14.91	14.99	14.72	14.72	4633	1884500	1
