<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	22.33	22.33	20.77	21.65	1894	414800	1
2015.01.05	21.69	21.87	21.05	21.45	1572	371800	1
2015.01.06	21.38	22.17	21.38	22.05	1231	209400	1
2015.01.07	21.77	22.63	21.77	22.11	2719	392300	1
2015.01.08	22.01	22.52	21.56	22.46	1203	243800	1
2015.01.09	22.49	22.58	21.74	22.30	1105	322700	1
2015.01.12	22.16	22.24	21.80	22.18	920	233800	1
2015.01.13	22.01	22.47	21.76	21.76	1996	388400	1
2015.01.14	21.75	22.01	21.74	21.74	1062	207400	1
2015.01.15	21.97	22.70	21.84	22.59	2788	439900	1
2015.01.16	22.63	24.05	22.62	23.91	5345	913500	1
2015.01.19	23.84	23.84	22.60	22.83	1809	301300	1
2015.01.20	22.94	23.47	22.94	23.07	2207	880900	1
2015.01.21	23.29	23.77	22.91	23.55	2648	588400	1
2015.01.22	23.64	24.36	23.64	23.82	2542	454200	1
2015.01.23	23.80	23.82	23.41	23.62	3119	479500	1
2015.01.26	23.82	23.82	22.47	22.66	2162	352100	1
2015.01.27	22.52	23.18	21.94	22.78	2205	353200	1
2015.01.28	22.57	22.87	22.45	22.69	915	159100	1
2015.01.29	22.59	22.70	22.15	22.20	1045	243300	1
2015.01.30	22.11	22.25	21.57	21.92	2551	462200	1
2015.02.02	21.95	22.36	21.48	21.53	3213	572800	1
2015.02.03	21.65	22.36	21.65	22.36	2606	621900	1
2015.02.04	22.33	23.37	22.01	22.69	3468	734000	1
2015.02.05	22.55	23.37	22.55	23.37	2610	442700	1
2015.02.06	23.28	23.31	22.44	22.99	2205	328500	1
2015.02.09	22.87	23.45	22.48	23.45	1685	381500	1
2015.02.10	23.42	23.97	22.95	23.22	2674	691300	1
2015.02.11	23.21	23.39	22.33	22.33	2973	642500	1
2015.02.12	22.47	23.64	22.47	23.46	3055	822200	1
2015.02.13	23.59	23.60	22.87	23.02	2255	355500	1
2015.02.18	23.15	23.96	22.95	23.68	2281	339900	1
2015.02.19	23.68	23.82	23.08	23.35	4631	792200	1
2015.02.20	23.57	23.73	23.20	23.64	2473	806500	1
2015.02.23	23.59	24.07	23.30	23.82	2022	349700	1
2015.02.24	23.89	24.21	23.55	24.18	1751	384600	1
2015.02.25	24.14	24.57	23.71	24.31	4047	1104700	1
2015.02.26	24.05	24.50	23.95	24.23	1745	350500	1
2015.02.27	24.31	25.22	24.23	24.59	4337	717400	1
2015.03.02	24.59	24.78	24.07	24.27	2094	505200	1
2015.03.03	24.36	24.70	24.06	24.36	2280	353000	1
2015.03.04	24.08	24.65	23.83	24.36	2848	436800	1
2015.03.05	24.46	24.63	23.95	24.09	2234	413000	1
2015.03.06	24.06	24.30	23.81	24.05	2529	458700	1
2015.03.09	23.95	24.00	22.97	23.01	2606	519700	1
2015.03.10	22.83	23.81	22.83	23.40	3394	791500	1
2015.03.11	23.47	24.06	23.42	23.95	2784	552400	1
2015.03.12	23.94	24.41	23.90	24.27	3272	600400	1
2015.03.13	24.09	24.15	23.50	23.90	3217	855900	1
2015.03.16	23.89	24.20	23.49	23.66	1959	314100	1
2015.03.17	23.56	24.18	23.27	23.82	3990	1506500	1
2015.03.18	23.91	24.99	23.82	24.90	3199	761000	1
2015.03.19	24.84	24.84	24.06	24.41	2061	388800	1
2015.03.20	24.47	25.23	24.41	24.86	2912	489400	1
