<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.07.31	7.76	8.13	7.71	8.05	14092	33310500	1
2017.08.01	8.13	8.16	8.05	8.08	6253	11410800	1
2017.08.02	8.08	8.10	7.99	8.09	3101	3377700	1
2017.08.03	8.03	8.09	8.00	8.06	2089	2025000	1
2017.08.04	8.13	8.23	7.81	7.83	5031	6963000	1
2017.08.07	7.94	7.99	7.83	7.84	5411	4884000	1
2017.08.08	7.91	7.91	7.69	7.73	3343	6029700	1
2017.08.09	7.75	7.77	7.50	7.62	3786	4650900	1
2017.08.10	7.61	7.80	7.58	7.76	3591	1926900	1
2017.08.11	7.80	7.85	7.69	7.80	1369	1115100	1
2017.08.14	7.84	7.84	7.71	7.80	1150	984300	1
2017.08.15	7.84	7.84	7.78	7.80	811	1670100	1
2017.08.16	7.80	7.85	7.67	7.83	1688	3264300	1
2017.08.17	7.83	7.84	7.75	7.76	567	5687700	1
2017.08.18	7.77	7.84	7.69	7.83	1296	7521600	1
2017.08.21	7.83	7.88	7.65	7.86	2077	5918700	1
2017.08.22	7.86	7.88	7.78	7.83	1591	1063500	1
2017.08.23	7.83	7.83	7.68	7.71	2674	1593300	1
2017.08.24	7.77	7.97	7.62	7.97	3924	11426100	1
2017.08.25	7.94	8.19	7.90	8.19	2183	4571700	1
2017.08.28	8.20	8.33	8.10	8.31	3718	5250600	1
2017.08.29	8.29	8.45	8.13	8.29	2062	2550900	1
2017.08.30	8.34	8.35	8.16	8.32	1557	1484100	1
2017.08.31	8.26	8.33	8.21	8.24	537	556500	1
2017.09.01	8.24	8.27	8.14	8.17	2783	2351100	1
2017.09.04	8.19	8.28	8.16	8.24	887	619500	1
2017.09.05	8.24	8.38	8.22	8.32	1692	5808900	1
2017.09.06	8.38	8.52	8.38	8.46	3702	2525400	1
2017.09.08	8.56	8.73	8.51	8.65	7548	6706200	1
2017.09.11	8.65	8.74	8.60	8.67	2837	2741700	1
2017.09.12	8.67	8.78	8.65	8.65	3001	2677200	1
2017.09.13	8.66	8.69	8.52	8.57	1720	1411200	1
2017.09.14	8.53	8.68	8.53	8.56	2564	1188000	1
2017.09.15	8.55	8.72	8.55	8.72	1685	2360400	1
2017.09.18	8.74	8.82	8.60	8.65	3333	4387800	1
2017.09.19	8.65	8.79	8.59	8.64	692	515400	1
2017.09.20	8.70	8.72	8.57	8.58	521	1494600	1
2017.09.21	8.60	8.68	8.54	8.65	779	2058300	1
2017.09.22	8.64	8.76	8.59	8.76	1126	851100	1
2017.09.25	8.77	8.81	8.57	8.61	782	1792200	1
2017.09.26	8.63	8.67	8.49	8.55	834	1003500	1
2017.09.27	8.57	8.61	8.41	8.43	1911	954300	1
2017.09.28	8.47	8.61	8.24	8.35	1583	2556900	1
2017.09.29	8.44	8.44	8.15	8.31	3191	4014300	1
2017.10.02	8.34	8.54	8.31	8.47	2304	2250300	1
2017.10.03	8.45	8.50	8.32	8.45	1450	4980900	1
2017.10.04	8.52	8.52	8.34	8.45	1451	3386100	1
2017.10.05	8.47	8.49	8.29	8.33	2546	4261500	1
2017.10.06	8.34	8.38	8.19	8.23	1279	1668000	1
2017.10.09	8.25	8.46	8.25	8.46	2169	1934700	1
2017.10.10	8.47	8.52	8.34	8.45	1240	2499000	1
2017.10.11	8.50	8.61	8.34	8.50	893	2710500	1
2017.10.13	8.58	8.70	8.58	8.62	981	2028600	1
2017.10.16	8.65	8.79	8.63	8.74	1687	3685800	1
2017.10.17	8.74	8.78	8.66	8.71	1543	1565100	1
2017.10.18	8.76	8.80	8.66	8.80	1149	2139600	1
2017.10.19	8.70	9.02	8.68	8.97	1397	3303300	1
2017.10.20	9.02	9.22	9.02	9.13	2883	2077500	1
2017.10.23	9.21	9.23	9.02	9.04	2098	1670100	1
2017.10.24	9.04	9.14	8.93	8.97	1097	2019300	1
2017.10.25	8.97	9.03	8.86	8.94	1368	1923300	1
2017.10.26	8.97	9.12	8.91	9.06	2077	1277700	1
2017.10.27	9.06	9.20	8.97	9.11	2387	1284900	1
2017.10.30	9.10	9.14	9.01	9.06	1859	3687900	1
2017.10.31	9.11	9.11	8.98	9.01	2023	2107800	1
2017.11.01	9.20	9.29	9.08	9.14	4655	5337000	1
2017.11.03	9.26	9.27	9.13	9.20	3544	4630200	1
2017.11.06	9.30	9.34	9.20	9.34	3494	2388600	1
2017.11.07	9.37	9.37	9.28	9.34	4677	3150000	1
2017.11.08	9.40	9.53	9.37	9.48	4857	4573500	1
2017.11.09	9.48	9.50	9.32	9.44	2892	4560300	1
2017.11.10	9.40	9.43	9.32	9.41	2766	3021600	1
2017.11.13	9.41	9.48	9.32	9.47	4505	4913700	1
2017.11.14	9.47	9.47	9.32	9.39	2424	3774300	1
2017.11.16	9.39	9.48	9.33	9.37	1768	1944000	1
2017.11.17	9.37	9.46	9.22	9.39	1628	2411400	1
2017.11.21	9.41	9.59	9.32	9.48	2268	2414100	1
2017.11.22	9.52	9.62	9.52	9.56	1423	794700	1
2017.11.23	9.57	9.61	9.49	9.51	307	297000	1
2017.11.24	9.52	9.61	9.46	9.54	1749	1148400	1
2017.11.27	9.58	9.58	9.50	9.54	1322	1703700	1
2017.11.28	9.54	9.56	9.51	9.51	1897	1114800	1
2017.11.29	9.51	9.54	9.41	9.54	1832	1551300	1
2017.11.30	9.53	9.64	9.44	9.64	3943	3183000	1
2017.12.01	9.63	9.76	9.58	9.63	3410	3103800	1
2017.12.04	9.66	9.74	9.54	9.54	3125	1852800	1
2017.12.05	9.54	9.61	9.44	9.44	1909	1168800	1
2017.12.06	9.43	9.65	9.41	9.54	2654	1144500	1
2017.12.07	9.49	9.54	9.42	9.46	1979	1084200	1
2017.12.08	9.52	9.52	9.36	9.46	1677	1405500	1
2017.12.11	9.42	9.54	9.32	9.51	2269	2698200	1
2017.12.12	9.50	9.55	9.47	9.54	1235	2505000	1
2017.12.13	9.57	9.65	9.27	9.36	1806	1195500	1
2017.12.14	9.29	9.42	9.29	9.41	2391	1921200	1
2017.12.15	9.43	9.52	9.27	9.27	2070	9556800	1
2017.12.18	9.33	9.43	9.01	9.26	885	945000	1
2017.12.19	9.27	9.29	9.15	9.21	937	645600	1
2017.12.20	9.17	9.29	9.05	9.22	3165	6891300	1
2017.12.21	9.27	9.36	9.21	9.31	2082	3437100	1
2017.12.22	9.31	9.45	9.24	9.45	1024	2175000	1
2017.12.26	9.46	9.58	9.29	9.55	1666	1738200	1
2017.12.27	9.54	9.54	9.46	9.46	1845	1291500	1
2017.12.28	9.46	9.56	9.36	9.54	1756	1994700	1
2018.01.02	9.39	9.58	9.39	9.46	2033	1747500	1
2018.01.03	9.47	9.52	9.41	9.46	2465	2439600	1
2018.01.04	9.47	9.60	9.39	9.54	1191	3135000	1
2018.01.05	9.49	9.71	9.47	9.67	2059	1085700	1
2018.01.08	9.67	9.88	9.58	9.83	1922	2448300	1
2018.01.09	9.86	9.91	9.78	9.81	4265	2886300	1
2018.01.10	9.90	9.90	9.76	9.81	3847	2448300	1
2018.01.11	9.83	10.11	9.78	10.11	4929	5301600	1
2018.01.12	10.02	10.47	10.02	10.38	4968	4822500	1
2018.01.15	10.50	10.70	10.50	10.53	3125	2382600	1
2018.01.16	10.56	10.67	10.56	10.60	2789	2585100	1
2018.01.17	10.60	10.63	10.50	10.53	2628	1937400	1
2018.01.18	10.55	10.67	10.49	10.53	2146	3169800	1
2018.01.19	10.53	10.66	10.53	10.53	2217	3973800	1
2018.01.22	10.53	10.88	10.50	10.71	2782	2280900	1
2018.01.23	10.61	11.00	10.61	10.67	4235	3289500	1
2018.01.24	10.74	10.89	10.68	10.72	3678	3122400	1
2018.01.26	10.77	11.00	10.50	10.70	8210	5782500	1
2018.01.29	10.67	10.84	10.28	10.46	4414	3299700	1
2018.01.30	10.52	10.52	10.25	10.46	3164	2463300	1
2018.01.31	10.56	10.66	10.48	10.54	5758	7996800	1
2018.02.01	10.67	10.70	10.53	10.63	5495	4681500	1
2018.02.02	10.57	10.76	10.55	10.66	3981	2539800	1
2018.02.05	10.66	10.95	10.56	10.92	4041	3786600	1
2018.02.06	10.86	10.95	10.70	10.87	5793	2803200	1
2018.02.07	10.89	10.93	10.71	10.84	2991	2479200	1
2018.02.08	10.77	11.16	10.77	10.91	5014	4068000	1
2018.02.09	10.92	11.08	10.52	10.58	3515	5100900	1
2018.02.14	10.60	11.09	10.60	10.88	2519	3249900	1
2018.02.15	10.97	10.98	10.75	10.75	3282	1982100	1
2018.02.16	10.86	10.90	10.71	10.86	2570	2591400	1
2018.02.19	10.92	10.97	10.72	10.78	1907	2037900	1
2018.02.20	10.84	10.95	10.75	10.86	2314	4422300	1
2018.02.21	10.91	11.02	10.88	10.92	3892	3479100	1
2018.02.22	10.97	11.06	10.80	10.95	4119	4527600	1
2018.02.23	10.95	11.09	10.92	10.93	4054	3785400	1
2018.02.26	11.03	11.06	10.91	10.92	2266	1336800	1
2018.02.27	10.93	11.00	10.76	10.98	2574	1852200	1
2018.02.28	10.95	11.02	10.74	10.86	2247	1732800	1
2018.03.01	10.86	10.97	10.77	10.81	2286	1326000	1
2018.03.02	10.86	10.95	10.76	10.92	2338	1021500	1
2018.03.05	10.94	10.96	10.78	10.81	3154	1642500	1
2018.03.06	10.84	11.03	10.82	10.99	2517	1392900	1
2018.03.07	10.93	11.20	10.93	11.18	3377	1682100	1
2018.03.08	11.23	11.45	11.20	11.37	4173	8292900	1
2018.03.09	11.40	11.96	11.40	11.86	7704	4093500	1
2018.03.12	11.79	12.16	11.77	12.12	6952	4318200	1
2018.03.13	12.16	12.24	12.03	12.24	6093	5614200	1
2018.03.14	12.18	12.18	11.93	12.02	2847	3633600	1
2018.03.15	12.02	12.10	11.66	11.66	3572	3389100	1
2018.03.16	11.78	11.82	11.29	11.38	7010	7602600	1
2018.03.19	11.44	11.86	11.41	11.76	7483	6122100	1
2018.03.20	11.79	11.96	11.79	11.93	4196	2477400	1
2018.03.21	12.02	12.04	11.97	12.00	2985	2715600	1
2018.03.22	12.07	12.39	12.03	12.35	3689	6067200	1
