<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	4.63	4.67	4.51	4.53	18046	13504998	1
2015.01.05	4.47	4.62	4.44	4.55	39127	25662841	1
2015.01.06	4.56	4.60	4.49	4.58	35142	41093754	1
2015.01.07	4.67	4.83	4.66	4.76	28153	24279225	1
2015.01.08	4.80	4.84	4.68	4.81	15667	19434195	1
2015.01.09	4.77	4.79	4.61	4.64	11472	12201527	1
2015.01.12	4.60	4.66	4.52	4.56	24710	19375220	1
2015.01.13	4.56	4.69	4.56	4.57	25266	21793199	1
2015.01.14	4.51	4.68	4.51	4.60	19581	14676851	1
2015.01.15	4.63	4.77	4.59	4.59	22971	17825179	1
2015.01.16	4.62	4.71	4.58	4.67	29980	17265963	1
2015.01.19	4.65	4.70	4.46	4.46	15568	14364685	1
2015.01.20	4.53	4.61	4.49	4.55	24086	25644500	1
2015.01.21	4.58	4.77	4.57	4.73	45448	37861202	1
2015.01.22	4.78	4.85	4.74	4.78	28851	35088109	1
2015.01.23	4.78	4.79	4.67	4.75	27780	27436487	1
2015.01.26	4.70	4.79	4.67	4.74	23359	21499518	1
2015.01.27	4.70	4.79	4.65	4.74	24259	18581664	1
2015.01.28	4.69	4.77	4.64	4.64	26754	16298612	1
2015.01.29	4.66	4.72	4.58	4.61	21679	18220048	1
2015.01.30	4.55	4.58	4.51	4.52	33802	32730895	1
2015.02.02	4.56	4.63	4.52	4.56	25439	19808435	1
2015.02.03	4.74	4.76	4.66	4.71	31420	30527091	1
2015.02.04	4.73	4.98	4.71	4.89	64912	47617224	1
2015.02.05	4.87	4.97	4.84	4.89	57566	39904582	1
2015.02.06	4.87	4.94	4.80	4.94	59048	29125260	1
2015.02.09	4.92	4.95	4.90	4.91	40415	23530263	1
2015.02.10	4.91	4.95	4.85	4.85	29995	29476946	1
2015.02.11	4.87	4.90	4.68	4.78	33719	28949451	1
2015.02.12	4.83	4.91	4.81	4.84	17495	14641367	1
