<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	13.61	13.83	13.32	13.44	20856	13616842	1
2015.01.05	13.23	13.65	13.13	13.51	27416	15336790	1
2015.01.06	13.51	13.73	13.36	13.73	27478	17762372	1
2015.01.07	13.91	14.44	13.91	14.23	27180	15249274	1
2015.01.08	14.31	14.51	14.00	14.45	21697	13888209	1
2015.01.09	14.33	14.37	13.78	13.82	17139	11037290	1
2015.01.12	13.75	13.88	13.46	13.48	34054	13098317	1
2015.01.13	13.60	13.83	13.47	13.47	25974	16695678	1
2015.01.14	13.35	13.76	13.31	13.56	29571	14648563	1
2015.01.15	13.59	13.97	13.44	13.44	26507	15420174	1
2015.01.16	13.48	13.72	13.35	13.65	31452	16748823	1
2015.01.19	13.56	13.72	13.09	13.15	19589	9940694	1
2015.01.20	13.37	13.42	13.10	13.20	19231	10868445	1
2015.01.21	13.39	13.68	13.18	13.59	27473	17050802	1
2015.01.22	13.75	13.91	13.58	13.65	22195	14627500	1
2015.01.23	13.65	13.79	13.40	13.52	23669	13410358	1
2015.01.26	13.46	13.71	13.36	13.68	25250	11685447	1
2015.01.27	13.63	13.74	13.34	13.63	31106	15126305	1
2015.01.28	13.47	13.76	13.35	13.35	22448	13521824	1
2015.01.29	13.47	13.53	13.04	13.26	24199	14483355	1
2015.01.30	13.00	13.15	12.90	13.07	40760	21328990	1
2015.02.02	13.21	13.27	12.98	13.25	25723	13879608	1
2015.02.03	13.71	13.79	13.55	13.62	36828	21745110	1
2015.02.04	13.61	14.20	13.52	14.12	46327	28942970	1
2015.02.05	14.06	14.23	13.92	14.00	40315	22723958	1
2015.02.06	13.92	14.04	13.76	13.97	41748	20272828	1
2015.02.09	13.84	14.10	13.84	14.06	35729	14834480	1
2015.02.10	14.08	14.17	13.88	13.88	20672	13892455	1
2015.02.11	13.96	14.03	13.46	13.61	25865	14170716	1
2015.02.12	13.76	14.04	13.70	13.97	21534	13843421	1
2015.02.13	14.06	14.44	14.01	14.43	20617	14723122	1
2015.02.18	14.72	14.78	14.44	14.52	20534	13911569	1
2015.02.19	14.46	14.67	14.37	14.52	19692	9387920	1
