<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	11.46	11.53	11.20	11.50	3791	3650750	1
2015.01.05	11.43	11.43	11.09	11.18	3364	3083762	1
2015.01.06	11.11	11.42	11.11	11.31	4486	5114573	1
2015.01.07	11.35	11.61	11.35	11.51	4023	4142185	1
2015.01.08	11.47	11.59	11.38	11.52	1980	2563115	1
2015.01.09	11.40	11.49	11.02	11.11	4643	4328610	1
2015.01.12	10.97	11.32	10.97	11.26	3084	2372805	1
2015.01.13	11.23	11.36	11.14	11.22	3744	3602772	1
2015.01.14	11.16	11.31	11.10	11.12	4414	4117372	1
2015.01.15	11.24	11.38	11.11	11.25	3916	5794647	1
2015.01.16	11.25	11.37	11.16	11.25	3590	3315975	1
2015.01.19	11.19	11.31	11.07	11.09	2374	2745668	1
2015.01.20	11.19	11.19	10.96	11.06	2831	3428484	1
2015.01.21	11.19	11.22	11.02	11.10	3699	3709759	1
2015.01.22	11.17	11.25	10.97	10.99	5615	4895621	1
2015.01.23	10.97	11.10	10.90	10.98	4670	4762127	1
2015.01.26	10.92	11.04	10.70	11.01	4022	5688196	1
2015.01.27	10.90	10.94	10.65	10.86	5200	4960695	1
2015.01.28	10.85	10.97	10.73	10.91	3254	2762201	1
2015.01.29	10.87	11.22	10.84	10.91	4474	6951260	1
2015.01.30	10.84	10.97	10.60	10.69	5126	13461819	1
2015.02.02	10.76	10.93	10.72	10.87	4068	4431753	1
2015.02.03	10.95	10.99	10.78	10.92	3500	4789722	1
2015.02.04	10.97	10.97	10.60	10.90	4121	4716904	1
2015.02.05	10.84	11.17	10.84	11.06	5494	8047747	1
2015.02.06	10.98	11.06	10.81	10.91	4830	4532125	1
2015.02.09	10.75	11.23	10.75	11.23	3905	5463163	1
2015.02.10	11.15	11.19	10.82	10.82	3642	3091484	1
2015.02.11	10.79	10.86	10.62	10.70	4789	4857556	1
2015.02.12	10.81	11.04	10.72	10.91	2696	3967368	1
2015.02.13	11.52	11.97	11.44	11.74	9007	12680804	1
2015.02.18	11.67	12.08	11.62	11.87	7898	7487920	1
2015.02.19	11.82	12.47	11.81	12.28	4086	7008612	1
2015.02.20	12.23	12.34	12.18	12.24	3950	4587843	1
2015.02.23	12.20	12.43	12.17	12.23	3712	4100817	1
2015.02.24	12.30	12.55	12.23	12.49	4925	4432296	1
2015.02.25	12.36	12.71	12.36	12.66	4479	7060454	1
2015.02.26	12.71	12.85	12.66	12.69	4527	5918749	1
2015.02.27	12.66	12.82	12.56	12.75	5181	5982731	1
2015.03.02	12.70	12.97	12.68	12.94	5692	5882348	1
2015.03.03	12.88	12.95	12.73	12.90	3385	4816191	1
2015.03.04	12.73	12.90	12.55	12.63	5370	4319235	1
2015.03.05	12.67	12.67	12.36	12.50	4305	4542057	1
2015.03.06	12.56	12.64	12.49	12.54	3397	2558110	1
2015.03.09	12.58	12.60	12.38	12.40	4845	4806812	1
2015.03.10	12.21	12.51	12.21	12.22	5699	6781926	1
2015.03.11	12.19	12.56	12.19	12.46	6010	7818854	1
2015.03.12	12.77	12.77	12.53	12.66	4529	4266841	1
2015.03.13	12.39	12.63	12.35	12.49	3861	3169252	1
2015.03.16	12.61	12.66	12.29	12.53	3132	3370574	1
2015.03.17	12.53	12.77	12.30	12.76	5610	5422354	1
2015.03.18	12.72	13.00	12.55	12.97	3664	3392631	1
2015.03.19	12.95	13.03	12.76	12.88	4301	4469797	1
2015.03.20	12.97	13.27	12.97	13.14	4257	4296630	1
2015.03.23	13.14	13.18	12.95	13.04	1741	1825126	1
2015.03.24	13.04	13.35	13.00	13.04	4518	5894474	1
2015.03.25	13.15	13.34	13.14	13.24	4313	5119547	1
2015.03.26	13.10	13.19	12.91	13.10	2466	2831138	1
2015.03.27	13.01	13.27	12.95	13.27	3522	4088138	1
2015.03.30	13.33	13.55	13.28	13.54	3282	3261907	1
2015.03.31	13.51	13.84	13.47	13.79	4033	7291578	1
2015.04.01	13.88	14.20	13.88	14.06	4305	4159279	1
2015.04.02	14.06	14.37	14.06	14.13	3438	3495770	1
2015.04.06	14.29	14.38	14.15	14.23	3094	2715320	1
2015.04.07	14.18	14.33	14.18	14.20	2158	2915540	1
2015.04.08	14.36	14.36	14.18	14.21	2714	2692163	1
2015.04.09	14.20	14.42	14.18	14.24	3020	2708703	1
2015.04.10	14.21	14.38	14.11	14.20	1739	1525643	1
2015.04.13	14.20	14.33	14.11	14.20	1930	1662405	1
2015.04.14	14.27	14.39	14.12	14.21	3721	2928226	1
2015.04.15	14.35	14.53	14.21	14.43	3342	3402008	1
2015.04.16	14.43	14.54	14.09	14.21	2458	2446173	1
2015.04.17	14.09	14.34	13.96	13.99	3108	3346298	1
2015.04.20	13.96	14.11	13.84	14.11	2341	2246495	1
2015.04.22	14.13	14.28	14.03	14.15	3407	3327555	1
2015.04.23	14.15	14.48	14.11	14.48	2064	2306629	1
2015.04.24	14.55	14.68	14.45	14.59	3713	3018129	1
2015.04.27	14.65	14.85	14.43	14.56	3259	3391525	1
2015.04.28	14.63	14.63	14.47	14.55	4152	4428995	1
2015.04.29	14.45	14.81	14.40	14.67	5990	8809992	1
2015.04.30	16.10	16.16	15.73	16.11	10274	15117020	1
2015.05.04	16.20	16.75	15.97	16.14	5172	9021800	1
2015.05.05	16.17	16.23	15.85	15.85	2958	3623729	1
2015.05.06	15.80	16.14	15.80	16.03	4554	4389289	1
2015.05.07	16.11	16.83	16.08	16.83	4723	4028569	1
2015.05.08	17.15	17.87	16.91	17.48	5534	7241927	1
2015.05.11	17.48	17.48	17.01	17.16	2753	3082664	1
2015.05.12	17.03	17.55	17.01	17.44	3728	2651335	1
2015.05.13	17.43	17.63	17.35	17.52	2988	2239876	1
2015.05.14	17.56	17.65	16.96	17.12	4917	5178567	1
2015.05.15	17.02	17.55	16.99	17.53	2167	2810211	1
2015.05.18	17.41	17.64	17.13	17.36	2611	2726360	1
2015.05.19	17.22	17.35	16.86	16.86	3380	3283441	1
2015.05.20	16.75	17.00	16.49	16.87	3201	3708677	1
2015.05.21	16.86	16.91	16.68	16.82	2188	2232159	1
2015.05.22	16.76	17.10	16.43	16.72	2698	2434040	1
2015.05.25	16.76	17.09	16.57	16.80	1467	1267519	1
2015.05.26	16.73	16.85	16.36	16.46	3139	2653558	1
2015.05.27	16.49	16.55	16.27	16.40	3074	3630342	1
2015.05.28	16.33	16.50	16.26	16.44	3368	4360058	1
2015.05.29	16.39	16.69	16.23	16.42	4405	4198453	1
2015.06.01	16.42	16.61	16.15	16.20	2915	3342994	1
2015.06.02	16.33	16.82	16.09	16.82	3047	3189663	1
2015.06.03	16.79	16.79	16.48	16.54	3025	8710162	1
2015.06.05	16.28	16.59	16.27	16.43	2801	2447267	1
2015.06.08	16.41	16.87	16.38	16.78	2469	2676714	1
2015.06.09	16.71	16.87	16.64	16.65	2921	5629195	1
2015.06.10	16.72	17.01	16.66	16.84	2459	3569693	1
2015.06.11	16.92	16.99	16.68	16.84	2722	2310492	1
2015.06.12	16.84	16.99	16.71	16.87	2107	3073280	1
2015.06.15	16.79	17.23	16.72	17.17	2004	1672895	1
2015.06.16	17.22	17.22	16.90	16.95	3168	5633602	1
2015.06.17	16.90	17.16	16.81	16.96	3391	2968478	1
2015.06.18	16.96	17.29	16.96	17.27	1961	1963566	1
2015.06.19	17.15	17.25	16.98	17.05	1916	4651837	1
2015.06.22	17.08	17.19	16.98	17.18	1267	1863735	1
