<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.06	4.94	5.43	4.91	5.14	42038	86956800	1
2020.02.07	5.12	5.49	5.05	5.07	7748	12471600	1
2020.02.10	5.14	5.14	4.84	5.04	6239	12146800	1
2020.02.11	5.08	5.11	4.87	5.04	6187	13196000	1
2020.02.12	5.08	5.47	5.07	5.47	3195	9556000	1
2020.02.13	5.32	5.65	5.23	5.49	3122	4396800	1
2020.02.14	5.49	5.76	5.49	5.59	2388	4862400	1
2020.02.17	5.64	5.90	5.64	5.82	1821	2898000	1
2020.02.18	5.82	6.04	5.77	5.89	1983	3286400	1
2020.02.19	5.93	6.00	5.67	5.99	2209	6237200	1
2020.02.20	6.08	6.40	5.84	6.36	1669	1832400	1
2020.02.21	6.21	6.32	6.03	6.14	3196	6730800	1
2020.02.26	5.74	5.91	5.25	5.47	6420	7857200	1
2020.02.27	5.37	5.37	5.01	5.20	5795	6326000	1
2020.02.28	5.14	5.36	4.94	5.32	5726	5031600	1
2020.03.02	5.24	5.99	5.20	5.99	3041	2798000	1
2020.03.03	6.01	6.24	5.66	6.11	3325	3279200	1
2020.03.04	6.27	6.35	5.65	6.04	5216	7484000	1
2020.03.05	5.94	5.94	5.46	5.49	2764	3642800	1
2020.03.06	5.20	5.20	4.90	4.97	8248	8596800	1
2020.03.09	4.14	4.71	4.14	4.37	4923	4211200	1
2020.03.10	4.74	4.94	4.52	4.74	2829	2349600	1
2020.03.11	4.72	4.80	4.37	4.80	2174	2027600	1
2020.03.12	4.14	4.62	3.67	4.02	677	1163200	1
2020.03.13	4.90	4.90	3.91	4.38	2958	6545600	1
2020.03.16	3.78	3.83	3.43	3.77	2293	21936000	1
2020.03.17	3.98	3.98	3.65	3.74	1753	1926800	1
2020.03.18	3.37	3.49	2.78	2.99	1617	4954400	1
2020.03.19	2.99	3.19	2.71	3.02	2584	8774400	1
2020.03.20	3.17	3.36	2.87	2.90	2166	2835200	1
2020.03.23	2.90	2.90	2.43	2.55	1329	5378000	1
2020.03.24	2.83	3.29	2.65	3.29	4995	3478000	1
2020.03.25	3.20	3.74	3.20	3.70	2853	4454400	1
2020.03.26	3.74	4.14	3.66	4.08	1196	1597600	1
2020.03.27	3.84	4.44	3.71	4.36	2526	2057600	1
2020.03.30	4.36	4.59	4.18	4.58	1939	1450000	1
2020.03.31	4.58	4.58	4.42	4.49	1479	1315600	1
2020.04.01	4.28	4.44	3.66	3.74	2713	4519200	1
2020.04.02	3.87	3.87	3.44	3.61	3359	6638400	1
2020.04.03	3.56	4.31	3.33	4.17	2860	15550000	1
2020.04.06	4.30	4.44	4.06	4.38	3245	7346400	1
2020.04.07	4.62	4.74	4.38	4.64	3364	10064400	1
2020.04.08	4.74	4.92	4.44	4.74	2490	6474000	1
2020.04.09	4.79	5.13	4.79	4.98	1673	5905600	1
2020.04.13	4.99	5.11	4.66	4.66	2547	10228800	1
2020.04.14	4.84	4.90	4.70	4.90	1578	4073600	1
2020.04.15	4.85	4.99	4.73	4.84	977	806000	1
2020.04.16	4.99	5.02	4.78	4.87	1101	1594000	1
2020.04.17	5.04	5.04	4.68	4.83	2775	3591600	1
2020.04.20	4.79	5.12	4.71	5.12	3678	3608400	1
2020.04.22	5.19	6.20	5.19	5.62	3754	4714400	1
2020.04.23	5.74	5.87	5.34	5.49	2361	1685200	1
2020.04.24	5.49	5.63	5.03	5.63	3167	3102400	1
2020.04.27	5.64	5.87	5.49	5.79	2973	2719200	1
2020.04.28	6.03	6.12	5.91	5.91	6276	6683200	1
2020.04.29	5.94	6.03	5.84	5.88	3249	3305200	1
2020.04.30	5.87	5.95	5.62	5.68	5159	5441600	1
2020.05.04	5.59	5.73	5.37	5.48	2342	1476000	1
2020.05.05	5.52	5.82	5.42	5.56	3183	2322000	1
2020.05.06	5.60	6.05	5.51	6.05	1943	5102800	1
2020.05.07	6.15	6.19	5.82	6.09	2270	1921200	1
2020.05.08	6.14	6.14	5.87	5.99	2436	2640000	1
2020.05.11	5.99	6.06	5.87	5.94	1806	1185200	1
2020.05.12	5.94	6.11	5.90	5.93	1492	1250800	1
2020.05.13	5.91	6.11	5.90	6.01	4563	3506000	1
2020.05.14	5.87	5.94	5.69	5.93	3238	4411200	1
2020.05.15	5.82	6.05	5.62	6.04	3193	2641600	1
2020.05.18	6.15	6.24	5.95	6.19	3653	2408000	1
2020.05.19	6.15	6.24	6.05	6.24	2997	3159600	1
2020.05.20	6.24	6.45	6.14	6.23	3104	2825200	1
2020.05.21	6.23	6.34	6.14	6.14	4454	4003600	1
2020.05.22	5.99	6.20	5.89	6.11	3099	2886400	1
2020.05.25	6.34	6.41	6.20	6.24	3066	3346800	1
2020.05.26	6.29	6.44	6.18	6.33	5067	3362800	1
2020.05.27	6.34	6.83	6.34	6.61	5835	4638000	1
2020.05.28	6.67	6.81	6.54	6.61	4789	3574000	1
2020.05.29	6.62	6.67	6.12	6.54	11859	21586000	1
2020.06.01	6.56	6.79	6.56	6.71	5644	4270800	1
2020.06.02	6.86	6.99	6.77	6.99	5221	10264800	1
2020.06.03	7.01	7.49	7.01	7.36	6006	4429600	1
2020.06.04	7.36	7.41	7.27	7.36	3522	3927200	1
2020.06.05	7.47	7.49	7.26	7.36	3309	2526000	1
2020.06.08	7.42	7.49	7.34	7.47	5173	4798000	1
2020.06.09	7.38	7.64	7.24	7.64	4588	2868400	1
2020.06.10	7.74	7.97	7.41	7.50	4056	3106400	1
2020.06.12	7.20	7.60	6.99	7.59	5272	4526800	1
2020.06.15	7.49	8.02	7.37	7.93	4847	3527600	1
2020.06.16	8.08	8.19	7.78	8.10	5079	5032000	1
2020.06.17	8.02	8.20	7.98	8.16	4084	3264800	1
2020.06.18	8.16	8.47	8.14	8.33	5651	5300000	1
2020.06.19	8.56	8.82	8.45	8.56	11504	20819200	1
2020.06.22	8.70	8.88	8.37	8.49	3393	3246000	1
2020.06.23	8.58	9.15	8.37	9.07	4667	3969600	1
2020.06.24	9.03	9.03	8.73	8.96	4119	3606400	1
2020.06.25	8.98	9.98	8.98	9.83	8039	9038400	1
2020.06.26	9.83	10.59	9.83	10.36	9745	10282400	1
2020.06.29	10.35	10.68	10.34	10.64	6421	4614800	1
2020.06.30	10.68	10.97	10.66	10.78	6149	5162000	1
2020.07.01	11.18	11.95	10.93	11.90	15679	14030000	1
2020.07.02	12.35	12.58	11.64	11.79	12269	10916800	1
2020.07.03	11.82	12.23	11.82	12.04	4744	4390400	1
2020.07.06	12.25	12.30	11.45	11.58	10250	8811200	1
2020.07.07	11.58	11.65	10.93	10.98	11700	10132400	1
2020.07.08	11.03	11.47	11.01	11.40	6833	8924800	1
2020.07.09	11.54	11.81	11.44	11.71	5765	6836400	1
2020.07.10	11.78	12.09	11.71	12.06	7124	5826800	1
2020.07.13	12.16	12.30	11.77	11.87	5440	5120400	1
2020.07.14	11.81	11.98	11.43	11.77	7396	5881600	1
2020.07.15	11.91	12.04	11.26	11.46	9894	7528800	1
2020.07.16	11.32	11.65	11.05	11.18	6559	4878400	1
2020.07.17	11.23	11.38	11.18	11.23	4815	3715200	1
2020.07.20	11.33	11.71	11.31	11.69	6115	5074000	1
