<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	6.02	6.07	5.54	5.54	4226	1278800	1
2015.01.05	5.47	5.50	5.11	5.11	7254	2047700	1
2015.01.06	5.17	5.40	4.91	5.01	9004	3016400	1
2015.01.07	5.08	5.28	5.05	5.20	7710	3209900	1
2015.01.08	5.25	5.48	5.20	5.34	5065	2086700	1
2015.01.09	5.33	5.46	5.22	5.39	3674	1042600	1
2015.01.12	5.29	5.52	5.22	5.24	5720	1623800	1
2015.01.13	5.26	5.30	5.07	5.08	5568	2101900	1
2015.01.14	5.04	5.35	4.67	4.72	5983	4037600	1
2015.01.15	4.64	5.14	4.50	5.04	24832	10888800	1
2015.01.16	5.06	5.34	5.05	5.27	6858	2112900	1
2015.01.19	5.34	5.34	4.94	4.98	6660	1474700	1
2015.01.20	5.05	5.09	4.77	4.80	8045	3122600	1
2015.01.21	4.84	5.01	4.81	4.88	5406	2871700	1
2015.01.22	4.95	5.22	4.94	5.19	5099	3766400	1
2015.01.23	5.13	5.22	4.90	4.95	3599	2470800	1
2015.01.26	4.93	4.97	4.68	4.85	3954	1438500	1
2015.01.27	4.86	5.05	4.72	4.96	11754	3050200	1
2015.01.28	4.93	4.99	4.82	4.82	5247	2086600	1
2015.01.29	4.85	4.96	4.79	4.90	3237	1010600	1
2015.01.30	4.84	4.90	4.71	4.90	3850	1583600	1
2015.02.02	4.94	4.94	4.76	4.81	4272	1414100	1
2015.02.03	4.84	4.88	4.70	4.72	6847	1993700	1
2015.02.04	4.72	4.77	4.50	4.55	5700	2364000	1
2015.02.05	4.49	4.66	4.43	4.62	4882	1884600	1
2015.02.06	4.57	4.64	4.34	4.45	4320	1435200	1
2015.02.09	4.40	4.52	4.38	4.52	2599	968300	1
2015.02.10	4.55	4.56	4.43	4.46	4332	1587200	1
2015.02.11	4.43	4.49	4.36	4.36	4022	1577200	1
2015.02.12	4.39	4.46	4.23	4.31	5520	3183400	1
2015.02.13	4.34	4.54	4.33	4.52	3735	4425300	1
2015.02.18	4.58	4.74	4.56	4.69	6345	2362900	1
2015.02.19	4.67	4.82	4.61	4.77	4167	1575500	1
2015.02.20	4.75	4.85	4.68	4.75	4451	1340500	1
2015.02.23	4.71	4.89	4.71	4.84	2283	1126100	1
2015.02.24	4.84	4.95	4.76	4.95	3604	1514400	1
2015.02.25	4.87	4.93	4.80	4.90	3753	1256400	1
2015.02.26	4.92	5.02	4.81	4.90	3216	1339800	1
2015.02.27	4.93	4.98	4.72	4.72	5723	1894300	1
2015.03.02	4.70	4.80	4.61	4.74	4010	3529300	1
2015.03.03	4.75	4.81	4.47	4.58	8226	2599600	1
2015.03.04	4.57	4.57	4.32	4.36	8252	3043400	1
2015.03.05	4.37	4.46	4.34	4.39	4638	2853000	1
2015.03.06	4.40	4.44	4.18	4.21	5687	3008000	1
2015.03.09	4.13	4.20	3.93	3.96	7886	2618800	1
2015.03.10	3.93	4.24	3.88	4.24	8707	2401800	1
2015.03.11	4.29	4.34	4.03	4.10	4843	1777200	1
2015.03.12	4.13	4.25	4.03	4.12	5026	2218900	1
2015.03.13	4.07	4.17	3.99	4.08	5712	2261300	1
2015.03.16	4.08	4.19	4.01	4.01	3299	1213800	1
2015.03.17	4.05	4.25	4.00	4.16	3832	1766400	1
2015.03.18	4.13	4.50	4.07	4.44	7250	3868500	1
2015.03.19	4.44	4.50	4.17	4.20	3704	1290300	1
2015.03.20	4.31	4.48	4.22	4.29	7006	2072900	1
2015.03.23	4.22	4.43	4.16	4.21	9841	3102600	1
2015.03.24	4.22	4.26	4.09	4.16	4488	2078500	1
2015.03.25	4.19	4.21	4.03	4.05	10937	3652400	1
2015.03.26	4.06	4.12	3.95	3.96	8511	2838000	1
2015.03.27	3.98	4.12	3.88	3.90	9183	5677300	1
2015.03.30	3.96	4.00	3.92	3.97	5627	1447000	1
2015.03.31	3.95	3.99	3.91	3.96	4629	2086700	1
2015.04.01	3.97	4.08	3.95	4.00	6373	2020900	1
