<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	17.21	17.28	16.39	16.63	6235	244037	1
2015.01.05	16.46	16.60	15.37	15.47	8687	1175720	1
2015.01.06	15.47	15.47	14.72	14.83	9744	427735	1
2015.01.07	14.89	15.71	14.89	15.30	13284	312845	1
2015.01.08	15.37	15.81	14.93	15.54	4673	198867	1
2015.01.09	15.51	15.64	14.96	15.20	4760	1120167	1
2015.01.12	15.13	15.37	14.62	14.69	4104	156122	1
2015.01.13	14.76	14.86	14.01	14.21	11180	401218	1
2015.01.14	13.94	14.11	13.77	13.94	7586	245392	1
2015.01.15	14.01	14.49	13.81	14.45	7271	388473	1
2015.01.16	14.52	14.86	14.35	14.66	5008	767951	1
2015.01.19	14.52	14.62	13.77	13.77	7326	167876	1
2015.01.20	13.94	14.25	13.47	13.47	6805	519416	1
2015.01.21	13.60	13.94	13.33	13.74	8672	319566	1
2015.01.22	13.87	14.08	13.53	13.60	7764	497836	1
2015.01.23	13.57	13.77	13.40	13.57	5551	235725	1
2015.01.26	13.33	13.50	12.99	13.19	5563	426755	1
2015.01.27	13.06	13.53	12.79	13.40	7393	382156	1
2015.01.28	13.16	13.64	12.99	13.47	4385	265001	1
2015.01.29	13.47	13.60	13.02	13.43	6295	284427	1
2015.01.30	13.33	13.40	12.48	13.09	15218	785750	1
2015.02.02	13.16	13.26	12.51	12.62	6414	360329	1
2015.02.03	12.72	12.89	12.41	12.85	6976	370454	1
2015.02.04	12.85	12.96	12.34	12.38	6022	1003100	1
2015.02.05	12.38	15.03	12.34	15.03	23136	1377118	1
2015.02.06	15.47	16.46	14.04	15.64	30766	1169192	1
2015.02.09	15.71	16.19	14.79	15.30	16445	727446	1
2015.02.10	15.23	15.64	15.00	15.23	16763	718027	1
2015.02.11	15.88	17.34	15.54	17.34	16093	1612343	1
2015.02.12	17.68	20.27	17.68	18.91	21771	1705535	1
2015.02.13	19.49	19.79	18.16	18.30	8619	540110	1
2015.02.18	18.67	18.87	17.41	17.99	9501	553118	1
2015.02.19	17.89	18.47	17.55	18.02	6120	376912	1
2015.02.20	18.02	18.81	17.99	18.30	6379	309901	1
2015.02.23	18.23	18.64	17.85	18.53	10841	499890	1
2015.02.24	18.53	18.77	18.19	18.53	5371	355199	1
2015.02.25	18.36	18.81	18.19	18.81	6687	275226	1
2015.02.26	19.04	19.49	18.81	19.11	12987	555866	1
2015.02.27	19.21	19.25	18.64	18.98	10652	502353	1
2015.03.02	18.84	19.01	18.47	18.67	5589	289885	1
2015.03.03	18.57	18.70	17.79	18.02	8744	397929	1
2015.03.04	17.65	17.68	16.97	17.34	8330	329390	1
