<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	9.60	10.04	9.60	9.78	4848	2176477	1
2015.01.05	9.74	9.74	9.30	9.30	5793	3034307	1
2015.01.06	9.32	9.61	9.17	9.58	5505	3921109	1
2015.01.07	9.64	9.86	9.53	9.76	5482	3286656	1
2015.01.08	9.80	9.80	9.39	9.49	2745	1517445	1
2015.01.09	9.52	9.56	9.40	9.54	3296	2473878	1
2015.01.12	9.44	9.62	9.36	9.62	3455	2627594	1
2015.01.13	9.54	9.68	9.52	9.56	3420	2092995	1
2015.01.14	9.45	9.81	9.44	9.70	3707	2025576	1
2015.01.15	9.56	9.85	9.54	9.82	4935	2776940	1
2015.01.16	9.78	10.11	9.75	10.02	3832	1909654	1
2015.01.19	9.92	9.94	9.58	9.63	2278	908810	1
2015.01.20	9.58	9.92	9.58	9.83	2916	1270445	1
2015.01.21	9.91	10.40	9.80	10.33	6508	3392495	1
2015.01.22	10.38	10.54	10.18	10.36	5260	3211975	1
2015.01.23	10.22	10.41	10.01	10.09	3340	2574673	1
2015.01.26	9.99	10.16	9.87	10.16	2923	1596207	1
2015.01.27	10.19	10.36	9.86	10.16	5550	5099611	1
2015.01.28	10.13	10.13	9.83	9.83	3256	1465772	1
2015.01.29	9.67	10.06	9.66	9.97	4774	2930046	1
2015.01.30	9.86	10.02	9.58	9.72	6938	4773267	1
2015.02.02	9.77	9.93	9.71	9.80	3064	1420732	1
2015.02.03	9.85	9.96	9.72	9.74	3610	2105602	1
2015.02.04	9.74	9.79	9.47	9.60	6254	4720646	1
2015.02.05	9.52	9.82	9.52	9.74	5970	3742491	1
2015.02.06	9.59	9.83	9.59	9.83	5315	2837729	1
2015.02.09	9.81	9.86	9.71	9.78	4276	4593056	1
2015.02.10	9.72	9.89	9.41	9.41	6372	3795414	1
2015.02.11	9.40	9.46	8.91	9.01	6729	3217671	1
2015.02.12	9.12	9.33	9.12	9.19	8076	4871237	1
2015.02.13	9.27	9.49	9.23	9.49	5629	3893052	1
2015.02.18	9.37	9.71	9.37	9.52	4245	2160135	1
2015.02.19	9.44	9.62	9.44	9.55	1860	915117	1
2015.02.20	9.59	9.63	9.45	9.56	2657	1452246	1
2015.02.23	9.52	9.67	9.45	9.56	3844	2704463	1
2015.02.24	9.65	9.69	9.49	9.51	3682	2035032	1
2015.02.25	9.51	9.52	9.41	9.49	4293	3485115	1
2015.02.26	9.57	9.89	9.51	9.80	4668	2621623	1
2015.02.27	9.80	9.89	9.62	9.74	5760	3270887	1
2015.03.02	9.72	9.78	9.62	9.71	4845	2736282	1
2015.03.03	9.67	9.75	9.60	9.63	2844	1622978	1
2015.03.04	9.54	9.57	9.34	9.35	4271	2238215	1
2015.03.05	9.35	9.52	9.35	9.47	2697	1575716	1
2015.03.06	9.47	9.49	9.35	9.43	3508	2068104	1
2015.03.09	9.33	9.51	9.33	9.46	5951	2781023	1
2015.03.10	9.30	9.52	9.18	9.18	4030	2285164	1
2015.03.11	9.22	9.40	9.17	9.37	2951	1640301	1
2015.03.12	9.40	9.51	9.29	9.32	4905	2538134	1
2015.03.13	9.24	9.31	9.16	9.24	4122	2089857	1
2015.03.16	9.30	9.38	9.24	9.32	4735	4009941	1
2015.03.17	9.30	9.55	9.16	9.49	3035	2584767	1
2015.03.18	9.48	9.97	9.44	9.77	5713	3314056	1
2015.03.19	9.74	9.88	9.62	9.72	3828	1967936	1
2015.03.20	9.88	9.99	9.74	9.79	4253	2406143	1
2015.03.23	9.80	9.87	9.66	9.81	2175	1175346	1
2015.03.24	9.85	9.94	9.76	9.91	4080	2464733	1
2015.03.25	9.96	10.10	9.88	9.88	4441	2225004	1
2015.03.26	9.83	9.84	9.58	9.77	4402	2245465	1
2015.03.27	9.70	9.86	9.63	9.65	4302	1971706	1
2015.03.30	9.70	10.23	9.67	10.09	5009	2861026	1
2015.03.31	10.04	10.29	9.92	10.11	6441	3495199	1
2015.04.01	10.24	10.50	10.15	10.24	5766	2544118	1
2015.04.02	10.40	10.60	10.33	10.42	3831	1762527	1
2015.04.06	10.55	10.79	10.48	10.75	3415	1621719	1
2015.04.07	10.78	10.81	10.32	10.43	4219	2280124	1
2015.04.08	10.50	10.88	10.50	10.72	4611	2648079	1
2015.04.09	10.62	10.86	10.53	10.83	4815	2585377	1
2015.04.10	10.75	10.99	10.47	10.83	4563	4647864	1
2015.04.13	10.83	10.86	10.47	10.62	4578	2918674	1
2015.04.14	10.58	10.74	10.49	10.58	3440	3651122	1
2015.04.15	10.69	10.76	10.55	10.76	5064	4883809	1
2015.04.16	10.72	10.82	10.59	10.61	3574	2929392	1
2015.04.17	10.55	10.55	10.26	10.30	4334	2727152	1
2015.04.20	10.26	10.36	10.12	10.23	6170	3954493	1
2015.04.22	10.16	10.39	10.14	10.34	6214	6351224	1
2015.04.23	10.29	10.61	10.29	10.61	2196	1424510	1
2015.04.24	10.61	10.61	10.25	10.30	6313	4093113	1
2015.04.27	10.27	10.36	9.97	10.06	4281	2279480	1
2015.04.28	10.12	10.12	9.78	9.84	5536	5251457	1
2015.04.29	9.72	9.80	9.64	9.67	6822	7106664	1
2015.04.30	9.55	9.96	9.54	9.80	5001	2888754	1
2015.05.04	9.93	9.93	9.74	9.91	5014	2700040	1
2015.05.05	9.86	9.88	9.73	9.75	4685	3993869	1
2015.05.06	9.79	9.79	9.53	9.66	4596	3664033	1
2015.05.07	9.55	9.67	9.50	9.61	3137	2327693	1
2015.05.08	9.69	9.81	9.53	9.81	3458	2146250	1
2015.05.11	9.80	9.80	9.51	9.53	4611	4754673	1
2015.05.12	9.55	9.78	9.52	9.65	4244	3341763	1
2015.05.13	9.57	9.79	9.55	9.76	4370	3803911	1
2015.05.14	9.80	9.92	9.65	9.86	4258	2636432	1
2015.05.15	9.78	9.92	9.47	9.60	4096	3721061	1
2015.05.18	9.67	9.73	9.47	9.52	3633	2046052	1
2015.05.19	9.53	9.57	9.29	9.34	7276	5666351	1
2015.05.20	9.35	9.49	9.31	9.41	3109	1946822	1
2015.05.21	9.36	9.36	9.07	9.35	2929	1940214	1
2015.05.22	9.35	9.39	9.05	9.08	4614	2502222	1
2015.05.25	9.11	9.30	9.03	9.21	2082	1164307	1
2015.05.26	9.20	9.21	8.93	8.99	6579	4961012	1
2015.05.27	8.99	9.21	8.98	9.09	6478	3358163	1
2015.05.28	9.04	9.11	8.97	9.03	4517	2031872	1
2015.05.29	9.00	9.03	8.93	8.97	6235	4179417	1
2015.06.01	8.94	9.04	8.93	9.04	3592	1979902	1
