<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	9.61	9.64	9.22	9.44	1462	343700	1
2015.01.05	9.41	9.64	9.17	9.50	2720	484700	1
2015.01.06	9.56	9.69	9.42	9.59	3182	634200	1
2015.01.07	9.59	9.69	9.49	9.53	1998	349000	1
2015.01.08	9.58	9.81	9.50	9.62	2229	557700	1
2015.01.09	9.62	9.62	9.37	9.40	2225	593700	1
2015.01.12	9.36	9.57	9.20	9.45	3712	646500	1
2015.01.13	9.49	9.71	9.49	9.61	2909	631200	1
2015.01.14	9.52	10.01	9.50	9.75	4809	1000900	1
2015.01.15	9.76	9.97	9.74	9.90	3684	693800	1
2015.01.16	9.92	10.30	9.71	10.04	4437	815400	1
2015.01.19	10.07	10.15	9.93	10.00	1108	281800	1
2015.01.20	10.00	10.07	9.83	10.00	1877	545200	1
2015.01.21	9.99	10.09	9.87	9.95	2874	1561400	1
2015.01.22	10.00	10.13	9.85	9.95	3575	1225300	1
2015.01.23	9.95	10.02	9.80	9.89	1453	303100	1
2015.01.26	9.80	9.99	9.60	9.78	2072	487200	1
2015.01.27	9.84	9.84	9.60	9.82	1184	319700	1
2015.01.28	9.79	9.96	9.70	9.77	1813	425700	1
2015.01.29	9.83	9.96	9.75	9.87	1136	291600	1
2015.01.30	9.87	10.06	9.78	9.93	2305	643400	1
2015.02.02	9.96	10.26	9.84	10.02	4049	782900	1
2015.02.03	10.13	10.31	10.04	10.16	2694	540600	1
2015.02.04	10.12	10.23	10.00	10.09	2262	367600	1
2015.02.05	10.12	10.29	9.98	9.98	1436	315600	1
2015.02.06	9.97	10.13	9.87	9.90	2088	447100	1
2015.02.09	9.87	10.04	9.76	9.87	3016	646300	1
2015.02.10	9.93	10.07	9.81	9.94	2715	595800	1
2015.02.11	9.97	10.17	9.96	9.99	2020	387800	1
2015.02.12	10.05	10.29	10.03	10.25	4245	785300	1
2015.02.13	10.29	10.30	10.10	10.13	2905	1102300	1
2015.02.18	10.23	10.56	10.21	10.31	1330	302600	1
2015.02.19	10.36	10.72	10.36	10.55	3170	588300	1
2015.02.20	10.48	10.56	10.37	10.45	1473	248800	1
2015.02.23	10.45	10.62	10.40	10.47	2514	443600	1
2015.02.24	10.58	10.67	10.42	10.53	2562	655700	1
2015.02.25	10.46	10.73	10.42	10.73	1504	511600	1
2015.02.26	10.74	10.87	10.64	10.78	1616	502000	1
2015.02.27	10.81	10.81	10.55	10.59	3102	701300	1
2015.03.02	10.54	10.64	10.45	10.63	1737	572100	1
2015.03.03	10.60	10.71	10.55	10.55	2901	625700	1
2015.03.04	10.55	10.59	10.33	10.53	1437	283300	1
2015.03.05	10.57	10.64	10.38	10.38	1203	264500	1
2015.03.06	10.40	10.50	10.08	10.08	3019	636800	1
2015.03.09	10.07	10.15	9.96	10.05	2303	424500	1
2015.03.10	9.97	10.23	9.94	10.07	2684	478300	1
2015.03.11	10.07	10.16	10.00	10.07	1503	331700	1
2015.03.12	10.12	10.48	10.12	10.33	2800	552200	1
2015.03.13	10.31	10.31	10.08	10.15	1605	300000	1
2015.03.16	10.15	10.37	10.12	10.12	1447	355700	1
2015.03.17	10.19	10.47	10.15	10.46	3040	653100	1
2015.03.18	10.25	10.74	10.25	10.65	4499	1216300	1
2015.03.19	10.64	10.76	10.55	10.68	5660	1234200	1
2015.03.20	10.72	11.28	10.72	11.03	5397	2579500	1
2015.03.23	10.89	11.10	10.84	10.90	1231	274400	1
2015.03.24	10.96	11.21	10.87	10.93	2279	1531700	1
2015.03.25	10.93	11.08	10.79	10.79	2053	377900	1
2015.03.26	10.75	10.87	10.56	10.85	1552	467700	1
2015.03.27	10.86	10.96	10.71	10.78	1279	202100	1
2015.03.30	10.92	10.98	10.81	10.83	3221	914800	1
2015.03.31	10.82	10.86	10.58	10.60	4260	1152800	1
2015.04.01	10.67	10.76	10.54	10.56	5178	1732600	1
2015.04.02	10.56	10.68	10.56	10.63	4769	3748300	1
2015.04.06	10.70	11.02	10.56	10.56	3721	3339100	1
2015.04.07	10.60	10.67	10.54	10.63	2254	542900	1
2015.04.08	10.66	10.73	10.51	10.54	2536	1089400	1
2015.04.09	10.53	10.67	10.47	10.54	3361	832200	1
2015.04.10	10.53	10.68	10.53	10.56	2019	598300	1
2015.04.13	10.61	10.73	10.57	10.59	2725	817400	1
2015.04.14	10.64	10.68	10.58	10.58	3260	907400	1
2015.04.15	10.61	10.69	10.57	10.57	3758	935200	1
2015.04.16	10.59	10.82	10.59	10.63	6834	2450000	1
2015.04.17	10.67	10.67	10.58	10.63	3665	2933100	1
2015.04.20	10.61	10.70	10.60	10.63	2839	1629100	1
2015.04.22	10.64	10.67	10.55	10.59	3167	1466900	1
2015.04.23	10.57	10.64	10.36	10.54	3681	737300	1
2015.04.24	10.59	10.71	10.52	10.63	3434	7189300	1
2015.04.27	10.65	10.70	10.52	10.59	2850	1047700	1
2015.04.28	10.63	10.65	10.59	10.63	3133	1080300	1
2015.04.29	10.64	10.85	10.53	10.83	6052	2625500	1
2015.04.30	10.81	10.85	10.31	10.40	4297	1240900	1
2015.05.04	10.41	10.65	10.41	10.65	3983	880200	1
2015.05.05	10.69	10.74	10.36	10.45	5060	987300	1
2015.05.06	10.52	10.63	10.43	10.63	5241	1273800	1
2015.05.07	10.45	10.62	10.44	10.49	2321	435100	1
2015.05.08	10.56	10.62	10.40	10.59	3958	849900	1
2015.05.11	10.60	10.60	10.46	10.49	1783	290400	1
2015.05.12	10.49	10.62	10.41	10.43	5009	890100	1
2015.05.13	10.44	10.47	10.15	10.30	4221	850500	1
2015.05.14	10.36	10.41	10.27	10.36	5532	1109300	1
2015.05.15	10.37	10.54	10.29	10.54	2716	470400	1
2015.05.18	10.48	10.59	10.36	10.56	4654	1060200	1
2015.05.19	10.51	10.57	10.32	10.36	3058	609500	1
2015.05.20	10.38	10.40	10.15	10.30	3251	684000	1
2015.05.21	10.22	10.60	10.19	10.52	3869	782800	1
2015.05.22	10.50	10.85	10.37	10.75	8203	1527100	1
2015.05.25	10.66	10.70	10.47	10.47	1611	349400	1
2015.05.26	10.49	10.53	10.33	10.48	2294	433500	1
2015.05.27	10.40	10.70	10.32	10.65	5988	1175900	1
2015.05.28	10.64	10.71	10.49	10.60	3508	590900	1
2015.05.29	10.53	10.80	10.53	10.80	4180	997600	1
2015.06.01	10.86	10.98	10.72	10.89	3313	675000	1
2015.06.02	10.95	11.12	10.79	11.09	3989	708300	1
2015.06.03	11.02	11.12	10.89	11.12	3480	644500	1
2015.06.05	10.96	11.16	10.96	11.13	1998	395400	1
2015.06.08	11.17	11.37	11.07	11.12	3461	860700	1
2015.06.09	11.10	11.35	11.09	11.30	4111	1272600	1
2015.06.10	11.33	11.42	11.06	11.09	4095	728200	1
2015.06.11	11.10	11.23	11.05	11.23	2065	496800	1
2015.06.12	11.15	11.26	11.07	11.07	1600	372000	1
2015.06.15	11.02	11.11	10.82	10.87	2775	584700	1
2015.06.16	10.95	11.00	10.82	10.88	3530	666100	1
2015.06.17	10.94	10.97	10.85	10.87	2398	415300	1
2015.06.18	10.92	11.08	10.92	11.04	1330	250300	1
2015.06.19	11.08	11.13	10.94	11.13	1172	361200	1
2015.06.22	11.18	11.21	11.12	11.19	1454	287100	1
2015.06.23	11.23	11.40	10.83	11.09	1405	324400	1
2015.06.24	11.06	11.13	10.95	11.06	2374	774100	1
2015.06.25	11.16	11.18	10.83	11.07	2334	465800	1
2015.06.26	11.04	11.32	11.02	11.30	2556	632700	1
2015.06.29	11.17	11.25	10.99	11.07	1938	408000	1
2015.06.30	11.06	11.19	10.80	10.80	3391	762500	1
2015.07.01	10.89	11.23	10.87	11.07	4125	926400	1
2015.07.02	11.02	11.18	10.89	11.01	1880	1476300	1
2015.07.03	11.09	11.16	11.04	11.05	884	124700	1
2015.07.06	11.04	11.41	11.01	11.25	1987	421000	1
2015.07.07	11.15	11.31	11.12	11.27	1255	222800	1
2015.07.08	11.25	11.27	11.11	11.22	960	172000	1
2015.07.10	11.25	11.27	11.01	11.12	1646	347500	1
2015.07.13	11.18	11.18	11.02	11.11	804	150500	1
2015.07.14	11.18	11.28	11.10	11.17	1592	240800	1
2015.07.15	11.20	11.21	11.03	11.09	1087	205300	1
2015.07.16	11.07	11.23	11.07	11.07	953	152800	1
2015.07.17	11.07	11.16	11.00	11.08	1341	204200	1
2015.07.20	11.11	11.22	11.00	11.22	1314	243600	1
2015.07.21	11.22	11.22	11.00	11.14	1633	346300	1
2015.07.22	11.08	11.08	10.89	11.03	1923	358500	1
2015.07.23	11.11	11.11	10.66	10.68	1820	375200	1
2015.07.24	10.70	10.76	10.52	10.75	2394	422200	1
2015.07.27	10.62	11.00	10.62	10.90	2801	482100	1
2015.07.28	10.90	10.98	10.58	10.65	3725	576000	1
2015.07.29	10.58	10.77	10.44	10.50	3050	471800	1
2015.07.30	10.46	10.87	10.46	10.74	2143	338900	1
2015.07.31	10.76	11.06	10.74	10.99	3088	902800	1
2015.08.03	11.07	11.17	10.73	10.80	2246	493200	1
2015.08.04	10.76	11.09	10.73	10.97	2934	398700	1
2015.08.05	10.90	10.95	10.59	10.65	2964	501200	1
2015.08.06	10.60	10.69	10.47	10.54	927	166000	1
2015.08.07	10.61	10.61	10.38	10.39	1218	251900	1
2015.08.10	10.41	10.62	10.28	10.45	1849	328900	1
2015.08.11	10.38	10.59	10.31	10.47	4134	677000	1
2015.08.12	10.54	10.63	10.38	10.38	2650	446900	1
2015.08.13	10.45	10.47	10.05	10.33	3697	786400	1
2015.08.14	10.31	10.44	10.16	10.27	2013	356100	1
2015.08.17	10.22	10.31	10.20	10.20	2502	475200	1
2015.08.18	10.20	10.41	10.10	10.36	3751	680800	1
2015.08.19	10.37	10.42	10.14	10.27	2839	681500	1
2015.08.20	10.27	10.41	10.12	10.13	3028	601600	1
2015.08.21	10.23	10.24	9.87	9.87	2703	727800	1
2015.08.24	9.55	9.90	9.46	9.60	5425	1095300	1
2015.08.26	9.52	9.74	9.44	9.59	2059	396000	1
2015.08.27	9.72	9.91	9.55	9.74	5499	832900	1
2015.08.28	9.80	9.80	9.51	9.51	2657	502000	1
2015.08.31	9.55	9.79	9.39	9.70	5619	1254500	1
2015.09.01	9.58	9.82	9.31	9.31	8609	1635200	1
2015.09.02	9.37	9.47	9.33	9.34	3276	623700	1
2015.09.03	9.40	9.66	9.30	9.47	4410	734900	1
2015.09.04	9.34	9.45	9.19	9.21	4233	743000	1
2015.09.08	9.29	9.31	8.98	9.08	4610	696200	1
2015.09.09	9.14	9.34	9.09	9.21	4393	928500	1
2015.09.10	9.01	9.26	9.00	9.23	4207	817200	1
2015.09.11	9.30	9.62	9.21	9.37	5453	864600	1
2015.09.14	9.43	9.78	9.38	9.67	5260	808500	1
2015.09.15	9.74	10.05	9.52	9.93	3865	692200	1
2015.09.16	9.93	10.23	9.93	10.17	3615	600500	1
2015.09.17	10.20	10.43	10.07	10.19	3848	873200	1
2015.09.18	10.15	10.47	10.14	10.30	3979	984300	1
2015.09.21	10.37	10.48	10.17	10.17	2372	505300	1
2015.09.22	10.26	10.41	10.14	10.28	3144	728800	1
2015.09.23	10.35	10.54	10.29	10.29	4085	894900	1
2015.09.24	10.27	10.44	10.01	10.17	7224	1541200	1
2015.09.25	10.19	10.29	9.79	9.79	3081	869800	1
2015.09.28	9.84	10.03	9.75	9.99	1699	440700	1
2015.09.29	9.99	10.25	9.93	10.23	3385	649300	1
2015.09.30	10.28	10.60	10.13	10.45	3888	959800	1
2015.10.01	10.51	10.57	10.11	10.28	2384	485100	1
2015.10.02	10.33	10.85	10.20	10.63	3787	820600	1
2015.10.05	10.81	11.34	10.77	10.88	5097	1355100	1
2015.10.06	10.90	11.21	10.83	11.04	3752	1159100	1
2015.10.07	11.34	11.55	11.08	11.11	4409	1058000	1
2015.10.08	10.97	11.34	10.97	11.22	2526	532800	1
2015.10.09	11.42	11.53	11.34	11.52	4731	801400	1
2015.10.13	11.46	11.75	11.42	11.42	2515	507700	1
2015.10.14	11.44	11.99	11.44	11.48	4062	984600	1
2015.10.15	11.51	11.62	11.18	11.27	4554	1131500	1
2015.10.16	11.39	11.48	11.07	11.48	3924	2739900	1
2015.10.19	11.47	11.60	11.11	11.11	4813	779400	1
2015.10.20	10.82	11.06	10.72	10.85	6226	1216900	1
2015.10.21	10.85	11.21	10.74	10.74	3665	614000	1
2015.10.22	10.74	10.96	10.74	10.90	2637	478500	1
2015.10.23	10.98	11.17	10.86	10.91	2184	459500	1
2015.10.26	10.91	11.04	10.67	10.88	1190	239200	1
