<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	4.74	4.80	4.49	4.50	6686	3834924	1
2015.01.05	4.46	4.47	4.23	4.23	7727	4670492	1
2015.01.06	4.24	4.61	4.24	4.43	12198	9677635	1
2015.01.07	4.56	4.78	4.55	4.70	8217	7583919	1
2015.01.08	4.79	4.85	4.44	4.46	6462	9322388	1
2015.01.09	4.41	4.44	4.28	4.28	7570	6813701	1
2015.01.12	4.26	4.37	4.10	4.11	7960	6567991	1
2015.01.13	4.14	4.32	3.96	3.96	10607	9946520	1
2015.01.14	3.89	3.94	3.80	3.84	9280	10759098	1
2015.01.15	3.92	4.02	3.78	3.84	12457	8701320	1
2015.01.16	3.89	4.06	3.81	3.98	8578	7799824	1
2015.01.19	3.94	3.98	3.79	3.85	6562	5248582	1
2015.01.20	3.90	3.95	3.75	3.76	8456	7859749	1
2015.01.21	3.78	3.90	3.70	3.83	7119	8811360	1
2015.01.22	3.90	3.92	3.80	3.82	5695	9782069	1
2015.01.23	3.80	3.82	3.72	3.75	5878	5290409	1
2015.01.26	3.71	3.74	3.67	3.74	8691	4522258	1
2015.01.27	3.68	3.68	3.58	3.65	7198	6096276	1
2015.01.28	3.60	3.62	3.49	3.49	5400	5723560	1
2015.01.29	3.49	3.52	3.33	3.33	5713	6912619	1
2015.01.30	3.29	3.30	3.15	3.15	7907	9000735	1
2015.02.02	3.21	3.35	3.17	3.27	7002	7703778	1
2015.02.03	3.36	3.41	3.31	3.33	6681	6927419	1
2015.02.04	3.34	3.43	3.24	3.29	7380	5398837	1
2015.02.05	3.23	3.35	3.23	3.31	5990	7997144	1
2015.02.06	3.27	3.38	3.24	3.33	6837	5681305	1
2015.02.09	3.33	3.68	3.30	3.62	12070	12996454	1
2015.02.10	3.62	3.83	3.57	3.64	13133	14304543	1
2015.02.11	3.63	3.76	3.53	3.72	8991	8047580	1
2015.02.12	3.77	3.80	3.39	3.44	21310	18000649	1
2015.02.13	3.28	3.56	3.28	3.38	9290	18703399	1
2015.02.18	3.45	3.59	3.40	3.52	6939	8487054	1
2015.02.19	3.52	3.61	3.43	3.54	4934	7327182	1
2015.02.20	3.56	4.06	3.56	3.82	12764	22596618	1
2015.02.23	3.87	3.96	3.64	3.64	11092	14071270	1
2015.02.24	3.66	3.83	3.64	3.66	7517	8100460	1
2015.02.25	3.69	3.81	3.58	3.81	7308	9062807	1
2015.02.26	3.85	3.90	3.79	3.79	5194	8603027	1
2015.02.27	3.80	3.88	3.78	3.88	11489	9365068	1
2015.03.02	3.89	3.96	3.82	3.90	8012	10755541	1
2015.03.03	3.94	4.03	3.88	4.03	4484	7147399	1
2015.03.04	3.99	4.26	3.98	4.17	9924	14455108	1
2015.03.05	4.23	4.31	4.11	4.18	7016	10300144	1
2015.03.06	4.18	4.26	3.95	4.15	8240	11204077	1
2015.03.09	4.09	4.28	4.09	4.26	6259	9086060	1
2015.03.10	4.24	4.35	4.21	4.26	8774	12510737	1
2015.03.11	4.30	4.35	4.27	4.35	3718	6427833	1
2015.03.12	4.40	4.44	4.33	4.37	4885	5686200	1
2015.03.13	4.33	4.60	4.27	4.57	13248	8587497	1
2015.03.16	4.63	4.69	4.53	4.59	6445	8305849	1
2015.03.17	4.65	4.80	4.62	4.79	5575	8566981	1
2015.03.18	4.83	4.88	4.75	4.76	6131	6763700	1
2015.03.19	4.76	4.84	4.70	4.83	4567	6909564	1
2015.03.20	4.82	4.88	4.75	4.77	5603	5156295	1
2015.03.23	4.76	4.76	4.60	4.70	5315	6164675	1
2015.03.24	4.69	4.73	4.56	4.56	7141	6569817	1
2015.03.25	4.60	5.00	4.60	4.86	14228	15567397	1
2015.03.26	4.88	4.99	4.79	4.88	6658	8310243	1
2015.03.27	4.86	4.93	4.75	4.83	7159	7260937	1
2015.03.30	4.87	4.92	4.81	4.81	3636	3339610	1
2015.03.31	4.79	4.83	4.67	4.67	9741	6925187	1
2015.04.01	4.71	4.76	4.61	4.61	12430	9957249	1
2015.04.02	4.63	4.74	4.58	4.70	5542	4298378	1
2015.04.06	4.74	4.80	4.71	4.74	5433	4013059	1
2015.04.07	4.79	4.82	4.51	4.51	8821	8490118	1
2015.04.08	4.57	4.60	4.32	4.32	10085	9837914	1
2015.04.09	4.31	4.42	4.26	4.35	6468	7751320	1
2015.04.10	4.37	4.56	4.34	4.56	5924	5377292	1
2015.04.13	4.53	4.60	4.49	4.54	3780	3841451	1
2015.04.14	4.57	4.63	4.53	4.61	4915	3870555	1
2015.04.15	4.66	5.05	4.66	4.95	13676	14327606	1
2015.04.16	4.97	5.34	4.95	5.15	11256	11485526	1
2015.04.17	5.19	5.19	4.93	4.93	5974	7404949	1
2015.04.20	4.92	5.14	4.87	5.08	5994	5496525	1
2015.04.22	5.12	5.32	5.12	5.28	7405	7102093	1
2015.04.23	5.38	5.72	5.38	5.64	9652	9948360	1
2015.04.24	5.79	5.92	5.58	5.62	11177	8946127	1
2015.04.27	5.60	5.95	5.55	5.86	7326	8729604	1
2015.04.28	5.92	6.03	5.54	5.57	14524	12285960	1
2015.04.29	5.49	5.81	5.40	5.63	8085	8948250	1
2015.04.30	5.63	5.78	5.56	5.65	10653	7494296	1
2015.05.04	5.77	6.10	5.77	6.05	7434	6980412	1
2015.05.05	6.04	6.36	6.01	6.29	8558	7863936	1
2015.05.06	6.36	6.65	6.36	6.59	17502	18463080	1
2015.05.07	6.66	6.71	5.93	5.93	14920	15543716	1
2015.05.08	6.11	6.12	5.60	5.62	13638	17182453	1
2015.05.11	5.74	5.88	5.66	5.74	8824	8346589	1
2015.05.12	5.73	5.79	5.50	5.58	7702	7467028	1
2015.05.13	5.58	5.58	5.30	5.31	9585	8296574	1
2015.05.14	5.34	5.41	5.07	5.19	9367	11284111	1
2015.05.15	5.17	5.33	5.08	5.15	5889	5969269	1
2015.05.18	5.22	5.26	5.08	5.15	8910	7291869	1
2015.05.19	5.05	5.06	4.84	4.96	7985	8912518	1
2015.05.20	4.91	5.16	4.85	5.07	6525	7710604	1
2015.05.21	5.09	5.23	5.09	5.11	7719	6456522	1
2015.05.22	5.18	5.22	4.95	5.01	8069	6071768	1
2015.05.25	4.96	5.15	4.91	5.01	4806	3657411	1
2015.05.26	5.07	5.22	5.02	5.16	10693	7351993	1
2015.05.27	5.22	5.34	5.09	5.12	8581	6785956	1
2015.05.28	5.12	5.15	4.78	4.86	11608	8657125	1
2015.05.29	4.87	4.91	4.72	4.82	10310	10983364	1
2015.06.01	4.79	4.82	4.73	4.78	6223	6458151	1
2015.06.02	4.81	4.96	4.79	4.88	5479	7198457	1
2015.06.03	4.96	4.96	4.76	4.77	6905	5827373	1
2015.06.05	4.76	4.76	4.57	4.64	13822	7081463	1
2015.06.08	4.68	4.68	4.45	4.51	11120	6178039	1
2015.06.09	4.51	4.64	4.48	4.55	4572	3586758	1
2015.06.10	4.60	4.70	4.47	4.52	5453	7022151	1
2015.06.11	4.53	4.61	4.49	4.56	5028	5088916	1
2015.06.12	4.54	4.54	4.41	4.44	3946	4686086	1
2015.06.15	4.42	4.44	4.34	4.42	4317	3287763	1
2015.06.16	4.41	4.43	4.28	4.35	5287	6706723	1
2015.06.17	4.37	4.38	4.20	4.21	6955	6610865	1
2015.06.18	4.18	4.42	4.17	4.40	5090	7533502	1
2015.06.19	4.37	4.40	4.32	4.40	2562	3281117	1
2015.06.22	4.46	4.49	4.33	4.33	3632	4078396	1
2015.06.23	4.40	4.40	4.28	4.28	3132	3127905	1
2015.06.24	4.29	4.31	4.13	4.16	6441	5086047	1
2015.06.25	4.15	4.16	3.90	4.01	7326	11001249	1
2015.06.26	3.99	4.23	3.98	4.11	6940	6397102	1
2015.06.29	4.07	4.11	3.99	4.09	6876	4431807	1
2015.06.30	4.09	4.15	3.90	3.90	19926	11252984	1
2015.07.01	3.92	3.98	3.85	3.87	6205	5992649	1
2015.07.02	3.83	3.94	3.79	3.89	7095	6228982	1
2015.07.03	3.89	3.92	3.79	3.81	2740	3434848	1
2015.07.06	3.78	4.03	3.75	3.95	10173	7285539	1
2015.07.07	3.96	3.98	3.80	3.94	9055	8964388	1
2015.07.08	3.88	3.95	3.81	3.81	7899	6217755	1
2015.07.10	3.92	3.97	3.86	3.88	3709	4277244	1
2015.07.13	3.91	4.09	3.81	4.09	6955	8482460	1
2015.07.14	4.06	4.07	3.93	4.04	5645	6677410	1
2015.07.15	4.02	4.15	3.99	4.07	10160	6537276	1
2015.07.16	4.09	4.11	3.92	3.92	8284	4658332	1
2015.07.17	3.92	3.97	3.75	3.78	7168	7977743	1
2015.07.20	3.78	3.86	3.71	3.74	3505	4270204	1
2015.07.21	3.71	3.79	3.63	3.63	7140	5300125	1
2015.07.22	3.59	3.60	3.46	3.54	4998	8309624	1
2015.07.23	3.53	3.72	3.48	3.66	7001	8176307	1
2015.07.24	3.63	3.78	3.57	3.63	3985	6364529	1
2015.07.27	3.57	3.61	3.52	3.54	2989	4666390	1
2015.07.28	3.57	3.90	3.57	3.83	11750	12514928	1
2015.07.29	3.80	3.92	3.72	3.72	5280	6318905	1
2015.07.30	3.76	3.80	3.60	3.64	5012	4897715	1
2015.07.31	3.64	3.78	3.59	3.72	4039	3862482	1
2015.08.03	3.73	3.83	3.68	3.77	2906	3884841	1
2015.08.04	3.80	3.97	3.79	3.94	4308	5335149	1
2015.08.05	4.05	4.21	3.91	3.94	12275	10919570	1
2015.08.06	3.89	4.10	3.82	3.85	17600	9939494	1
2015.08.07	3.85	3.92	3.72	3.74	5392	5417725	1
2015.08.10	3.75	3.83	3.71	3.71	4705	5002145	1
2015.08.11	3.68	3.71	3.52	3.58	12015	7475510	1
2015.08.12	3.59	3.60	3.43	3.46	11927	8034626	1
2015.08.13	3.50	3.51	3.35	3.37	5532	5854023	1
2015.08.14	3.39	3.40	3.28	3.28	4714	5000725	1
2015.08.17	3.28	3.44	3.26	3.31	4045	3920267	1
2015.08.18	3.29	3.32	3.17	3.18	5940	4694771	1
2015.08.19	3.18	3.23	3.00	3.05	10346	9761951	1
2015.08.20	3.03	3.08	2.94	2.98	8523	8887223	1
2015.08.21	2.94	2.97	2.88	2.90	9370	4768998	1
2015.08.24	2.70	2.77	2.60	2.60	15121	11354963	1
2015.08.25	2.70	2.74	2.53	2.53	10219	8432427	1
2015.08.26	2.57	2.75	2.51	2.73	6389	10787362	1
2015.08.27	2.81	3.01	2.79	2.89	11243	11040251	1
2015.08.28	2.87	3.02	2.77	2.81	10264	10336489	1
2015.08.31	2.71	2.91	2.66	2.82	9648	9100061	1
2015.09.01	2.71	2.93	2.71	2.93	9196	9457439	1
2015.09.02	2.98	3.11	2.96	3.07	7226	8616887	1
2015.09.03	3.12	3.18	3.03	3.03	9669	7435087	1
2015.09.04	2.93	3.27	2.93	3.27	10462	11479718	1
2015.09.08	3.36	3.61	3.31	3.53	11208	10449185	1
2015.09.09	3.65	3.76	3.47	3.56	9666	11681829	1
2015.09.10	3.31	4.01	3.27	4.01	18576	18122633	1
2015.09.11	4.06	4.45	4.02	4.40	16194	20439509	1
2015.09.14	4.45	4.62	4.03	4.05	16260	18239225	1
2015.09.15	3.97	4.16	3.75	4.02	11558	13205931	1
2015.09.16	4.08	4.37	4.04	4.19	12925	12708983	1
2015.09.17	4.15	4.32	4.11	4.12	21128	13946546	1
2015.09.18	4.07	4.24	4.03	4.15	8388	8868631	1
2015.09.21	4.21	4.30	4.03	4.03	9841	6168657	1
2015.09.22	3.92	3.96	3.63	3.70	10315	10006459	1
2015.09.23	3.70	3.71	3.12	3.13	9513	11126294	1
2015.09.24	3.05	3.48	2.96	3.35	11268	15248693	1
2015.09.25	3.49	3.56	3.16	3.22	8773	8570770	1
2015.09.28	3.19	3.33	3.14	3.23	5522	6117595	1
2015.09.29	3.28	3.40	3.23	3.24	5958	5711119	1
2015.09.30	3.36	3.40	3.14	3.17	8383	10261453	1
2015.10.01	3.18	3.26	2.95	2.95	15658	12669067	1
2015.10.02	2.93	3.02	2.85	2.99	15898	15092111	1
2015.10.05	3.09	3.17	3.05	3.12	10364	11583437	1
2015.10.06	3.12	3.25	3.11	3.14	8649	10040147	1
2015.10.07	3.26	3.34	3.16	3.21	7789	13276975	1
2015.10.08	3.23	3.47	3.20	3.47	8581	10796155	1
2015.10.09	3.59	3.67	3.48	3.53	10971	12175599	1
2015.10.13	3.39	3.39	3.12	3.12	12317	11936323	1
2015.10.14	3.14	3.32	3.11	3.12	30065	16791680	1
2015.10.15	3.18	3.24	3.05	3.18	9308	9943668	1
2015.10.16	3.20	3.25	3.14	3.15	10566	9515744	1
2015.10.19	3.17	3.22	3.02	3.04	10147	10830166	1
2015.10.20	3.05	3.09	2.90	2.94	17330	13159996	1
2015.10.21	2.92	3.01	2.85	2.85	12384	11529618	1
2015.10.22	2.89	2.95	2.85	2.90	19704	10176924	1
2015.10.23	2.99	3.01	2.90	2.90	8383	7382426	1
2015.10.26	2.93	2.96	2.86	2.87	6059	4144539	1
2015.10.27	2.89	2.92	2.84	2.87	5932	6817275	1
2015.10.28	2.87	2.90	2.75	2.75	8869	9485911	1
2015.10.29	2.71	2.80	2.65	2.66	9886	11755318	1
2015.10.30	2.66	2.71	2.61	2.63	14207	9408550	1
2015.11.03	2.67	2.83	2.63	2.77	10832	9587915	1
2015.11.04	2.81	2.90	2.73	2.75	9163	9662520	1
2015.11.05	2.77	2.81	2.70	2.74	10634	6618531	1
2015.11.06	2.75	2.75	2.57	2.62	12206	10660086	1
2015.11.09	2.60	2.70	2.57	2.57	6905	5992036	1
2015.11.10	2.58	2.61	2.52	2.55	10790	7995014	1
2015.11.11	2.58	2.68	2.55	2.64	7196	8376177	1
2015.11.12	2.65	2.70	2.61	2.63	7065	6836574	1
2015.11.13	2.58	2.59	2.43	2.49	10949	12149159	1
