<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.07	7.04	7.04	7.04	7.04	3	1000	1
2015.01.13	7.06	7.06	7.06	7.06	2	1100	1
2015.01.14	7.55	7.55	7.55	7.55	1	100	1
2015.02.11	7.36	7.36	7.36	7.36	1	100	1
2015.02.18	7.36	7.36	7.36	7.36	1	100	1
2015.04.06	5.74	5.74	5.74	5.74	2	200	1
2015.04.15	5.26	5.26	5.13	5.14	4	700	1
2015.04.16	5.26	5.26	5.26	5.26	1	300	1
2015.04.30	5.44	5.44	5.44	5.44	1	100	1
2015.05.05	5.34	5.34	5.34	5.34	1	300	1
2015.05.08	5.36	5.93	5.36	5.93	5	1300	1
2015.05.15	5.44	5.44	5.44	5.44	1	100	1
2015.05.18	5.93	5.93	5.93	5.93	1	100	1
2015.05.21	5.58	5.72	5.34	5.72	19	6800	1
2015.05.22	5.73	5.93	5.54	5.73	5	2500	1
2015.05.25	5.93	5.93	5.93	5.93	1	200	1
2015.05.26	6.13	6.33	6.13	6.33	2	500	1
2015.05.27	6.33	6.33	6.33	6.33	1	100	1
2015.06.10	6.38	6.38	6.38	6.38	1	100	1
2015.06.17	6.42	6.92	6.42	6.92	2	400	1
2015.06.24	5.73	5.73	5.73	5.73	1	100	1
2015.06.29	6.80	6.80	6.80	6.80	3	33800	1
2015.07.03	5.93	7.88	5.93	7.61	11	3500	1
2015.07.27	7.61	7.61	7.61	7.61	5	5700	1
2015.08.04	7.60	7.60	7.60	7.60	1	500	1
2015.08.11	7.21	7.61	7.21	7.61	5	9200	1
2015.08.12	7.61	7.61	7.56	7.56	4	12500	1
2015.08.18	7.61	7.61	7.61	7.61	3	13900	1
2015.08.20	7.61	7.62	7.61	7.62	4	13200	1
2015.08.24	7.61	7.61	7.51	7.51	4	29900	1
2015.08.27	7.61	7.61	7.61	7.61	2	14400	1
2015.08.28	7.61	7.61	7.61	7.61	1	3100	1
2015.08.31	7.61	7.61	7.61	7.61	1	9800	1
2015.09.08	5.34	5.34	4.46	4.88	13	6500	1
2015.09.09	5.75	5.75	4.25	4.72	11	6200	1
2015.09.10	4.34	4.41	4.34	4.41	3	400	1
2015.09.11	4.45	4.45	3.46	3.46	18	9800	1
2015.09.14	3.56	3.56	3.46	3.46	3	400	1
2015.09.15	3.38	3.62	3.00	3.03	16	5000	1
2015.09.16	3.45	3.45	3.45	3.45	1	100	1
2015.09.17	3.29	3.29	3.29	3.29	1	200	1
2015.09.18	3.31	3.31	3.26	3.26	4	500	1
2015.09.21	3.10	3.26	2.77	3.26	22	6800	1
2015.09.22	2.67	2.69	2.37	2.69	32	10300	1
2015.09.23	2.77	2.77	2.77	2.77	3	1200	1
2015.09.25	2.77	2.77	2.77	2.77	2	700	1
2015.09.29	2.42	2.69	2.42	2.69	13	10700	1
2015.09.30	2.69	2.69	2.69	2.69	1	200	1
2015.10.01	2.67	2.79	2.67	2.79	4	3800	1
2015.10.02	2.85	2.85	2.38	2.43	29	8000	1
2015.10.05	2.57	2.78	2.29	2.78	8	2100	1
2015.10.06	2.79	2.93	2.79	2.92	6	2300	1
2015.10.07	2.91	3.44	2.91	3.44	6	8200	1
2015.10.09	3.53	3.53	2.97	2.98	9	8300	1
2015.10.13	3.36	3.36	3.36	3.36	1	100	1
2015.10.15	3.15	3.16	3.15	3.16	2	1200	1
2015.10.16	3.01	3.01	3.01	3.01	1	300	1
2015.10.22	2.86	3.29	2.86	3.29	6	3800	1
2015.10.28	2.79	2.79	2.79	2.79	5	600	1
2015.10.29	2.37	2.46	2.37	2.46	7	1400	1
2015.10.30	2.77	2.97	2.65	2.87	10	1500	1
2015.11.03	2.87	3.16	2.87	3.16	12	8700	1
2015.11.04	3.11	3.11	3.11	3.11	1	1000	1
2015.11.05	2.72	2.95	2.72	2.73	7	1600	1
2015.11.06	2.97	2.97	2.97	2.97	1	100	1
2015.11.09	2.72	2.72	2.72	2.72	1	400	1
2015.11.10	2.73	2.73	2.72	2.72	3	7200	1
2015.11.16	2.27	2.37	2.27	2.32	16	11400	1
2015.11.17	2.57	2.57	2.57	2.57	8	2800	1
2015.11.18	2.65	2.87	2.65	2.87	9	2600	1
2015.11.19	2.95	2.96	2.95	2.96	4	1000	1
2015.11.23	2.96	2.96	2.96	2.96	1	200	1
2015.11.25	2.95	2.95	2.95	2.95	1	200	1
2015.11.30	2.87	2.87	2.87	2.87	1	100	1
2015.12.01	2.37	2.54	2.17	2.54	27	19600	1
2015.12.02	2.54	2.54	2.20	2.20	22	47600	1
2015.12.03	2.44	2.44	2.20	2.20	23	34600	1
2015.12.04	2.22	2.22	2.20	2.20	3	5100	1
2015.12.07	2.21	2.57	2.21	2.47	17	11500	1
2015.12.08	2.47	2.47	2.47	2.47	1	100	1
2015.12.09	2.27	2.27	2.21	2.23	14	5700	1
2015.12.10	2.20	2.20	2.13	2.13	10	17000	1
2015.12.11	2.08	2.08	1.93	1.93	7	3000	1
2015.12.14	1.86	1.86	1.86	1.86	6	2800	1
2015.12.15	2.02	2.02	2.02	2.02	1	100	1
2015.12.16	1.98	1.98	1.98	1.98	1	200	1
2015.12.18	1.93	1.93	1.86	1.86	2	2500	1
2015.12.21	1.88	1.88	1.86	1.86	5	10000	1
2015.12.22	1.76	1.76	1.30	1.30	16	4500	1
2015.12.23	1.66	1.66	1.48	1.50	6	1400	1
2015.12.28	1.54	1.97	1.54	1.78	5	800	1
2015.12.29	1.43	1.56	1.43	1.48	16	25800	1
2015.12.30	1.43	1.43	1.43	1.43	1	100	1
2016.01.04	1.41	1.55	1.19	1.19	34	17800	1
2016.01.05	1.21	1.45	1.14	1.24	17	21900	1
2016.01.06	1.24	1.24	1.19	1.24	5	20100	1
2016.01.07	1.18	1.18	1.17	1.17	5	1600	1
2016.01.08	1.17	1.17	1.17	1.17	5	3500	1
2016.01.11	1.09	1.09	1.09	1.09	6	4000	1
2016.01.12	1.09	1.09	1.07	1.07	4	20600	1
2016.01.13	1.04	1.04	1.04	1.04	1	200	1
2016.01.14	1.18	1.18	1.18	1.18	2	300	1
2016.01.15	1.17	1.18	1.17	1.17	5	4400	1
2016.01.18	1.19	1.19	1.09	1.11	9	1500	1
2016.01.19	1.18	1.18	1.18	1.18	1	100	1
2016.01.20	1.20	1.20	1.19	1.19	3	500	1
2016.01.21	1.12	1.12	1.12	1.12	1	100	1
2016.01.26	1.11	1.11	1.11	1.11	2	400	1
2016.01.27	1.11	1.11	1.11	1.11	2	300	1
2016.01.28	1.11	1.23	1.11	1.23	5	1400	1
2016.01.29	1.22	1.22	1.22	1.22	1	100	1
2016.02.01	1.32	1.32	1.32	1.32	2	200	1
2016.02.02	1.32	1.33	1.29	1.29	6	3200	1
2016.02.03	1.26	1.42	1.26	1.42	6	1400	1
2016.02.04	1.42	1.48	1.42	1.48	13	8800	1
2016.02.05	1.48	1.58	1.42	1.57	20	9000	1
2016.02.10	1.55	1.55	1.55	1.55	3	3000	1
2016.02.11	1.53	1.53	1.53	1.53	1	100	1
2016.02.15	1.62	1.62	1.53	1.58	7	4800	1
2016.02.16	1.61	1.74	1.61	1.72	31	14300	1
2016.02.17	1.72	1.86	1.72	1.86	44	43400	1
2016.02.18	1.83	1.95	1.83	1.95	3	300	1
2016.02.19	1.95	1.98	1.95	1.98	6	3600	1
2016.02.22	1.97	1.98	1.83	1.93	6	25900	1
