<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	23.74	24.11	23.47	23.47	44	7300	1
2015.01.05	23.19	23.32	23.00	23.00	126	13800	1
2015.01.06	23.00	23.15	22.36	22.43	223	50200	1
2015.01.07	22.59	23.39	22.59	23.20	391	62000	1
2015.01.08	23.10	24.15	22.89	24.15	587	95400	1
2015.01.09	24.13	24.13	23.44	23.76	61	10300	1
2015.01.12	23.77	23.80	22.97	23.80	42	30200	1
2015.01.13	23.69	24.48	23.56	24.43	228	27100	1
2015.01.14	24.11	24.92	24.11	24.70	62	12900	1
2015.01.15	24.82	25.17	24.82	25.13	44	9100	1
2015.01.16	25.13	25.77	25.13	25.63	53	8200	1
2015.01.19	25.63	25.63	25.14	25.44	36	7400	1
2015.01.20	25.44	26.06	25.01	26.06	57	12400	1
2015.01.21	26.11	26.94	26.11	26.87	101	20800	1
2015.01.22	26.78	26.87	26.22	26.62	53	14100	1
2015.01.23	26.09	26.87	26.09	26.67	48	23000	1
2015.01.26	26.83	26.83	25.98	26.04	116	15900	1
2015.01.27	26.08	26.08	25.47	25.69	48	8900	1
2015.01.28	25.45	26.27	25.36	26.27	23	3400	1
2015.01.29	25.90	26.22	25.73	25.91	15	6000	1
2015.01.30	25.38	25.44	25.32	25.44	20	5100	1
2015.02.02	25.57	26.08	24.95	25.74	117	37500	1
2015.02.03	26.03	26.37	25.77	26.35	47	8500	1
2015.02.04	26.19	26.68	26.19	26.56	47	6900	1
2015.02.05	26.22	26.99	26.21	26.99	41	6900	1
2015.02.06	26.56	26.56	26.23	26.39	49	7900	1
2015.02.09	26.39	26.58	25.75	25.75	115	67900	1
2015.02.10	25.76	26.63	25.75	26.40	100	19100	1
2015.02.11	26.07	26.87	25.81	26.87	16	2500	1
2015.02.12	26.25	29.48	26.25	28.21	375	47900	1
2015.02.13	28.24	28.80	28.17	28.79	31	4300	1
2015.02.18	28.76	29.70	28.65	29.19	175	39600	1
