<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	5.28	5.46	5.24	5.33	2773	2362800	1
2015.01.05	5.32	5.33	5.22	5.30	3718	2917600	1
2015.01.06	5.30	5.30	5.11	5.22	3893	3285200	1
2015.01.07	5.25	5.27	5.15	5.21	1859	1392000	1
2015.01.08	5.23	5.30	5.18	5.28	1327	1212400	1
2015.01.09	5.26	5.33	5.21	5.25	1864	1394800	1
2015.01.12	5.24	5.29	5.20	5.22	1605	2086800	1
2015.01.13	5.25	5.30	5.21	5.25	1660	1452800	1
2015.01.14	5.27	5.42	5.24	5.32	2534	2226000	1
2015.01.15	5.35	5.39	5.30	5.32	2375	2404400	1
2015.01.16	5.36	5.36	5.30	5.32	1777	2069600	1
2015.01.19	5.34	5.35	5.29	5.35	2129	1662800	1
2015.01.20	5.37	5.44	5.36	5.39	3172	2726800	1
2015.01.21	5.40	5.46	5.34	5.35	4242	2369600	1
2015.01.22	5.38	5.44	5.34	5.40	2831	2336400	1
2015.01.23	5.40	5.47	5.35	5.47	1292	3377200	1
2015.01.26	5.46	5.46	5.33	5.39	2171	1910000	1
2015.01.27	5.39	5.48	5.36	5.47	1693	2335200	1
2015.01.28	5.49	5.58	5.42	5.54	1799	1542400	1
2015.01.29	5.52	5.71	5.52	5.67	3165	2574000	1
2015.01.30	5.67	5.73	5.49	5.49	3044	3789200	1
2015.02.02	5.56	5.66	5.51	5.59	2421	1580400	1
2015.02.03	5.61	5.67	5.57	5.63	1767	1239200	1
2015.02.04	5.61	5.67	5.60	5.60	2167	2504800	1
2015.02.05	5.63	5.65	5.58	5.62	2756	3839200	1
2015.02.06	5.61	5.67	5.58	5.61	3707	3091600	1
2015.02.09	5.64	5.65	5.59	5.61	2616	2746800	1
2015.02.10	5.61	5.84	5.59	5.69	3932	3870400	1
2015.02.11	5.68	5.77	5.67	5.72	2919	2614000	1
2015.02.12	5.73	5.79	5.54	5.64	2808	2453200	1
2015.02.13	5.66	5.70	5.44	5.56	3566	3421200	1
2015.02.18	5.56	5.61	5.49	5.56	2874	2751200	1
2015.02.19	5.59	5.66	5.53	5.61	3322	2433600	1
2015.02.20	5.64	5.64	5.56	5.58	1449	1660400	1
2015.02.23	5.59	5.65	5.56	5.61	1933	1560000	1
2015.02.24	5.65	5.65	5.57	5.57	1535	2474400	1
2015.02.25	5.61	5.62	5.44	5.49	2330	2735600	1
2015.02.26	5.53	5.53	5.42	5.44	1727	2074000	1
2015.02.27	5.43	5.46	5.30	5.30	3693	3872800	1
2015.03.02	5.30	5.38	5.21	5.38	4214	5301600	1
2015.03.03	5.36	5.49	5.34	5.45	4761	5250800	1
2015.03.04	5.45	5.56	5.45	5.51	3443	5050800	1
2015.03.05	5.48	5.51	5.40	5.42	3957	4387600	1
2015.03.06	5.41	5.49	5.32	5.40	3196	3381600	1
2015.03.09	5.39	5.44	5.26	5.36	4049	3448000	1
2015.03.10	5.36	5.39	5.29	5.29	3805	2284400	1
2015.03.11	5.38	5.39	5.35	5.36	2056	1907600	1
2015.03.12	5.42	5.49	5.38	5.47	3255	2438000	1
2015.03.13	5.45	5.49	5.39	5.44	1659	1757200	1
2015.03.16	5.44	5.46	5.29	5.30	3118	3600400	1
