<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	18.30	18.30	16.67	16.81	19856	4456800	1
2015.01.05	16.62	16.62	15.13	15.85	25629	8830600	1
2015.01.06	15.93	16.07	14.49	14.71	27764	11460900	1
2015.01.07	15.36	15.36	14.30	14.45	23382	8224700	1
2015.01.08	14.53	15.19	14.48	14.90	15600	8666100	1
2015.01.09	14.79	14.92	14.44	14.52	12621	6975500	1
2015.01.12	14.41	14.54	13.02	13.02	18709	11394200	1
2015.01.13	13.10	13.68	12.40	13.21	31547	9558700	1
2015.01.14	13.00	13.72	13.00	13.42	12868	3572600	1
2015.01.15	13.46	13.49	12.96	12.96	15408	6441200	1
2015.01.16	12.89	14.07	12.88	13.84	16902	6783300	1
2015.01.19	13.87	14.01	13.55	13.84	13860	3668000	1
2015.01.20	13.87	14.23	13.73	13.91	11643	5626600	1
2015.01.21	13.98	15.05	13.81	14.79	23755	5740200	1
2015.01.22	14.56	14.64	11.97	12.55	37829	20970900	1
2015.01.23	12.82	13.10	12.19	12.46	16572	10155000	1
2015.01.26	12.34	13.19	11.88	12.85	10204	4394500	1
2015.01.27	12.88	13.00	12.61	12.82	10596	2841200	1
2015.01.28	12.76	12.88	12.53	12.58	8726	4188500	1
2015.01.29	12.58	13.14	12.56	13.07	8335	5863100	1
2015.01.30	12.92	12.99	12.66	12.72	13384	8443900	1
2015.02.02	12.80	13.00	12.69	12.98	8394	3804000	1
2015.02.03	13.13	13.18	11.07	12.59	15893	15771600	1
2015.02.04	12.43	13.75	12.31	13.33	14502	9309600	1
2015.02.05	13.23	14.08	13.23	13.75	11557	6877800	1
2015.02.06	13.59	13.59	12.55	12.91	16583	5698800	1
2015.02.09	12.78	13.07	12.33	12.42	12499	4348400	1
2015.02.10	12.45	12.56	11.85	12.02	9990	3308200	1
2015.02.11	11.88	12.33	11.85	12.20	12721	9223400	1
2015.02.12	12.69	14.01	12.62	13.49	15874	7111800	1
2015.02.13	13.87	13.95	13.10	13.65	8239	4202700	1
2015.02.18	13.65	14.54	13.65	14.24	9290	2787400	1
2015.02.19	14.19	15.22	14.12	15.06	6927	2874700	1
2015.02.20	15.09	15.10	14.42	14.64	7982	2792900	1
2015.02.23	16.39	16.54	15.42	15.50	14536	4193800	1
2015.02.24	15.57	16.39	15.40	16.28	12268	3416800	1
2015.02.25	16.28	17.53	16.28	17.15	15899	7868500	1
2015.02.26	17.34	17.34	14.98	15.28	18436	8954900	1
2015.02.27	14.10	15.06	13.94	14.71	20875	8936000	1
2015.03.02	14.73	15.24	14.03	14.29	9972	3697500	1
2015.03.03	14.26	14.36	13.50	13.76	17026	4576300	1
2015.03.04	13.45	13.84	12.73	12.94	15789	6172700	1
2015.03.05	13.04	13.10	12.56	12.99	8906	2405600	1
2015.03.06	12.88	13.12	12.65	12.73	6179	1410000	1
2015.03.09	12.69	12.99	12.30	12.40	8495	1969200	1
2015.03.10	12.33	13.02	12.11	12.24	9880	2269900	1
2015.03.11	12.31	12.54	11.99	12.09	7208	2010400	1
2015.03.12	12.17	12.48	12.12	12.19	10058	2443800	1
2015.03.13	11.89	12.13	11.63	11.79	10746	2201700	1
2015.03.16	12.11	12.18	11.60	11.71	7515	1907800	1
2015.03.17	11.71	12.10	11.60	12.10	8856	1709900	1
2015.03.18	12.09	12.78	11.85	12.72	6542	1765600	1
2015.03.19	12.96	13.47	11.98	12.05	9437	2038900	1
2015.03.20	12.66	13.57	12.66	13.55	11988	4490400	1
2015.03.23	13.57	14.09	13.25	13.83	13236	3506300	1
2015.03.24	13.80	13.94	13.63	13.77	5436	1037500	1
2015.03.25	13.72	14.04	13.29	13.80	5499	2284500	1
2015.03.26	13.52	13.95	13.14	13.93	7942	2294700	1
2015.03.27	13.72	13.95	13.40	13.77	6139	1405400	1
2015.03.30	13.97	14.48	13.72	14.46	7629	1983900	1
2015.03.31	14.41	14.67	13.81	14.13	11664	2728200	1
2015.04.01	14.24	14.48	14.23	14.24	7152	1882700	1
2015.04.02	14.22	14.68	14.22	14.57	5232	1876800	1
2015.04.06	14.69	15.34	14.50	14.91	6627	1382900	1
2015.04.07	15.02	15.24	14.64	14.87	7384	1123100	1
2015.04.08	15.24	15.38	14.96	15.19	9836	4102400	1
2015.04.09	15.02	16.12	15.02	15.78	7982	2122000	1
2015.04.10	15.70	15.76	15.16	15.48	7369	1715900	1
2015.04.13	15.32	15.33	14.64	14.90	9307	2486500	1
2015.04.14	14.91	15.09	14.44	14.57	8353	2252000	1
2015.04.15	14.55	15.08	14.55	14.94	7327	2327700	1
2015.04.16	14.94	15.35	14.71	15.13	5643	2615600	1
2015.04.17	15.05	15.05	14.59	14.87	4376	1029700	1
2015.04.20	14.79	14.87	14.36	14.77	4752	1307300	1
2015.04.22	14.97	14.97	14.34	14.34	7290	1666000	1
2015.04.23	14.34	14.71	14.26	14.52	6272	1245300	1
2015.04.24	14.61	14.87	14.33	14.48	5505	2094700	1
2015.04.27	14.56	14.87	14.34	14.38	5896	1530900	1
2015.04.28	14.62	14.62	14.31	14.33	3794	1055400	1
2015.04.29	14.24	14.37	13.79	13.85	6281	2224100	1
2015.04.30	13.74	14.12	13.60	14.12	7327	1900300	1
2015.05.04	14.12	14.67	14.12	14.53	11096	2625800	1
2015.05.05	14.46	14.46	14.11	14.16	6147	2134600	1
2015.05.06	14.12	14.34	13.81	14.20	7890	1620500	1
2015.05.07	14.20	14.36	13.91	14.16	5684	1697700	1
2015.05.08	14.52	14.60	13.98	13.98	7120	2158400	1
2015.05.11	14.08	14.23	13.63	13.70	5232	1575000	1
2015.05.12	13.60	14.01	13.60	13.81	7077	2667800	1
2015.05.13	13.74	14.02	13.30	13.47	6538	1975000	1
2015.05.14	13.50	13.87	13.37	13.74	6917	1630500	1
2015.05.15	13.83	14.08	13.63	13.86	7359	1942100	1
2015.05.18	14.08	14.15	13.58	13.72	6235	1492600	1
2015.05.19	13.66	13.93	13.48	13.73	5904	1149200	1
2015.05.20	13.74	14.36	13.73	13.97	5603	1377500	1
2015.05.21	13.90	15.19	13.90	14.74	9763	2279700	1
2015.05.22	14.98	15.17	14.12	14.67	11915	2038000	1
