<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	8.70	8.88	8.35	8.76	4802	1173600	1
2015.01.05	8.69	8.69	8.15	8.15	5818	1607400	1
2015.01.06	8.15	8.29	8.07	8.08	4473	1168500	1
2015.01.07	8.13	8.68	8.03	8.68	7022	1374800	1
2015.01.08	8.81	8.96	8.64	8.66	2749	738900	1
2015.01.09	8.60	8.65	8.43	8.43	3981	755100	1
2015.01.12	8.34	8.46	8.19	8.29	4235	761700	1
2015.01.13	8.27	8.41	8.22	8.27	2780	627100	1
2015.01.14	8.20	8.48	8.12	8.48	4450	1071600	1
2015.01.15	8.48	8.78	8.40	8.71	4783	1507500	1
2015.01.16	8.71	9.30	8.71	9.09	5149	1260200	1
2015.01.19	9.18	9.18	8.85	8.97	5238	933000	1
2015.01.20	9.04	9.27	8.99	9.07	5488	1274300	1
2015.01.21	9.18	9.63	9.10	9.34	5325	2507600	1
2015.01.22	9.37	9.58	9.09	9.26	4580	17494300	1
2015.01.23	9.29	9.29	8.91	8.96	3211	644900	1
2015.01.26	8.89	8.92	8.63	8.78	3364	875500	1
2015.01.27	8.64	9.03	8.52	8.76	5371	1299500	1
2015.01.28	8.96	8.97	8.60	8.85	4884	961800	1
2015.01.29	8.72	8.94	8.62	8.89	5409	1348700	1
2015.01.30	8.73	8.78	8.43	8.53	9693	3208300	1
2015.02.02	8.58	8.63	8.46	8.52	4794	1012000	1
2015.02.03	8.56	8.89	8.53	8.76	4982	1349200	1
2015.02.04	8.82	8.93	8.50	8.75	4314	6283200	1
2015.02.05	8.62	9.25	8.62	9.10	5190	2695500	1
2015.02.06	9.18	9.18	8.56	8.64	10518	2444900	1
2015.02.09	8.53	8.87	8.52	8.76	6324	1167700	1
2015.02.10	8.83	8.84	8.48	8.48	3294	777300	1
2015.02.11	8.53	8.53	8.06	8.15	5428	1806000	1
2015.02.12	8.20	8.38	8.15	8.20	5132	1137200	1
2015.02.13	8.18	8.49	8.13	8.46	3759	1033900	1
2015.02.18	8.58	8.81	8.48	8.64	4414	1048100	1
2015.02.19	8.66	8.76	8.49	8.57	3150	718300	1
2015.02.20	8.54	8.76	8.37	8.76	2501	663600	1
2015.02.23	8.75	8.86	8.53	8.60	2334	587400	1
2015.02.24	8.62	8.76	8.53	8.76	3408	1142000	1
2015.02.25	8.65	8.73	8.56	8.67	3570	1147300	1
2015.02.26	8.69	8.81	8.65	8.80	6312	1629400	1
2015.02.27	8.82	8.86	8.57	8.67	6714	1826900	1
2015.03.02	8.67	8.75	8.58	8.65	3870	947000	1
2015.03.03	8.73	8.74	8.33	8.48	5213	1010000	1
2015.03.04	8.41	8.45	8.19	8.19	5234	1450300	1
2015.03.05	8.18	8.29	8.13	8.14	5338	1198700	1
2015.03.06	8.19	8.22	7.98	7.98	4245	906400	1
2015.03.09	7.97	8.02	7.46	7.46	6575	1869000	1
2015.03.10	7.49	7.85	7.49	7.66	7452	1609500	1
2015.03.11	7.78	7.78	7.44	7.58	3315	993500	1
2015.03.12	7.75	7.78	7.53	7.65	3491	757200	1
2015.03.13	7.52	7.55	7.38	7.41	3873	1194000	1
2015.03.16	7.53	7.68	7.53	7.63	3194	885200	1
2015.03.17	7.65	7.94	7.55	7.82	3944	1470100	1
2015.03.18	7.86	7.87	7.36	7.53	15319	5263900	1
2015.03.19	7.59	7.59	7.38	7.50	5644	1895600	1
2015.03.20	7.52	7.86	7.46	7.86	7856	5249300	1
2015.03.23	7.80	7.90	7.50	7.77	3517	1010700	1
2015.03.24	7.78	7.90	7.57	7.64	5042	1240300	1
2015.03.25	7.69	7.81	7.53	7.54	5189	1340900	1
2015.03.26	7.52	7.58	7.41	7.45	4686	1419400	1
2015.03.27	7.48	7.54	7.22	7.41	5858	2022100	1
2015.03.30	7.47	7.63	7.41	7.41	4360	1141100	1
2015.03.31	7.38	7.56	7.33	7.40	9399	2169600	1
2015.04.01	7.43	7.76	7.43	7.53	10106	1980500	1
2015.04.02	7.55	7.70	7.46	7.49	4479	1247900	1
2015.04.06	7.56	7.78	7.46	7.50	7596	1908600	1
2015.04.07	7.52	7.58	7.37	7.46	4922	1439700	1
2015.04.08	7.53	7.60	7.37	7.43	4079	2691900	1
2015.04.09	7.46	7.49	7.39	7.40	4675	1511200	1
2015.04.10	7.37	7.53	7.37	7.47	5140	1453400	1
2015.04.13	7.46	7.53	7.41	7.53	4608	1781100	1
2015.04.14	7.50	7.52	7.42	7.44	3077	855800	1
2015.04.15	7.49	7.57	7.44	7.46	5061	925600	1
2015.04.16	7.50	7.69	7.50	7.69	2450	1273500	1
2015.04.17	7.59	7.60	7.41	7.44	4890	1832600	1
2015.04.20	7.44	7.49	7.35	7.49	2590	990300	1
2015.04.22	7.50	7.57	7.43	7.50	4834	1129000	1
2015.04.23	7.50	7.59	7.47	7.50	4239	1078700	1
2015.04.24	7.54	7.57	7.43	7.43	2943	1018500	1
2015.04.27	7.46	7.50	7.37	7.42	2508	971000	1
2015.04.28	7.47	7.47	7.36	7.41	3234	934800	1
2015.04.29	7.45	7.45	7.31	7.31	3449	1096900	1
2015.04.30	7.31	7.38	7.20	7.30	5733	1407300	1
2015.05.04	7.35	7.64	7.23	7.59	8006	2678800	1
2015.05.05	7.52	7.62	7.45	7.45	3522	1024700	1
2015.05.06	7.50	7.50	7.34	7.42	4088	1067800	1
2015.05.07	7.37	7.47	7.36	7.47	2637	872300	1
2015.05.08	7.48	7.49	7.32	7.42	4604	1067400	1
2015.05.11	7.36	7.36	6.75	6.95	8520	3448300	1
2015.05.12	6.96	7.30	6.90	7.23	6909	2699900	1
2015.05.13	7.23	7.23	6.99	7.02	5439	1081100	1
2015.05.14	6.99	7.44	6.95	7.44	4621	1993500	1
2015.05.15	7.47	7.65	7.42	7.43	6821	1749700	1
2015.05.18	7.48	7.55	7.13	7.17	6222	1717000	1
2015.05.19	7.09	7.17	6.70	6.79	10552	4350400	1
2015.05.20	6.86	7.04	6.76	6.83	6839	2111000	1
2015.05.21	6.78	7.09	6.78	7.04	3304	933400	1
2015.05.22	7.09	7.14	6.87	6.89	7267	1473200	1
2015.05.25	6.89	7.09	6.85	7.07	2750	788300	1
2015.05.26	7.07	7.07	6.64	6.64	7008	1864000	1
2015.05.27	6.70	6.81	6.59	6.77	6307	1536800	1
2015.05.28	6.70	6.82	6.57	6.75	6040	1513700	1
2015.05.29	6.70	6.84	6.26	6.26	8100	3950100	1
2015.06.01	6.33	6.49	6.27	6.49	7451	2647700	1
2015.06.02	6.49	7.04	6.48	7.03	5394	2218100	1
2015.06.03	6.99	7.33	6.79	7.14	8996	3102300	1
2015.06.05	6.96	7.17	6.93	6.98	5981	1925900	1
2015.06.08	7.04	7.29	6.77	7.24	8995	3301500	1
2015.06.09	7.30	7.41	6.96	6.99	8809	3133800	1
2015.06.10	7.01	7.14	6.84	6.89	7177	1763700	1
2015.06.11	6.96	7.10	6.81	7.04	4618	1827400	1
2015.06.12	7.01	7.09	6.89	7.03	4641	1236300	1
2015.06.15	6.96	7.02	6.83	6.83	2849	786100	1
2015.06.16	6.87	6.94	6.77	6.87	2344	1041000	1
2015.06.17	6.85	6.85	6.67	6.72	3076	971400	1
2015.06.18	6.72	6.96	6.68	6.90	6056	1727700	1
2015.06.19	6.87	6.89	6.76	6.84	2925	1551700	1
2015.06.22	6.91	6.94	6.80	6.83	2700	730600	1
2015.06.23	6.90	6.90	6.73	6.73	3874	859100	1
2015.06.24	6.73	6.86	6.70	6.74	4564	1087600	1
2015.06.25	6.74	6.83	6.65	6.76	4387	1832900	1
2015.06.26	6.77	6.86	6.71	6.75	6295	1715400	1
2015.06.29	6.73	6.76	6.46	6.56	3422	1023000	1
2015.06.30	6.65	6.76	6.49	6.70	6521	2404200	1
2015.07.01	6.66	6.75	6.59	6.65	4890	1515100	1
2015.07.02	6.71	6.72	6.58	6.64	3875	1232200	1
2015.07.03	6.68	6.68	6.49	6.56	3450	783200	1
2015.07.06	6.57	6.64	6.43	6.48	3847	1155000	1
2015.07.07	6.45	6.47	6.28	6.29	4571	1508800	1
2015.07.08	6.31	6.56	6.28	6.46	6567	1652100	1
2015.07.10	6.45	6.51	6.27	6.28	4552	1353500	1
2015.07.13	6.32	6.37	6.15	6.22	3739	1267600	1
2015.07.14	6.22	6.56	6.21	6.52	6329	3371600	1
2015.07.15	6.48	6.57	6.35	6.36	5264	1138900	1
2015.07.16	6.39	6.41	6.20	6.32	3945	943100	1
2015.07.17	6.35	6.40	6.19	6.19	3457	854700	1
2015.07.20	6.15	6.30	6.15	6.26	3011	1158300	1
2015.07.21	6.28	6.32	6.12	6.15	3517	915500	1
2015.07.22	6.13	6.19	5.92	6.06	2949	1266500	1
2015.07.23	6.03	6.12	5.67	5.74	4359	1374800	1
2015.07.24	5.70	5.71	5.27	5.58	7320	2742500	1
2015.07.27	5.45	5.92	5.40	5.89	7223	1841300	1
2015.07.28	5.97	5.99	5.60	5.79	8670	1891900	1
2015.07.29	5.73	5.87	5.65	5.79	8012	1970800	1
2015.07.30	5.72	6.06	5.71	5.98	5289	1801900	1
2015.07.31	5.99	6.09	5.82	6.00	7403	2046200	1
2015.08.03	6.00	6.04	5.86	5.96	3427	857700	1
2015.08.04	5.94	5.99	5.73	5.76	3843	1310400	1
2015.08.05	5.80	5.83	5.63	5.69	3558	1069200	1
2015.08.06	5.65	5.76	5.53	5.60	4472	942400	1
2015.08.07	5.51	5.57	5.47	5.50	4311	908100	1
2015.08.10	5.55	5.75	5.48	5.68	4423	930000	1
2015.08.11	5.66	5.69	5.54	5.69	3659	746200	1
2015.08.12	5.60	5.63	5.54	5.62	4247	1120600	1
2015.08.13	5.56	5.62	5.50	5.62	5236	1184100	1
2015.08.14	5.60	5.64	5.44	5.44	3657	784800	1
2015.08.17	5.37	5.48	5.19	5.21	4933	1183200	1
2015.08.18	5.18	5.31	5.12	5.21	5284	1082000	1
2015.08.19	5.12	5.18	5.02	5.08	5959	1770800	1
2015.08.20	5.01	5.38	4.98	5.33	7335	3033200	1
2015.08.21	5.34	5.66	5.29	5.66	11917	2394500	1
2015.08.24	5.44	5.61	5.27	5.49	8024	1867800	1
2015.08.26	5.59	6.01	5.59	6.00	7125	1926700	1
2015.08.27	6.07	6.25	5.88	6.01	7762	2541300	1
2015.08.28	5.88	6.17	5.88	6.10	5490	1942700	1
2015.08.31	5.98	6.04	5.69	6.04	6640	2434100	1
2015.09.01	5.86	5.95	5.65	5.70	7641	1543400	1
2015.09.02	5.78	5.85	5.51	5.53	6420	1606100	1
2015.09.03	5.49	5.88	5.46	5.83	5654	1759800	1
2015.09.04	5.75	5.93	5.52	5.52	5984	1747100	1
2015.09.08	5.58	5.58	5.21	5.48	7503	2150200	1
2015.09.09	5.56	5.56	5.20	5.20	6987	2361000	1
2015.09.10	5.05	5.44	5.01	5.44	5362	2058700	1
2015.09.11	5.35	5.35	5.10	5.27	5152	1616400	1
2015.09.14	5.22	5.25	5.08	5.23	5750	1621500	1
2015.09.15	5.19	5.22	5.04	5.05	5253	2014900	1
2015.09.16	5.05	5.42	5.05	5.42	6165	1929300	1
2015.09.17	5.35	5.47	5.22	5.43	4547	1987200	1
2015.09.18	5.37	5.37	5.08	5.10	5577	2596800	1
2015.09.21	5.05	5.08	4.94	5.04	4277	1366100	1
2015.09.22	4.93	5.04	4.84	5.04	4530	1824900	1
2015.09.23	4.92	4.99	4.80	4.80	4184	1701100	1
2015.09.24	4.75	4.94	4.54	4.94	8986	2743400	1
2015.09.25	4.98	5.18	4.80	5.04	10200	2804000	1
2015.09.28	4.96	5.10	4.87	5.07	5879	1635000	1
2015.09.29	5.05	5.20	4.98	5.11	5976	1773400	1
2015.09.30	5.21	5.33	5.20	5.27	7815	2204100	1
2015.10.01	5.32	5.35	5.16	5.26	6255	1751700	1
2015.10.02	5.27	5.75	5.12	5.75	8061	2231200	1
2015.10.05	5.79	6.03	5.62	5.89	8334	2356200	1
2015.10.06	5.90	5.91	5.62	5.68	5988	2114900	1
2015.10.07	5.75	5.84	5.56	5.74	4879	3798700	1
2015.10.08	5.70	5.99	5.68	5.98	6308	1686900	1
