<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	6.42	6.42	6.10	6.25	4935	1575200	1
2015.01.05	6.16	6.19	6.01	6.19	5378	1530300	1
2015.01.06	6.13	6.38	6.12	6.38	4854	1705600	1
2015.01.07	6.39	6.74	6.39	6.62	5264	1839900	1
2015.01.08	6.71	6.82	6.35	6.45	4343	1571800	1
2015.01.09	6.37	6.37	5.95	6.01	4237	2431700	1
2015.01.12	6.01	6.31	6.01	6.11	8599	2832700	1
2015.01.13	6.23	6.44	6.19	6.19	9804	3596400	1
2015.01.14	6.25	6.38	6.23	6.38	5105	1795000	1
2015.01.15	6.34	6.52	6.07	6.08	4469	2816300	1
2015.01.16	6.08	6.23	6.04	6.10	5003	1640800	1
2015.01.19	6.09	6.11	5.83	5.84	4652	1950900	1
2015.01.20	5.91	5.92	5.49	5.52	5860	4260000	1
2015.01.21	5.53	5.72	5.33	5.57	5704	3022400	1
2015.01.22	5.57	5.69	5.45	5.52	3031	4105500	1
2015.01.23	5.48	5.55	5.38	5.40	2007	621200	1
2015.01.26	5.38	5.39	5.21	5.29	2436	1041600	1
2015.01.27	5.29	5.31	5.12	5.23	3518	1457900	1
2015.01.28	5.12	5.18	4.98	5.04	4111	1787000	1
2015.01.29	5.07	5.19	4.92	5.08	9028	2764800	1
2015.01.30	4.98	4.98	4.77	4.84	10238	3974500	1
2015.02.02	4.87	4.89	4.76	4.89	4046	1799300	1
2015.02.03	4.94	5.11	4.94	5.07	3392	1220000	1
2015.02.04	5.08	5.20	5.00	5.01	2776	1065500	1
2015.02.05	4.96	5.06	4.89	4.89	1311	535000	1
2015.02.06	4.89	4.98	4.79	4.84	4180	1166000	1
2015.02.09	4.79	4.85	4.67	4.76	3186	1310700	1
2015.02.10	4.79	4.87	4.67	4.67	4011	1559100	1
2015.02.11	4.68	4.71	4.55	4.61	2947	2603900	1
2015.02.12	4.66	4.77	4.63	4.70	4734	1661600	1
2015.02.13	4.74	4.95	4.67	4.82	5898	2108100	1
2015.02.18	4.85	5.06	4.85	5.02	3399	1291000	1
2015.02.19	5.03	5.23	5.00	5.19	3591	1387100	1
2015.02.20	5.28	5.30	5.17	5.21	2962	2132800	1
2015.02.23	5.20	5.30	5.08	5.15	4251	1365500	1
2015.02.24	5.15	5.25	5.09	5.15	2522	868000	1
2015.02.25	5.10	5.25	4.98	5.21	2979	1284600	1
2015.02.26	5.25	5.48	5.15	5.44	3441	1512000	1
2015.02.27	5.42	5.54	5.38	5.46	8549	2176500	1
2015.03.02	5.50	5.50	5.08	5.08	3837	2279200	1
2015.03.03	5.12	5.16	5.06	5.07	5878	1448400	1
2015.03.04	5.04	5.04	4.86	4.87	5042	1586000	1
2015.03.05	4.90	4.98	4.89	4.89	2872	1047000	1
