<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	6.71	6.80	6.29	6.59	4444	1321777	1
2015.01.05	6.55	6.55	6.25	6.40	5402	1573971	1
2015.01.06	6.37	6.48	6.33	6.42	5994	1792454	1
2015.01.07	6.46	6.78	6.42	6.68	7471	2191171	1
2015.01.08	6.68	6.93	6.61	6.87	3891	1471052	1
2015.01.09	6.80	6.81	6.47	6.59	8930	2585436	1
2015.01.12	6.52	6.62	6.47	6.56	6543	2040068	1
2015.01.13	6.56	6.65	6.50	6.56	8569	2497154	1
2015.01.14	6.46	6.76	6.46	6.66	5293	1906321	1
2015.01.15	6.76	6.98	6.62	6.64	6263	2172916	1
2015.01.16	6.59	7.02	6.59	6.84	8399	2160246	1
2015.01.19	6.82	6.87	6.44	6.44	3936	1187902	1
2015.01.20	6.50	6.72	6.44	6.44	8024	2556810	1
2015.01.21	6.50	6.76	6.50	6.72	4541	1168126	1
2015.01.22	6.75	6.93	6.65	6.66	4406	1946994	1
2015.01.23	6.64	6.77	6.53	6.54	3263	1018218	1
2015.01.26	6.53	6.53	6.34	6.41	3807	1350391	1
2015.01.27	6.35	6.46	6.26	6.43	6146	3112823	1
2015.01.28	6.42	6.63	6.39	6.61	4960	1443346	1
2015.01.29	6.64	6.74	6.48	6.68	6445	1934416	1
2015.01.30	6.57	6.57	6.37	6.54	7335	2337811	1
2015.02.02	6.57	6.90	6.39	6.74	7670	2970458	1
2015.02.03	6.84	6.89	6.38	6.46	10718	3331831	1
2015.02.04	6.47	6.51	6.37	6.41	7182	1794501	1
2015.02.05	6.38	6.48	6.19	6.19	10815	3369291	1
2015.02.06	6.13	6.25	6.09	6.19	7464	2412507	1
2015.02.09	6.15	6.34	6.04	6.19	10104	2232186	1
2015.02.10	6.10	6.23	6.10	6.18	5291	1748093	1
2015.02.11	6.10	6.15	5.95	5.96	4812	2320264	1
2015.02.12	6.04	6.38	6.03	6.31	9135	3814470	1
