<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	5.83	5.97	5.69	5.83	987	74048	1
2015.01.05	5.69	5.83	5.42	5.42	1034	54744	1
2015.01.06	5.42	5.69	5.14	5.56	1558	246915	1
2015.01.07	5.69	5.69	5.42	5.69	1277	381433	1
2015.01.08	5.69	6.25	5.69	5.83	1515	247308	1
2015.01.09	5.83	6.25	5.69	5.83	1300	454424	1
2015.01.12	5.83	5.97	5.28	5.28	1116	125251	1
2015.01.13	5.42	5.83	5.28	5.42	1216	289076	1
2015.01.14	5.42	5.83	5.42	5.83	1188	319336	1
2015.01.15	5.83	5.97	5.56	5.56	167	18946	1
2015.01.16	5.69	5.97	5.42	5.69	948	75443	1
2015.01.19	5.83	5.97	5.69	5.69	772	39870	1
2015.01.20	5.69	5.97	5.56	5.56	918	63888	1
2015.01.21	5.69	5.83	5.56	5.83	1116	61079	1
2015.01.22	5.83	6.39	5.69	5.83	1279	256266	1
2015.01.23	5.83	6.11	5.83	5.97	944	95649	1
2015.01.26	5.97	6.25	5.97	6.11	957	93786	1
2015.01.27	6.25	6.81	6.25	6.39	1436	299037	1
2015.01.28	6.53	6.67	6.25	6.53	1124	89836	1
2015.01.29	6.53	6.53	6.11	6.11	1025	113177	1
2015.01.30	6.11	6.25	5.69	5.83	1306	110683	1
2015.02.02	5.83	5.83	5.69	5.83	227	38508	1
2015.02.03	5.83	6.11	5.83	5.97	304	42703	1
2015.02.04	5.97	6.11	5.83	5.97	113	33350	1
2015.02.05	5.83	6.11	5.83	6.11	117	15513	1
2015.02.06	5.97	6.11	5.83	5.97	425	38895	1
2015.02.09	6.11	6.11	5.83	6.11	106	7538	1
2015.02.10	6.11	6.11	5.83	5.97	85	4950	1
2015.02.11	5.97	5.97	5.83	5.83	123	7347	1
2015.02.12	5.97	5.97	5.69	5.83	137	22111	1
2015.02.13	3.47	4.44	3.19	3.75	1936	1197669	1
2015.02.18	3.89	3.89	3.33	3.47	2609	330626	1
2015.02.19	3.47	3.61	3.33	3.47	1927	510849	1
2015.02.20	3.61	3.75	3.47	3.61	1059	147765	1
2015.02.23	3.61	3.75	3.47	3.61	186	67336	1
2015.02.24	3.47	3.61	3.33	3.47	290	139290	1
2015.02.25	3.47	3.47	3.19	3.33	225	120464	1
2015.02.26	3.33	3.47	3.19	3.33	142	52583	1
2015.02.27	3.33	3.33	3.19	3.19	292	69607	1
2015.03.02	3.19	3.33	3.06	3.19	273	175908	1
2015.03.03	3.33	3.33	3.19	3.19	240	69048	1
2015.03.04	3.19	3.33	3.19	3.19	116	78570	1
2015.03.05	3.19	3.33	3.06	3.19	139	41999	1
2015.03.06	3.19	3.19	3.06	3.19	104	43592	1
2015.03.09	3.19	3.19	3.06	3.06	59	14211	1
2015.03.10	3.06	3.19	2.92	2.92	405	67833	1
2015.03.11	2.92	3.06	2.64	2.64	263	119203	1
2015.03.12	2.78	2.92	2.78	2.92	151	42030	1
2015.03.13	2.92	3.19	2.78	3.19	162	82844	1
2015.03.16	3.06	3.19	2.78	2.92	866	72003	1
2015.03.17	2.92	3.06	2.92	3.06	72	17769	1
2015.03.18	3.06	3.06	2.92	2.92	84	28826	1
2015.03.19	3.06	3.06	2.92	2.92	45	42213	1
2015.03.20	3.06	3.06	2.78	2.78	167	92871	1
2015.03.23	2.92	2.92	2.78	2.92	146	47273	1
2015.03.24	2.92	3.06	2.78	2.92	65	9741	1
2015.03.25	2.92	2.92	2.78	2.92	92	297738	1
2015.03.26	3.06	3.06	2.92	3.06	41	6122	1
2015.03.27	2.92	2.92	2.78	2.78	47	33840	1
2015.03.30	2.92	2.92	2.78	2.92	44	23386	1
2015.03.31	2.78	2.92	2.78	2.78	27	5693	1
2015.04.01	2.78	2.92	2.78	2.78	108	46228	1
2015.04.02	2.92	2.92	2.78	2.78	157	107801	1
2015.04.06	2.78	2.92	2.78	2.92	114	27644	1
2015.04.07	2.78	3.06	2.78	2.92	113	42959	1
2015.04.08	2.92	3.47	2.78	3.47	224	256307	1
2015.04.09	3.47	3.75	3.33	3.47	996	291647	1
2015.04.10	3.47	3.61	3.33	3.47	340	113962	1
2015.04.13	3.47	3.61	3.33	3.47	599	126235	1
2015.04.14	3.47	4.44	3.33	4.03	2004	593329	1
2015.04.15	4.03	4.17	3.75	3.75	1398	258830	1
2015.04.16	3.61	3.75	3.61	3.75	430	67221	1
2015.04.17	4.31	4.44	4.03	4.31	1046	627881	1
2015.04.20	4.03	4.17	3.89	4.03	268	169637	1
2015.04.22	4.17	4.17	3.75	3.89	280	149273	1
2015.04.23	3.89	4.03	3.89	3.89	227	60651	1
2015.04.24	3.89	4.03	3.75	3.75	254	142765	1
2015.04.27	3.89	4.17	3.75	4.03	367	169680	1
2015.04.28	4.03	4.17	3.89	3.89	269	60736	1
2015.04.29	4.03	4.03	3.75	3.89	379	209592	1
2015.04.30	4.03	4.03	3.47	3.61	569	542155	1
2015.05.04	3.61	3.75	3.61	3.61	1146	173930	1
2015.05.05	3.61	3.75	3.47	3.61	364	81481	1
2015.05.06	3.61	3.61	3.47	3.47	144	165779	1
2015.05.07	3.47	3.47	3.33	3.47	151	41747	1
2015.05.08	3.47	3.47	3.33	3.33	214	57675	1
2015.05.11	3.33	3.47	3.19	3.33	396	119487	1
2015.05.12	3.47	3.61	3.19	3.47	386	197523	1
2015.05.13	3.61	3.61	3.33	3.47	113	24537	1
2015.05.14	3.33	3.61	3.33	3.47	236	60532	1
