<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.05	8.91	9.02	8.91	9.02	2	202	1
2015.01.14	8.90	8.90	8.71	8.71	15	10772	1
2015.01.19	8.75	8.83	8.75	8.75	8	8759	1
2015.01.23	8.75	8.75	8.71	8.71	4	4027	1
2015.01.27	8.74	8.74	8.74	8.74	1	1510	1
2015.01.29	9.10	9.10	9.10	9.10	1	1007	1
2015.02.02	9.10	9.10	9.10	9.10	1	1007	1
2015.02.04	9.10	9.10	8.86	8.86	4	5236	1
2015.02.05	9.10	9.10	9.10	9.10	1	2013	1
2015.02.06	10.09	10.09	9.50	9.50	3	1511	1
2015.02.09	10.09	10.09	10.09	10.09	2	1611	1
2015.02.13	10.09	10.09	10.09	10.09	1	1007	1
2015.02.20	9.70	10.09	9.70	10.09	2	2517	1
2015.02.23	10.09	10.09	10.09	10.09	3	2517	1
2015.02.27	10.21	10.21	10.09	10.21	5	6141	1
2015.03.04	10.37	10.37	10.21	10.21	2	202	1
2015.03.05	10.21	10.21	10.21	10.21	1	1007	1
2015.03.06	10.21	10.21	10.21	10.21	1	1007	1
2015.03.13	10.21	10.21	10.21	10.21	2	1007	1
2015.03.18	10.21	10.21	10.13	10.13	2	1510	1
2015.03.23	10.37	10.37	10.37	10.37	1	101	1
2015.03.24	10.37	10.37	10.37	10.37	1	201	1
2015.03.26	9.50	9.50	9.50	9.50	1	101	1
2015.03.31	9.50	9.50	9.50	9.50	2	503	1
2015.04.06	10.20	10.20	10.20	10.20	1	101	1
2015.04.09	10.20	10.21	10.20	10.21	2	2114	1
2015.04.16	9.89	10.29	9.89	10.21	6	23255	1
2015.04.20	10.45	10.45	10.45	10.45	2	2013	1
2015.05.19	10.73	10.73	10.73	10.73	3	2618	1
2015.05.20	11.02	11.02	11.02	11.02	1	2013	1
2015.05.21	12.38	12.38	12.38	12.38	1	101	1
2015.05.26	10.74	10.74	10.74	10.74	2	202	1
2015.05.27	11.84	11.84	11.84	11.84	1	101	1
2015.05.29	11.35	11.35	11.35	11.35	1	1107	1
2015.06.02	11.84	11.84	11.84	11.84	1	101	1
2015.06.05	11.84	11.84	11.84	11.84	1	101	1
2015.06.10	11.84	11.84	11.84	11.84	1	101	1
2015.06.18	11.84	11.84	11.84	11.84	1	101	1
2015.06.22	11.84	11.84	11.84	11.84	2	302	1
2015.06.24	11.22	11.22	11.22	11.22	2	2215	1
2015.06.25	11.26	11.55	11.26	11.26	11	7651	1
2015.06.29	11.27	11.83	11.27	11.83	1	1107	1
2015.07.01	11.60	11.60	11.47	11.60	6	17818	1
2015.07.02	11.60	11.60	11.60	11.60	3	5033	1
2015.07.03	11.60	11.60	11.47	11.47	3	4027	1
2015.07.06	11.60	11.89	11.60	11.89	7	5235	1
2015.07.07	11.64	11.64	11.61	11.61	3	2215	1
2015.07.08	11.61	11.61	11.61	11.61	1	2013	1
2015.07.10	11.60	12.06	11.60	12.06	6	1108	1
2015.07.13	12.45	13.17	11.62	11.62	6	3826	1
2015.07.16	11.89	11.89	11.89	11.89	1	101	1
2015.07.17	12.52	12.53	12.52	12.53	2	201	1
2015.07.20	12.49	12.49	12.49	12.49	1	101	1
2015.07.22	12.32	12.32	12.32	12.32	1	503	1
2015.07.23	11.89	12.06	11.89	12.06	3	8557	1
2015.07.24	11.48	11.94	11.48	11.94	3	2618	1
2015.07.27	11.93	11.93	11.93	11.93	1	101	1
2015.07.28	11.94	11.98	11.94	11.98	3	1007	1
2015.07.31	11.48	11.97	11.47	11.97	3	1107	1
2015.08.03	11.72	11.72	11.72	11.72	1	1812	1
2015.08.04	11.72	11.72	11.72	11.72	1	101	1
2015.08.05	11.72	11.72	11.72	11.72	1	906	1
2015.08.06	11.89	11.89	11.89	11.89	1	101	1
2015.08.07	11.89	11.98	11.89	11.98	2	202	1
2015.08.10	11.89	11.89	11.89	11.89	1	101	1
2015.08.11	11.89	11.89	11.89	11.89	3	303	1
2015.08.12	11.47	11.47	11.47	11.47	1	1510	1
