<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	11.27	11.40	11.01	11.19	1527	366588	1
2015.01.05	11.08	11.09	10.55	10.55	2471	520276	1
2015.01.06	10.64	10.89	10.51	10.82	1906	473194	1
2015.01.07	10.82	11.20	10.82	11.14	3749	865893	1
2015.01.08	11.16	11.39	11.06	11.10	2229	441604	1
2015.01.09	11.18	11.18	10.54	10.56	2450	572335	1
2015.01.12	10.54	10.61	10.18	10.29	2563	529920	1
2015.01.13	10.50	10.60	10.31	10.53	2176	474729	1
2015.01.14	10.72	10.72	10.38	10.48	2925	581713	1
2015.01.15	10.48	10.59	9.90	10.01	5362	1365731	1
2015.01.16	10.16	10.22	9.79	10.22	2663	764261	1
2015.01.19	10.23	10.27	9.89	9.94	1042	219232	1
2015.01.20	9.86	10.12	9.57	9.63	2424	551139	1
2015.01.21	9.69	9.90	9.62	9.70	3025	643642	1
2015.01.22	9.76	10.16	9.76	10.16	3303	627284	1
2015.01.23	10.05	10.12	9.75	9.76	1634	299702	1
2015.01.26	9.75	9.75	9.25	9.53	3918	776405	1
2015.01.27	9.56	9.56	9.24	9.29	2846	1062010	1
2015.01.28	9.24	9.33	8.66	8.69	6027	1695474	1
2015.01.29	8.66	8.93	8.66	8.79	3182	833406	1
2015.01.30	8.81	8.87	8.42	8.56	4674	1135740	1
2015.02.02	8.59	8.61	8.35	8.37	1590	328519	1
2015.02.03	8.43	8.61	8.36	8.56	2865	1012246	1
2015.02.04	8.41	8.83	8.27	8.72	5336	1253903	1
2015.02.05	8.77	9.13	8.69	9.08	3865	857010	1
2015.02.06	9.08	9.20	8.66	8.71	3534	711285	1
2015.02.09	8.69	8.92	8.57	8.72	3432	944218	1
2015.02.10	8.72	8.78	8.61	8.66	2369	644921	1
2015.02.11	8.68	8.76	8.31	8.31	2404	984200	1
2015.02.12	8.32	8.70	8.28	8.49	3026	783784	1
2015.02.13	8.51	8.88	8.51	8.81	2920	952600	1
2015.02.18	8.82	9.02	8.62	8.79	1292	323673	1
2015.02.19	8.74	8.87	8.66	8.77	1718	340953	1
2015.02.20	8.80	8.98	8.55	8.98	2231	477650	1
2015.02.23	8.97	8.97	8.65	8.65	3464	718895	1
2015.02.24	8.68	8.79	8.56	8.75	2179	522965	1
