<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	8.54	8.54	8.07	8.16	11208	4923600	1
2015.01.05	8.10	8.12	7.70	7.81	17058	6441700	1
2015.01.06	7.81	8.68	7.81	8.68	17714	12045500	1
2015.01.07	8.91	9.34	8.88	9.33	32833	16702700	1
2015.01.08	9.44	9.55	8.96	9.15	21440	8475100	1
2015.01.09	9.08	9.08	8.65	8.65	18597	6648400	1
2015.01.12	8.69	8.70	8.36	8.44	13765	6532400	1
2015.01.13	8.48	8.75	8.15	8.15	16193	6688300	1
2015.01.14	7.97	8.00	7.71	7.79	23854	10918500	1
2015.01.15	7.79	8.18	7.79	7.99	12272	8950400	1
2015.01.16	8.06	8.61	7.97	8.40	11868	6117800	1
2015.01.19	8.41	8.58	7.86	8.02	10098	6286800	1
2015.01.20	8.15	8.37	8.03	8.20	14671	9822900	1
2015.01.21	8.37	8.41	7.90	8.14	23466	11247200	1
2015.01.22	8.19	8.38	8.04	8.07	18631	11829500	1
2015.01.23	8.10	8.10	7.94	7.98	19489	7894100	1
2015.01.26	7.88	8.10	7.79	7.99	14479	4995500	1
2015.01.27	7.99	8.03	7.62	7.84	17112	6517400	1
2015.01.28	7.76	8.01	7.63	7.84	13910	5426600	1
2015.01.29	7.84	8.19	7.84	7.98	16808	7804100	1
2015.01.30	7.86	8.24	7.71	8.16	15168	8217800	1
2015.02.02	8.24	8.66	8.18	8.45	17697	7876000	1
2015.02.03	8.71	8.89	8.56	8.69	26819	8500700	1
2015.02.04	8.63	8.85	8.48	8.59	15910	4946500	1
2015.02.05	8.52	8.73	8.52	8.59	12955	5012200	1
2015.02.06	8.55	8.77	8.30	8.75	11845	4511800	1
2015.02.09	8.69	9.43	8.69	9.16	22540	10780600	1
2015.02.10	9.09	9.33	8.72	8.72	18150	8171400	1
2015.02.11	8.73	9.07	8.70	9.01	15605	6803100	1
2015.02.12	9.04	9.21	8.70	8.74	13423	5802000	1
2015.02.13	8.83	9.21	8.82	9.05	18608	8388300	1
2015.02.18	9.14	9.39	9.14	9.24	11012	5239300	1
2015.02.19	9.30	9.30	8.87	9.11	11237	5249900	1
2015.02.20	9.13	9.26	8.97	9.14	10624	4784400	1
2015.02.23	9.04	9.19	8.93	9.00	12353	4503200	1
2015.02.24	9.05	9.15	8.95	9.04	9301	3500000	1
2015.02.25	8.96	9.18	8.93	9.13	7338	3250800	1
2015.02.26	8.96	9.18	8.85	9.13	10410	4792700	1
2015.02.27	9.13	9.35	9.04	9.11	13864	6479200	1
2015.03.02	9.04	9.13	8.81	8.82	10611	5975700	1
2015.03.03	8.78	9.02	8.78	8.94	11034	3461500	1
2015.03.04	8.95	9.51	8.95	9.34	20982	13309000	1
2015.03.05	9.46	9.62	9.40	9.51	20492	7431100	1
2015.03.06	9.47	9.51	9.21	9.48	16913	6333300	1
2015.03.09	9.39	9.95	9.29	9.88	21988	9636300	1
2015.03.10	9.81	10.14	9.67	9.86	28004	14629000	1
2015.03.11	9.87	9.93	9.54	9.75	12934	7035600	1
2015.03.12	9.90	9.98	9.57	9.72	13697	6574000	1
2015.03.13	9.47	10.01	9.45	9.73	16914	11550100	1
2015.03.16	9.92	9.92	9.45	9.61	20624	9340500	1
2015.03.17	9.74	10.04	9.66	10.02	13950	7314200	1
2015.03.18	9.98	10.28	9.80	10.10	15088	8274500	1
2015.03.19	10.19	10.31	9.99	10.02	9995	6218000	1
2015.03.20	10.23	10.28	9.88	10.06	16558	9142400	1
2015.03.23	10.09	10.10	9.89	9.97	8765	4090800	1
2015.03.24	10.01	10.01	9.60	9.82	11715	4834300	1
2015.03.25	9.91	10.10	9.82	10.04	13678	9129700	1
2015.03.26	9.97	10.01	9.76	9.86	11310	6390100	1
2015.03.27	9.79	9.79	8.88	8.96	26948	28433900	1
2015.03.30	9.03	9.41	8.97	9.32	19100	10742600	1
2015.03.31	9.15	9.30	9.06	9.16	16309	7841200	1
2015.04.01	9.18	9.37	9.18	9.22	20328	7653400	1
2015.04.02	9.24	9.32	8.99	9.04	12502	10058300	1
2015.04.06	9.01	9.09	8.90	9.00	14020	8299400	1
2015.04.07	9.00	9.11	8.84	8.91	9394	7836800	1
2015.04.08	9.00	9.01	8.69	8.74	21802	7763100	1
2015.04.09	8.74	8.94	8.66	8.76	10224	6015500	1
2015.04.10	8.75	8.86	8.59	8.64	12895	3874000	1
2015.04.13	8.67	8.74	8.60	8.71	7802	3267100	1
2015.04.14	8.76	8.91	8.68	8.78	8263	4750300	1
2015.04.15	8.87	9.20	8.87	9.05	15161	7066800	1
2015.04.16	9.05	9.13	8.62	8.67	15809	8314200	1
2015.04.17	8.62	8.62	8.26	8.35	19769	8735600	1
2015.04.20	8.37	8.62	8.33	8.50	14131	5675900	1
2015.04.22	8.59	8.88	8.54	8.79	12482	6964800	1
2015.04.23	8.78	9.29	8.71	9.22	13324	8564500	1
2015.04.24	9.37	9.59	9.37	9.51	16632	8763400	1
2015.04.27	9.52	9.77	9.12	9.18	14807	6144500	1
2015.04.28	9.12	9.31	8.96	9.12	12572	5990300	1
2015.04.29	9.01	9.05	8.82	8.90	10858	4680400	1
2015.04.30	8.84	9.11	8.77	9.06	11195	5117900	1
2015.05.04	9.18	9.45	9.12	9.36	10722	4916900	1
2015.05.05	9.27	9.78	9.27	9.63	20145	7431700	1
2015.05.06	9.58	9.68	9.23	9.24	15441	7366200	1
2015.05.07	9.13	9.23	8.91	9.07	7240	4046200	1
2015.05.08	9.18	9.48	9.06	9.32	16017	10527500	1
2015.05.11	9.35	9.62	9.28	9.41	16717	6041200	1
2015.05.12	9.35	9.51	9.09	9.16	15414	6244400	1
2015.05.13	9.15	9.18	8.78	8.92	21691	9234800	1
2015.05.14	9.00	9.07	8.82	9.04	15192	7724100	1
2015.05.15	9.00	9.09	8.93	9.00	10618	4100900	1
2015.05.18	9.09	9.09	8.77	8.82	17014	7296300	1
2015.05.19	8.79	8.80	8.45	8.52	16002	5792400	1
2015.05.20	8.49	8.62	8.37	8.48	14721	6434400	1
2015.05.21	8.45	8.56	8.34	8.52	14203	5034100	1
2015.05.22	8.60	8.66	8.33	8.36	23021	8549400	1
2015.05.25	8.33	8.46	8.26	8.35	11267	2919500	1
2015.05.26	8.36	8.36	8.11	8.12	21429	8717800	1
2015.05.27	8.16	8.32	8.00	8.20	20881	7319400	1
2015.05.28	8.12	8.21	7.96	8.06	16272	7260000	1
2015.05.29	8.16	8.20	7.87	7.87	21109	11269500	1
2015.06.01	7.90	8.09	7.87	8.04	15674	7051200	1
2015.06.02	8.10	8.29	8.09	8.21	19056	6252000	1
2015.06.03	8.22	8.28	8.03	8.06	14075	5563500	1
2015.06.05	7.97	8.06	7.84	7.87	10987	4656100	1
2015.06.08	7.91	7.91	7.72	7.78	9686	4776800	1
2015.06.09	7.80	8.00	7.75	7.82	16784	7977400	1
2015.06.10	7.90	8.03	7.57	7.63	12690	8222100	1
2015.06.11	7.73	7.92	7.59	7.90	11439	7836500	1
2015.06.12	7.86	7.88	7.74	7.80	6667	4245100	1
2015.06.15	7.74	7.74	7.62	7.66	8517	3796800	1
2015.06.16	7.69	7.71	7.42	7.42	10569	7429100	1
2015.06.17	7.43	7.44	7.22	7.22	18560	8473600	1
2015.06.18	7.26	7.39	7.18	7.32	16574	6860100	1
2015.06.19	7.27	7.42	7.22	7.35	8644	5948400	1
2015.06.22	7.44	7.48	7.25	7.26	11830	6938600	1
2015.06.23	7.36	7.36	7.17	7.17	15270	5917100	1
2015.06.24	7.21	7.21	6.84	6.86	12301	10326400	1
2015.06.25	6.86	6.92	6.76	6.83	8872	8194300	1
2015.06.26	6.87	6.99	6.84	6.99	8929	5276700	1
2015.06.29	6.85	7.06	6.81	7.03	13440	8553600	1
2015.06.30	7.08	7.12	6.72	6.79	17003	8358400	1
2015.07.01	6.83	6.86	6.48	6.51	14383	8888600	1
2015.07.02	6.53	6.53	6.22	6.26	17784	12821300	1
2015.07.03	6.21	6.23	6.02	6.04	11854	6609100	1
2015.07.06	5.98	6.35	5.92	6.18	13713	8676200	1
2015.07.07	6.21	6.40	6.07	6.37	20227	15199100	1
2015.07.08	6.26	6.46	6.14	6.22	14228	9484600	1
2015.07.10	6.40	6.41	6.09	6.11	18380	10106100	1
2015.07.13	6.15	6.49	5.96	6.38	19824	11497200	1
2015.07.14	6.08	6.19	5.82	5.91	30009	22481300	1
2015.07.15	5.91	6.10	5.82	5.98	15578	11562600	1
2015.07.16	6.00	6.05	5.87	5.92	15735	9397500	1
2015.07.17	5.96	5.98	5.62	5.66	18024	10746900	1
2015.07.20	5.69	5.77	5.51	5.54	16088	9216000	1
2015.07.21	5.56	5.78	5.45	5.60	17450	11862000	1
2015.07.22	5.48	5.52	5.27	5.35	14659	9166100	1
2015.07.23	5.33	5.53	5.32	5.47	15693	8164400	1
2015.07.24	5.58	5.60	5.28	5.30	10191	8102200	1
2015.07.27	5.23	5.37	5.04	5.09	15639	7580700	1
2015.07.28	5.16	5.44	5.13	5.39	18378	8398300	1
2015.07.29	5.36	5.43	5.27	5.43	11232	6608500	1
2015.07.30	5.50	5.55	5.21	5.26	13812	6663600	1
2015.07.31	5.25	5.41	5.18	5.35	10296	4947700	1
