<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	9.78	9.97	9.25	9.33	15452	4388400	1
2015.01.05	9.08	9.41	9.00	9.38	13406	5590800	1
2015.01.06	8.95	9.38	8.87	9.18	33344	10363200	1
2015.01.07	9.27	9.61	9.25	9.38	15095	6059600	1
2015.01.08	9.52	9.57	9.31	9.44	12853	4698100	1
2015.01.09	9.33	9.37	9.15	9.20	14300	4378800	1
2015.01.12	9.13	9.43	9.13	9.26	13479	4684100	1
2015.01.13	9.24	9.30	8.81	8.95	17816	8027800	1
2015.01.14	8.87	9.31	8.87	8.93	31771	9521700	1
2015.01.15	9.08	9.46	9.08	9.29	20411	6378500	1
2015.01.16	9.33	9.90	9.33	9.83	14834	5770700	1
2015.01.19	9.73	10.00	9.36	9.53	9745	3632400	1
2015.01.20	9.64	9.67	9.16	9.31	11337	3705900	1
2015.01.21	9.38	9.78	9.31	9.57	13949	5964000	1
2015.01.22	9.71	9.92	9.64	9.76	15359	5434200	1
2015.01.23	9.61	9.78	9.54	9.67	9510	3835500	1
2015.01.26	9.61	9.86	9.41	9.79	8087	3396400	1
2015.01.27	9.69	10.37	9.57	10.22	24562	8593000	1
2015.01.28	10.03	10.13	9.78	9.87	16302	5216800	1
2015.01.29	9.88	10.31	9.83	10.31	14653	6529500	1
2015.01.30	10.23	10.41	9.91	10.09	16046	6191600	1
2015.02.02	10.05	10.28	9.89	10.09	11864	4039100	1
2015.02.03	10.20	10.37	10.10	10.10	11714	4809200	1
2015.02.04	10.14	10.32	9.83	9.89	17386	5018100	1
2015.02.05	9.88	10.06	9.79	9.81	14522	4628100	1
2015.02.06	9.72	10.00	9.63	9.97	14619	5208500	1
2015.02.09	9.96	10.08	9.83	9.95	9521	2668300	1
2015.02.10	9.84	10.06	9.82	9.85	10205	3356000	1
2015.02.11	9.90	9.99	9.72	9.79	15425	4803600	1
2015.02.12	9.94	10.28	9.94	10.09	13217	6470900	1
2015.02.13	10.23	10.36	10.06	10.25	8342	2725600	1
2015.02.18	10.21	10.73	10.21	10.48	13262	5536100	1
2015.02.19	10.38	10.80	10.28	10.68	10148	3947800	1
2015.02.20	10.69	10.76	10.36	10.57	9486	2628300	1
2015.02.23	10.43	10.76	10.43	10.76	11077	4508800	1
2015.02.24	10.72	10.85	10.48	10.65	12525	3405000	1
2015.02.25	10.60	10.86	10.54	10.73	8632	3383100	1
2015.02.26	10.74	10.85	10.64	10.76	8168	3093100	1
2015.02.27	10.74	11.25	10.69	11.04	12447	6127700	1
2015.03.02	10.87	11.24	10.74	11.18	16825	5925600	1
