<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	2.12	2.16	2.00	2.00	505	433236	1
2015.01.05	2.02	2.02	1.93	1.93	354	232518	1
2015.01.06	1.98	1.98	1.89	1.94	422	547352	1
2015.01.07	1.96	2.01	1.94	1.94	223	144010	1
2015.01.08	1.95	2.14	1.95	2.12	338	491141	1
2015.01.09	2.14	2.16	2.07	2.10	283	218515	1
2015.01.12	2.16	2.16	2.01	2.02	359	1735567	1
2015.01.13	2.03	2.13	2.03	2.10	1092	370522	1
2015.01.14	2.10	2.10	2.04	2.09	359	236219	1
2015.01.15	2.08	2.11	2.06	2.08	220	75104	1
2015.01.16	2.10	2.10	2.06	2.08	368	139109	1
2015.01.19	2.09	2.10	2.06	2.07	128	199417	1
2015.01.20	2.11	2.11	2.04	2.08	237	363332	1
2015.01.21	2.10	2.14	2.07	2.11	316	113505	1
2015.01.22	2.11	2.16	2.06	2.06	475	453838	1
2015.01.23	2.10	2.10	2.03	2.04	420	250821	1
2015.01.26	2.02	2.02	1.89	1.99	696	1085901	1
2015.01.27	1.96	2.04	1.95	1.97	1868	1114110	1
2015.01.28	1.95	1.98	1.95	1.96	719	589256	1
2015.01.29	1.97	1.98	1.92	1.97	240	150711	1
2015.01.30	1.97	1.98	1.90	1.93	280	628261	1
2015.02.02	1.93	1.97	1.92	1.95	277	107605	1
2015.02.03	1.95	2.00	1.95	1.97	318	148110	1
2015.02.04	2.00	2.01	1.94	1.95	124	88805	1
2015.02.05	1.95	2.03	1.93	1.97	242	740474	1
2015.02.06	1.98	1.99	1.94	1.96	177	161612	1
2015.02.09	1.98	1.98	1.95	1.95	85	1148214	1
2015.02.10	1.92	1.94	1.89	1.89	462	582953	1
2015.02.11	1.89	1.90	1.80	1.82	642	1935085	1
2015.02.12	1.84	1.89	1.84	1.87	108	418941	1
2015.02.13	1.87	1.89	1.82	1.82	238	2241520	1
2015.02.18	1.83	1.86	1.82	1.85	137	608858	1
2015.02.19	1.87	1.88	1.82	1.84	260	79608	1
2015.02.20	1.83	1.87	1.83	1.86	177	111311	1
2015.02.23	1.86	1.86	1.82	1.82	68	53304	1
2015.02.24	1.84	1.88	1.83	1.85	117	110606	1
2015.02.25	1.88	1.91	1.84	1.86	289	420340	1
2015.02.26	1.88	1.88	1.84	1.85	260	263221	1
2015.02.27	1.85	1.89	1.82	1.83	1033	1178606	1
2015.03.02	1.84	1.87	1.82	1.82	557	560850	1
2015.03.03	1.82	1.84	1.82	1.82	368	5015602	1
2015.03.04	1.82	1.84	1.82	1.82	90	2583857	1
2015.03.05	1.83	1.84	1.81	1.81	195	830683	1
2015.03.06	1.82	1.84	1.80	1.84	284	336932	1
2015.03.09	1.84	1.86	1.77	1.78	440	247318	1
2015.03.10	1.82	1.82	1.75	1.80	309	119409	1
2015.03.11	1.80	1.81	1.75	1.79	769	180810	1
2015.03.12	1.78	1.84	1.76	1.84	319	237919	1
2015.03.13	1.71	1.83	1.70	1.83	406	571700	1
2015.03.16	1.83	1.83	1.78	1.79	193	143900	1
2015.03.17	1.79	1.80	1.76	1.78	288	119000	1
2015.03.18	1.78	1.80	1.77	1.80	129	159000	1
2015.03.19	1.77	1.77	1.73	1.76	147	188900	1
2015.03.20	1.77	1.85	1.76	1.81	563	783300	1
2015.03.23	1.82	1.82	1.80	1.80	53	74500	1
2015.03.24	1.81	1.82	1.81	1.82	129	54700	1
2015.03.25	1.82	1.83	1.81	1.82	1175	3878600	1
2015.03.26	1.80	1.82	1.80	1.82	144	246600	1
2015.03.27	1.80	1.82	1.79	1.80	68	78500	1
2015.03.30	1.81	1.82	1.80	1.82	176	4228100	1
2015.03.31	1.82	1.82	1.79	1.80	201	573700	1
2015.04.01	1.79	1.82	1.77	1.82	363	2401000	1
2015.04.02	1.82	1.88	1.80	1.86	525	3288200	1
2015.04.06	1.86	1.90	1.86	1.86	623	687200	1
2015.04.07	1.86	1.90	1.85	1.88	222	248500	1
2015.04.08	1.87	1.89	1.85	1.85	380	247100	1
2015.04.09	1.84	1.88	1.82	1.86	452	345400	1
2015.04.10	1.84	1.96	1.84	1.90	690	994700	1
2015.04.13	1.90	2.01	1.89	1.94	969	963900	1
2015.04.14	1.96	1.99	1.92	1.94	182	168900	1
2015.04.15	1.95	2.00	1.94	1.98	357	612300	1
2015.04.16	1.98	2.00	1.89	1.89	221	310400	1
2015.04.17	1.87	1.87	1.77	1.80	357	354200	1
2015.04.20	1.81	1.82	1.66	1.73	461	420500	1
2015.04.22	1.73	1.79	1.73	1.78	233	150800	1
2015.04.23	1.78	1.78	1.73	1.77	159	221000	1
2015.04.24	1.77	1.84	1.77	1.82	444	280600	1
2015.04.27	1.81	1.86	1.78	1.81	290	201300	1
2015.04.28	1.82	1.84	1.75	1.79	487	178000	1
2015.04.29	1.80	1.80	1.67	1.71	489	358600	1
2015.04.30	1.74	1.74	1.67	1.69	403	704900	1
2015.05.04	1.67	1.71	1.66	1.67	310	513900	1
2015.05.05	1.69	1.83	1.67	1.81	562	791100	1
2015.05.06	1.80	1.84	1.73	1.73	307	1606300	1
2015.05.07	1.73	1.79	1.65	1.73	484	400700	1
2015.05.08	1.73	1.74	1.58	1.69	383	449300	1
2015.05.11	1.69	1.72	1.64	1.66	519	197600	1
2015.05.12	1.66	1.66	1.53	1.63	588	415200	1
2015.05.13	1.64	1.76	1.62	1.73	870	222700	1
2015.05.14	1.71	1.73	1.65	1.65	547	413300	1
2015.05.15	1.67	1.73	1.65	1.70	348	121000	1
2015.05.18	1.73	1.73	1.63	1.65	335	1388500	1
2015.05.19	1.67	1.75	1.66	1.73	440	288600	1
2015.05.20	1.73	1.74	1.68	1.72	287	108000	1
2015.05.21	1.71	1.74	1.68	1.72	470	329900	1
2015.05.22	1.71	1.71	1.69	1.71	216	94100	1
2015.05.25	1.71	1.71	1.68	1.68	315	155300	1
2015.05.26	1.67	1.72	1.64	1.66	681	282400	1
2015.05.27	1.67	1.69	1.63	1.68	538	145400	1
2015.05.28	1.65	1.69	1.64	1.67	304	91500	1
2015.05.29	1.68	1.68	1.60	1.60	1037	1055200	1
2015.06.01	1.60	1.64	1.59	1.59	684	395600	1
2015.06.02	1.62	1.70	1.59	1.70	346	227900	1
2015.06.03	1.71	1.71	1.63	1.63	315	178600	1
2015.06.05	1.65	1.65	1.59	1.63	386	223000	1
2015.06.08	1.63	1.64	1.59	1.59	206	60700	1
2015.06.09	1.59	1.63	1.57	1.61	167	85000	1
2015.06.10	1.62	1.64	1.57	1.60	375	267900	1
2015.06.11	1.62	1.62	1.57	1.60	114	51500	1
2015.06.12	1.61	1.62	1.56	1.59	278	158800	1
2015.06.15	1.60	1.60	1.54	1.58	486	268700	1
2015.06.16	1.58	1.58	1.53	1.53	220	146300	1
2015.06.17	1.53	1.56	1.46	1.53	2251	629400	1
2015.06.18	1.54	1.57	1.49	1.57	1003	773100	1
2015.06.19	1.54	1.59	1.54	1.59	145	256100	1
2015.06.22	1.55	1.60	1.55	1.59	217	169500	1
2015.06.23	1.59	1.63	1.56	1.58	370	424400	1
2015.06.24	1.57	1.64	1.56	1.64	83	116000	1
2015.06.25	1.64	1.66	1.57	1.61	294	247600	1
2015.06.26	1.62	1.71	1.60	1.70	471	379800	1
2015.06.29	1.70	1.75	1.67	1.67	174	347200	1
2015.06.30	1.70	1.70	1.64	1.68	213	183000	1
2015.07.01	1.70	1.74	1.67	1.74	144	208400	1
2015.07.02	1.70	1.82	1.70	1.82	234	8754800	1
2015.07.03	1.83	1.83	1.74	1.79	95	82800	1
2015.07.06	1.78	1.80	1.68	1.68	691	524800	1
2015.07.07	1.71	1.73	1.64	1.73	283	155500	1
2015.07.08	1.73	1.73	1.70	1.73	183	87800	1
2015.07.10	1.71	1.75	1.68	1.75	468	304800	1
2015.07.13	1.75	1.77	1.72	1.76	298	200800	1
2015.07.14	1.77	1.82	1.73	1.82	340	659200	1
2015.07.15	1.82	1.82	1.77	1.81	255	412500	1
2015.07.16	1.81	1.88	1.79	1.84	211	711500	1
2015.07.17	1.91	2.01	1.91	1.96	827	1178200	1
2015.07.20	1.96	2.04	1.92	1.92	193	154600	1
2015.07.21	1.91	1.94	1.88	1.93	69	167800	1
2015.07.22	1.94	1.94	1.81	1.82	178	220900	1
2015.07.23	1.82	1.83	1.80	1.82	101	133400	1
2015.07.24	1.80	1.82	1.72	1.78	75	94800	1
2015.07.27	1.78	1.78	1.68	1.68	201	473800	1
2015.07.28	1.71	1.71	1.64	1.67	311	185800	1
2015.07.29	1.71	1.71	1.67	1.68	82	166600	1
2015.07.30	1.69	1.69	1.64	1.67	76	39500	1
2015.07.31	1.65	1.76	1.64	1.76	141	155700	1
2015.08.03	1.77	1.81	1.73	1.78	153	333900	1
2015.08.04	1.77	1.79	1.74	1.76	102	84500	1
2015.08.05	1.76	1.77	1.72	1.72	52	25000	1
2015.08.06	1.72	1.73	1.63	1.63	321	149900	1
2015.08.07	1.64	1.65	1.56	1.57	739	297700	1
2015.08.10	1.57	1.61	1.55	1.61	144	84600	1
2015.08.11	1.59	1.62	1.56	1.56	154	132000	1
2015.08.12	1.55	1.56	1.51	1.52	91	179900	1
2015.08.13	1.58	1.58	1.51	1.57	66	63900	1
2015.08.14	1.59	1.72	1.59	1.64	247	299000	1
2015.08.17	1.64	1.64	1.57	1.58	144	194600	1
2015.08.18	1.58	1.60	1.55	1.55	270	125500	1
2015.08.19	1.55	1.59	1.53	1.57	165	128300	1
2015.08.20	1.55	1.57	1.53	1.56	190	121300	1
2015.08.21	1.56	1.56	1.53	1.53	81	64000	1
2015.08.24	1.46	1.51	1.42	1.47	93	125100	1
2015.08.26	1.49	1.62	1.48	1.58	167	119100	1
2015.08.27	1.62	1.62	1.58	1.60	71	91300	1
2015.08.28	1.58	1.58	1.55	1.56	125	36900	1
2015.08.31	1.58	1.58	1.48	1.50	301	273000	1
2015.09.01	1.47	1.47	1.39	1.39	278	156000	1
2015.09.02	1.43	1.47	1.42	1.47	325	245900	1
2015.09.03	1.45	1.46	1.42	1.44	437	212200	1
2015.09.04	1.41	1.43	1.39	1.39	159	101900	1
2015.09.08	1.41	1.42	1.30	1.34	1017	370900	1
2015.09.09	1.32	1.35	1.31	1.31	156	147200	1
2015.09.10	1.30	1.33	1.27	1.30	111	179800	1
2015.09.11	1.31	1.40	1.28	1.39	124	156000	1
2015.09.14	1.39	1.43	1.32	1.43	83	135900	1
2015.09.15	1.40	1.41	1.35	1.35	110	160900	1
2015.09.16	1.37	1.42	1.32	1.39	453	320600	1
2015.09.17	1.38	1.39	1.37	1.38	98	32600	1
2015.09.18	1.38	1.38	1.29	1.29	300	517000	1
2015.09.21	1.29	1.29	1.22	1.22	692	266900	1
2015.09.22	1.22	1.23	1.18	1.20	152	74700	1
2015.09.23	1.20	1.22	1.16	1.19	117	131600	1
2015.09.24	1.17	1.29	1.15	1.29	173	271700	1
2015.09.25	1.26	1.30	1.22	1.30	404	218200	1
2015.09.28	1.29	1.31	1.25	1.30	101	63400	1
2015.09.29	1.30	1.30	1.26	1.26	393	156000	1
2015.09.30	1.26	1.32	1.26	1.30	173	128700	1
2015.10.01	1.30	1.31	1.25	1.26	144	112300	1
2015.10.02	1.25	1.32	1.25	1.27	133	162100	1
2015.10.05	1.26	1.30	1.26	1.28	160	269700	1
2015.10.06	1.28	1.32	1.28	1.32	129	74200	1
2015.10.07	1.33	1.42	1.30	1.40	1036	953100	1
2015.10.08	1.41	1.42	1.37	1.38	525	142100	1
2015.10.09	1.50	1.72	1.50	1.59	1031	1009700	1
2015.10.13	1.66	1.66	1.52	1.52	273	186300	1
2015.10.14	1.50	1.62	1.50	1.57	291	160000	1
2015.10.15	1.62	1.62	1.52	1.57	200	203200	1
2015.10.16	1.55	1.57	1.50	1.51	343	378100	1
2015.10.19	1.49	1.60	1.49	1.55	281	146600	1
2015.10.20	1.55	1.64	1.53	1.62	440	419400	1
2015.10.21	1.60	1.65	1.56	1.62	449	403600	1
2015.10.22	1.64	1.64	1.56	1.64	459	201600	1
2015.10.23	1.64	1.79	1.61	1.76	584	828100	1
2015.10.26	1.75	1.76	1.66	1.68	438	193500	1
2015.10.27	1.68	1.68	1.59	1.64	268	159600	1
2015.10.28	1.65	1.70	1.59	1.66	278	172800	1
2015.10.29	1.66	1.66	1.59	1.62	203	101300	1
2015.10.30	1.60	1.61	1.55	1.57	268	135300	1
2015.11.03	1.62	1.62	1.55	1.56	316	109100	1
2015.11.04	1.54	1.64	1.54	1.57	189	111700	1
2015.11.05	1.55	1.61	1.55	1.57	257	113700	1
2015.11.06	1.56	1.59	1.48	1.54	131	147500	1
