<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	12.01	12.01	11.54	11.84	5967	1819100	1
2015.01.05	11.74	11.74	11.56	11.60	7367	3436000	1
2015.01.06	11.59	11.97	11.48	11.97	6330	3330300	1
2015.01.07	11.96	12.12	11.89	12.06	7623	2943300	1
2015.01.08	12.02	12.09	11.95	12.05	3052	1950200	1
2015.01.09	12.01	12.08	11.83	12.08	3072	1373300	1
2015.01.12	12.01	12.08	11.89	12.08	3472	1051600	1
2015.01.13	12.07	12.22	11.93	11.98	4197	1955400	1
2015.01.14	11.88	11.94	11.64	11.64	6111	2163700	1
2015.01.15	11.64	11.65	11.34	11.56	6971	2776500	1
2015.01.16	11.56	11.61	11.38	11.57	8441	2086200	1
2015.01.19	11.45	11.55	11.28	11.51	4779	2589500	1
2015.01.20	11.67	11.67	11.29	11.31	3669	2103000	1
2015.01.21	11.32	11.35	11.09	11.11	7005	2493700	1
2015.01.22	11.21	11.21	10.85	10.96	5284	2232800	1
2015.01.23	10.86	10.97	10.73	10.97	4802	2692700	1
2015.01.26	10.84	11.11	10.82	10.97	4576	1756800	1
2015.01.27	10.86	11.12	10.73	11.11	4313	1233500	1
2015.01.28	10.97	11.16	10.87	11.12	3722	1516300	1
2015.01.29	11.09	11.35	10.93	11.35	5603	2492400	1
2015.01.30	11.24	11.36	11.00	11.35	6104	3127300	1
2015.02.02	11.36	11.74	11.26	11.74	3869	3877000	1
2015.02.03	11.76	11.94	11.70	11.84	7453	3369400	1
2015.02.04	11.89	11.92	11.61	11.85	5834	2425100	1
2015.02.05	11.74	12.10	11.74	12.03	3881	2878700	1
2015.02.06	11.92	12.19	11.89	12.19	6533	2554500	1
2015.02.09	12.14	12.42	12.13	12.42	5435	3875900	1
2015.02.10	12.37	12.51	12.31	12.39	5367	2494000	1
2015.02.11	12.57	12.64	12.32	12.43	5852	3539300	1
2015.02.12	12.57	12.84	12.42	12.52	9660	3893800	1
2015.02.13	12.48	12.69	12.31	12.43	6310	2513200	1
2015.02.18	12.58	12.78	12.44	12.54	5716	2743700	1
2015.02.19	12.60	12.60	12.33	12.46	3515	2223600	1
2015.02.20	12.35	12.61	12.25	12.61	2445	1829200	1
2015.02.23	12.56	12.68	12.41	12.64	3667	1641700	1
2015.02.24	12.58	12.71	12.49	12.71	6527	4889700	1
2015.02.25	12.65	12.92	12.57	12.92	2965	2195200	1
2015.02.26	12.90	13.17	12.84	13.17	4232	2058100	1
2015.02.27	13.18	13.54	13.08	13.26	6920	4864100	1
2015.03.02	13.21	13.66	13.08	13.51	5903	5221100	1
2015.03.03	13.60	13.75	13.41	13.75	5224	3059200	1
2015.03.04	13.68	14.21	13.64	14.17	11204	4381000	1
2015.03.05	14.16	14.49	14.08	14.43	6206	3759400	1
2015.03.06	14.42	14.66	14.24	14.65	6314	3889600	1
2015.03.09	14.56	14.94	14.54	14.94	6930	3518800	1
2015.03.10	14.86	14.93	14.68	14.68	6500	3623900	1
2015.03.11	14.55	14.84	14.41	14.84	5225	2270000	1
2015.03.12	14.86	15.09	14.46	14.70	8049	2572800	1
2015.03.13	14.54	15.24	14.51	15.24	9380	3209900	1
2015.03.16	15.17	15.23	14.65	14.73	8421	3958700	1
2015.03.17	14.84	14.87	14.55	14.78	5083	2532400	1
2015.03.18	14.75	14.80	14.24	14.42	7698	3304300	1
2015.03.19	14.42	14.67	14.04	14.50	6505	3723200	1
2015.03.20	14.41	14.61	14.30	14.61	8415	2902800	1
2015.03.23	14.49	14.59	14.38	14.50	3686	4650100	1
2015.03.24	14.46	14.54	14.31	14.44	7330	2286400	1
2015.03.25	14.50	14.96	14.38	14.96	7103	2044200	1
2015.03.26	14.86	14.89	14.64	14.89	7668	3214700	1
2015.03.27	14.87	15.06	14.73	15.02	5936	5231000	1
2015.03.30	15.17	15.27	15.03	15.19	4356	8495000	1
2015.03.31	15.11	15.35	15.04	15.19	6227	4653500	1
2015.04.01	15.14	15.31	15.09	15.17	7842	2736400	1
2015.04.02	15.19	15.48	15.19	15.19	4631	3084100	1
2015.04.06	15.13	15.39	14.99	15.32	5848	8051900	1
2015.04.07	15.28	15.42	15.13	15.15	4908	5942800	1
2015.04.08	15.22	15.31	15.08	15.23	6355	13313800	1
2015.04.09	15.16	15.34	15.13	15.19	5428	5032500	1
2015.04.10	15.14	15.38	15.03	15.21	5523	2524800	1
2015.04.13	15.20	15.27	15.03	15.19	3373	1427000	1
2015.04.14	15.23	15.27	15.01	15.22	3830	4225000	1
2015.04.15	15.29	15.39	15.19	15.39	4871	2273900	1
2015.04.16	15.36	15.40	15.27	15.35	4975	2926800	1
2015.04.17	15.26	15.36	15.19	15.32	3503	1897500	1
2015.04.20	15.27	15.32	14.99	15.18	4668	2589300	1
2015.04.22	15.25	15.37	15.14	15.30	6052	4172300	1
2015.04.23	15.30	15.37	15.24	15.34	3291	1740500	1
2015.04.24	15.37	15.61	15.13	15.27	6360	3318800	1
2015.04.27	15.16	15.36	14.64	15.06	7299	3853400	1
2015.04.28	15.07	15.27	14.79	15.23	4712	7864300	1
2015.04.29	15.06	15.44	15.06	15.36	3498	2224400	1
2015.04.30	15.37	15.47	15.24	15.42	6451	2660300	1
2015.05.04	15.52	15.61	15.36	15.40	5662	3284000	1
2015.05.05	15.67	15.77	15.50	15.69	3635	1900400	1
2015.05.06	15.73	15.73	15.32	15.52	4657	1782200	1
2015.05.07	15.48	15.57	15.35	15.57	3019	1370200	1
2015.05.08	15.55	15.78	15.46	15.74	2762	3936400	1
2015.05.11	15.75	16.41	15.74	16.22	4437	4242900	1
2015.05.12	16.15	16.21	15.88	16.17	7345	2583300	1
2015.05.13	16.17	16.69	16.12	16.65	9470	3658600	1
2015.05.14	16.68	16.94	16.53	16.69	8567	3873300	1
2015.05.15	16.64	16.70	16.44	16.65	5008	3465100	1
2015.05.18	16.73	16.73	16.44	16.52	4965	2589600	1
2015.05.19	16.52	16.53	16.12	16.32	6052	2485500	1
