<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	5.61	5.67	5.54	5.58	9462	6610613	1
2015.01.05	5.52	5.54	5.35	5.38	7285	4283265	1
2015.01.06	5.41	5.57	5.37	5.57	5923	4821578	1
2015.01.07	5.61	5.72	5.60	5.66	6684	6674357	1
2015.01.08	5.64	5.65	5.49	5.56	4025	3915623	1
2015.01.09	5.50	5.55	5.39	5.39	4610	3323995	1
2015.01.12	5.35	5.42	5.31	5.34	5604	4450145	1
2015.01.13	5.34	5.52	5.31	5.45	5301	4657876	1
2015.01.14	5.38	5.55	5.38	5.46	7719	5466796	1
2015.01.15	5.44	5.61	5.41	5.47	5614	8171064	1
2015.01.16	5.48	5.60	5.43	5.54	6969	17252173	1
2015.01.19	5.53	5.55	5.29	5.29	5636	4734083	1
2015.01.20	5.36	5.38	5.22	5.24	8060	9753539	1
2015.01.21	5.29	5.33	5.17	5.31	10196	6241215	1
2015.01.22	5.34	5.48	5.32	5.39	7193	10414691	1
2015.01.23	5.34	5.45	5.34	5.42	6121	4205053	1
2015.01.26	5.39	5.41	5.34	5.40	4908	3317048	1
2015.01.27	5.35	5.35	5.03	5.09	9995	9357481	1
2015.01.28	5.05	5.24	4.99	5.20	7049	3728737	1
2015.01.29	5.16	5.34	5.12	5.30	5984	4754948	1
2015.01.30	5.25	5.26	5.09	5.15	7447	6348133	1
2015.02.02	5.18	5.27	5.12	5.12	6492	4372502	1
2015.02.03	5.16	5.18	5.05	5.06	6997	5422744	1
2015.02.04	5.04	5.10	4.93	5.03	10293	7125454	1
2015.02.05	4.95	5.15	4.95	5.13	5873	4148849	1
2015.02.06	5.07	5.10	5.00	5.04	6322	4469556	1
2015.02.09	5.04	5.26	4.96	5.21	8799	7031877	1
2015.02.10	5.17	5.25	5.07	5.09	6877	4490720	1
2015.02.11	5.09	5.09	4.92	4.94	5613	5195902	1
2015.02.12	4.98	5.25	4.95	5.15	9078	7758206	1
2015.02.13	5.16	5.30	5.16	5.20	4918	4576191	1
2015.02.18	5.26	5.42	5.22	5.40	6328	5093617	1
2015.02.19	5.39	5.55	5.37	5.53	4402	3967487	1
2015.02.20	5.50	5.52	5.35	5.41	4595	3428593	1
2015.02.23	5.40	5.48	5.39	5.44	7048	5274992	1
2015.02.24	5.40	5.53	5.38	5.50	4824	3897651	1
2015.02.25	5.47	5.52	5.39	5.52	4259	3342250	1
2015.02.26	5.57	5.65	5.46	5.58	5270	4407555	1
2015.02.27	5.60	5.69	5.47	5.53	7558	6218913	1
2015.03.02	5.53	5.65	5.49	5.65	5757	5235888	1
2015.03.03	5.63	5.69	5.57	5.58	8022	5792448	1
2015.03.04	5.53	5.55	5.39	5.43	11688	7288283	1
2015.03.05	5.43	5.46	5.30	5.40	7843	6281785	1
2015.03.06	5.42	5.48	5.37	5.42	8545	5243991	1
2015.03.09	5.34	5.44	5.24	5.35	10072	7709825	1
2015.03.10	5.24	5.37	5.23	5.26	10356	7508765	1
2015.03.11	5.31	5.38	5.23	5.37	6524	4243587	1
2015.03.12	5.47	5.49	5.30	5.39	4790	4052934	1
2015.03.13	5.25	5.28	5.04	5.20	10727	6631197	1
2015.03.16	5.21	5.25	5.11	5.11	6978	4215768	1
2015.03.17	5.11	5.27	5.11	5.27	9577	9674431	1
2015.03.18	5.26	5.44	5.20	5.41	9017	7697945	1
2015.03.19	5.41	5.41	5.23	5.32	4352	3848113	1
2015.03.20	5.40	5.53	5.34	5.49	14449	8247547	1
2015.03.23	5.54	5.57	5.39	5.49	7676	5493727	1
2015.03.24	5.51	5.55	5.34	5.40	6509	4557928	1
2015.03.25	5.45	5.51	5.39	5.44	6691	4670346	1
2015.03.26	5.39	5.39	5.21	5.26	6731	7123436	1
2015.03.27	5.22	5.28	5.15	5.27	8625	6776042	1
2015.03.30	5.25	5.49	5.25	5.46	8028	6039581	1
2015.03.31	5.40	5.49	5.37	5.47	7570	7555123	1
2015.04.01	5.54	5.65	5.47	5.52	12079	7254380	1
2015.04.02	5.58	5.69	5.52	5.66	9485	6429542	1
2015.04.06	5.69	5.76	5.61	5.62	6375	3980799	1
