<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	1.04	1.04	0.95	0.98	140	222600	1
2015.01.05	1.01	1.01	0.94	0.94	62	844200	1
2015.01.06	0.97	0.97	0.92	0.93	63	625200	1
2015.01.07	0.96	0.98	0.92	0.95	84	45600	1
2015.01.08	0.97	0.97	0.92	0.94	14	9300	1
2015.01.12	0.94	0.94	0.90	0.91	16	51900	1
2015.01.13	0.94	0.94	0.91	0.92	31	21300	1
2015.01.14	0.92	0.92	0.90	0.91	13	37500	1
2015.01.15	0.92	0.95	0.89	0.91	38	26100	1
2015.01.16	0.91	0.91	0.86	0.87	61	394200	1
2015.01.19	0.87	0.90	0.87	0.89	13	3900	1
2015.01.20	0.89	0.89	0.88	0.89	16	505500	1
2015.01.21	0.87	0.88	0.87	0.87	20	33600	1
2015.01.22	0.87	0.87	0.86	0.87	21	484800	1
2015.01.23	0.87	0.87	0.86	0.86	11	33900	1
2015.01.26	0.85	0.86	0.84	0.85	64	2056800	1
2015.01.27	0.84	0.85	0.83	0.85	19	28500	1
2015.01.28	0.85	0.85	0.84	0.84	11	69900	1
2015.01.29	0.85	0.85	0.84	0.85	576	976800	1
2015.01.30	0.85	0.94	0.85	0.94	154	516900	1
2015.02.02	0.96	0.96	0.92	0.94	27	18600	1
2015.02.03	0.96	0.96	0.90	0.96	61	243900	1
2015.02.04	0.96	1.00	0.95	0.97	68	53100	1
2015.02.05	1.00	1.01	0.94	0.97	47	45000	1
2015.02.06	0.98	1.03	0.95	0.96	42	120000	1
2015.02.09	0.97	0.99	0.93	0.95	81	214800	1
2015.02.10	0.97	1.01	0.92	0.93	104	372300	1
2015.02.11	0.94	0.94	0.90	0.91	16	307500	1
2015.02.12	0.93	0.93	0.90	0.91	48	420000	1
2015.02.13	0.89	0.91	0.86	0.91	98	241200	1
2015.02.18	0.91	0.91	0.91	0.91	4	1200	1
2015.02.19	0.91	0.91	0.89	0.91	17	38700	1
2015.02.20	0.91	0.92	0.91	0.91	19	206700	1
2015.02.23	0.91	0.92	0.91	0.91	4	7800	1
2015.02.24	0.94	0.95	0.90	0.91	28	14400	1
2015.02.25	0.91	0.91	0.87	0.87	22	9000	1
2015.02.26	0.90	0.91	0.87	0.90	36	28500	1
2015.02.27	0.88	0.88	0.85	0.86	96	2143500	1
2015.03.02	0.86	0.89	0.85	0.87	57	1257300	1
2015.03.03	0.89	0.89	0.85	0.86	18	67800	1
2015.03.04	0.85	0.85	0.82	0.85	71	271200	1
2015.03.05	0.85	0.85	0.84	0.84	52	318900	1
